Date,t,Close
2011-08-22,2011.642,110.33
2011-08-23,2011.644,112.57
2011-08-24,2011.647,114.34
2011-08-25,2011.65,112.34
2011-08-26,2011.653,114.12
2011-08-29,2011.661,117.42
2011-08-30,2011.664,117.94
2011-08-31,2011.667,118.65
2011-09-01,2011.667,118.53
2011-09-02,2011.669,114.99
2011-09-06,2011.681,113.8
2011-09-07,2011.683,116.64
2011-09-08,2011.686,116.01
2011-09-09,2011.689,113.03
2011-09-12,2011.697,114
2011-09-13,2011.7,116.93
2011-09-14,2011.703,118.82
2011-09-15,2011.706,121.55
2011-09-16,2011.708,122.38
2011-09-19,2011.717,121.77
2011-09-20,2011.719,121.57
2011-09-21,2011.722,116.94
2011-09-22,2011.725,114.06
2011-09-23,2011.728,116.34
2011-09-26,2011.736,119.15
2011-09-27,2011.739,121.51
2011-09-28,2011.742,119.79
2011-09-29,2011.744,118.04
2011-09-30,2011.747,114.13
2011-10-03,2011.756,111.27
2011-10-04,2011.758,115.16
2011-10-05,2011.761,117.22
2011-10-06,2011.764,119.95
2011-10-07,2011.767,120.07
2011-10-10,2011.775,124.83
2011-10-11,2011.778,124.78
2011-10-12,2011.781,127.29
2011-10-13,2011.783,126.99
2011-10-14,2011.786,129.09
2011-10-17,2011.794,126.15
2011-10-18,2011.797,127.97
2011-10-19,2011.8,126.94
2011-10-20,2011.803,127
2011-10-21,2011.806,129.93
2011-10-24,2011.814,132.35
2011-10-25,2011.817,129.85
2011-10-26,2011.819,131.86
2011-10-27,2011.822,129.41
2011-10-28,2011.825,124.61
2011-10-31,2011.833,123.69
2011-11-01,2011.833,122.03
2011-11-02,2011.836,121.76
2011-11-03,2011.839,124.75
2011-11-04,2011.842,121.94
2011-11-07,2011.85,121.44
2011-11-08,2011.853,122.48
2011-11-09,2011.856,116.75
2011-11-10,2011.858,119.04
2011-11-11,2011.861,120.73
2011-11-14,2011.869,119.5
2011-11-15,2011.872,121.18
2011-11-16,2011.875,118.19
2011-11-17,2011.878,117.38
2011-11-18,2011.881,117.94
2011-11-21,2011.889,117.84
2011-11-22,2011.892,117.18
2011-11-23,2011.894,114.52
2011-11-25,2011.9,114.59
2011-11-28,2011.908,117.13
2011-11-29,2011.911,117.23
2011-11-30,2011.914,121.9
2011-12-01,2011.917,122.24
2011-12-02,2011.919,124.65
2011-12-05,2011.928,123.76
2011-12-06,2011.931,124.03
2011-12-07,2011.933,124.21
2011-12-08,2011.936,119.93
2011-12-09,2011.939,121.54
2011-12-12,2011.947,123.69
2011-12-13,2011.95,122.83
2011-12-14,2011.953,122.21
2011-12-15,2011.956,121.04
2011-12-16,2011.958,119.96
2011-12-19,2011.967,117.93
2011-12-20,2011.969,121.16
2011-12-21,2011.972,121.87
2011-12-22,2011.975,121.92
2011-12-23,2011.978,123.2
2011-12-27,2011.989,122.91
2011-12-28,2011.992,121.01
2011-12-29,2011.994,122.55
2011-12-30,2011.997,122.3
2012-01-03,2012.006,125.63
2012-01-04,2012.008,126.68
2012-01-05,2012.011,127.62
2012-01-06,2012.014,126.21
2012-01-09,2012.022,127.42
2012-01-10,2012.025,127.54
2012-01-11,2012.028,128.13
2012-01-12,2012.031,127.98
2012-01-13,2012.033,128.02
2012-01-17,2012.044,128.78
2012-01-18,2012.047,128.36
2012-01-19,2012.05,129.94
2012-01-20,2012.053,131.04
2012-01-23,2012.061,131.13
2012-01-24,2012.064,130.76
2012-01-25,2012.067,132.3
2012-01-26,2012.069,134.65
2012-01-27,2012.072,134.26
2012-01-30,2012.081,134.76
2012-01-31,2012.083,135.49
2012-02-01,2012.083,136.58
2012-02-02,2012.086,135.68
2012-02-03,2012.089,138.2
2012-02-06,2012.097,137.72
2012-02-07,2012.1,137.57
2012-02-08,2012.103,138.26
2012-02-09,2012.106,139.38
2012-02-10,2012.108,138.19
2012-02-13,2012.117,139
2012-02-14,2012.119,138.69
2012-02-15,2012.122,142.97
2012-02-16,2012.125,142.79
2012-02-17,2012.128,144.23
2012-02-21,2012.139,143.73
2012-02-22,2012.142,144.08
2012-02-23,2012.144,146.43
2012-02-24,2012.147,144.98
2012-02-27,2012.156,145.43
2012-02-28,2012.158,145.9
2012-02-29,2012.161,146.09
2012-03-01,2012.167,146.24
2012-03-02,2012.169,145.86
