Date,t,Close
2013-07-05,2013.511,33.41
2013-07-08,2013.519,34.85
2013-07-09,2013.522,35.36
2013-07-10,2013.525,34.7
2013-07-11,2013.528,36.18
2013-07-12,2013.531,35.5
2013-07-15,2013.539,35.72
2013-07-16,2013.542,36.13
2013-07-17,2013.544,36.48
2013-07-18,2013.547,37.6
2013-07-19,2013.55,36.96
2013-07-22,2013.558,36.64
2013-07-23,2013.561,37.74
2013-07-24,2013.564,36.33
2013-07-25,2013.567,38.02
2013-07-26,2013.569,39.06
2013-07-29,2013.578,38.76
2013-07-30,2013.581,38.51
2013-07-31,2013.583,38.57
2013-08-01,2013.583,38.68
2013-08-02,2013.586,38.17
2013-08-05,2013.594,38.33
2013-08-06,2013.597,38.02
2013-08-07,2013.6,37.3
2013-08-08,2013.603,38.46
2013-08-09,2013.606,40.56
2013-08-12,2013.614,40.09
2013-08-13,2013.617,39.4
2013-08-14,2013.619,40.13
2013-08-15,2013.622,40
2013-08-16,2013.625,39.15
2013-08-19,2013.633,38.14
2013-08-20,2013.636,39.47
2013-08-21,2013.639,38.94
2013-08-22,2013.642,40.86
2013-08-23,2013.644,41.41
2013-08-26,2013.653,41.66
2013-08-27,2013.656,40.35
2013-08-28,2013.658,40.59
2013-08-29,2013.661,39.31
2013-08-30,2013.664,39.3
2013-09-03,2013.672,40.03
2013-09-04,2013.675,40.6
2013-09-05,2013.678,41.61
2013-09-06,2013.681,41.91
2013-09-09,2013.689,43.28
2013-09-10,2013.692,43.19
2013-09-11,2013.694,43.65
2013-09-12,2013.697,43.07
2013-09-13,2013.7,41.96
2013-09-16,2013.708,42.11
2013-09-17,2013.711,42.74
2013-09-18,2013.714,44.12
2013-09-19,2013.717,43.82
2013-09-20,2013.719,42.96
2013-09-23,2013.728,42.91
2013-09-24,2013.731,42.23
2013-09-25,2013.733,41.56
2013-09-26,2013.736,41.82
2013-09-27,2013.739,41.29
2013-09-30,2013.747,41.19
2013-10-01,2013.75,41.57
2013-10-02,2013.753,42.16
2013-10-03,2013.756,42.51
2013-10-04,2013.758,43.34
2013-10-07,2013.767,42.46
2013-10-08,2013.769,42.01
