Date,t,Close
2011-08-08,2011.603,378.97
2011-08-09,2011.606,410.29
2011-08-10,2011.608,390.96
2011-08-11,2011.611,415.93
2011-08-12,2011.614,413.04
2011-08-15,2011.622,423.5
2011-08-16,2011.625,415.35
2011-08-17,2011.628,421.01
2011-08-18,2011.631,402.24
2011-08-19,2011.633,401.57
2011-08-22,2011.642,403.48
2011-08-23,2011.644,419.62
2011-08-24,2011.647,432.69
2011-08-25,2011.65,430.31
2011-08-26,2011.653,435
2011-08-29,2011.661,439.23
2011-08-30,2011.664,438.56
2011-08-31,2011.667,446.22
2011-09-01,2011.667,441.67
2011-09-02,2011.669,427.01
2011-09-06,2011.681,422.4
2011-09-07,2011.683,441.4
2011-09-08,2011.686,435.47
2011-09-09,2011.689,419.12
2011-09-12,2011.697,425.47
2011-09-13,2011.7,428.28
2011-09-14,2011.703,438.3
2011-09-15,2011.706,441.11
2011-09-16,2011.708,444.31
2011-09-19,2011.717,435.82
2011-09-20,2011.719,438.97
2011-09-21,2011.722,426.56
2011-09-22,2011.725,416.6
2011-09-23,2011.728,416.15
2011-09-26,2011.736,428.28
2011-09-27,2011.739,422.31
2011-09-28,2011.742,412.89
2011-09-29,2011.744,414.01
2011-09-30,2011.747,399.43
2011-10-03,2011.756,383.81
2011-10-04,2011.758,388.5
2011-10-05,2011.761,391.11
2011-10-06,2011.764,403.03
2011-10-07,2011.767,394.04
2011-10-10,2011.775,413.57
2011-10-11,2011.778,418.07
2011-10-12,2011.781,427.95
2011-10-13,2011.783,417.33
2011-10-14,2011.786,416.47
2011-10-17,2011.794,403.09
2011-10-18,2011.797,414.92
2011-10-19,2011.8,405.73
2011-10-20,2011.803,409.45
2011-10-21,2011.806,429.4
2011-10-24,2011.814,445.19
2011-10-25,2011.817,429.83
2011-10-26,2011.819,439.92
2011-10-27,2011.822,458.86
2011-10-28,2011.825,457.97
2011-10-31,2011.833,445.58
2011-11-01,2011.833,430.16
2011-11-02,2011.836,443.26
2011-11-03,2011.839,456.98
2011-11-04,2011.842,453.09
2011-11-07,2011.85,454.47
2011-11-08,2011.853,455.99
2011-11-09,2011.856,435.63
2011-11-10,2011.858,436.17
2011-11-11,2011.861,447.38
2011-11-14,2011.869,438.63
2011-11-15,2011.872,441.87
2011-11-16,2011.875,425.7
2011-11-17,2011.878,412.75
2011-11-18,2011.881,415.4
2011-11-21,2011.889,408.29
2011-11-22,2011.892,408.23
2011-11-23,2011.894,399.77
2011-11-25,2011.9,399.7
2011-11-28,2011.908,409.9
2011-11-29,2011.911,405.41
2011-11-30,2011.914,429.35
2011-12-01,2011.917,428.49
2011-12-02,2011.919,432.2
2011-12-05,2011.928,439.08
2011-12-06,2011.931,436.3
2011-12-07,2011.933,441.4
2011-12-08,2011.936,428.56
2011-12-09,2011.939,439.08
2011-12-12,2011.947,430.54
2011-12-13,2011.95,426.3
2011-12-14,2011.953,424.11
2011-12-15,2011.956,416.82
2011-12-16,2011.958,423.19
2011-12-19,2011.967,412.49
2011-12-20,2011.969,425.01
2011-12-21,2011.972,423.03
2011-12-22,2011.975,426.06
2011-12-23,2011.978,429.57
2011-12-27,2011.989,425.26
2011-12-28,2011.992,419.34
2011-12-29,2011.994,424.78
2011-12-30,2011.997,421.52
2012-01-03,2012.006,432.18
2012-01-04,2012.008,432.62
2012-01-05,2012.011,438.02
2012-01-06,2012.014,435.02
2012-01-09,2012.022,438.37
2012-01-10,2012.025,446.14
2012-01-11,2012.028,448.11
2012-01-12,2012.031,454.17
2012-01-13,2012.033,456.13
2012-01-17,2012.044,459.48
2012-01-18,2012.047,463.2
2012-01-19,2012.05,465.57
2012-01-20,2012.053,455.89
2012-01-23,2012.061,453.9
2012-01-24,2012.064,450.8
2012-01-25,2012.067,455.75
2012-01-26,2012.069,457.12
2012-01-27,2012.072,455.6
2012-01-30,2012.081,449.23
2012-01-31,2012.083,456.01
2012-02-01,2012.083,462.68
2012-02-02,2012.086,466.6
2012-02-03,2012.089,479.55
2012-02-06,2012.097,474.16
2012-02-07,2012.1,475.99
2012-02-08,2012.103,475.44
2012-02-09,2012.106,480.98
2012-02-10,2012.108,474.75
2012-02-13,2012.117,478.14
2012-02-14,2012.119,476.09
2012-02-15,2012.122,477.67
2012-02-16,2012.125,486.23
2012-02-17,2012.128,485.37
2012-02-21,2012.139,485.66
2012-02-22,2012.142,484.39
2012-02-23,2012.144,487.36
2012-02-24,2012.147,490.54
2012-02-27,2012.156,494.87
2012-02-28,2012.158,495.52
2012-02-29,2012.161,489.77
2012-03-01,2012.167,494.83
2012-03-02,2012.169,490.56
2012-03-05,2012.178,488.75
2012-03-06,2012.181,477.88
2012-03-07,2012.183,483.19
2012-03-08,2012.186,488.93
2012-03-09,2012.189,492.15
2012-03-12,2012.197,488.22
2012-03-13,2012.2,504.02
2012-03-14,2012.203,515.37
2012-03-15,2012.206,521.43
2012-03-16,2012.208,523.22
2012-03-19,2012.217,529.75
2012-03-20,2012.219,526.54
2012-03-21,2012.222,526.87
2012-03-22,2012.225,526.96
2012-03-23,2012.228,533.72
2012-03-26,2012.236,544.37
2012-03-27,2012.239,540.92
2012-03-28,2012.242,543.16
2012-03-29,2012.244,535.7
2012-03-30,2012.247,534.53
2012-04-02,2012.253,537.83
2012-04-03,2012.256,539.17
2012-04-04,2012.258,529.76
2012-04-05,2012.261,533.61
2012-04-09,2012.272,524.2
2012-04-10,2012.275,513.89
2012-04-11,2012.278,521.51
2012-04-12,2012.281,531.16
2012-04-13,2012.283,522.72
2012-04-16,2012.292,523.91
2012-04-17,2012.294,528.72
2012-04-18,2012.297,527.97
2012-04-19,2012.3,525.11
2012-04-20,2012.303,525.14
2012-04-23,2012.311,524.35
2012-04-24,2012.314,526.67
2012-04-25,2012.317,535.71
2012-04-26,2012.319,539.57
2012-04-27,2012.322,545.94
2012-04-30,2012.331,544.11
2012-05-01,2012.333,550.08
2012-05-02,2012.336,549.73
2012-05-03,2012.339,545.54
2012-05-04,2012.342,537.95
2012-05-07,2012.35,538.32
2012-05-08,2012.353,535.1
2012-05-09,2012.356,532
2012-05-10,2012.358,534.16
2012-05-11,2012.361,536.45
2012-05-14,2012.369,523.97
2012-05-15,2012.372,518.39
2012-05-16,2012.375,511.7
2012-05-17,2012.378,497.73
2012-05-18,2012.381,494.74
2012-05-21,2012.389,504.37
2012-05-22,2012.392,505.34
2012-05-23,2012.394,503.56
2012-05-24,2012.397,510.1
2012-05-25,2012.4,506.38
