Date,t,Close
2013-04-15,2013.289,97.23
2013-04-16,2013.292,100.42
2013-04-17,2013.294,98.27
2013-04-18,2013.297,97.76
2013-04-19,2013.3,101.35
2013-04-22,2013.308,102.72
2013-04-23,2013.311,103.94
2013-04-24,2013.314,105.68
2013-04-25,2013.317,106.71
2013-04-26,2013.319,105.34
2013-04-29,2013.328,107.65
2013-04-30,2013.331,106.32
2013-05-01,2013.333,100.79
2013-05-02,2013.336,103.17
2013-05-03,2013.339,106.76
2013-05-06,2013.347,109.74
2013-05-07,2013.35,110.84
2013-05-08,2013.353,110.07
2013-05-09,2013.356,107.67
2013-05-10,2013.358,107.81
2013-05-13,2013.367,109.13
2013-05-14,2013.369,113.22
2013-05-15,2013.372,113.29
2013-05-16,2013.375,115.8
2013-05-17,2013.378,117.92
2013-05-20,2013.386,117.27
2013-05-21,2013.389,115.34
2013-05-22,2013.392,113.98
2013-05-23,2013.394,115.31
2013-05-24,2013.397,115.12
2013-05-28,2013.408,117.67
2013-05-29,2013.411,116.1
2013-05-30,2013.414,116.99
2013-05-31,2013.417,116.75
2013-06-03,2013.422,117.9
2013-06-04,2013.425,118.55
2013-06-05,2013.428,115.05
2013-06-06,2013.431,116.31
2013-06-07,2013.433,113.63
2013-06-10,2013.442,113.86
2013-06-11,2013.444,112.44
2013-06-12,2013.447,112.31
2013-06-13,2013.45,116.64
2013-06-14,2013.453,118.09
2013-06-17,2013.461,119.36
2013-06-18,2013.464,120.53
2013-06-19,2013.467,120.18
2013-06-20,2013.469,117.36
2013-06-21,2013.472,116.92
2013-06-24,2013.481,113.91
2013-06-25,2013.483,116.41
2013-06-26,2013.486,117.32
2013-06-27,2013.489,118.23
2013-06-28,2013.492,116.06
2013-07-01,2013.5,116.1
2013-07-02,2013.503,114.57
2013-07-03,2013.506,116.48
2013-07-05,2013.511,118.55
2013-07-08,2013.519,119.64
2013-07-09,2013.522,120.81
2013-07-10,2013.525,122.28
2013-07-11,2013.528,121.54
2013-07-12,2013.531,122.61
2013-07-15,2013.539,124.17
2013-07-16,2013.542,121.32
2013-07-17,2013.544,119.01
2013-07-18,2013.547,118.3
2013-07-19,2013.55,119.83
2013-07-22,2013.558,119.92
2013-07-23,2013.561,118.94
2013-07-24,2013.564,118.09
2013-07-25,2013.567,119.2
2013-07-26,2013.569,118.06
2013-07-29,2013.578,118.62
2013-07-30,2013.581,120.72
2013-07-31,2013.583,120.35
2013-08-01,2013.583,119.09
2013-08-02,2013.586,120.77
2013-08-05,2013.594,121.69
2013-08-06,2013.597,120.13
2013-08-07,2013.6,119.09
2013-08-08,2013.603,120.14
2013-08-09,2013.606,120.34
2013-08-12,2013.614,119.64
2013-08-13,2013.617,122.75
2013-08-14,2013.619,121.88
2013-08-15,2013.622,119.71
2013-08-16,2013.625,120.63
2013-08-19,2013.633,120.02
2013-08-20,2013.636,119.53
2013-08-21,2013.639,118.67
2013-08-22,2013.642,121.74
2013-08-23,2013.644,122.82
2013-08-26,2013.653,122.82
2013-08-27,2013.656,120.49
2013-08-28,2013.658,121.7
2013-08-29,2013.661,123.14
2013-08-30,2013.664,122.88
2013-09-03,2013.672,123.44
2013-09-04,2013.675,121.67
2013-09-05,2013.678,123.21
2013-09-06,2013.681,123.17
2013-09-09,2013.689,123.91
2013-09-10,2013.692,124.19
2013-09-11,2013.694,123.89
2013-09-12,2013.697,122.95
2013-09-13,2013.7,124.37
2013-09-16,2013.708,125.05
2013-09-17,2013.711,127.31
2013-09-18,2013.714,128.46
2013-09-19,2013.717,129.25
2013-09-20,2013.719,127.92
2013-09-23,2013.728,127.22
2013-09-24,2013.731,126.85
2013-09-25,2013.733,127.73
2013-09-26,2013.736,129.64
2013-09-27,2013.739,128.55
2013-09-30,2013.747,128.27
2013-10-01,2013.75,129.81
2013-10-02,2013.753,129.69
2013-10-03,2013.756,129.58
2013-10-04,2013.758,132.05
2013-10-07,2013.767,130.64
2013-10-08,2013.769,128.17
2013-10-09,2013.772,127.4
2013-10-10,2013.775,131.53
2013-10-11,2013.778,133.07
2013-10-14,2013.786,132.62
2013-10-15,2013.789,131.7
2013-10-16,2013.792,134
2013-10-17,2013.794,135.87
2013-10-18,2013.797,136.47
2013-10-21,2013.806,137.26
2013-10-22,2013.808,137.96
2013-10-23,2013.811,137.8
2013-10-24,2013.814,136.71
2013-10-25,2013.817,135.05
2013-10-28,2013.825,132.26
2013-10-29,2013.828,132.35
2013-10-30,2013.831,131.9
2013-10-31,2013.833,130.67
2013-11-01,2013.833,129.5
2013-11-04,2013.842,130.48
2013-11-05,2013.844,130.15
2013-11-06,2013.847,131.67
2013-11-07,2013.85,131.04
2013-11-08,2013.853,132.05
2013-11-11,2013.861,132.46
2013-11-12,2013.864,131.95
2013-11-13,2013.867,134.03
2013-11-14,2013.869,137.08
2013-11-15,2013.872,137.62
2013-11-18,2013.881,137.45
2013-11-19,2013.883,136.01
2013-11-20,2013.886,135.77
2013-11-21,2013.889,136.21
2013-11-22,2013.892,138.89
2013-11-25,2013.9,134.09
2013-11-26,2013.903,133.72
2013-11-27,2013.906,135.68
2013-11-29,2013.911,135.19
2013-12-02,2013.919,136.36
2013-12-03,2013.922,135.08
2013-12-04,2013.925,134.1
2013-12-05,2013.928,131.63
2013-12-06,2013.931,134.09
2013-12-09,2013.939,134.52
2013-12-10,2013.942,134.65
2013-12-11,2013.944,132.33
2013-12-12,2013.947,134
2013-12-13,2013.95,133.46
2013-12-16,2013.958,134.87
2013-12-17,2013.961,135.98
2013-12-18,2013.964,137.4
2013-12-19,2013.967,136.56
