Date,t,Close
2011-08-10,2011.608,83.05
2011-08-11,2011.611,90.59
2011-08-12,2011.614,91.66
2011-08-15,2011.622,94.4
2011-08-16,2011.625,93.85
2011-08-17,2011.628,93.29
2011-08-18,2011.631,88.02
2011-08-19,2011.633,87
2011-08-22,2011.642,86.82
2011-08-23,2011.644,89.77
2011-08-24,2011.647,89.81
2011-08-25,2011.65,87.9
2011-08-26,2011.653,90.24
2011-08-29,2011.661,93.27
2011-08-30,2011.664,93.52
2011-08-31,2011.667,93.61
2011-09-01,2011.667,93.61
2011-09-02,2011.669,91.01
2011-09-06,2011.681,90.36
2011-09-07,2011.683,94.21
2011-09-08,2011.686,94.96
2011-09-09,2011.689,92.64
2011-09-12,2011.697,94.26
2011-09-13,2011.7,95.71
2011-09-14,2011.703,96.61
2011-09-15,2011.706,97.86
2011-09-16,2011.708,97.84
2011-09-19,2011.717,97.27
2011-09-20,2011.719,96.75
2011-09-21,2011.722,93.71
2011-09-22,2011.725,90.69
2011-09-23,2011.728,91.55
2011-09-26,2011.736,92.83
2011-09-27,2011.739,94.22
2011-09-28,2011.742,92.57
2011-09-29,2011.744,91.9
2011-09-30,2011.747,89.39
2011-10-03,2011.756,87.58
2011-10-04,2011.758,90.48
2011-10-05,2011.761,93.46
2011-10-06,2011.764,95.29
2011-10-07,2011.767,94.37
2011-10-10,2011.775,97.16
2011-10-11,2011.778,96.77
2011-10-12,2011.781,97.67
2011-10-13,2011.783,98.96
2011-10-14,2011.786,100.99
2011-10-17,2011.794,98.62
2011-10-18,2011.797,100.54
2011-10-19,2011.8,97.8
2011-10-20,2011.803,97.58
2011-10-21,2011.806,98.5
2011-10-24,2011.814,100.65
2011-10-25,2011.817,99.45
2011-10-26,2011.819,99.55
2011-10-27,2011.822,103.57
2011-10-28,2011.825,104.01
2011-10-31,2011.833,102.41
2011-11-01,2011.833,98.45
2011-11-02,2011.836,100.89
2011-11-03,2011.839,104.82
2011-11-04,2011.842,104.72
2011-11-07,2011.85,104.85
2011-11-08,2011.853,105.94
2011-11-09,2011.856,102.41
2011-11-10,2011.858,104.82
2011-11-11,2011.861,107.37
2011-11-14,2011.869,107.43
2011-11-15,2011.872,108.13
2011-11-16,2011.875,106.67
2011-11-17,2011.878,105.14
2011-11-18,2011.881,104.28
