Date,t,Close
2013-01-09,2013.022,91.35
2013-01-10,2013.025,94.28
2013-01-11,2013.028,103.52
2013-01-14,2013.036,104.19
2013-01-15,2013.039,104.22
2013-01-16,2013.042,105.1
2013-01-17,2013.044,105.69
2013-01-18,2013.047,106.37
2013-01-22,2013.058,108.58
2013-01-23,2013.061,108.3
2013-01-24,2013.064,108.66
2013-01-25,2013.067,110.95
2013-01-28,2013.075,112.26
2013-01-29,2013.078,112.42
2013-01-30,2013.081,111.32
2013-01-31,2013.083,111.99
2013-02-01,2013.083,114.19
2013-02-04,2013.092,113.79
2013-02-05,2013.094,117.46
2013-02-06,2013.097,114.32
2013-02-07,2013.1,113.34
2013-02-08,2013.103,113.36
2013-02-11,2013.111,115.38
2013-02-12,2013.114,113.55
2013-02-13,2013.117,112.59
2013-02-14,2013.119,114.53
2013-02-15,2013.122,118.66
2013-02-19,2013.133,120.83
2013-02-20,2013.136,120.17
2013-02-21,2013.139,119.7
2013-02-22,2013.142,118.24
2013-02-25,2013.15,117.76
2013-02-26,2013.153,115.84
2013-02-27,2013.156,117.28
2013-02-28,2013.158,116.15
2013-03-01,2013.167,117.37
2013-03-04,2013.175,118.95
2013-03-05,2013.178,123.03
2013-03-06,2013.181,124.7
2013-03-07,2013.183,127.08
2013-03-08,2013.186,131.13
2013-03-11,2013.194,131.87
2013-03-12,2013.197,133.17
2013-03-13,2013.2,136.29
2013-03-14,2013.203,138.09
2013-03-15,2013.206,137.96
2013-03-18,2013.214,141.31
2013-03-19,2013.217,140.9
2013-03-20,2013.219,144.72
2013-03-21,2013.222,141.78
2013-03-22,2013.225,143.91
2013-03-25,2013.233,145.13
2013-03-26,2013.236,144.91
2013-03-27,2013.239,142.78
2013-03-28,2013.242,145.68
2013-04-01,2013.25,147.12
2013-04-02,2013.253,147.86
2013-04-03,2013.256,147.92
2013-04-04,2013.258,161.77
2013-04-05,2013.261,163.24
2013-04-08,2013.269,165.94
2013-04-09,2013.272,164.3
2013-04-10,2013.275,160.51
2013-04-11,2013.278,160.91
2013-04-12,2013.281,161.48
2013-04-15,2013.289,155.46
2013-04-16,2013.292,160.22
2013-04-17,2013.294,159.94
2013-04-18,2013.297,158.06
2013-04-19,2013.3,159.32
2013-04-22,2013.308,160.72
2013-04-23,2013.311,163.87
2013-04-24,2013.314,164.35
2013-04-25,2013.317,165.91
2013-04-26,2013.319,163.96
2013-04-29,2013.328,166.79
2013-04-30,2013.331,174.89
2013-05-01,2013.333,174.21
2013-05-02,2013.336,178.7
2013-05-03,2013.339,181.38
2013-05-06,2013.347,180.71
2013-05-07,2013.35,179.98
2013-05-08,2013.353,177.15
2013-05-09,2013.356,177.43
2013-05-10,2013.358,178.92
2013-05-13,2013.367,178.46
2013-05-14,2013.369,185.13
2013-05-15,2013.372,184.38
2013-05-16,2013.375,180.5
2013-05-17,2013.378,187.93
2013-05-20,2013.386,185.65
2013-05-21,2013.389,177
2013-05-22,2013.392,176.04
2013-05-23,2013.394,178.25
2013-05-24,2013.397,169.75
2013-05-28,2013.408,171.93
2013-05-29,2013.411,173.41
2013-05-30,2013.414,179.53
2013-05-31,2013.417,178.09
2013-06-03,2013.422,179.66
2013-06-04,2013.425,181.9
2013-06-05,2013.428,179.4
2013-06-06,2013.431,181.41
2013-06-07,2013.433,184.13
2013-06-10,2013.442,183.62
2013-06-11,2013.444,188.18
2013-06-12,2013.447,181.82
2013-06-13,2013.45,186.45
2013-06-14,2013.453,186.38
2013-06-17,2013.461,187.66
2013-06-18,2013.464,190.3
