Date,t,Close
2011-10-03,2011.756,23.82
2011-10-04,2011.758,25.5
2011-10-05,2011.761,26.63
2011-10-06,2011.764,28.01
2011-10-07,2011.767,27.67
2011-10-10,2011.775,29.36
2011-10-11,2011.778,29.96
2011-10-12,2011.781,30.38
2011-10-13,2011.783,31.07
2011-10-14,2011.786,34.06
2011-10-17,2011.794,32.63
2011-10-18,2011.797,33.12
2011-10-19,2011.8,32.35
2011-10-20,2011.803,32.43
2011-10-21,2011.806,39.09
2011-10-24,2011.814,38.7
2011-10-25,2011.817,37.35
2011-10-26,2011.819,39.3
2011-10-27,2011.822,40.03
2011-10-28,2011.825,40.71
2011-10-31,2011.833,39.24
2011-11-01,2011.833,38.1
2011-11-02,2011.836,38.6
2011-11-03,2011.839,39.7
2011-11-04,2011.842,39.27
2011-11-07,2011.85,39.35
2011-11-08,2011.853,39.91
2011-11-09,2011.856,37.09
2011-11-10,2011.858,37.33
2011-11-11,2011.861,38.27
2011-11-14,2011.869,37.67
2011-11-15,2011.872,37.82
2011-11-16,2011.875,37.06
2011-11-17,2011.878,35.95
2011-11-18,2011.881,35.76
2011-11-21,2011.889,35.03
2011-11-22,2011.892,34.93
2011-11-23,2011.894,33.55
2011-11-25,2011.9,33.38
2011-11-28,2011.908,35.46
2011-11-29,2011.911,34.85
2011-11-30,2011.914,37.55
2011-12-01,2011.917,37.17
2011-12-02,2011.919,37.62
2011-12-05,2011.928,37.9
2011-12-06,2011.931,36.98
2011-12-07,2011.933,37.25
2011-12-08,2011.936,35.83
2011-12-09,2011.939,37.05
2011-12-12,2011.947,35.71
2011-12-13,2011.95,33.12
2011-12-14,2011.953,31.88
2011-12-15,2011.956,32.48
2011-12-16,2011.958,31.89
2011-12-19,2011.967,31.42
2011-12-20,2011.969,33.2
2011-12-21,2011.972,33.38
2011-12-22,2011.975,33.82
2011-12-23,2011.978,34.17
2011-12-27,2011.989,34.09
2011-12-28,2011.992,34.16
2011-12-29,2011.994,34.47
2011-12-30,2011.997,34.58
2012-01-03,2012.006,35.25
2012-01-04,2012.008,35.04
2012-01-05,2012.011,35.9
2012-01-06,2012.014,35.93
2012-01-09,2012.022,36.25
2012-01-10,2012.025,36.88
2012-01-11,2012.028,37.16
2012-01-12,2012.031,37.34
2012-01-13,2012.033,36.72
2012-01-17,2012.044,37.7
2012-01-18,2012.047,38.87
2012-01-19,2012.05,40.45
2012-01-20,2012.053,39.86
2012-01-23,2012.061,39.89
2012-01-24,2012.064,40
2012-01-25,2012.067,39.99
2012-01-26,2012.069,40
2012-01-27,2012.072,39.64
2012-01-30,2012.081,39.05
2012-01-31,2012.083,38.36
2012-02-01,2012.083,39.78
2012-02-02,2012.086,39.93
2012-02-03,2012.089,40.65
2012-02-06,2012.097,40.46
2012-02-07,2012.1,42.03
2012-02-08,2012.103,43.69
2012-02-09,2012.106,44.41
2012-02-10,2012.108,45.32
2012-02-13,2012.117,46.41
2012-02-14,2012.119,46.04
2012-02-15,2012.122,44.89
2012-02-16,2012.125,45.71
2012-02-17,2012.128,46.46
2012-02-21,2012.139,46.14
2012-02-22,2012.142,45.55
2012-02-23,2012.144,46.09
2012-02-24,2012.147,45.41
2012-02-27,2012.156,45.49
2012-02-28,2012.158,45.15
2012-02-29,2012.161,44.66
2012-03-01,2012.167,45.55
2012-03-02,2012.169,44.36
2012-03-05,2012.178,42.97
2012-03-06,2012.181,41.78
2012-03-07,2012.183,41.82
2012-03-08,2012.186,43.17
2012-03-09,2012.189,43.66
2012-03-12,2012.197,43.66
2012-03-13,2012.2,44.67
2012-03-14,2012.203,44.52
2012-03-15,2012.206,44.32
2012-03-16,2012.208,43.8
2012-03-19,2012.217,44.07
2012-03-20,2012.219,43.21
2012-03-21,2012.222,43.3
2012-03-22,2012.225,42.29
2012-03-23,2012.228,42.87
2012-03-26,2012.236,43.78
2012-03-27,2012.239,42.98
2012-03-28,2012.242,42.43
2012-03-29,2012.244,42.49
2012-03-30,2012.247,42.55
2012-04-02,2012.253,43.29
2012-04-03,2012.256,43.68
2012-04-04,2012.258,42.96
2012-04-05,2012.261,42.89
2012-04-09,2012.272,41.54
2012-04-10,2012.275,39.86
2012-04-11,2012.278,40.94
2012-04-12,2012.281,41.76
2012-04-13,2012.283,40.62
2012-04-16,2012.292,40.58
2012-04-17,2012.294,41.52
2012-04-18,2012.297,41.39
2012-04-19,2012.3,41.58
2012-04-20,2012.303,41.77
2012-04-23,2012.311,41.37
2012-04-24,2012.314,41.61
2012-04-25,2012.317,42.73
2012-04-26,2012.319,43.96
2012-04-27,2012.322,42.96
2012-04-30,2012.331,45.07
2012-05-01,2012.333,45.29
2012-05-02,2012.336,44.5
2012-05-03,2012.339,42.88
2012-05-04,2012.342,41.38
2012-05-07,2012.35,40.23
2012-05-08,2012.353,39.58
2012-05-09,2012.356,38.65
2012-05-10,2012.358,38.25
2012-05-11,2012.361,38.93
2012-05-14,2012.369,37.88
2012-05-15,2012.372,37.42
2012-05-16,2012.375,36.7
2012-05-17,2012.378,35.71
2012-05-18,2012.381,35.37
2012-05-21,2012.389,36.18
2012-05-22,2012.392,37.11
2012-05-23,2012.394,37.22
2012-05-24,2012.397,37.91
2012-05-25,2012.4,36.9
2012-05-29,2012.411,37.84
