Date,t,Close
2011-10-03,2011.756,169.63
2011-10-04,2011.758,180.2
2011-10-05,2011.761,184.88
2011-10-06,2011.764,191.39
2011-10-07,2011.767,186.3
2011-10-10,2011.775,194.81
2011-10-11,2011.778,197.71
2011-10-12,2011.781,202.05
2011-10-13,2011.783,200.15
2011-10-14,2011.786,203.72
2011-10-17,2011.794,195.52
2011-10-18,2011.797,197.77
2011-10-19,2011.8,195.07
2011-10-20,2011.803,195.49
2011-10-21,2011.806,202.52
2011-10-24,2011.814,208.87
2011-10-25,2011.817,204.78
2011-10-26,2011.819,208.07
2011-10-27,2011.822,219.79
2011-10-28,2011.825,218.53
2011-10-31,2011.833,209.24
2011-11-01,2011.833,200.8
2011-11-02,2011.836,210.44
2011-11-03,2011.839,218.8
2011-11-04,2011.842,208.44
2011-11-07,2011.85,206.47
2011-11-08,2011.853,209.44
2011-11-09,2011.856,197.92
2011-11-10,2011.858,197.99
2011-11-11,2011.861,204.05
2011-11-14,2011.869,199.32
2011-11-15,2011.872,205.22
2011-11-16,2011.875,206.2
2011-11-17,2011.878,201.37
2011-11-18,2011.881,200.15
2011-11-21,2011.889,197.46
2011-11-22,2011.892,198.11
2011-11-23,2011.894,191.57
2011-11-25,2011.9,190.32
2011-11-28,2011.908,199.65
2011-11-29,2011.911,198.3
2011-11-30,2011.914,208.51
2011-12-01,2011.917,207.55
2011-12-02,2011.919,207.5
2011-12-05,2011.928,211.54
2011-12-06,2011.931,210.32
2011-12-07,2011.933,209.06
2011-12-08,2011.936,202.07
2011-12-09,2011.939,206.15
2011-12-12,2011.947,201.76
2011-12-13,2011.95,197.4
2011-12-14,2011.953,192.22
2011-12-15,2011.956,193.01
2011-12-16,2011.958,194.14
2011-12-19,2011.967,189.47
2011-12-20,2011.969,197.33
2011-12-21,2011.972,197.08
2011-12-22,2011.975,201.59
2011-12-23,2011.978,202.81
2011-12-27,2011.989,203.08
2011-12-28,2011.992,198.78
2011-12-29,2011.994,201.33
2011-12-30,2011.997,200.72
2012-01-03,2012.006,205.27
2012-01-04,2012.008,205.63
2012-01-05,2012.011,205.68
2012-01-06,2012.014,204.71
2012-01-09,2012.022,203.36
2012-01-10,2012.025,208.55
2012-01-11,2012.028,207.49
2012-01-12,2012.031,213.53
2012-01-13,2012.033,211.42
2012-01-17,2012.044,213.53
2012-01-18,2012.047,215.49
2012-01-19,2012.05,219.42
2012-01-20,2012.053,217.51
2012-01-23,2012.061,215.85
2012-01-24,2012.064,215.29
2012-01-25,2012.067,220.74
2012-01-26,2012.069,219.71
2012-01-27,2012.072,220.54
2012-01-30,2012.081,218.36
2012-01-31,2012.083,217.92
2012-02-01,2012.083,224.3
2012-02-02,2012.086,224.47
2012-02-03,2012.089,229.74
2012-02-06,2012.097,228.25
2012-02-07,2012.1,226.13
2012-02-08,2012.103,226.21
2012-02-09,2012.106,229.63
2012-02-10,2012.108,226.32
2012-02-13,2012.117,228.2
2012-02-14,2012.119,229.57
2012-02-15,2012.122,224.13
2012-02-16,2012.125,227.16
2012-02-17,2012.128,228.24
2012-02-21,2012.139,229.67
2012-02-22,2012.142,224.84
2012-02-23,2012.144,235.66
2012-02-24,2012.147,233.48
2012-02-27,2012.156,232.23
2012-02-28,2012.158,231.1
2012-02-29,2012.161,226.27
2012-03-01,2012.167,230.95
2012-03-02,2012.169,230.07
2012-03-05,2012.178,229.24
2012-03-06,2012.181,219.92
2012-03-07,2012.183,221.62
2012-03-08,2012.186,225.24
2012-03-09,2012.189,227.94
2012-03-12,2012.197,226.13
2012-03-13,2012.2,232.33
2012-03-14,2012.203,230.89
2012-03-15,2012.206,232.96
2012-03-16,2012.208,233.72
2012-03-19,2012.217,231.61
2012-03-20,2012.219,226.66
2012-03-21,2012.222,226.55
2012-03-22,2012.225,223.4
2012-03-23,2012.228,226.11
2012-03-26,2012.236,231.96
2012-03-27,2012.239,230.45
2012-03-28,2012.242,224.74
2012-03-29,2012.244,223.65
2012-03-30,2012.247,222.84
2012-04-02,2012.253,225.78
2012-04-03,2012.256,225.66
