Date,t,Close
2011-10-03,2011.756,497.79
2011-10-04,2011.758,514.77
2011-10-05,2011.761,532.64
2011-10-06,2011.764,546.71
2011-10-07,2011.767,539.11
2011-10-10,2011.775,565.54
2011-10-11,2011.778,578.57
2011-10-12,2011.781,582.74
2011-10-13,2011.783,578.93
2011-10-14,2011.786,595
2011-10-17,2011.794,575.19
2011-10-18,2011.797,592.28
2011-10-19,2011.8,582.27
2011-10-20,2011.803,585.75
2011-10-21,2011.806,606.71
2011-10-24,2011.814,634.1
2011-10-25,2011.817,618.74
2011-10-26,2011.819,627.59
2011-10-27,2011.822,662.25
2011-10-28,2011.825,666.7
2011-10-31,2011.833,647.28
2011-11-01,2011.833,628.16
2011-11-02,2011.836,640.72
2011-11-03,2011.839,657.59
2011-11-04,2011.842,655.63
2011-11-07,2011.85,650.24
2011-11-08,2011.853,655.39
2011-11-09,2011.856,625.41
2011-11-10,2011.858,628.88
2011-11-11,2011.861,649.5
2011-11-14,2011.869,646.73
2011-11-15,2011.872,651.86
2011-11-16,2011.875,646.58
2011-11-17,2011.878,631.97
2011-11-18,2011.881,629.77
2011-11-21,2011.889,612.75
2011-11-22,2011.892,604.47
2011-11-23,2011.894,598.23
2011-11-25,2011.9,592.35
2011-11-28,2011.908,621.7
2011-11-29,2011.911,614.31
2011-11-30,2011.914,658.85
2011-12-01,2011.917,654.21
2011-12-02,2011.919,649.43
2011-12-05,2011.928,652.09
2011-12-06,2011.931,650.8
2011-12-07,2011.933,645.59
2011-12-08,2011.936,629.8
2011-12-09,2011.939,648.18
2011-12-12,2011.947,630.91
2011-12-13,2011.95,614.84
2011-12-14,2011.953,593.23
2011-12-15,2011.956,592.4
2011-12-16,2011.958,591.37
2011-12-19,2011.967,587.71
2011-12-20,2011.969,616.23
2011-12-21,2011.972,613.59
2011-12-22,2011.975,617.44
2011-12-23,2011.978,622.47
2011-12-27,2011.989,618.95
2011-12-28,2011.992,605.54
2011-12-29,2011.994,613.3
2011-12-30,2011.997,611.76
2012-01-03,2012.006,631.56
2012-01-04,2012.008,638.45
2012-01-05,2012.011,647.76
2012-01-06,2012.014,648.08
2012-01-09,2012.022,656.73
2012-01-10,2012.025,674.11
2012-01-11,2012.028,674.85
2012-01-12,2012.031,683.51
2012-01-13,2012.033,683.83
2012-01-17,2012.044,688.53
2012-01-18,2012.047,697.16
2012-01-19,2012.05,709.45
2012-01-20,2012.053,708.42
2012-01-23,2012.061,712.28
2012-01-24,2012.064,714.82
2012-01-25,2012.067,730.75
2012-01-26,2012.069,733.8
2012-01-27,2012.072,734.22
2012-01-30,2012.081,728.3
2012-01-31,2012.083,719.81
2012-02-01,2012.083,727.41
2012-02-02,2012.086,733.31
2012-02-03,2012.089,756.35
2012-02-06,2012.097,753.64
2012-02-07,2012.1,752.43
2012-02-08,2012.103,752.6
2012-02-09,2012.106,747.42
2012-02-10,2012.108,740.55
2012-02-13,2012.117,753.81
2012-02-14,2012.119,753.95
2012-02-15,2012.122,739.17
2012-02-16,2012.125,747.24
2012-02-17,2012.128,748.83
2012-02-21,2012.139,754.73
2012-02-22,2012.142,757.15
2012-02-23,2012.144,757.77
2012-02-24,2012.147,754.32
2012-02-27,2012.156,753.96
2012-02-28,2012.158,755.33
2012-02-29,2012.161,745.49
2012-03-01,2012.167,744.56
2012-03-02,2012.169,735.47
2012-03-05,2012.178,726.42
2012-03-06,2012.181,700.8
2012-03-07,2012.183,711.28
2012-03-08,2012.186,723.67
2012-03-09,2012.189,722.73
2012-03-12,2012.197,715.43
2012-03-13,2012.2,743.05
2012-03-14,2012.203,738.06
2012-03-15,2012.206,745.28
2012-03-16,2012.208,749.48
2012-03-19,2012.217,749.75
2012-03-20,2012.219,732.39
2012-03-21,2012.222,726.46
2012-03-22,2012.225,710.42
2012-03-23,2012.228,717.47
2012-03-26,2012.236,728.3
2012-03-27,2012.239,722.95
2012-03-28,2012.242,700.63
2012-03-29,2012.244,709.09
2012-03-30,2012.247,711.97
2012-04-02,2012.253,719.7
2012-04-03,2012.256,712.51
2012-04-04,2012.258,707.09
2012-04-05,2012.261,706.91
2012-04-09,2012.272,691.78
2012-04-10,2012.275,670.93
2012-04-11,2012.278,675.76
