Date,t,Close
2011-10-03,2011.756,52.78
2011-10-04,2011.758,55.25
2011-10-05,2011.761,57.25
2011-10-06,2011.764,58.58
2011-10-07,2011.767,56.5
2011-10-10,2011.775,60.33
2011-10-11,2011.778,62.53
2011-10-12,2011.781,63.4
2011-10-13,2011.783,63.29
2011-10-14,2011.786,64.73
2011-10-17,2011.794,60.74
2011-10-18,2011.797,62.19
2011-10-19,2011.8,60.86
2011-10-20,2011.803,60.98
2011-10-21,2011.806,62.21
2011-10-24,2011.814,64.64
2011-10-25,2011.817,62.13
2011-10-26,2011.819,63.58
2011-10-27,2011.822,69.78
2011-10-28,2011.825,66.92
2011-10-31,2011.833,63.05
2011-11-01,2011.833,60.9
2011-11-02,2011.836,62.25
2011-11-03,2011.839,62.85
2011-11-04,2011.842,61.66
2011-11-07,2011.85,61.08
2011-11-08,2011.853,63.17
2011-11-09,2011.856,58.54
2011-11-10,2011.858,60.03
2011-11-11,2011.861,61.48
2011-11-14,2011.869,61.58
2011-11-15,2011.872,64.95
2011-11-16,2011.875,63.58
2011-11-17,2011.878,62.87
2011-11-18,2011.881,64.85
2011-11-21,2011.889,63.36
2011-11-22,2011.892,62.29
2011-11-23,2011.894,60.43
2011-11-25,2011.9,59.28
2011-11-28,2011.908,60.19
2011-11-29,2011.911,61.44
2011-11-30,2011.914,65.37
2011-12-01,2011.917,65.05
2011-12-02,2011.919,65.81
2011-12-05,2011.928,66.38
2011-12-06,2011.931,68.31
2011-12-07,2011.933,68.96
2011-12-08,2011.936,65.49
2011-12-09,2011.939,67.61
2011-12-12,2011.947,77.98
2011-12-13,2011.95,77.98
2011-12-14,2011.953,76.51
2011-12-15,2011.956,77.94
2011-12-16,2011.958,78.15
2011-12-19,2011.967,76.84
2011-12-20,2011.969,77.18
2011-12-21,2011.972,78.35
2011-12-22,2011.975,79.03
2011-12-23,2011.978,79.74
2011-12-27,2011.989,79.78
2011-12-28,2011.992,77.84
2011-12-29,2011.994,78.87
2011-12-30,2011.997,79.29
2012-01-03,2012.006,79.96
2012-01-04,2012.008,79.19
2012-01-05,2012.011,79.84
2012-01-06,2012.014,79.17
2012-01-09,2012.022,79.6
2012-01-10,2012.025,80
2012-01-11,2012.028,81.41
2012-01-12,2012.031,81.61
2012-01-13,2012.033,81.93
2012-01-17,2012.044,82.44
2012-01-18,2012.047,83.16
2012-01-19,2012.05,83.91
2012-01-20,2012.053,86.09
2012-01-23,2012.061,84.92
2012-01-24,2012.064,85.08
2012-01-25,2012.067,87.19
2012-01-26,2012.069,87.15
2012-01-27,2012.072,87.56
2012-01-30,2012.081,88.24
2012-01-31,2012.083,88.38
2012-02-01,2012.083,88.69
2012-02-02,2012.086,88.56
2012-02-03,2012.089,90.26
2012-02-06,2012.097,91.08
2012-02-07,2012.1,92.15
2012-02-08,2012.103,92.39
2012-02-09,2012.106,95.52
2012-02-10,2012.108,94.59
2012-02-13,2012.117,94.93
2012-02-14,2012.119,94.99
2012-02-15,2012.122,95.29
2012-02-16,2012.125,95.78
2012-02-17,2012.128,96.08
2012-02-21,2012.139,94.33
2012-02-22,2012.142,92.96
2012-02-23,2012.144,93.5
2012-02-24,2012.147,93.04
2012-02-27,2012.156,92.63
2012-02-28,2012.158,91.41
2012-02-29,2012.161,89.79
2012-03-01,2012.167,88.95
2012-03-02,2012.169,87.92
2012-03-05,2012.178,88.28
2012-03-06,2012.181,87.54
2012-03-07,2012.183,88.3
2012-03-08,2012.186,90.5
2012-03-09,2012.189,92.68
2012-03-12,2012.197,91.24
2012-03-13,2012.2,93.12
2012-03-14,2012.203,91.81
2012-03-15,2012.206,92.68
2012-03-16,2012.208,92.13
2012-03-19,2012.217,92.31
2012-03-20,2012.219,91.3
2012-03-21,2012.222,90.92
2012-03-22,2012.225,89.03
2012-03-23,2012.228,88.99
2012-03-26,2012.236,89.25
2012-03-27,2012.239,88.91
2012-03-28,2012.242,86.15
2012-03-29,2012.244,85.46
2012-03-30,2012.247,86.11
2012-04-02,2012.253,87.03
2012-04-03,2012.256,86.65
2012-04-04,2012.258,85.64
2012-04-05,2012.261,85.64
2012-04-09,2012.272,84.68
2012-04-10,2012.275,83.1
2012-04-11,2012.278,84.07
2012-04-12,2012.281,84.86
2012-04-13,2012.283,83.89
2012-04-16,2012.292,83.69
2012-04-17,2012.294,85.3
2012-04-18,2012.297,83.32
2012-04-19,2012.3,82.66
2012-04-20,2012.303,82.98
2012-04-23,2012.311,82.32
2012-04-24,2012.314,82.84
2012-04-25,2012.317,84.17
2012-04-26,2012.319,84.49
2012-04-27,2012.322,85.36
2012-04-30,2012.331,86.27
2012-05-01,2012.333,86.67
2012-05-02,2012.336,86.13
2012-05-03,2012.339,86.05
2012-05-04,2012.342,83.37
2012-05-07,2012.35,83.57
2012-05-08,2012.353,82.38
2012-05-09,2012.356,80.62
2012-05-10,2012.358,80.58
2012-05-11,2012.361,80.64
2012-05-14,2012.369,78.65
2012-05-15,2012.372,77.32
2012-05-16,2012.375,71.05
2012-05-17,2012.378,68.31
2012-05-18,2012.381,69.7
2012-05-21,2012.389,73.25
2012-05-22,2012.392,70.93
2012-05-23,2012.394,69.66
2012-05-24,2012.397,70.59
2012-05-25,2012.4,72.06
2012-05-29,2012.411,72.73
2012-05-30,2012.414,70.57
2012-05-31,2012.417,69.82
2012-06-01,2012.417,66.44
2012-06-04,2012.425,65.63
2012-06-05,2012.428,66.34
2012-06-06,2012.431,67.16
2012-06-07,2012.433,68.07
2012-06-08,2012.436,68.98
2012-06-11,2012.444,67
2012-06-12,2012.447,68.41
2012-06-13,2012.45,66.44
2012-06-14,2012.453,67.41
2012-06-15,2012.456,69.22
2012-06-18,2012.464,69.88
2012-06-19,2012.467,70.35
2012-06-20,2012.469,69.46
2012-06-21,2012.472,69.16
2012-06-22,2012.475,71.09
2012-06-25,2012.483,69.9
2012-06-26,2012.486,71.46
2012-06-27,2012.489,75.2
2012-06-28,2012.492,75.99
2012-06-29,2012.494,80.02
2012-07-02,2012.503,80.38
2012-07-03,2012.506,82.06
2012-07-05,2012.511,82.88
2012-07-06,2012.514,82.86
2012-07-09,2012.522,83.18
2012-07-10,2012.525,81.61
2012-07-11,2012.528,82.82
2012-07-12,2012.531,83.99
2012-07-13,2012.533,86.91
2012-07-16,2012.542,87.13
2012-07-17,2012.544,88.34
2012-07-18,2012.547,88.75
2012-07-19,2012.55,88.91
2012-07-20,2012.553,88.83
2012-07-23,2012.561,88.58
2012-07-24,2012.564,86.11
2012-07-25,2012.567,85
2012-07-26,2012.569,76.23
2012-07-27,2012.572,80.18
2012-07-30,2012.581,78.17
2012-07-31,2012.583,78.07
2012-08-01,2012.583,75.51
2012-08-02,2012.586,74.36
2012-08-03,2012.589,77.4
2012-08-06,2012.597,77.9
2012-08-07,2012.6,79.68
2012-08-08,2012.603,78.91
2012-08-09,2012.606,80.38
2012-08-10,2012.608,80.16
2012-08-13,2012.617,79.44
2012-08-14,2012.619,78.85
2012-08-15,2012.622,78.87
2012-08-16,2012.625,80.24
2012-08-17,2012.628,81.41
2012-08-20,2012.636,81.41
2012-08-21,2012.639,80.77
2012-08-22,2012.642,81.25
2012-08-23,2012.644,79.78
2012-08-24,2012.647,82.76
2012-08-27,2012.656,81.13
2012-08-28,2012.658,81.31
2012-08-29,2012.661,80.58
2012-08-30,2012.664,77.58
2012-08-31,2012.667,78.43
2012-09-04,2012.675,75.97
2012-09-05,2012.678,76.45
2012-09-06,2012.681,77.56
2012-09-07,2012.683,81.31
2012-09-10,2012.692,83.51
2012-09-11,2012.694,84.57
2012-09-12,2012.697,93.62
2012-09-13,2012.7,94.63
2012-09-14,2012.703,99.08
2012-09-17,2012.711,93.14
2012-09-18,2012.714,93.12
2012-09-19,2012.717,95.86
2012-09-20,2012.719,96.28
2012-09-21,2012.722,97.71
2012-09-24,2012.731,97.27
2012-09-25,2012.733,92.92
2012-09-26,2012.736,92.21
2012-09-27,2012.739,96.58
2012-09-28,2012.742,95.31
2012-10-01,2012.75,94.89
2012-10-02,2012.753,96.3
2012-10-03,2012.756,95.01
2012-10-04,2012.758,96.64
2012-10-05,2012.761,97.15
2012-10-08,2012.769,95.86
2012-10-09,2012.772,91.85
2012-10-10,2012.775,92.57
2012-10-11,2012.778,94.13
2012-10-12,2012.781,92.98
2012-10-15,2012.789,93.84
2012-10-16,2012.792,96.28
2012-10-17,2012.794,99.51
2012-10-18,2012.797,98.34
2012-10-19,2012.8,93.8
2012-10-22,2012.808,94.59
2012-10-23,2012.811,93.06
2012-10-24,2012.814,93.42
2012-10-25,2012.817,94.49
2012-10-26,2012.819,93.68
2012-10-31,2012.833,92.63
2012-11-01,2012.833,95.66
2012-11-02,2012.836,93.4
2012-11-05,2012.844,93.9
2012-11-06,2012.847,97.69
2012-11-07,2012.85,92.84
2012-11-08,2012.853,92.72
2012-11-09,2012.856,93.38
2012-11-12,2012.864,94.77
2012-11-13,2012.867,95.52
2012-11-14,2012.869,94.99
2012-11-15,2012.872,93.6
2012-11-16,2012.875,93.8
2012-11-19,2012.883,97.23
2012-11-20,2012.886,97.19
2012-11-21,2012.889,97.77
2012-11-23,2012.894,99.22
2012-11-26,2012.903,99.75
2012-11-27,2012.906,98.32
2012-11-28,2012.908,100.13
2012-11-29,2012.911,103.4
2012-11-30,2012.914,106.48
2012-12-03,2012.922,105.41
2012-12-04,2012.925,106.32
2012-12-05,2012.928,103.01
2012-12-06,2012.931,104.83
2012-12-07,2012.933,104.79
2012-12-10,2012.942,104.97
2012-12-11,2012.944,105.29
2012-12-12,2012.947,103.38
2012-12-13,2012.95,104.14
2012-12-14,2012.953,103.98
2012-12-17,2012.961,106.22
2012-12-18,2012.964,107.18
2012-12-19,2012.967,107
2012-12-20,2012.969,107.3
2012-12-21,2012.972,105.31
2012-12-24,2012.981,106.74
2012-12-26,2012.986,106.42
2012-12-27,2012.989,104.18
2012-12-28,2012.992,103.17
2012-12-31,2013,104.89
2013-01-02,2013.003,108.57
2013-01-03,2013.006,107.81
2013-01-04,2013.008,108.51
2013-01-07,2013.017,108.27
2013-01-08,2013.019,108.33
2013-01-09,2013.022,108.31
2013-01-10,2013.025,109.22
2013-01-11,2013.028,109.98
2013-01-14,2013.036,108.55
2013-01-15,2013.039,109.56
2013-01-16,2013.042,109.06
2013-01-17,2013.044,111.11
2013-01-18,2013.047,114.24
2013-01-22,2013.058,118.03
2013-01-23,2013.061,115.85
2013-01-24,2013.064,115.87
2013-01-25,2013.067,115.26
2013-01-28,2013.075,114.52
2013-01-29,2013.078,118.37
2013-01-30,2013.081,114.52
2013-01-31,2013.083,113.97
2013-02-01,2013.083,114.62
2013-02-04,2013.092,113.41
2013-02-05,2013.094,113.57
2013-02-06,2013.097,113.29
2013-02-07,2013.1,111.66
2013-02-08,2013.103,113.01
2013-02-11,2013.111,112.14
2013-02-12,2013.114,113.09
2013-02-13,2013.117,112.56
2013-02-14,2013.119,110.57
2013-02-15,2013.122,110.89
2013-02-19,2013.133,110.45
2013-02-20,2013.136,105.43
2013-02-21,2013.139,104.77
2013-02-22,2013.142,104.71
2013-02-25,2013.15,99.71
2013-02-26,2013.153,101.92
2013-02-27,2013.156,102.97
2013-02-28,2013.158,102.63
2013-03-01,2013.167,104.77
2013-03-04,2013.175,104.99
2013-03-05,2013.178,108.19
2013-03-06,2013.181,107.81
2013-03-07,2013.183,108.78
2013-03-08,2013.186,110.27
2013-03-11,2013.194,110.11
2013-03-12,2013.197,109.38
2013-03-13,2013.2,109.72
2013-03-14,2013.203,110.45
2013-03-15,2013.206,109.94
2013-03-18,2013.214,109.02
2013-03-19,2013.217,106.88
2013-03-20,2013.219,108.29
2013-03-21,2013.222,105.29
2013-03-22,2013.225,103.64
2013-03-25,2013.233,103.78
2013-03-26,2013.236,103.78
2013-03-27,2013.239,102.95
2013-03-28,2013.242,104.18
2013-04-01,2013.25,101.24
2013-04-02,2013.253,98.58
2013-04-03,2013.256,97.15
2013-04-04,2013.258,97.67
2013-04-05,2013.261,98.4
2013-04-08,2013.269,98.6
2013-04-09,2013.272,100.05
2013-04-10,2013.275,100.51
2013-04-11,2013.278,102.33
2013-04-12,2013.281,98.5
2013-04-15,2013.289,91.87
2013-04-16,2013.292,98.12
2013-04-17,2013.294,96.18
2013-04-18,2013.297,92.76
2013-04-19,2013.3,92.8
2013-04-22,2013.308,94.05
2013-04-23,2013.311,94.67
2013-04-24,2013.314,96.24
2013-04-25,2013.317,95.56
2013-04-26,2013.319,93.74
2013-04-29,2013.328,98.22
2013-04-30,2013.331,100.51
2013-05-01,2013.333,97.49
2013-05-02,2013.336,102.73
2013-05-03,2013.339,107.77
2013-05-06,2013.347,108.25
2013-05-07,2013.35,109.76
2013-05-08,2013.353,110.59
2013-05-09,2013.356,110.05
2013-05-10,2013.358,109.96
2013-05-13,2013.367,108.98
2013-05-14,2013.369,110.29
2013-05-15,2013.372,110.69
2013-05-16,2013.375,109.8
2013-05-17,2013.378,110.95
2013-05-20,2013.386,110.99
2013-05-21,2013.389,110.77
2013-05-22,2013.392,108.59
2013-05-23,2013.394,107.83
2013-05-24,2013.397,108.31
2013-05-28,2013.408,110.25
2013-05-29,2013.411,109.32
2013-05-30,2013.414,110.15
2013-05-31,2013.417,107.97
2013-06-03,2013.422,107.22
2013-06-04,2013.425,104.97
2013-06-05,2013.428,102.73
2013-06-06,2013.431,104.2
2013-06-07,2013.433,105.17
2013-06-10,2013.442,107.73
2013-06-11,2013.444,106.34
2013-06-12,2013.447,106.98
2013-06-13,2013.45,109.8
2013-06-14,2013.453,108.19
2013-06-17,2013.461,109.86
2013-06-18,2013.464,109.12
2013-06-19,2013.467,107.75
2013-06-20,2013.469,103.88
2013-06-21,2013.472,101.16
2013-06-24,2013.481,96.77
2013-06-25,2013.483,97.97
2013-06-26,2013.486,98.9
2013-06-27,2013.489,101.26
2013-06-28,2013.492,97.55
2013-07-01,2013.5,98.32
2013-07-02,2013.503,96.3
2013-07-03,2013.506,95.64
2013-07-05,2013.511,94.59
2013-07-08,2013.519,94.53
2013-07-09,2013.522,98.52
2013-07-10,2013.525,99.41
2013-07-11,2013.528,102.19
2013-07-12,2013.531,102.13
2013-07-15,2013.539,101.28
2013-07-16,2013.542,99.22
2013-07-17,2013.544,100.72
2013-07-18,2013.547,101.2
2013-07-19,2013.55,101.72
2013-07-22,2013.558,101.22
2013-07-23,2013.561,100.09
2013-07-24,2013.564,98.6
2013-07-25,2013.567,96.89
2013-07-26,2013.569,98.66
2013-07-29,2013.578,96.58
2013-07-30,2013.581,95.27
2013-07-31,2013.583,95.07
2013-08-01,2013.583,100.11
2013-08-02,2013.586,99.2
2013-08-05,2013.594,99.61
2013-08-06,2013.597,96.14
2013-08-07,2013.6,95.11
2013-08-08,2013.603,97.13
2013-08-09,2013.606,97.49
2013-08-12,2013.614,97.15
2013-08-13,2013.617,97.33
2013-08-14,2013.619,97.61
2013-08-15,2013.622,95.34
2013-08-16,2013.625,96.42
2013-08-19,2013.633,96.2
2013-08-20,2013.636,100.01
2013-08-21,2013.639,98.68
2013-08-22,2013.642,100.17
2013-08-23,2013.644,97.19
2013-08-26,2013.653,96.79
2013-08-27,2013.656,96.28
2013-08-28,2013.658,96.44
2013-08-29,2013.661,96.02
2013-08-30,2013.664,96.32
2013-09-03,2013.672,97.71
2013-09-04,2013.675,98.36
2013-09-05,2013.678,99.14
2013-09-06,2013.681,99.02
2013-09-09,2013.689,101.22
2013-09-10,2013.692,103.78
2013-09-11,2013.694,105.61
2013-09-12,2013.697,104.18
2013-09-13,2013.7,105.93
2013-09-16,2013.708,105.49
2013-09-17,2013.711,104.62
2013-09-18,2013.714,107.57
2013-09-19,2013.717,106.66
2013-09-20,2013.719,104.77
2013-09-23,2013.728,102.99
2013-09-24,2013.731,103.88
2013-09-25,2013.733,105.15
2013-09-26,2013.736,104.95
2013-09-27,2013.739,103.38
2013-09-30,2013.747,104.4
2013-10-01,2013.75,106.18
2013-10-02,2013.753,108.17
2013-10-03,2013.756,106.12
2013-10-04,2013.758,106.42
2013-10-07,2013.767,105.81
2013-10-08,2013.769,103.5
