Date,t,Close
2011-08-22,2011.642,180.1
2011-08-23,2011.644,188.89
2011-08-24,2011.647,193.36
2011-08-25,2011.65,195.4
2011-08-26,2011.653,194.7
2011-08-29,2011.661,201.52
2011-08-30,2011.664,200.9
2011-08-31,2011.667,205.44
2011-09-01,2011.667,199
2011-09-02,2011.669,190.61
2011-09-06,2011.681,188.05
2011-09-07,2011.683,197.3
2011-09-08,2011.686,194.2
2011-09-09,2011.689,187.29
2011-09-12,2011.697,191.43
2011-09-13,2011.7,194.46
2011-09-14,2011.703,197.66
2011-09-15,2011.706,201.82
2011-09-16,2011.708,200.54
2011-09-19,2011.717,196.38
2011-09-20,2011.719,198.78
2011-09-21,2011.722,190.25
2011-09-22,2011.725,187.07
2011-09-23,2011.728,190.82
2011-09-26,2011.736,199.81
2011-09-27,2011.739,200.18
2011-09-28,2011.742,195.55
2011-09-29,2011.744,200.77
2011-09-30,2011.747,194.11
2011-10-03,2011.756,186.63
2011-10-04,2011.758,193.95
2011-10-05,2011.761,196.31
2011-10-06,2011.764,202.74
2011-10-07,2011.767,196.22
2011-10-10,2011.775,208.06
2011-10-11,2011.778,206.51
2011-10-12,2011.781,213.73
2011-10-13,2011.783,207.91
2011-10-14,2011.786,211.89
2011-10-17,2011.794,196.32
2011-10-18,2011.797,206.79
2011-10-19,2011.8,201.52
2011-10-20,2011.803,206.52
2011-10-21,2011.806,210.98
2011-10-24,2011.814,212.73
2011-10-25,2011.817,205.4
2011-10-26,2011.819,208.15
2011-10-27,2011.822,217.52
2011-10-28,2011.825,217.12
2011-10-31,2011.833,209.35
2011-11-01,2011.833,200.36
2011-11-02,2011.836,205.39
2011-11-03,2011.839,208.89
2011-11-04,2011.842,206.3
2011-11-07,2011.85,207.26
2011-11-08,2011.853,214.65
2011-11-09,2011.856,203.01
2011-11-10,2011.858,204.67
2011-11-11,2011.861,208.78
2011-11-14,2011.869,204.5
2011-11-15,2011.872,205.74
2011-11-16,2011.875,203.45
2011-11-17,2011.878,201.06
2011-11-18,2011.881,201.7
2011-11-21,2011.889,196.98
2011-11-22,2011.892,195.59
2011-11-23,2011.894,189.35
2011-11-25,2011.9,191.62
2011-11-28,2011.908,196.85
2011-11-29,2011.911,196.34
2011-11-30,2011.914,209.68
2011-12-01,2011.917,207.93
2011-12-02,2011.919,210.47
2011-12-05,2011.928,214.97
2011-12-06,2011.931,215.01
2011-12-07,2011.933,217.91
2011-12-08,2011.936,211.19
2011-12-09,2011.939,216.81
2011-12-12,2011.947,212.55
2011-12-13,2011.95,208.86
2011-12-14,2011.953,209.34
2011-12-15,2011.956,207.95
2011-12-16,2011.958,210.43
2011-12-19,2011.967,205.5
2011-12-20,2011.969,214.58
2011-12-21,2011.972,217.52
2011-12-22,2011.975,220.86
2011-12-23,2011.978,224.43
2011-12-27,2011.989,222.91
2011-12-28,2011.992,219.03
2011-12-29,2011.994,223.76
2011-12-30,2011.997,222.02
2012-01-03,2012.006,228.37
2012-01-04,2012.008,229.12
2012-01-05,2012.011,232.78
2012-01-06,2012.014,231.95
2012-01-09,2012.022,235.21
2012-01-10,2012.025,235.86
2012-01-11,2012.028,237.45
2012-01-12,2012.031,238.2
2012-01-13,2012.033,238.85
2012-01-17,2012.044,239.44
