Date,t,Close
2011-08-19,2011.633,139.89
2011-08-22,2011.642,141.34
2011-08-23,2011.644,147.16
2011-08-24,2011.647,150.52
2011-08-25,2011.65,146.78
2011-08-26,2011.653,150.06
2011-08-29,2011.661,155.73
2011-08-30,2011.664,155.19
2011-08-31,2011.667,154.01
2011-09-01,2011.667,152.86
2011-09-02,2011.669,146.9
2011-09-06,2011.681,146.51
2011-09-07,2011.683,152.7
2011-09-08,2011.686,149.51
2011-09-09,2011.689,145.66
2011-09-12,2011.697,149.48
2011-09-13,2011.7,149.43
2011-09-14,2011.703,153.33
2011-09-15,2011.706,159.09
2011-09-16,2011.708,161.1
2011-09-19,2011.717,160.02
2011-09-20,2011.719,158.4
2011-09-21,2011.722,152.39
2011-09-22,2011.725,147.98
2011-09-23,2011.728,151.51
2011-09-26,2011.736,159.45
2011-09-27,2011.739,159.09
2011-09-28,2011.742,158.69
2011-09-29,2011.744,160.42
2011-09-30,2011.747,157.71
2011-10-03,2011.756,153.85
2011-10-04,2011.758,161.72
2011-10-05,2011.761,160.81
2011-10-06,2011.764,162.5
2011-10-07,2011.767,164.03
2011-10-10,2011.775,169.54
2011-10-11,2011.778,167.41
2011-10-12,2011.781,169.67
2011-10-13,2011.783,168.05
2011-10-14,2011.786,171.87
2011-10-17,2011.794,170.28
2011-10-18,2011.797,177.26
2011-10-19,2011.8,175.7
2011-10-20,2011.803,176.53
2011-10-21,2011.806,179.98
2011-10-24,2011.814,183.85
2011-10-25,2011.817,179.15
2011-10-26,2011.819,178.56
2011-10-27,2011.822,186.03
2011-10-28,2011.825,181.94
2011-10-31,2011.833,179.26
2011-11-01,2011.833,178.1
2011-11-02,2011.836,181.18
2011-11-03,2011.839,185.36
2011-11-04,2011.842,184.97
2011-11-07,2011.85,186.22
2011-11-08,2011.853,186.41
2011-11-09,2011.856,178.97
2011-11-10,2011.858,181.3
2011-11-11,2011.861,184.02
2011-11-14,2011.869,180.99
2011-11-15,2011.872,181.02
2011-11-16,2011.875,179.32
2011-11-17,2011.878,176.57
2011-11-18,2011.881,176.67
2011-11-21,2011.889,175.96
2011-11-22,2011.892,173.37
2011-11-23,2011.894,168.29
2011-11-25,2011.9,167.14
2011-11-28,2011.908,170.91
2011-11-29,2011.911,171.38
2011-11-30,2011.914,176.86
2011-12-01,2011.917,173.49
2011-12-02,2011.919,174.98
2011-12-05,2011.928,177.39
2011-12-06,2011.931,176.49
2011-12-07,2011.933,176.12
2011-12-08,2011.936,174.86
2011-12-09,2011.939,176.65
2011-12-12,2011.947,176.36
2011-12-13,2011.95,170.07
2011-12-14,2011.953,169.14
2011-12-15,2011.956,170.02
2011-12-16,2011.958,168.2
2011-12-19,2011.967,166.17
2011-12-20,2011.969,171.69
2011-12-21,2011.972,173.39
2011-12-22,2011.975,173.19
2011-12-23,2011.978,175.27
2011-12-27,2011.989,173.19
2011-12-28,2011.992,174.04
2011-12-29,2011.994,173.56
2011-12-30,2011.997,171.85
2012-01-03,2012.006,171.19
2012-01-04,2012.008,170.49
2012-01-05,2012.011,171.54
2012-01-06,2012.014,172.53
2012-01-09,2012.022,171.6
2012-01-10,2012.025,172.18
2012-01-11,2012.028,172.33
2012-01-12,2012.031,173.08
2012-01-13,2012.033,171.88
2012-01-17,2012.044,173.12
2012-01-18,2012.047,176.67
2012-01-19,2012.05,180
2012-01-20,2012.053,178.45
2012-01-23,2012.061,177.29
2012-01-24,2012.064,177.77
2012-01-25,2012.067,174.67
2012-01-26,2012.069,175.26
2012-01-27,2012.072,176.95
2012-01-30,2012.081,178.11
2012-01-31,2012.083,176.3
2012-02-01,2012.083,176.3
2012-02-02,2012.086,179.6
2012-02-03,2012.089,184.68
2012-02-06,2012.097,183.48
2012-02-07,2012.1,186.66
2012-02-08,2012.103,187.37
2012-02-09,2012.106,188.86
2012-02-10,2012.108,186.46
2012-02-13,2012.117,186.66
2012-02-14,2012.119,187.43
2012-02-15,2012.122,187.12
2012-02-16,2012.125,189.91
2012-02-17,2012.128,191.09
2012-02-21,2012.139,191.61
2012-02-22,2012.142,194.04
2012-02-23,2012.144,191.7
2012-02-24,2012.147,193.07
2012-02-27,2012.156,193.64
2012-02-28,2012.158,194.84
2012-02-29,2012.161,194.2
2012-03-01,2012.167,194.56
2012-03-02,2012.169,194.01
2012-03-05,2012.178,193.14
2012-03-06,2012.181,190.49
2012-03-07,2012.183,193.43
2012-03-08,2012.186,196.65
2012-03-09,2012.189,198.76
2012-03-12,2012.197,198.12
2012-03-13,2012.2,200.13
2012-03-14,2012.203,199.92
2012-03-15,2012.206,200.63
2012-03-16,2012.208,199.03
2012-03-19,2012.217,196.24
2012-03-20,2012.219,196.92
2012-03-21,2012.222,198.25
2012-03-22,2012.225,195.96
2012-03-23,2012.228,194.73
2012-03-26,2012.236,196.59
2012-03-27,2012.239,198.05
2012-03-28,2012.242,195.67
2012-03-29,2012.244,196.2
2012-03-30,2012.247,196.06
2012-04-02,2012.253,199.11
2012-04-03,2012.256,200.01
2012-04-04,2012.258,199.77
2012-04-05,2012.261,197.76
2012-04-09,2012.272,194.73
2012-04-10,2012.275,188.73
2012-04-11,2012.278,191.97
2012-04-12,2012.281,194.76
2012-04-13,2012.283,193.27
2012-04-16,2012.292,194.87
2012-04-17,2012.294,196.23
2012-04-18,2012.297,195.21
2012-04-19,2012.3,193.87
2012-04-20,2012.303,191.62
2012-04-23,2012.311,189.53
2012-04-24,2012.314,188.89
2012-04-25,2012.317,193.61
2012-04-26,2012.319,196.15
2012-04-27,2012.322,198.54
2012-04-30,2012.331,196.9
2012-05-01,2012.333,198.99
2012-05-02,2012.336,199.74
2012-05-03,2012.339,199.81
2012-05-04,2012.342,195.76
2012-05-07,2012.35,193.94
2012-05-08,2012.353,192.16
2012-05-09,2012.356,189.82
2012-05-10,2012.358,186.83
2012-05-11,2012.361,185.09
2012-05-14,2012.369,180.45
2012-05-15,2012.372,180.83
2012-05-16,2012.375,176.46
2012-05-17,2012.378,171.41
2012-05-18,2012.381,172.34
2012-05-21,2012.389,176.13
2012-05-22,2012.392,177.49
2012-05-23,2012.394,179.73
2012-05-24,2012.397,182.79
2012-05-25,2012.4,183.54
2012-05-29,2012.411,186.18
2012-05-30,2012.414,180.97
2012-05-31,2012.417,174.3
2012-06-01,2012.417,170.15
2012-06-04,2012.425,168.65
2012-06-05,2012.428,168.02
2012-06-06,2012.431,170.98
2012-06-07,2012.433,168.89
2012-06-08,2012.436,172.78
2012-06-11,2012.444,168.13
2012-06-12,2012.447,170.74
2012-06-13,2012.45,164.68
2012-06-14,2012.453,167.55
2012-06-15,2012.456,170.03
2012-06-18,2012.464,169.82
2012-06-19,2012.467,172.1
2012-06-20,2012.469,172.72
2012-06-21,2012.472,165.8
2012-06-22,2012.475,163.36
2012-06-25,2012.483,161.87
2012-06-26,2012.486,163.91
2012-06-27,2012.489,161.89
