Date,t,Close
2011-08-08,2011.603,158.19
2011-08-09,2011.606,166.62
2011-08-10,2011.608,159.14
2011-08-11,2011.611,166.89
2011-08-12,2011.614,169.67
2011-08-15,2011.622,171.94
2011-08-16,2011.625,170.85
2011-08-17,2011.628,172.34
2011-08-18,2011.631,167.06
2011-08-19,2011.633,165.17
2011-08-22,2011.642,169.77
2011-08-23,2011.644,176.4
2011-08-24,2011.647,177.18
2011-08-25,2011.65,174.71
2011-08-26,2011.653,178.71
2011-08-29,2011.661,183.85
2011-08-30,2011.664,184.7
2011-08-31,2011.667,186.26
2011-09-01,2011.667,187.54
2011-09-02,2011.669,180.87
2011-09-06,2011.681,178.71
2011-09-07,2011.683,182.67
2011-09-08,2011.686,181.08
2011-09-09,2011.689,176.4
2011-09-12,2011.697,177.42
2011-09-13,2011.7,180.7
2011-09-14,2011.703,182.63
2011-09-15,2011.706,184.12
2011-09-16,2011.708,178.98
2011-09-19,2011.717,178.84
2011-09-20,2011.719,176.64
2011-09-21,2011.722,169.77
2011-09-22,2011.725,164.86
2011-09-23,2011.728,167.26
2011-09-26,2011.736,172.04
2011-09-27,2011.739,175.08
2011-09-28,2011.742,173.02
2011-09-29,2011.744,177.35
2011-09-30,2011.747,171.97
2011-10-03,2011.756,166.96
2011-10-04,2011.758,171.39
2011-10-05,2011.761,174.1
2011-10-06,2011.764,177.69
2011-10-07,2011.767,176.03
2011-10-10,2011.775,183.78
2011-10-11,2011.778,184.77
2011-10-12,2011.781,185.61
2011-10-13,2011.783,184.02
2011-10-14,2011.786,187.47
2011-10-17,2011.794,183.51
2011-10-18,2011.797,190.66
2011-10-19,2011.8,188.83
2011-10-20,2011.803,188.32
2011-10-21,2011.806,194.72
2011-10-24,2011.814,197.02
2011-10-25,2011.817,192.42
2011-10-26,2011.819,192.62
2011-10-27,2011.822,198.82
2011-10-28,2011.825,197.73
2011-10-31,2011.833,194.41
2011-11-01,2011.833,189.54
2011-11-02,2011.836,194.45
2011-11-03,2011.839,199.42
2011-11-04,2011.842,197.63
2011-11-07,2011.85,196.75
2011-11-08,2011.853,198.61
2011-11-09,2011.856,192.48
2011-11-10,2011.858,195.84
2011-11-11,2011.861,198.98
2011-11-14,2011.869,196.95
2011-11-15,2011.872,197.87
2011-11-16,2011.875,195.06
2011-11-17,2011.878,193.2
2011-11-18,2011.881,191.6
2011-11-21,2011.889,186.53
2011-11-22,2011.892,187.88
2011-11-23,2011.894,183.85
2011-11-25,2011.9,183.41
2011-11-28,2011.908,188.08
2011-11-29,2011.911,188.9
2011-11-30,2011.914,198.04
2011-12-01,2011.917,199.9
2011-12-02,2011.919,201.49
2011-12-05,2011.928,204.91
2011-12-06,2011.931,203.55
2011-12-07,2011.933,200.91
2011-12-08,2011.936,197.19
2011-12-09,2011.939,199.12
2011-12-12,2011.947,198.88
2011-12-13,2011.95,196.31
2011-12-14,2011.953,193.57
2011-12-15,2011.956,194.85
2011-12-16,2011.958,197.02
2011-12-19,2011.967,195.33
2011-12-20,2011.969,200.51
2011-12-21,2011.972,203.01
2011-12-22,2011.975,204.81
2011-12-23,2011.978,208.43
2011-12-27,2011.989,209.58
2011-12-28,2011.992,207.99
2011-12-29,2011.994,209.75
2011-12-30,2011.997,207.18
2012-01-03,2012.006,208.9
2012-01-04,2012.008,208.97
2012-01-05,2012.011,209.88
2012-01-06,2012.014,209.14
2012-01-09,2012.022,210.05
2012-01-10,2012.025,212.63
2012-01-11,2012.028,212.83
2012-01-12,2012.031,213.1
2012-01-13,2012.033,212.25
2012-01-17,2012.044,212.93
2012-01-18,2012.047,216.72
2012-01-19,2012.05,219.63
2012-01-20,2012.053,217.16
2012-01-23,2012.061,217.57
2012-01-24,2012.064,218.69
2012-01-25,2012.067,218.31
2012-01-26,2012.069,218.89
2012-01-27,2012.072,217.91
2012-01-30,2012.081,217.54
