Date,t,Close
2011-10-03,2011.756,145.11
2011-10-04,2011.758,151.83
2011-10-05,2011.761,157.83
2011-10-06,2011.764,161.24
2011-10-07,2011.767,159.91
2011-10-10,2011.775,166.6
2011-10-11,2011.778,167.43
2011-10-12,2011.781,170.89
2011-10-13,2011.783,169.1
2011-10-14,2011.786,174.5
2011-10-17,2011.794,168.84
2011-10-18,2011.797,174.71
2011-10-19,2011.8,168.98
2011-10-20,2011.803,169.75
2011-10-21,2011.806,174.47
2011-10-24,2011.814,178.25
2011-10-25,2011.817,172.1
2011-10-26,2011.819,175.96
2011-10-27,2011.822,187.35
2011-10-28,2011.825,189.21
2011-10-31,2011.833,182.26
2011-11-01,2011.833,178.37
2011-11-02,2011.836,182.38
2011-11-03,2011.839,186.6
2011-11-04,2011.842,185.24
2011-11-07,2011.85,185.94
2011-11-08,2011.853,188.67
2011-11-09,2011.856,179.79
2011-11-10,2011.858,180.83
2011-11-11,2011.861,185.03
2011-11-14,2011.869,183.48
2011-11-15,2011.872,183.31
2011-11-16,2011.875,178.73
2011-11-17,2011.878,174.03
2011-11-18,2011.881,174.46
2011-11-21,2011.889,170.58
2011-11-22,2011.892,169.92
2011-11-23,2011.894,165.64
2011-11-25,2011.9,164.95
2011-11-28,2011.908,170.78
2011-11-29,2011.911,171.47
2011-11-30,2011.914,182.42
2011-12-01,2011.917,180.83
2011-12-02,2011.919,180.06
2011-12-05,2011.928,182.6
2011-12-06,2011.931,182.86
2011-12-07,2011.933,182.48
2011-12-08,2011.936,176.51
2011-12-09,2011.939,175.46
2011-12-12,2011.947,171.04
2011-12-13,2011.95,168.5
2011-12-14,2011.953,166.78
2011-12-15,2011.956,168.69
2011-12-16,2011.958,170.81
2011-12-19,2011.967,167.4
2011-12-20,2011.969,174.51
2011-12-21,2011.972,175.75
2011-12-22,2011.975,178.31
2011-12-23,2011.978,181.45
2011-12-27,2011.989,181.71
2011-12-28,2011.992,178.19
2011-12-29,2011.994,180.66
2011-12-30,2011.997,180.37
2012-01-03,2012.006,184.69
2012-01-04,2012.008,185.87
2012-01-05,2012.011,185.48
2012-01-06,2012.014,185.26
2012-01-09,2012.022,185.8
2012-01-10,2012.025,189.48
2012-01-11,2012.028,191.23
2012-01-12,2012.031,195.81
2012-01-13,2012.033,194.77
2012-01-17,2012.044,196.47
2012-01-18,2012.047,199.89
2012-01-19,2012.05,199.05
2012-01-20,2012.053,200.12
2012-01-23,2012.061,199.27
2012-01-24,2012.064,200.06
2012-01-25,2012.067,203.32
2012-01-26,2012.069,202.93
2012-01-27,2012.072,203.73
2012-01-30,2012.081,203.64
2012-01-31,2012.083,204.2
2012-02-01,2012.083,207.17
2012-02-02,2012.086,205.71
2012-02-03,2012.089,209.05
2012-02-06,2012.097,208.15
2012-02-07,2012.1,207.6
2012-02-08,2012.103,208.28
2012-02-09,2012.106,209.8
2012-02-10,2012.108,206.61
2012-02-13,2012.117,206.67
2012-02-14,2012.119,203.53
2012-02-15,2012.122,203.23
2012-02-16,2012.125,207.42
2012-02-17,2012.128,210.59
2012-02-21,2012.139,210.19
2012-02-22,2012.142,207.44
2012-02-23,2012.144,208.23
2012-02-24,2012.147,207.2
2012-02-27,2012.156,208.85
2012-02-28,2012.158,209.8
