Date,t,Close
2013-06-24,2013.481,331.61
2013-06-25,2013.483,337.05
2013-06-26,2013.486,331.98
2013-06-27,2013.489,337.55
2013-06-28,2013.492,341.38
2013-07-01,2013.5,349.54
2013-07-02,2013.503,342.99
2013-07-03,2013.506,342.25
2013-07-05,2013.511,338.04
2013-07-08,2013.519,339.53
2013-07-09,2013.522,341.75
2013-07-10,2013.525,341.26
2013-07-11,2013.528,352.76
2013-07-12,2013.531,346.82
2013-07-15,2013.539,347.81
2013-07-16,2013.542,349.42
2013-07-17,2013.544,347.56
2013-07-18,2013.547,348.3
2013-07-19,2013.55,353.13
2013-07-22,2013.558,360.42
2013-07-23,2013.561,370.81
2013-07-24,2013.564,357.08
2013-07-25,2013.567,356.59
2013-07-26,2013.569,357.7
2013-07-29,2013.578,353.13
2013-07-30,2013.581,348.8
2013-07-31,2013.583,349.67
2013-08-01,2013.583,359.8
2013-08-02,2013.586,361.04
2013-08-05,2013.594,358.81
2013-08-06,2013.597,360.55
2013-08-07,2013.6,363.88
2013-08-08,2013.603,380.82
2013-08-09,2013.606,390.84
2013-08-12,2013.614,393.81
2013-08-13,2013.617,385.27
2013-08-14,2013.619,390.59
2013-08-15,2013.622,394.67
2013-08-16,2013.625,389.97
2013-08-19,2013.633,382.43
2013-08-20,2013.636,383.05
2013-08-21,2013.639,375.38
2013-08-22,2013.642,387.62
2013-08-23,2013.644,393.06
2013-08-26,2013.653,389.6
2013-08-27,2013.656,378.35
2013-08-28,2013.658,376.87
2013-08-29,2013.661,376.12
2013-08-30,2013.664,373.65
2013-09-03,2013.672,384.78
2013-09-04,2013.675,384.53
2013-09-05,2013.678,380.33
2013-09-06,2013.681,385.52
2013-09-09,2013.689,393.68
2013-09-10,2013.692,394.8
2013-09-11,2013.694,405.92
2013-09-12,2013.697,409.88
2013-09-13,2013.7,408.52
2013-09-16,2013.708,411.12
2013-09-17,2013.711,414.58
2013-09-18,2013.714,427.19
2013-09-19,2013.717,427.81
2013-09-20,2013.719,418.78
2013-09-23,2013.728,417.42
2013-09-24,2013.731,417.17
2013-09-25,2013.733,418.29
2013-09-26,2013.736,418.78
2013-09-27,2013.739,413.22
2013-09-30,2013.747,409.01
2013-10-01,2013.75,407.04
2013-10-02,2013.753,414.33
2013-10-03,2013.756,408.15
2013-10-04,2013.758,417.67
2013-10-07,2013.767,413.59
2013-10-08,2013.769,406.79
2013-10-09,2013.772,406.54
2013-10-10,2013.775,410.87
2013-10-11,2013.778,413.47
2013-10-14,2013.786,418.78
2013-10-15,2013.789,420.88
2013-10-16,2013.792,422
2013-10-17,2013.794,429.17
2013-10-18,2013.797,431.39
2013-10-21,2013.806,433.25
2013-10-22,2013.808,449.57
2013-10-23,2013.811,452.91
2013-10-24,2013.814,462.55
2013-10-25,2013.817,462.92
2013-10-28,2013.825,460.82
2013-10-29,2013.828,465.89
2013-10-30,2013.831,460.94
2013-10-31,2013.833,454.52
2013-11-01,2013.833,454.76
2013-11-04,2013.842,462.43
2013-11-05,2013.844,459.83
2013-11-06,2013.847,458.47
2013-11-07,2013.85,444.25
2013-11-08,2013.853,452.29
2013-11-11,2013.861,450.81
2013-11-12,2013.864,443.88
2013-11-13,2013.867,449.2
2013-11-14,2013.869,449.32
2013-11-15,2013.872,455.38
2013-11-18,2013.881,451.18
2013-11-19,2013.883,450.06
2013-11-20,2013.886,447.34
2013-11-21,2013.889,447.22
2013-11-22,2013.892,446.35
2013-11-25,2013.9,442.52
2013-11-26,2013.903,436.71
2013-11-27,2013.906,428.8
2013-11-29,2013.911,428.92
2013-12-02,2013.919,423.6
2013-12-03,2013.922,423.11
2013-12-04,2013.925,427.07
2013-12-05,2013.928,423.85
2013-12-06,2013.931,423.48
2013-12-09,2013.939,428.18
2013-12-10,2013.942,431.39
2013-12-11,2013.944,425.95
2013-12-12,2013.947,423.98
2013-12-13,2013.95,424.59
2013-12-16,2013.958,427.81
2013-12-17,2013.961,431.52
2013-12-18,2013.964,434.98
2013-12-19,2013.967,435.1
2013-12-20,2013.969,441.29
2013-12-23,2013.978,441.78
2013-12-24,2013.981,448.83
2013-12-26,2013.986,456.99
2013-12-27,2013.989,463.66
2013-12-30,2013.997,465.77
2013-12-31,2014,466.63
2014-01-02,2014.003,465.27
2014-01-03,2014.006,461.44
2014-01-06,2014.014,457.73
2014-01-07,2014.017,453.28
2014-01-08,2014.019,447.59
2014-01-09,2014.022,441.53
2014-01-10,2014.025,447.22
2014-01-13,2014.033,440.54
2014-01-14,2014.036,446.6
2014-01-15,2014.039,452.66
2014-01-16,2014.042,456.37
2014-01-17,2014.044,447.47
2014-01-21,2014.056,435.97
2014-01-22,2014.058,426.82
2014-01-23,2014.061,416.43
2014-01-24,2014.064,405.18
2014-01-27,2014.072,400.48
2014-01-28,2014.075,402.58
2014-01-29,2014.078,399.86
2014-01-30,2014.081,400.73
2014-01-31,2014.083,400.73
2014-02-03,2014.089,384.29
2014-02-04,2014.092,382.55
2014-02-05,2014.094,384.41
2014-02-06,2014.097,389.97
2014-02-07,2014.1,399.99
2014-02-10,2014.108,398.5
2014-02-11,2014.111,410.37
2014-02-12,2014.114,405.3
2014-02-13,2014.117,410
2014-02-14,2014.119,417.3
2014-02-18,2014.131,417.17
2014-02-19,2014.133,410.13
2014-02-20,2014.136,417.3
2014-02-21,2014.139,412.48
2014-02-24,2014.147,410.62
2014-02-25,2014.15,405.18
2014-02-26,2014.153,413.09
2014-02-27,2014.156,413.84
2014-02-28,2014.158,403.33
2014-03-03,2014.172,405.92
2014-03-04,2014.175,414.58
2014-03-05,2014.178,419.28
2014-03-06,2014.181,418.29
2014-03-07,2014.183,398.01
2014-03-10,2014.192,387.99
2014-03-11,2014.194,379.71
2014-03-12,2014.197,380.45
2014-03-13,2014.2,378.84
2014-03-14,2014.203,384.04
2014-03-17,2014.211,389.48
2014-03-18,2014.214,391.09
2014-03-19,2014.217,384.16
2014-03-20,2014.219,382.06
2014-03-21,2014.222,399.49
2014-03-24,2014.231,390.96
2014-03-25,2014.233,396.65
2014-03-26,2014.236,391.83
2014-03-27,2014.239,400.73
2014-03-28,2014.242,406.29
2014-03-31,2014.25,408.89
2014-04-01,2014.25,407.04
2014-04-02,2014.253,411.98
2014-04-03,2014.256,413.09
2014-04-04,2014.258,411.98
2014-04-07,2014.267,409.01
2014-04-08,2014.269,415.69
2014-04-09,2014.272,420.14
2014-04-10,2014.275,410.37
2014-04-11,2014.278,402.58
2014-04-14,2014.286,411.73
2014-04-15,2014.289,408.15
2014-04-16,2014.292,408.15
2014-04-17,2014.294,408.15
2014-04-21,2014.306,407.78
2014-04-22,2014.308,411.73
2014-04-23,2014.311,414.21
2014-04-24,2014.314,419.52
2014-04-25,2014.317,420.51
2014-04-28,2014.325,419.03
2014-04-29,2014.328,425.83
2014-04-30,2014.331,424.96
2014-05-01,2014.333,422.49
2014-05-02,2014.336,428.8
2014-05-05,2014.344,421.25
2014-05-06,2014.347,418.41
2014-05-07,2014.35,420.27
2014-05-08,2014.353,418.41
2014-05-09,2014.356,419.28
2014-05-12,2014.364,431.39
2014-05-13,2014.367,439.68
2014-05-14,2014.369,438.94
2014-05-15,2014.372,435.35
2014-05-16,2014.375,432.63
