Date,t,Close
2011-08-19,2011.633,191.5
2011-08-22,2011.642,193.3
2011-08-23,2011.644,201.68
2011-08-24,2011.647,204.5
2011-08-25,2011.65,200.55
2011-08-26,2011.653,203.54
2011-08-29,2011.661,206.26
2011-08-30,2011.664,208.19
2011-08-31,2011.667,208.5
2011-09-01,2011.667,207.6
2011-09-02,2011.669,201.79
2011-09-06,2011.681,200.6
2011-09-07,2011.683,207.77
2011-09-08,2011.686,205.84
2011-09-09,2011.689,200.14
2011-09-12,2011.697,202.05
2011-09-13,2011.7,203.89
2011-09-14,2011.703,207.7
2011-09-15,2011.706,211.79
2011-09-16,2011.708,212.33
2011-09-19,2011.717,211.17
2011-09-20,2011.719,213.93
2011-09-21,2011.722,208.13
2011-09-22,2011.725,201.23
2011-09-23,2011.728,203.2
2011-09-26,2011.736,204.72
2011-09-27,2011.739,205.98
2011-09-28,2011.742,202.43
2011-09-29,2011.744,202.85
2011-09-30,2011.747,197.8
2011-10-03,2011.756,194.11
2011-10-04,2011.758,196.06
2011-10-05,2011.761,198.24
2011-10-06,2011.764,201.89
2011-10-07,2011.767,200.64
2011-10-10,2011.775,207.43
2011-10-11,2011.778,209.31
2011-10-12,2011.781,211.19
2011-10-13,2011.783,212.93
2011-10-14,2011.786,216.22
2011-10-17,2011.794,211.82
2011-10-18,2011.797,216.25
2011-10-19,2011.8,209.28
2011-10-20,2011.803,210.81
2011-10-21,2011.806,215.45
2011-10-24,2011.814,218.55
2011-10-25,2011.817,212.13
2011-10-26,2011.819,213.36
2011-10-27,2011.822,222.2
2011-10-28,2011.825,222.89
2011-10-31,2011.833,218.67
2011-11-01,2011.833,211.15
2011-11-02,2011.836,216.39
2011-11-03,2011.839,221.64
2011-11-04,2011.842,219.45
2011-11-07,2011.85,220.91
2011-11-08,2011.853,223.86
2011-11-09,2011.856,216.66
2011-11-10,2011.858,216.73
2011-11-11,2011.861,222.09
2011-11-14,2011.869,219.21
2011-11-15,2011.872,222.26
2011-11-16,2011.875,216.58
2011-11-17,2011.878,213.13
2011-11-18,2011.881,212.81
2011-11-21,2011.889,210.91
2011-11-22,2011.892,210.33
2011-11-23,2011.894,206.34
2011-11-25,2011.9,206.12
2011-11-28,2011.908,213.37
2011-11-29,2011.911,212.53
2011-11-30,2011.914,222.12
2011-12-01,2011.917,224.17
2011-12-02,2011.919,223.51
2011-12-05,2011.928,223.32
2011-12-06,2011.931,222.51
2011-12-07,2011.933,224.41
2011-12-08,2011.936,221.48
2011-12-09,2011.939,225.93
2011-12-12,2011.947,223.07
2011-12-13,2011.95,221.4
2011-12-14,2011.953,219.96
2011-12-15,2011.956,219.39
2011-12-16,2011.958,222.11
2011-12-19,2011.967,221.42
2011-12-20,2011.969,229.41
2011-12-21,2011.972,228.38
2011-12-22,2011.975,228.4
2011-12-23,2011.978,231.67
2011-12-27,2011.989,230.37
2011-12-28,2011.992,228.33
2011-12-29,2011.994,231.71
2011-12-30,2011.997,229.22
2012-01-03,2012.006,230.59
2012-01-04,2012.008,226.89
2012-01-05,2012.011,227.57
2012-01-06,2012.014,224.88
2012-01-09,2012.022,225.05
2012-01-10,2012.025,226.13
2012-01-11,2012.028,224.84
2012-01-12,2012.031,227.48
2012-01-13,2012.033,225.95
2012-01-17,2012.044,228.87
2012-01-18,2012.047,232.31
2012-01-19,2012.05,232.59
2012-01-20,2012.053,229.31
2012-01-23,2012.061,228.24
2012-01-24,2012.064,230.18
2012-01-25,2012.067,231.72
2012-01-26,2012.069,230.65
2012-01-27,2012.072,230.43
2012-01-30,2012.081,229.23
2012-01-31,2012.083,230.29
2012-02-01,2012.083,232.85
2012-02-02,2012.086,238.75
2012-02-03,2012.089,242.93
2012-02-06,2012.097,242.45
2012-02-07,2012.1,241.99
2012-02-08,2012.103,242.36
2012-02-09,2012.106,245.9
2012-02-10,2012.108,245.89
2012-02-13,2012.117,245.58
2012-02-14,2012.119,248.13
2012-02-15,2012.122,247.3
2012-02-16,2012.125,246.89
2012-02-17,2012.128,248.36
2012-02-21,2012.139,247.53
2012-02-22,2012.142,250.38
2012-02-23,2012.144,250.63
2012-02-24,2012.147,253.12
2012-02-27,2012.156,253.71
2012-02-28,2012.158,255.93
2012-02-29,2012.161,252.89
2012-03-01,2012.167,254.2
2012-03-02,2012.169,251.32
2012-03-05,2012.178,252.32
2012-03-06,2012.181,248.73
2012-03-07,2012.183,250.65
2012-03-08,2012.186,254.03
2012-03-09,2012.189,254.46
2012-03-12,2012.197,254.14
2012-03-13,2012.2,256.11
2012-03-14,2012.203,255.51
2012-03-15,2012.206,255.99
2012-03-16,2012.208,255.65
2012-03-19,2012.217,257.95
2012-03-20,2012.219,254.72
2012-03-21,2012.222,254.78
2012-03-22,2012.225,254.94
2012-03-23,2012.228,257.3
2012-03-26,2012.236,261.44
2012-03-27,2012.239,260.24
2012-03-28,2012.242,258.72
2012-03-29,2012.244,257.94
2012-03-30,2012.247,255.69
2012-04-02,2012.253,259.96
2012-04-03,2012.256,261.65
2012-04-04,2012.258,258.09
2012-04-05,2012.261,261.26
2012-04-09,2012.272,258.43
2012-04-10,2012.275,252.9
2012-04-11,2012.278,255.27
2012-04-12,2012.281,259.38
2012-04-13,2012.283,260.7
2012-04-16,2012.292,258.47
2012-04-17,2012.294,261.81
2012-04-18,2012.297,260.21
2012-04-19,2012.3,259.76
2012-04-20,2012.303,260.4
2012-04-23,2012.311,256.06
2012-04-24,2012.314,256.87
2012-04-25,2012.317,262.48
2012-04-26,2012.319,265.52
2012-04-27,2012.322,267.07
2012-04-30,2012.331,265.18
2012-05-01,2012.333,265.85
2012-05-02,2012.336,263.48
2012-05-03,2012.339,257.13
2012-05-04,2012.342,255.87
2012-05-07,2012.35,255.5
2012-05-08,2012.353,254.37
2012-05-09,2012.356,251.83
2012-05-10,2012.358,252.72
2012-05-11,2012.361,252.56
2012-05-14,2012.369,250.06
2012-05-15,2012.372,249.74
2012-05-16,2012.375,249.72
2012-05-17,2012.378,244.78
2012-05-18,2012.381,241.13
2012-05-21,2012.389,247.98
2012-05-22,2012.392,250.51
2012-05-23,2012.394,252.13
2012-05-24,2012.397,253.38
2012-05-25,2012.4,251.76
2012-05-29,2012.411,253.52
2012-05-30,2012.414,249.59
2012-05-31,2012.417,246.63
2012-06-01,2012.417,239.46
2012-06-04,2012.425,242.66
2012-06-05,2012.428,244.41
2012-06-06,2012.431,250.27
2012-06-07,2012.433,250.25
2012-06-08,2012.436,250.68
2012-06-11,2012.444,248.94
2012-06-12,2012.447,250.96
2012-06-13,2012.45,247.31
2012-06-14,2012.453,251.55
2012-06-15,2012.456,255.34
2012-06-18,2012.464,256.68
2012-06-19,2012.467,258.63
2012-06-20,2012.469,260.04
2012-06-21,2012.472,254.69
2012-06-22,2012.475,261.29
2012-06-25,2012.483,255.87
2012-06-26,2012.486,257.8
2012-06-27,2012.489,259.35
2012-06-28,2012.492,255.44
2012-06-29,2012.494,261
2012-07-02,2012.503,265.13
2012-07-03,2012.506,265.77
2012-07-05,2012.511,266.76
2012-07-06,2012.514,263.6
2012-07-09,2012.522,261.01
2012-07-10,2012.525,257.41
2012-07-11,2012.528,256.63
2012-07-12,2012.531,258.01
2012-07-13,2012.533,260.93
2012-07-16,2012.542,264.2
2012-07-17,2012.544,265.42
2012-07-18,2012.547,266.25
2012-07-19,2012.55,262.39
2012-07-20,2012.553,260.96
2012-07-23,2012.561,258.06
2012-07-24,2012.564,255.7
2012-07-25,2012.567,255.24
2012-07-26,2012.569,262.18
2012-07-27,2012.572,268.06
2012-07-30,2012.581,269.4
2012-07-31,2012.583,266.22
2012-08-01,2012.583,262.29
2012-08-02,2012.586,262.31
2012-08-03,2012.589,265.68
2012-08-06,2012.597,264.95
2012-08-07,2012.6,264.6
2012-08-08,2012.603,267.79
2012-08-09,2012.606,266.07
2012-08-10,2012.608,267.12
2012-08-13,2012.617,266.26
2012-08-14,2012.619,268.2
2012-08-15,2012.622,267.41
2012-08-16,2012.625,269.06
2012-08-17,2012.628,268.36
2012-08-20,2012.636,267.96
2012-08-21,2012.639,266.73
2012-08-22,2012.642,266.27
2012-08-23,2012.644,265.02
2012-08-24,2012.647,266.01
2012-08-27,2012.656,266.83
2012-08-28,2012.658,266.4
2012-08-29,2012.661,267.41
2012-08-30,2012.664,265.03
2012-08-31,2012.667,266.89
2012-09-04,2012.675,267.48
2012-09-05,2012.678,266.75
2012-09-06,2012.681,271.92
2012-09-07,2012.683,272.73
2012-09-10,2012.692,271.88
2012-09-11,2012.694,274.41
2012-09-12,2012.697,275.11
2012-09-13,2012.7,278.6
2012-09-14,2012.703,279.03
2012-09-17,2012.711,278.47
2012-09-18,2012.714,278.3
2012-09-19,2012.717,278.92
2012-09-20,2012.719,279.37
2012-09-21,2012.722,280.72
2012-09-24,2012.731,278.92
2012-09-25,2012.733,277.45
2012-09-26,2012.736,274.5
2012-09-27,2012.739,277.11
2012-09-28,2012.742,277.15
2012-10-01,2012.75,279.13
2012-10-02,2012.753,278.92
2012-10-03,2012.756,283.77
2012-10-04,2012.758,285.15
2012-10-05,2012.761,286.3
2012-10-08,2012.769,284.23
2012-10-09,2012.772,280.42
2012-10-10,2012.775,279.78
2012-10-11,2012.778,282.9
2012-10-12,2012.781,283.09
2012-10-15,2012.789,285.07
2012-10-16,2012.792,287.35
2012-10-17,2012.794,289.41
2012-10-18,2012.797,287.43
2012-10-19,2012.8,283.79
2012-10-22,2012.808,282.9
2012-10-23,2012.811,279.39
2012-10-24,2012.814,278.3
2012-10-25,2012.817,278.44
2012-10-26,2012.819,279.72
2012-10-31,2012.833,276.29
2012-11-01,2012.833,282.75
2012-11-02,2012.836,280.74
2012-11-05,2012.844,278.08
2012-11-06,2012.847,283.56
2012-11-07,2012.85,280.28
2012-11-08,2012.853,278.1
2012-11-09,2012.856,279.15
2012-11-12,2012.864,280.45
2012-11-13,2012.867,280.3
2012-11-14,2012.869,275.88
2012-11-15,2012.872,274.84
2012-11-16,2012.875,278.5
2012-11-19,2012.883,283.71
2012-11-20,2012.886,284.24
2012-11-21,2012.889,285.21
2012-11-23,2012.894,287.91
2012-11-26,2012.903,286.57
2012-11-27,2012.906,285.43
2012-11-28,2012.908,287.18
2012-11-29,2012.911,289.06
2012-11-30,2012.914,290.99
2012-12-03,2012.922,289.76
2012-12-04,2012.925,289.13
2012-12-05,2012.928,289.83
2012-12-06,2012.931,291.06
2012-12-07,2012.933,290.02
2012-12-10,2012.942,290.81
2012-12-11,2012.944,292.47
2012-12-12,2012.947,291.47
2012-12-13,2012.95,290.93
2012-12-14,2012.953,289.92
2012-12-17,2012.961,293.53
2012-12-18,2012.964,295.36
2012-12-19,2012.967,293.37
2012-12-20,2012.969,297.34
2012-12-21,2012.972,293.64
2012-12-24,2012.981,294.08
2012-12-26,2012.986,290.82
2012-12-27,2012.989,291.04
2012-12-28,2012.992,288.65
2012-12-31,2013,293.41
2013-01-02,2013.003,301.83
2013-01-03,2013.006,301.84
2013-01-04,2013.008,303.83
2013-01-07,2013.017,305.37
2013-01-08,2013.019,306.36
2013-01-09,2013.022,310.71
2013-01-10,2013.025,309.89
2013-01-11,2013.028,310.77
2013-01-14,2013.036,309.91
2013-01-15,2013.039,308.68
2013-01-16,2013.042,307.85
2013-01-17,2013.044,308.31
2013-01-18,2013.047,307.28
2013-01-22,2013.058,308.59
2013-01-23,2013.061,307.53
2013-01-24,2013.064,308.22
2013-01-25,2013.067,308.31
2013-01-28,2013.075,304.99
2013-01-29,2013.078,306.65
2013-01-30,2013.081,304.42
2013-01-31,2013.083,306.87
2013-02-01,2013.083,309.16
2013-02-04,2013.092,305.71
2013-02-05,2013.094,311.65
2013-02-06,2013.097,312.6
2013-02-07,2013.1,308.64
2013-02-08,2013.103,310.59
2013-02-11,2013.111,308.28
2013-02-12,2013.114,308.26
2013-02-13,2013.117,306.96
2013-02-14,2013.119,308.6
2013-02-15,2013.122,311.02
2013-02-19,2013.133,311.13
2013-02-20,2013.136,307
2013-02-21,2013.139,307.87
2013-02-22,2013.142,311.22
2013-02-25,2013.15,305.82
2013-02-26,2013.153,308.05
2013-02-27,2013.156,311.56
2013-02-28,2013.158,310.83
2013-03-01,2013.167,310.95
2013-03-04,2013.175,312.84
2013-03-05,2013.178,316.07
2013-03-06,2013.181,316.41
2013-03-07,2013.183,316.53
2013-03-08,2013.186,317.44
2013-03-11,2013.194,318.75
2013-03-12,2013.197,316.42
2013-03-13,2013.2,316.96
2013-03-14,2013.203,318.72
2013-03-15,2013.206,315.24
2013-03-18,2013.214,313.47
2013-03-19,2013.217,311.54
2013-03-20,2013.219,315.85
2013-03-21,2013.222,313.26
2013-03-22,2013.225,316.2
2013-03-25,2013.233,319.25
2013-03-26,2013.236,325.64
2013-03-27,2013.239,326.71
2013-03-28,2013.242,329.21
2013-04-01,2013.25,326.02
2013-04-02,2013.253,327.83
2013-04-03,2013.256,323.28
2013-04-04,2013.258,324.77
2013-04-05,2013.261,321.4
2013-04-08,2013.269,323.49
2013-04-09,2013.272,321.98
2013-04-10,2013.275,327.04
2013-04-11,2013.278,329.46
2013-04-12,2013.281,326.03
2013-04-15,2013.289,318.4
2013-04-16,2013.292,324.22
2013-04-17,2013.294,320.44
2013-04-18,2013.297,318.06
2013-04-19,2013.3,320.94
2013-04-22,2013.308,320.94
2013-04-23,2013.311,325.28
2013-04-24,2013.314,326.73
2013-04-25,2013.317,328.95
2013-04-26,2013.319,327.28
2013-04-29,2013.328,329.19
