Date,t,Close
2011-10-03,2011.756,467.12
2011-10-04,2011.758,469.56
2011-10-05,2011.761,472.89
2011-10-06,2011.764,478.93
2011-10-07,2011.767,479.42
2011-10-10,2011.775,485.76
2011-10-11,2011.778,486.62
2011-10-12,2011.781,485.51
2011-10-13,2011.783,484.67
2011-10-14,2011.786,488.57
2011-10-17,2011.794,490.77
2011-10-18,2011.797,493.5
2011-10-19,2011.8,489.38
2011-10-20,2011.803,488.97
2011-10-21,2011.806,498.68
2011-10-24,2011.814,501.87
2011-10-25,2011.817,498.13
2011-10-26,2011.819,499.29
2011-10-27,2011.822,513.36
2011-10-28,2011.825,507.78
2011-10-31,2011.833,499.68
2011-11-01,2011.833,487.68
2011-11-02,2011.836,493.96
2011-11-03,2011.839,505.53
2011-11-04,2011.842,514.16
2011-11-07,2011.85,515.78
2011-11-08,2011.853,522.97
2011-11-09,2011.856,509
2011-11-10,2011.858,511.25
2011-11-11,2011.861,522.72
2011-11-14,2011.869,516.31
2011-11-15,2011.872,518.53
2011-11-16,2011.875,512.63
2011-11-17,2011.878,512.98
2011-11-18,2011.881,512.26
2011-11-21,2011.889,500.82
2011-11-22,2011.892,496.65
2011-11-23,2011.894,499.62
2011-11-25,2011.9,500.18
2011-11-28,2011.908,506.53
2011-11-29,2011.911,507.65
2011-11-30,2011.914,524.3
2011-12-01,2011.917,522.15
2011-12-02,2011.919,516.18
2011-12-05,2011.928,523.69
2011-12-06,2011.931,521.11
2011-12-07,2011.933,524.4
2011-12-08,2011.936,515.42
2011-12-09,2011.939,523.17
2011-12-12,2011.947,519.4
2011-12-13,2011.95,514.33
2011-12-14,2011.953,508.34
2011-12-15,2011.956,513.42
2011-12-16,2011.958,515.67
2011-12-19,2011.967,499.29
2011-12-20,2011.969,531.08
2011-12-21,2011.972,535.92
2011-12-22,2011.975,543.34
2011-12-23,2011.978,551.81
2011-12-27,2011.989,540.52
2011-12-28,2011.992,540.31
2011-12-29,2011.994,542.2
2011-12-30,2011.997,536.84
2012-01-03,2012.006,543.11
2012-01-04,2012.008,544.15
2012-01-05,2012.011,543.09
2012-01-06,2012.014,542.71
