Date,t,Close
2011-08-10,2011.608,172.76
2011-08-11,2011.611,179.35
2011-08-12,2011.614,187.57
2011-08-15,2011.622,189.79
2011-08-16,2011.625,191.96
2011-08-17,2011.628,190.53
2011-08-18,2011.631,188.48
2011-08-19,2011.633,187.33
2011-08-22,2011.642,189.12
2011-08-23,2011.644,195.53
2011-08-24,2011.647,194.75
2011-08-25,2011.65,191.74
2011-08-26,2011.653,194.85
2011-08-29,2011.661,200.7
2011-08-30,2011.664,200.46
2011-08-31,2011.667,197.37
2011-09-01,2011.667,194.11
2011-09-02,2011.669,191.83
2011-09-06,2011.681,187.32
2011-09-07,2011.683,192.42
2011-09-08,2011.686,188.73
2011-09-09,2011.689,184.79
2011-09-12,2011.697,184.37
2011-09-13,2011.7,186.02
2011-09-14,2011.703,188.01
2011-09-15,2011.706,191.61
2011-09-16,2011.708,192.99
2011-09-19,2011.717,187.92
2011-09-20,2011.719,191.35
2011-09-21,2011.722,183.56
2011-09-22,2011.725,179.73
2011-09-23,2011.728,180.84
2011-09-26,2011.736,185.04
2011-09-27,2011.739,190.26
2011-09-28,2011.742,184.13
2011-09-29,2011.744,189.51
2011-09-30,2011.747,188.53
2011-10-03,2011.756,181.74
2011-10-04,2011.758,190.44
2011-10-05,2011.761,192.8
2011-10-06,2011.764,199.77
2011-10-07,2011.767,199.78
2011-10-10,2011.775,203.54
2011-10-11,2011.778,203.95
2011-10-12,2011.781,202.33
2011-10-13,2011.783,202.74
2011-10-14,2011.786,203.95
2011-10-17,2011.794,200.71
2011-10-18,2011.797,205.73
2011-10-19,2011.8,206.67
2011-10-20,2011.803,205.62
2011-10-21,2011.806,209.51
2011-10-24,2011.814,208.65
2011-10-25,2011.817,204.83
2011-10-26,2011.819,208.29
2011-10-27,2011.822,212.94
2011-10-28,2011.825,210.28
2011-10-31,2011.833,208.28
2011-11-01,2011.833,203.71
2011-11-02,2011.836,206.52
2011-11-03,2011.839,209.16
2011-11-04,2011.842,207.54
2011-11-07,2011.85,209.19
2011-11-08,2011.853,211.45
2011-11-09,2011.856,204.23
2011-11-10,2011.858,207.31
2011-11-11,2011.861,212.47
2011-11-14,2011.869,211.28
2011-11-15,2011.872,213.08
2011-11-16,2011.875,209.8
2011-11-17,2011.878,207.79
2011-11-18,2011.881,207.41
2011-11-21,2011.889,206.24
2011-11-22,2011.892,205.06
2011-11-23,2011.894,201.94
2011-11-25,2011.9,201.41
2011-11-28,2011.908,208.11
2011-11-29,2011.911,209.53
2011-11-30,2011.914,217.85
2011-12-01,2011.917,215.99
2011-12-02,2011.919,214.6
2011-12-05,2011.928,218.35
2011-12-06,2011.931,218.26
2011-12-07,2011.933,217.83
2011-12-08,2011.936,215.82
2011-12-09,2011.939,218.76
2011-12-12,2011.947,214.36
2011-12-13,2011.95,210.8
2011-12-14,2011.953,210.1
2011-12-15,2011.956,211.67
2011-12-16,2011.958,209.83
2011-12-19,2011.967,208.88
2011-12-20,2011.969,212.61
2011-12-21,2011.972,215.85
2011-12-22,2011.975,216.13
2011-12-23,2011.978,217.85
2011-12-27,2011.989,220.49
2011-12-28,2011.992,218.18
2011-12-29,2011.994,219.25
2011-12-30,2011.997,218.75
2012-01-03,2012.006,218.54
2012-01-04,2012.008,216.15
2012-01-05,2012.011,214.18
2012-01-06,2012.014,212.46
2012-01-09,2012.022,215.09
2012-01-10,2012.025,218.55
2012-01-11,2012.028,218.89
2012-01-12,2012.031,218.16
2012-01-13,2012.033,217.25
2012-01-17,2012.044,218.77
2012-01-18,2012.047,220.4
2012-01-19,2012.05,223.39
2012-01-20,2012.053,224.12
2012-01-23,2012.061,224.03
2012-01-24,2012.064,223.85
2012-01-25,2012.067,225.57
2012-01-26,2012.069,223.54
2012-01-27,2012.072,222.89
2012-01-30,2012.081,221.1
2012-01-31,2012.083,221.84
2012-02-01,2012.083,225.22
2012-02-02,2012.086,226.42
2012-02-03,2012.089,230.45
2012-02-06,2012.097,228.96
2012-02-07,2012.1,228.57
2012-02-08,2012.103,228.11
2012-02-09,2012.106,228.62
2012-02-10,2012.108,226.51
2012-02-13,2012.117,227.18
2012-02-14,2012.119,227.04
2012-02-15,2012.122,226.43
2012-02-16,2012.125,231.61
2012-02-17,2012.128,230.82
2012-02-21,2012.139,228.75
2012-02-22,2012.142,228.35
2012-02-23,2012.144,227.89
2012-02-24,2012.147,228.7
2012-02-27,2012.156,227.44
2012-02-28,2012.158,228.18
2012-02-29,2012.161,228.94
2012-03-01,2012.167,230.97
2012-03-02,2012.169,228.09
2012-03-05,2012.178,228.5
2012-03-06,2012.181,225.02
2012-03-07,2012.183,225.03
2012-03-08,2012.186,227.64
2012-03-09,2012.189,229.86
2012-03-12,2012.197,230.75
