Date,t,Close
2011-08-08,2011.603,88.2
2011-08-09,2011.606,92.32
2011-08-10,2011.608,89.72
2011-08-11,2011.611,96.06
2011-08-12,2011.614,97.69
2011-08-15,2011.622,100.3
2011-08-16,2011.625,100.04
2011-08-17,2011.628,99.81
2011-08-18,2011.631,94.74
2011-08-19,2011.633,94.04
2011-08-22,2011.642,94.98
2011-08-23,2011.644,98.87
2011-08-24,2011.647,100.25
2011-08-25,2011.65,98.01
2011-08-26,2011.653,99.47
2011-08-29,2011.661,102.22
2011-08-30,2011.664,102.64
2011-08-31,2011.667,103.05
2011-09-01,2011.667,102.58
2011-09-02,2011.669,99.65
2011-09-06,2011.681,98.98
2011-09-07,2011.683,102.48
2011-09-08,2011.686,101.43
2011-09-09,2011.689,98.82
2011-09-12,2011.697,99.73
2011-09-13,2011.7,101.41
2011-09-14,2011.703,103.82
2011-09-15,2011.706,105.38
2011-09-16,2011.708,104.82
2011-09-19,2011.717,104.56
2011-09-20,2011.719,104.3
2011-09-21,2011.722,99.61
2011-09-22,2011.725,96.17
2011-09-23,2011.728,95.09
2011-09-26,2011.736,98.22
2011-09-27,2011.739,99.64
2011-09-28,2011.742,98.15
2011-09-29,2011.744,99.05
2011-09-30,2011.747,96.8
2011-10-03,2011.756,92.76
2011-10-04,2011.758,93.31
2011-10-05,2011.761,93.13
2011-10-06,2011.764,92.76
2011-10-07,2011.767,92.71
2011-10-10,2011.775,95.26
2011-10-11,2011.778,94.67
2011-10-12,2011.781,97.17
2011-10-13,2011.783,97.35
2011-10-14,2011.786,99.08
2011-10-17,2011.794,97.82
2011-10-18,2011.797,99.66
2011-10-19,2011.8,98.25
2011-10-20,2011.803,98.91
2011-10-21,2011.806,100.64
2011-10-24,2011.814,102.24
2011-10-25,2011.817,100.02
2011-10-26,2011.819,100.51
2011-10-27,2011.822,99.84
2011-10-28,2011.825,98.45
2011-10-31,2011.833,97.36
2011-11-01,2011.833,93.68
2011-11-02,2011.836,94.97
2011-11-03,2011.839,96.14
2011-11-04,2011.842,95.62
2011-11-07,2011.85,95.95
2011-11-08,2011.853,96
2011-11-09,2011.856,92.81
2011-11-10,2011.858,93.37
2011-11-11,2011.861,95.31
2011-11-14,2011.869,94.42
2011-11-15,2011.872,94.95
2011-11-16,2011.875,94.42
2011-11-17,2011.878,93.95
2011-11-18,2011.881,94.45
2011-11-21,2011.889,92.44
2011-11-22,2011.892,91.57
2011-11-23,2011.894,90.28
2011-11-25,2011.9,89.92
2011-11-28,2011.908,92.85
2011-11-29,2011.911,93.74
2011-11-30,2011.914,96.83
2011-12-01,2011.917,95.08
2011-12-02,2011.919,95.83
2011-12-05,2011.928,96.63
2011-12-06,2011.931,96.59
2011-12-07,2011.933,95.13
2011-12-08,2011.936,93.53
2011-12-09,2011.939,95.97
2011-12-12,2011.947,94.69
2011-12-13,2011.95,94.52
2011-12-14,2011.953,93.65
2011-12-15,2011.956,95.52
2011-12-16,2011.958,96.55
2011-12-19,2011.967,96.47
2011-12-20,2011.969,99.06
2011-12-21,2011.972,101.87
2011-12-22,2011.975,103.06
2011-12-23,2011.978,102.87
2011-12-27,2011.989,102.7
2011-12-28,2011.992,102.51
2011-12-29,2011.994,103.84
2011-12-30,2011.997,102.93
2012-01-03,2012.006,103.86
2012-01-04,2012.008,105.52
2012-01-05,2012.011,105.71
2012-01-06,2012.014,107.54
2012-01-09,2012.022,107.29
2012-01-10,2012.025,109.32
2012-01-11,2012.028,107.8
2012-01-12,2012.031,107.47
2012-01-13,2012.033,107.47
2012-01-17,2012.044,108
2012-01-18,2012.047,108.74
2012-01-19,2012.05,109.04
2012-01-20,2012.053,108.89
2012-01-23,2012.061,107.68
2012-01-24,2012.064,107.54
2012-01-25,2012.067,107.96
2012-01-26,2012.069,107.06
2012-01-27,2012.072,106.61
2012-01-30,2012.081,105.81
2012-01-31,2012.083,105.63
2012-02-01,2012.083,106.6
2012-02-02,2012.086,105.82
2012-02-03,2012.089,106.7
2012-02-06,2012.097,106.27
2012-02-07,2012.1,107.02
2012-02-08,2012.103,106.92
2012-02-09,2012.106,106.79
2012-02-10,2012.108,105.68
2012-02-13,2012.117,107.09
2012-02-14,2012.119,106.48
2012-02-15,2012.122,105.72
2012-02-16,2012.125,106.61
2012-02-17,2012.128,107.69
2012-02-21,2012.139,107.15
2012-02-22,2012.142,107.32
2012-02-23,2012.144,106.28
2012-02-24,2012.147,108.95
2012-02-27,2012.156,109.13
2012-02-28,2012.158,107.53
2012-02-29,2012.161,107.88
2012-03-01,2012.167,107.75
2012-03-02,2012.169,106.31
2012-03-05,2012.178,104.29
2012-03-06,2012.181,102.34
2012-03-07,2012.183,102.88
2012-03-08,2012.186,104.3
