Date,t,Close
2011-10-03,2011.756,73.43
2011-10-04,2011.758,74.13
2011-10-05,2011.761,77.67
2011-10-06,2011.764,82.14
2011-10-07,2011.767,81.6
2011-10-10,2011.775,83.88
2011-10-11,2011.778,83.18
2011-10-12,2011.781,82.75
2011-10-13,2011.783,82.73
2011-10-14,2011.786,83.87
2011-10-17,2011.794,80.25
2011-10-18,2011.797,83.34
2011-10-19,2011.8,80.68
2011-10-20,2011.803,80.5
2011-10-21,2011.806,84.72
2011-10-24,2011.814,87.84
2011-10-25,2011.817,84.88
2011-10-26,2011.819,87.32
2011-10-27,2011.822,94.47
2011-10-28,2011.825,93.64
2011-10-31,2011.833,88.14
2011-11-01,2011.833,85.86
2011-11-02,2011.836,86.58
2011-11-03,2011.839,88.81
2011-11-04,2011.842,89.45
2011-11-07,2011.85,90.47
2011-11-08,2011.853,91.04
2011-11-09,2011.856,86.81
2011-11-10,2011.858,88.37
2011-11-11,2011.861,91.91
2011-11-14,2011.869,92.48
2011-11-15,2011.872,93.73
2011-11-16,2011.875,93.11
2011-11-17,2011.878,90.65
2011-11-18,2011.881,90.13
2011-11-21,2011.889,87.32
2011-11-22,2011.892,86.76
2011-11-23,2011.894,84.21
2011-11-25,2011.9,83.69
2011-11-28,2011.908,88.1
2011-11-29,2011.911,80.82
2011-11-30,2011.914,82.45
2011-12-01,2011.917,83.31
2011-12-02,2011.919,82.09
2011-12-05,2011.928,84.28
2011-12-06,2011.931,85.3
2011-12-07,2011.933,85.75
2011-12-08,2011.936,82.9
2011-12-09,2011.939,84.63
2011-12-12,2011.947,82.56
2011-12-13,2011.95,80.5
2011-12-14,2011.953,80.13
2011-12-15,2011.956,80.19
2011-12-16,2011.958,79.77
2011-12-19,2011.967,77.18
2011-12-20,2011.969,78.47
2011-12-21,2011.972,78.52
2011-12-22,2011.975,81.17
2011-12-23,2011.978,83.1
2011-12-27,2011.989,82.34
2011-12-28,2011.992,80.82
2011-12-29,2011.994,81.66
2011-12-30,2011.997,81.13
2012-01-03,2012.006,81.67
2012-01-04,2012.008,82.2
2012-01-05,2012.011,82.89
2012-01-06,2012.014,83.9
2012-01-09,2012.022,85.38
2012-01-10,2012.025,86.98
2012-01-11,2012.028,88.42
2012-01-12,2012.031,88.05
2012-01-13,2012.033,87.11
2012-01-17,2012.044,87.85
2012-01-18,2012.047,91
2012-01-19,2012.05,92.41
2012-01-20,2012.053,92.5
2012-01-23,2012.061,92.14
2012-01-24,2012.064,93.12
2012-01-25,2012.067,85.93
2012-01-26,2012.069,84.2
2012-01-27,2012.072,83.83
2012-01-30,2012.081,83.67
2012-01-31,2012.083,84.98
2012-02-01,2012.083,85.29
2012-02-02,2012.086,85.2
2012-02-03,2012.089,88.53
2012-02-06,2012.097,89.11
2012-02-07,2012.1,89.21
2012-02-08,2012.103,89.11
2012-02-09,2012.106,89.6
2012-02-10,2012.108,88.5
2012-02-13,2012.117,88.98
2012-02-14,2012.119,88.06
2012-02-15,2012.122,88.16
2012-02-16,2012.125,90.19
2012-02-17,2012.128,90.31
2012-02-21,2012.139,90.04
2012-02-22,2012.142,88.96
2012-02-23,2012.144,89.02
2012-02-24,2012.147,89.89
2012-02-27,2012.156,88.77
2012-02-28,2012.158,88.12
