Date,t,Close
2013-03-04,2013.175,22.96
2013-03-05,2013.178,23.67
2013-03-06,2013.181,23.55
2013-03-07,2013.183,23.9
2013-03-08,2013.186,24.06
2013-03-11,2013.194,24.17
2013-03-12,2013.197,24.1
2013-03-13,2013.2,23.98
2013-03-14,2013.203,23.74
2013-03-15,2013.206,24.01
2013-03-18,2013.214,24.16
2013-03-19,2013.217,23.9
2013-03-20,2013.219,24.11
2013-03-21,2013.222,23.96
2013-03-22,2013.225,24.16
2013-03-25,2013.233,25.87
2013-03-26,2013.236,25.18
2013-03-27,2013.239,24.64
2013-03-28,2013.242,24.65
2013-04-01,2013.25,25.03
2013-04-02,2013.253,24.58
2013-04-03,2013.256,24.27
2013-04-04,2013.258,24.95
2013-04-05,2013.261,24.18
2013-04-08,2013.269,23.6
2013-04-09,2013.272,23.79
2013-04-10,2013.275,24.95
2013-04-11,2013.278,25.64
2013-04-12,2013.281,25.29
2013-04-15,2013.289,24.68
2013-04-16,2013.292,25.39
2013-04-17,2013.294,24.72
2013-04-18,2013.297,24.65
2013-04-19,2013.3,24.64
2013-04-22,2013.308,24.42
2013-04-23,2013.311,24.98
2013-04-24,2013.314,23.97
2013-04-25,2013.317,25.62
2013-04-26,2013.319,25.42
2013-04-29,2013.328,26.03
2013-04-30,2013.331,26.04
2013-05-01,2013.333,25.09
2013-05-02,2013.336,24.75
2013-05-03,2013.339,24.91
2013-05-06,2013.347,24.71
2013-05-07,2013.35,24.68
2013-05-08,2013.353,25.52
2013-05-09,2013.356,26.11
2013-05-10,2013.358,26.65
2013-05-13,2013.367,26.64
2013-05-14,2013.369,29.05
2013-05-15,2013.372,30.12
2013-05-16,2013.375,29.87
2013-05-17,2013.378,30.26
2013-05-20,2013.386,30.34
2013-05-21,2013.389,30.45
2013-05-22,2013.392,29.22
2013-05-23,2013.394,29.56
2013-05-24,2013.397,29.75
2013-05-28,2013.408,29.24
2013-05-29,2013.411,28.72
2013-05-30,2013.414,29.23
2013-05-31,2013.417,28.34
2013-06-03,2013.422,28.37
2013-06-04,2013.425,28.8
2013-06-05,2013.428,28.49
2013-06-06,2013.431,28.72
2013-06-07,2013.433,30.19
2013-06-10,2013.442,31.53
2013-06-11,2013.444,30.75
2013-06-12,2013.447,30.07
2013-06-13,2013.45,30.51
2013-06-14,2013.453,29.84
2013-06-17,2013.461,29.58
2013-06-18,2013.464,28.63
2013-06-19,2013.467,28.18
2013-06-20,2013.469,27.97
2013-06-21,2013.472,27.27
2013-06-24,2013.481,27.1
2013-06-25,2013.483,27.46
2013-06-26,2013.486,24.65
2013-06-27,2013.489,24.5
2013-06-28,2013.492,25.12
2013-07-02,2013.503,25.86
2013-12-31,2014,100
2014-01-02,2014.003,98.85
2014-01-03,2014.006,100.82
2014-01-06,2014.014,100.33
2014-01-07,2014.017,99.9
2014-01-08,2014.019,99.42
2014-01-09,2014.022,100.49
2014-01-10,2014.025,99.38
2014-01-13,2014.033,97.51
2014-01-14,2014.036,98.41
2014-01-15,2014.039,98.11
2014-01-16,2014.042,98.4
2014-01-17,2014.044,97.29
2014-01-21,2014.056,96.9
2014-01-22,2014.058,97.39
2014-01-23,2014.061,96.76
2014-01-24,2014.064,94.78
2014-01-27,2014.072,96.2
2014-01-28,2014.075,96.98
2014-01-29,2014.078,95.44
2014-01-30,2014.081,96.93
2014-01-31,2014.083,94.38
2014-02-03,2014.089,92.56
2014-02-04,2014.092,94.85
2014-02-05,2014.094,96.53
2014-02-06,2014.097,97.29
2014-02-07,2014.1,97.72
2014-02-10,2014.108,97.43
2014-02-11,2014.111,97.87
2014-02-12,2014.114,98.73
2014-02-13,2014.117,99.25
2014-02-14,2014.119,99.32
2014-02-18,2014.131,99.68
2014-02-19,2014.133,99.43
2014-02-20,2014.136,101.85
2014-02-21,2014.139,103.19
2014-02-24,2014.147,105.79
2014-02-25,2014.15,109.22
2014-02-26,2014.153,108.13
2014-02-27,2014.156,108.64
2014-02-28,2014.158,108.35
2014-03-03,2014.172,105.75
2014-03-04,2014.175,105.49
2014-03-05,2014.178,105.38
2014-03-06,2014.181,105.68
2014-03-07,2014.183,105.96
2014-03-10,2014.192,107.75
2014-03-11,2014.194,106.91
2014-03-12,2014.197,110.17
2014-03-13,2014.2,107.83
2014-03-14,2014.203,108.24
2014-03-17,2014.211,107.72
2014-03-18,2014.214,108.12
2014-03-19,2014.217,108.07
2014-03-20,2014.219,106.56
2014-03-21,2014.222,106.64
2014-03-24,2014.231,105.53
2014-03-25,2014.233,105.23
2014-03-26,2014.236,105.61
2014-03-27,2014.239,105.53
2014-03-28,2014.242,106.37
2014-03-31,2014.25,106.1
2014-04-01,2014.25,109.78
2014-04-02,2014.253,109.35
2014-04-03,2014.256,110.04
2014-04-04,2014.258,106.74
2014-04-07,2014.267,105.7
2014-04-08,2014.269,104.28
2014-04-09,2014.272,107.78
2014-04-10,2014.275,104.43
2014-04-11,2014.278,102.72
2014-04-14,2014.286,101.71
2014-04-15,2014.289,99.85
2014-04-16,2014.292,99.95
2014-04-17,2014.294,101.76
2014-04-21,2014.306,101.27
2014-04-22,2014.308,102.55
2014-04-23,2014.311,104.12
2014-04-24,2014.314,104.29
2014-04-25,2014.317,104.18
2014-04-28,2014.325,101.87
2014-04-29,2014.328,101.03
2014-04-30,2014.331,101.19
2014-05-01,2014.333,101.93
2014-05-02,2014.336,103.2
2014-05-05,2014.344,101.11
2014-05-06,2014.347,100.73
2014-05-07,2014.35,102
2014-05-08,2014.353,100.16
2014-05-09,2014.356,100.54
