Date,t,Close
2011-10-03,2011.756,350.24
2011-10-04,2011.758,365.06
2011-10-05,2011.761,375.17
2011-10-06,2011.764,385.1
2011-10-07,2011.767,379.99
2011-10-10,2011.775,392.84
2011-10-11,2011.778,395
2011-10-12,2011.781,403.68
2011-10-13,2011.783,400.54
2011-10-14,2011.786,411.88
2011-10-17,2011.794,396.01
2011-10-18,2011.797,412.16
2011-10-19,2011.8,403.08
2011-10-20,2011.803,401.98
2011-10-21,2011.806,411.74
2011-10-24,2011.814,416.12
2011-10-25,2011.817,404.89
2011-10-26,2011.819,410.26
2011-10-27,2011.822,435.57
2011-10-28,2011.825,433.64
2011-10-31,2011.833,419.68
2011-11-01,2011.833,416.92
2011-11-02,2011.836,431.07
2011-11-03,2011.839,448.1
2011-11-04,2011.842,442.37
2011-11-07,2011.85,440.67
2011-11-08,2011.853,453.52
2011-11-09,2011.856,434.75
2011-11-10,2011.858,440.16
2011-11-11,2011.861,449.8
2011-11-14,2011.869,446.37
2011-11-15,2011.872,450.66
2011-11-16,2011.875,441.27
2011-11-17,2011.878,432.55
2011-11-18,2011.881,434.7
2011-11-21,2011.889,425.9
2011-11-22,2011.892,422.87
2011-11-23,2011.894,411.77
2011-11-25,2011.9,411.36
2011-11-28,2011.908,429.96
2011-11-29,2011.911,428.69
2011-11-30,2011.914,452.81
2011-12-01,2011.917,448.94
2011-12-02,2011.919,447.23
2011-12-05,2011.928,453.84
2011-12-06,2011.931,454.3
2011-12-07,2011.933,453.14
2011-12-08,2011.936,441.92
2011-12-09,2011.939,450.66
2011-12-12,2011.947,439.97
2011-12-13,2011.95,435.67
2011-12-14,2011.953,426.86
2011-12-15,2011.956,426.87
2011-12-16,2011.958,428.38
2011-12-19,2011.967,421.65
2011-12-20,2011.969,438.41
2011-12-21,2011.972,422
2011-12-22,2011.975,416.32
2011-12-23,2011.978,423.29
2011-12-27,2011.989,423.75
2011-12-28,2011.992,415.69
2011-12-29,2011.994,422.95
2011-12-30,2011.997,422.22
2012-01-03,2012.006,431.4
2012-01-04,2012.008,433.29
2012-01-05,2012.011,432.26
2012-01-06,2012.014,425.57
2012-01-09,2012.022,432.69
2012-01-10,2012.025,439.86
2012-01-11,2012.028,438.58
2012-01-12,2012.031,449.01
2012-01-13,2012.033,445.33
2012-01-17,2012.044,449.49
2012-01-18,2012.047,456.68
2012-01-19,2012.05,457.45
2012-01-20,2012.053,453.13
2012-01-23,2012.061,454.25
2012-01-24,2012.064,462.66
2012-01-25,2012.067,467.91
2012-01-26,2012.069,464.05
2012-01-27,2012.072,461.74
2012-01-30,2012.081,463.68
2012-01-31,2012.083,460.43
2012-02-01,2012.083,467.69
2012-02-02,2012.086,464.22
2012-02-03,2012.089,472.04
2012-02-06,2012.097,476.8
2012-02-07,2012.1,469.35
2012-02-08,2012.103,470.42
2012-02-09,2012.106,473.73
2012-02-10,2012.108,467.82
2012-02-13,2012.117,473.04
2012-02-14,2012.119,465.9
2012-02-15,2012.122,461.52
2012-02-16,2012.125,466.33
2012-02-17,2012.128,467.82
2012-02-21,2012.139,471.49
2012-02-22,2012.142,470.8
2012-02-23,2012.144,464.66
2012-02-24,2012.147,464.5
2012-02-27,2012.156,463.88
2012-02-28,2012.158,460.87
2012-02-29,2012.161,458.13
2012-03-01,2012.167,459.92
2012-03-02,2012.169,458.1
2012-03-05,2012.178,454.57
2012-03-06,2012.181,444.71
2012-03-07,2012.183,449.61
2012-03-08,2012.186,456.51
2012-03-09,2012.189,458.57
2012-03-12,2012.197,463.37
2012-03-13,2012.2,476.68
2012-03-14,2012.203,476.51
2012-03-15,2012.206,479.08
2012-03-16,2012.208,480.21
2012-03-19,2012.217,477.31
2012-03-20,2012.219,473.53
2012-03-21,2012.222,475.83
2012-03-22,2012.225,474.18
2012-03-23,2012.228,470.22
2012-03-26,2012.236,473.31
2012-03-27,2012.239,472.53
2012-03-28,2012.242,471.75
2012-03-29,2012.244,472.46
2012-03-30,2012.247,475.28
2012-04-02,2012.253,477.68
2012-04-03,2012.256,472.79
2012-04-04,2012.258,468.18
2012-04-05,2012.261,466.03
2012-04-09,2012.272,459.85
2012-04-10,2012.275,452.4
2012-04-11,2012.278,454.98
2012-04-12,2012.281,467.71
2012-04-13,2012.283,458.69
2012-04-16,2012.292,460.16
2012-04-17,2012.294,468.88
2012-04-18,2012.297,463.73
2012-04-19,2012.3,459.04
2012-04-20,2012.303,461.67
2012-04-23,2012.311,457.36
2012-04-24,2012.314,463.89
2012-04-25,2012.317,465.82
2012-04-26,2012.319,471.92
2012-04-27,2012.322,477.98
2012-04-30,2012.331,475.11
2012-05-01,2012.333,459.49
2012-05-02,2012.336,462.98
2012-05-03,2012.339,460.24
2012-05-04,2012.342,454.24
2012-05-07,2012.35,454.13
2012-05-08,2012.353,457.23
2012-05-09,2012.356,450.7
2012-05-10,2012.358,452.64
2012-05-11,2012.361,451.19
2012-05-14,2012.369,446.12
2012-05-15,2012.372,443.39
2012-05-16,2012.375,439.71
2012-05-17,2012.378,428
2012-05-18,2012.381,424.51
2012-05-21,2012.389,448.51
2012-05-22,2012.392,453.36
2012-05-23,2012.394,457.92
2012-05-24,2012.397,458.13
2012-05-25,2012.4,455.12
2012-05-29,2012.411,461.81
2012-05-30,2012.414,454.22
2012-05-31,2012.417,449.54
2012-06-01,2012.417,435.55
2012-06-04,2012.425,428.99
2012-06-05,2012.428,429.23
2012-06-06,2012.431,439.54
2012-06-07,2012.433,441.66
2012-06-08,2012.436,444.59
2012-06-11,2012.444,441.38
2012-06-12,2012.447,446.39
2012-06-13,2012.45,440.51
2012-06-14,2012.453,440.87
2012-06-15,2012.456,443.09
2012-06-18,2012.464,442.87
2012-06-19,2012.467,446.47
2012-06-20,2012.469,439.98
2012-06-21,2012.472,432.38
2012-06-22,2012.475,432.39
2012-06-25,2012.483,422.69
2012-06-26,2012.486,419.61
2012-06-27,2012.489,423.02
2012-06-28,2012.492,419.53
2012-06-29,2012.494,438.02
2012-07-02,2012.503,429.62
2012-07-03,2012.506,432.9
2012-07-05,2012.511,434.68
2012-07-06,2012.514,429.26
2012-07-09,2012.522,427.56
2012-07-10,2012.525,422.86
2012-07-11,2012.528,420.03
2012-07-12,2012.531,416.02
2012-07-13,2012.533,424.23
2012-07-16,2012.542,421.45
2012-07-17,2012.544,423.88
2012-07-18,2012.547,439.09
2012-07-19,2012.55,439.26
2012-07-20,2012.553,434.21
2012-07-23,2012.561,435.81
2012-07-24,2012.564,429.3
2012-07-25,2012.567,429.48
2012-07-26,2012.569,439.03
2012-07-27,2012.572,451.35
2012-07-30,2012.581,451.98
2012-07-31,2012.583,449.86
2012-08-01,2012.583,448.61
2012-08-02,2012.586,448.71
2012-08-03,2012.589,458.43
2012-08-06,2012.597,460.81
2012-08-07,2012.6,466.84
2012-08-08,2012.603,468.64
2012-08-09,2012.606,470.91
2012-08-10,2012.608,476.81
2012-08-13,2012.617,476.79
2012-08-14,2012.619,480.34
2012-08-15,2012.622,478.54
2012-08-16,2012.625,483.54
2012-08-17,2012.628,485.86
2012-08-20,2012.636,483.93
2012-08-21,2012.639,482.8
2012-08-22,2012.642,478.87
2012-08-23,2012.644,478.67
2012-08-24,2012.647,480.57
2012-08-27,2012.656,479.43
2012-08-28,2012.658,478.37
2012-08-29,2012.661,477.75
2012-08-30,2012.664,472.02
2012-08-31,2012.667,472.86
2012-09-04,2012.675,467.3
2012-09-05,2012.678,461.76
2012-09-06,2012.681,471.3
2012-09-07,2012.683,473
2012-09-10,2012.692,471.72
2012-09-11,2012.694,468.67
2012-09-12,2012.697,467.91
2012-09-13,2012.7,471.09
2012-09-14,2012.703,470.62
2012-09-17,2012.711,472.51
2012-09-18,2012.714,475.59
2012-09-19,2012.717,479.23
2012-09-20,2012.719,478.24
2012-09-21,2012.722,476.45
2012-09-24,2012.731,477.56
2012-09-25,2012.733,464.65
2012-09-26,2012.736,461.16
2012-09-27,2012.739,464.9
2012-09-28,2012.742,464.97
2012-10-01,2012.75,462.53
2012-10-02,2012.753,462.59
2012-10-03,2012.756,465.11
2012-10-04,2012.758,469.7
2012-10-05,2012.761,471.98
2012-10-08,2012.769,470.63
2012-10-09,2012.772,467.81
2012-10-10,2012.775,462.03
2012-10-11,2012.778,462.84
2012-10-12,2012.781,463.7
2012-10-15,2012.789,464.83
2012-10-16,2012.792,468.93
2012-10-17,2012.794,473.35
2012-10-18,2012.797,474.35
2012-10-19,2012.8,462.89
2012-10-22,2012.808,463.08
2012-10-23,2012.811,456.55
2012-10-24,2012.814,455.36
2012-10-25,2012.817,460.71
2012-10-26,2012.819,460.11
2012-10-31,2012.833,466.62
2012-11-01,2012.833,482.55
2012-11-02,2012.836,480.38
2012-11-05,2012.844,487.38
2012-11-06,2012.847,493.77
2012-11-07,2012.85,484.49
2012-11-08,2012.853,479.2
2012-11-09,2012.856,482.28
2012-11-12,2012.864,484.11
2012-11-13,2012.867,482.14
2012-11-14,2012.869,470.63
2012-11-15,2012.872,470.14
2012-11-16,2012.875,471.19
2012-11-19,2012.883,479.78
2012-11-20,2012.886,479.26
2012-11-21,2012.889,478.53
2012-11-23,2012.894,484.05
2012-11-26,2012.903,482.21
2012-11-27,2012.906,483.04
2012-11-28,2012.908,488.38
2012-11-29,2012.911,491.29
2012-11-30,2012.914,484.65
2012-12-03,2012.922,477.71
2012-12-04,2012.925,478.5
2012-12-05,2012.928,484.09
2012-12-06,2012.931,485.7
2012-12-07,2012.933,489.22
2012-12-10,2012.942,490.79
2012-12-11,2012.944,493.33
2012-12-12,2012.947,492.98
2012-12-13,2012.95,491.61
2012-12-14,2012.953,493.85
2012-12-17,2012.961,496.01
2012-12-18,2012.964,505.69
2012-12-19,2012.967,504.93
2012-12-20,2012.969,506.91
2012-12-21,2012.972,503.88
2012-12-24,2012.981,501.99
2012-12-26,2012.986,501.37
2012-12-27,2012.989,501.08
2012-12-28,2012.992,496.12
2012-12-31,2013,505.7
2013-01-02,2013.003,522.24
2013-01-03,2013.006,523.29
2013-01-04,2013.008,526.64
2013-01-07,2013.017,521.78
2013-01-08,2013.019,515.91
2013-01-09,2013.022,521.29
2013-01-10,2013.025,523.38
2013-01-11,2013.028,521.98
2013-01-14,2013.036,521.85
2013-01-15,2013.039,521.1
2013-01-16,2013.042,517.77
2013-01-17,2013.044,526.58
2013-01-18,2013.047,530.77
2013-01-22,2013.058,537.14
2013-01-23,2013.061,536.78
2013-01-24,2013.064,540.83
2013-01-25,2013.067,542.79
2013-01-28,2013.075,541.46
2013-01-29,2013.078,543.25
2013-01-30,2013.081,538.24
2013-01-31,2013.083,539.13
2013-02-01,2013.083,546.68
2013-02-04,2013.092,539.81
2013-02-05,2013.094,546.21
2013-02-06,2013.097,549.83
2013-02-07,2013.1,546.96
2013-02-08,2013.103,548.1
2013-02-11,2013.111,550.95
2013-02-12,2013.114,554.5
2013-02-13,2013.117,557.05
2013-02-14,2013.119,558.46
2013-02-15,2013.122,556.98
2013-02-19,2013.133,560.82
2013-02-20,2013.136,554.24
2013-02-21,2013.139,547.05
2013-02-22,2013.142,551.49
2013-02-25,2013.15,540.51
2013-02-26,2013.153,543.85
2013-02-27,2013.156,557.03
2013-02-28,2013.158,555.5
2013-03-01,2013.167,554.01
2013-03-04,2013.175,549.37
2013-03-05,2013.178,554.05
2013-03-06,2013.181,555.47
2013-03-07,2013.183,555.62
2013-03-08,2013.186,562.69
2013-03-11,2013.194,563.43
2013-03-12,2013.197,556.9
2013-03-13,2013.2,556.16
2013-03-14,2013.203,562.2
2013-03-15,2013.206,559.51
2013-03-18,2013.214,553.65
2013-03-19,2013.217,552.41
2013-03-20,2013.219,557.18
2013-03-21,2013.222,552.8
2013-03-22,2013.225,556.47
2013-03-25,2013.233,547.81
2013-03-26,2013.236,544.55
2013-03-27,2013.239,543.02
2013-03-28,2013.242,548.32
2013-04-01,2013.25,542.32
2013-04-02,2013.253,540.13
2013-04-03,2013.256,535.17
2013-04-04,2013.258,543.02
2013-04-05,2013.261,541.06
2013-04-08,2013.269,544.59
2013-04-09,2013.272,547.34
2013-04-10,2013.275,553.38
2013-04-11,2013.278,553.27
2013-04-12,2013.281,544.3
2013-04-15,2013.289,520.39
2013-04-16,2013.292,531.15
2013-04-17,2013.294,521.95
2013-04-18,2013.297,516.86
2013-04-19,2013.3,521.07
2013-04-22,2013.308,522.86
2013-04-23,2013.311,531.62
2013-04-24,2013.314,536.62
2013-04-25,2013.317,537.55
2013-04-26,2013.319,531.61
2013-04-29,2013.328,537.08
2013-04-30,2013.331,541.54
2013-05-01,2013.333,527.65
2013-05-02,2013.336,535.26
2013-05-03,2013.339,548.04
2013-05-06,2013.347,552.39
2013-05-07,2013.35,554.97
2013-05-08,2013.353,561.28
2013-05-09,2013.356,563.28
2013-05-10,2013.358,565.27
2013-05-13,2013.367,563
2013-05-14,2013.369,572.18
2013-05-15,2013.372,571.25
2013-05-16,2013.375,568.7
2013-05-17,2013.378,580.21
2013-05-20,2013.386,583.33
2013-05-21,2013.389,583.17
2013-05-22,2013.392,577.3
2013-05-23,2013.394,571.73
2013-05-24,2013.397,570.46
2013-05-28,2013.408,577.52
2013-05-29,2013.411,570.27
2013-05-30,2013.414,575.1
2013-05-31,2013.417,567.85
2013-06-03,2013.422,570.38
2013-06-04,2013.425,564.66
2013-06-05,2013.428,552.87
2013-06-06,2013.431,555.11
2013-06-07,2013.433,565.73
2013-06-10,2013.442,565.26
2013-06-11,2013.444,555.47
2013-06-12,2013.447,548.47
2013-06-13,2013.45,558.77
2013-06-14,2013.453,554.95
2013-06-17,2013.461,559.08
2013-06-18,2013.464,567.15
2013-06-19,2013.467,558.48
2013-06-20,2013.469,542.68
2013-06-21,2013.472,546.03
2013-06-24,2013.481,535.09
2013-06-25,2013.483,542.57
2013-06-26,2013.486,547.01
2013-06-27,2013.489,553.57
2013-06-28,2013.492,550.88
2013-07-01,2013.5,558.35
2013-07-02,2013.503,556.81
2013-07-03,2013.506,556.29
2013-07-05,2013.511,569.14
2013-07-08,2013.519,571.09
2013-07-09,2013.522,576.69
2013-07-10,2013.525,571.86
2013-07-11,2013.528,580.53
2013-07-12,2013.531,579.07
2013-07-15,2013.539,579.66
2013-07-16,2013.542,573.17
2013-07-17,2013.544,575.99
2013-07-18,2013.547,581.39
2013-07-19,2013.55,587.84
2013-07-22,2013.558,593.78
2013-07-23,2013.561,596.06
2013-07-24,2013.564,591.71
2013-07-25,2013.567,589.87
2013-07-26,2013.569,589.43
2013-07-29,2013.578,585.46
2013-07-30,2013.581,594.4
2013-07-31,2013.583,600.46
2013-08-01,2013.583,611.19
2013-08-02,2013.586,600.92
2013-08-05,2013.594,600.36
2013-08-06,2013.597,597.5
2013-08-07,2013.6,590.97
2013-08-08,2013.603,596.56
2013-08-09,2013.606,594.89
2013-08-12,2013.614,600.72
2013-08-13,2013.617,602.06
2013-08-14,2013.619,599.43
2013-08-15,2013.622,587.5
2013-08-16,2013.625,590.22
2013-08-19,2013.633,587.25
2013-08-20,2013.636,590.45
2013-08-21,2013.639,588.02
2013-08-22,2013.642,599.98
2013-08-23,2013.644,598.86
2013-08-26,2013.653,595.35
2013-08-27,2013.656,582.11
2013-08-28,2013.658,581.43
2013-08-29,2013.661,583.18
2013-08-30,2013.664,579.69
2013-09-03,2013.672,581.58
2013-09-04,2013.675,591.34
2013-09-05,2013.678,594.68
2013-09-06,2013.681,594.58
2013-09-09,2013.689,604.75
2013-09-10,2013.692,615.14
2013-09-11,2013.694,615.01
2013-09-12,2013.697,613.56
2013-09-13,2013.7,616.64
2013-09-16,2013.708,624.22
2013-09-17,2013.711,624.44
2013-09-18,2013.714,634.84
2013-09-19,2013.717,642.13
2013-09-20,2013.719,633.12
2013-09-23,2013.728,629.99
2013-09-24,2013.731,633.22
2013-09-25,2013.733,632.49
2013-09-26,2013.736,636.22
2013-09-27,2013.739,629.9
2013-09-30,2013.747,627.03
2013-10-01,2013.75,629.5
2013-10-02,2013.753,625.89
2013-10-03,2013.756,618.51
2013-10-04,2013.758,622.02
2013-10-07,2013.767,615.85
2013-10-08,2013.769,606.96
2013-10-09,2013.772,605.26
2013-10-10,2013.775,624.21
2013-10-11,2013.778,630.05
2013-10-14,2013.786,630.48
2013-10-15,2013.789,619
2013-10-16,2013.792,618.95
2013-10-17,2013.794,624.71
2013-10-18,2013.797,632.52
2013-10-21,2013.806,632.85
2013-10-22,2013.808,637.88
2013-10-23,2013.811,634.39
2013-10-24,2013.814,636.83
2013-10-25,2013.817,647.8
2013-10-28,2013.825,638.13
2013-10-29,2013.828,646.22
2013-10-30,2013.831,642.13
2013-10-31,2013.833,641.68
2013-11-01,2013.833,641.65
2013-11-04,2013.842,642.87
2013-11-05,2013.844,637.79
2013-11-06,2013.847,641.8
2013-11-07,2013.85,633.34
2013-11-08,2013.853,643.19
2013-11-11,2013.861,645.19
2013-11-12,2013.864,644.9
2013-11-13,2013.867,649.75
2013-11-14,2013.869,650.04
2013-11-15,2013.872,652.94
2013-11-18,2013.881,649.89
2013-11-19,2013.883,645.92
2013-11-20,2013.886,644.07
2013-11-21,2013.889,652.93
2013-11-22,2013.892,658.03
2013-11-25,2013.9,652.72
2013-11-26,2013.903,654.5
2013-11-27,2013.906,656.26
2013-11-29,2013.911,652.69
2013-12-02,2013.919,648.2
2013-12-03,2013.922,644.6
2013-12-04,2013.925,640.05
2013-12-05,2013.928,642.29
2013-12-06,2013.931,651.57
2013-12-09,2013.939,653.51
2013-12-10,2013.942,652
2013-12-11,2013.944,642.39
2013-12-12,2013.947,643.32
2013-12-13,2013.95,643.37
2013-12-16,2013.958,652.94
2013-12-17,2013.961,652.65
2013-12-18,2013.964,666.43
2013-12-19,2013.967,668.96
2013-12-20,2013.969,678.12
2013-12-23,2013.978,678.17
2013-12-24,2013.981,681.68
2013-12-26,2013.986,686.24
2013-12-27,2013.989,687.23
2013-12-30,2013.997,685.5
2013-12-31,2014,686.07
2014-01-02,2014.003,678.78
2014-01-03,2014.006,680.86
2014-01-06,2014.014,676.42
2014-01-07,2014.017,677.83
2014-01-08,2014.019,675.48
2014-01-09,2014.022,676
2014-01-10,2014.025,679.76
2014-01-13,2014.033,668.9
2014-01-14,2014.036,681.38
2014-01-15,2014.039,687.02
2014-01-16,2014.042,688.45
2014-01-17,2014.044,684.6
2014-01-21,2014.056,689.87
2014-01-22,2014.058,685.62
2014-01-23,2014.061,672.61
2014-01-24,2014.064,650.63
2014-01-27,2014.072,650.27
2014-01-28,2014.075,658.69
2014-01-29,2014.078,655.02
2014-01-30,2014.081,660.8
2014-01-31,2014.083,655.01
2014-02-03,2014.089,634.22
2014-02-04,2014.092,629.48
2014-02-05,2014.094,628.32
2014-02-06,2014.097,630.97
2014-02-07,2014.1,642.64
2014-02-10,2014.108,638.16
2014-02-11,2014.111,641.35
2014-02-12,2014.114,647.86
2014-02-13,2014.117,649
2014-02-14,2014.119,652.66
2014-02-18,2014.131,650.04
2014-02-19,2014.133,646.59
2014-02-20,2014.136,651.64
2014-02-21,2014.139,652.49
2014-02-24,2014.147,661.41
2014-02-25,2014.15,663.49
2014-02-26,2014.153,667.32
2014-02-27,2014.156,667.11
2014-02-28,2014.158,666.61
2014-03-03,2014.172,657.81
2014-03-04,2014.175,665.85
2014-03-05,2014.178,666.78
2014-03-06,2014.181,670.15
2014-03-07,2014.183,676.17
2014-03-10,2014.192,667.7
2014-03-11,2014.194,661.3
2014-03-12,2014.197,657.97
2014-03-13,2014.2,649.25
2014-03-14,2014.203,644.02
2014-03-17,2014.211,655.38
2014-03-18,2014.214,659.78
2014-03-19,2014.217,652.89
2014-03-20,2014.219,654.81
2014-03-21,2014.222,660.98
2014-03-24,2014.231,659.71
2014-03-25,2014.233,668.18
2014-03-26,2014.236,660.27
2014-03-27,2014.239,661.6
2014-03-28,2014.242,668.06
2014-03-31,2014.25,671.29
2014-04-01,2014.25,677.01
2014-04-02,2014.253,683.62
2014-04-03,2014.256,685.46
2014-04-04,2014.258,674.83
2014-04-07,2014.267,662.13
2014-04-08,2014.269,664.01
2014-04-09,2014.272,670.42
2014-04-10,2014.275,656.9
2014-04-11,2014.278,649.31
2014-04-14,2014.286,649.94
2014-04-15,2014.289,657.24
2014-04-16,2014.292,668.48
2014-04-17,2014.294,674.99
2014-04-21,2014.306,676.83
2014-04-22,2014.308,678.84
