Date,t,Close
2012-07-16,2012.542,96.17
2012-07-17,2012.544,97.11
2012-07-18,2012.547,100.47
2012-07-19,2012.55,102.15
2012-07-20,2012.553,100.36
2012-07-23,2012.561,100.63
2012-07-24,2012.564,100.21
2012-07-25,2012.567,101.1
2012-07-26,2012.569,109.13
2012-07-27,2012.572,109.39
2012-07-30,2012.581,107.45
2012-07-31,2012.583,107.29
2012-08-01,2012.583,108.6
2012-08-02,2012.586,106.92
2012-08-03,2012.589,109.07
2012-08-06,2012.597,109.44
2012-08-07,2012.6,111.07
2012-08-08,2012.603,110.44
2012-08-09,2012.606,110.44
2012-08-10,2012.608,110.59
2012-08-13,2012.617,109.07
2012-08-14,2012.619,108.86
2012-08-15,2012.622,109.34
2012-08-16,2012.625,109.23
2012-08-17,2012.628,108.81
2012-08-20,2012.636,108.08
2012-08-21,2012.639,107.76
2012-08-22,2012.642,105.61
2012-08-23,2012.644,104.35
2012-08-24,2012.647,104.19
2012-08-27,2012.656,103.14
2012-08-28,2012.658,102.41
2012-08-29,2012.661,103.46
2012-08-30,2012.664,103.46
2012-08-31,2012.667,103.88
2012-09-04,2012.675,103.88
2012-09-05,2012.678,104.25
2012-09-06,2012.681,107.29
2012-09-07,2012.683,108.13
2012-09-10,2012.692,106.92
2012-09-11,2012.694,107.39
2012-09-12,2012.697,108.34
2012-09-13,2012.7,109.44
2012-09-14,2012.703,110.59
2012-09-17,2012.711,109.97
2012-09-18,2012.714,109.6
2012-09-19,2012.717,109.97
2012-09-20,2012.719,110.7
2012-09-21,2012.722,110.49
2012-09-24,2012.731,110.07
2012-09-25,2012.733,106.92
2012-09-26,2012.736,105.35
2012-09-27,2012.739,105.93
2012-09-28,2012.742,104.8
2012-10-01,2012.75,105.35
2012-10-02,2012.753,106.66
2012-10-03,2012.756,106.24
2012-10-04,2012.758,106.77
2012-10-05,2012.761,107.29
2012-10-08,2012.769,105.77
2012-10-09,2012.772,103.3
2012-10-10,2012.775,102.78
2012-10-11,2012.778,103.2
2012-10-12,2012.781,102.73
2012-10-15,2012.789,102.41
2012-10-16,2012.792,103.25
2012-10-17,2012.794,103.04
2012-10-18,2012.797,102.67
2012-10-19,2012.8,101.62
2012-10-22,2012.808,100.73
2012-10-23,2012.811,100.15
2012-10-24,2012.814,99.94
2012-10-25,2012.817,103.09
2012-10-26,2012.819,102.46
2012-10-31,2012.833,101.94
2012-11-01,2012.833,102.94
2012-11-02,2012.836,101.41
2012-11-05,2012.844,101.52
2012-11-06,2012.847,104.61
2012-11-07,2012.85,101.73
2012-11-08,2012.853,100.52
2012-11-09,2012.856,101.57
