Date,t,Close
2011-08-08,2011.603,183.04
2011-08-09,2011.606,188.63
2011-08-10,2011.608,184.21
2011-08-11,2011.611,191.43
2011-08-12,2011.614,190.1
2011-08-15,2011.622,196.77
2011-08-16,2011.625,196.26
2011-08-17,2011.628,198.08
2011-08-18,2011.631,195.83
2011-08-19,2011.633,194.72
2011-08-22,2011.642,194.28
2011-08-23,2011.644,197.4
2011-08-24,2011.647,201.22
2011-08-25,2011.65,198.36
2011-08-26,2011.653,198.06
2011-08-29,2011.661,201.68
2011-08-30,2011.664,201.91
2011-08-31,2011.667,203.36
2011-09-01,2011.667,202.35
2011-09-02,2011.669,200.35
2011-09-06,2011.681,199.56
2011-09-07,2011.683,200.7
2011-09-08,2011.686,200.5
2011-09-09,2011.689,196.91
2011-09-12,2011.697,198.93
2011-09-13,2011.7,199.41
2011-09-14,2011.703,200.59
2011-09-15,2011.706,203.11
2011-09-16,2011.708,205.32
2011-09-19,2011.717,204.44
2011-09-20,2011.719,207.53
2011-09-21,2011.722,204.9
2011-09-22,2011.725,201.58
2011-09-23,2011.728,203.59
2011-09-26,2011.736,205.08
2011-09-27,2011.739,205.3
2011-09-28,2011.742,204.04
2011-09-29,2011.744,206.93
2011-09-30,2011.747,204.79
2011-10-03,2011.756,200.15
2011-10-04,2011.758,199.16
2011-10-05,2011.761,198.31
2011-10-06,2011.764,200.89
2011-10-07,2011.767,202.63
2011-10-10,2011.775,206.72
2011-10-11,2011.778,204.68
2011-10-12,2011.781,204.5
2011-10-13,2011.783,204.18
2011-10-14,2011.786,205.66
2011-10-17,2011.794,205.27
2011-10-18,2011.797,206.15
2011-10-19,2011.8,206.57
2011-10-20,2011.803,207.58
2011-10-21,2011.806,210.67
2011-10-24,2011.814,209.39
2011-10-25,2011.817,207.21
2011-10-26,2011.819,208.67
2011-10-27,2011.822,213.19
2011-10-28,2011.825,212.06
2011-10-31,2011.833,210.89
2011-11-01,2011.833,207.96
2011-11-02,2011.836,210.87
2011-11-03,2011.839,213.63
2011-11-04,2011.842,211.79
2011-11-07,2011.85,213.14
2011-11-08,2011.853,213.91
2011-11-09,2011.856,210.08
2011-11-10,2011.858,211.32
2011-11-11,2011.861,213.97
2011-11-14,2011.869,211.69
2011-11-15,2011.872,211.94
2011-11-16,2011.875,209.27
2011-11-17,2011.878,207.82
2011-11-18,2011.881,209.04
2011-11-21,2011.889,206.96
2011-11-22,2011.892,204.33
2011-11-23,2011.894,201.16
2011-11-25,2011.9,202.06
2011-11-28,2011.908,204.73
2011-11-29,2011.911,206.84
2011-11-30,2011.914,212.51
2011-12-01,2011.917,212.1
2011-12-02,2011.919,210.41
2011-12-05,2011.928,212.62
2011-12-06,2011.931,213.3
2011-12-07,2011.933,212.8
2011-12-08,2011.936,209.98
2011-12-09,2011.939,212.86
2011-12-12,2011.947,210.91
2011-12-13,2011.95,212.16
2011-12-14,2011.953,210.68
2011-12-15,2011.956,212.98
2011-12-16,2011.958,212.05
2011-12-19,2011.967,210.28
2011-12-20,2011.969,213.95
2011-12-21,2011.972,217.42
2011-12-22,2011.975,217.68
2011-12-23,2011.978,219.1
2011-12-27,2011.989,220.65
2011-12-28,2011.992,219.75
2011-12-29,2011.994,221.13
2011-12-30,2011.997,219.63
2012-01-03,2012.006,214.98
2012-01-04,2012.008,213.74
2012-01-05,2012.011,213.74
2012-01-06,2012.014,212.7
2012-01-09,2012.022,213.37
2012-01-10,2012.025,213.47
2012-01-11,2012.028,212.6
2012-01-12,2012.031,212.28
2012-01-13,2012.033,212.1
2012-01-17,2012.044,211.81
2012-01-18,2012.047,212.28
2012-01-19,2012.05,210.35
2012-01-20,2012.053,211.05
2012-01-23,2012.061,211.64
2012-01-24,2012.064,209.9
2012-01-25,2012.067,212.94
2012-01-26,2012.069,213.62
2012-01-27,2012.072,211.3
2012-01-30,2012.081,210.63
