Date,t,Close
2011-08-08,2011.603,73.76
2011-08-09,2011.606,80.25
2011-08-10,2011.608,76.4
2011-08-11,2011.611,83.79
2011-08-12,2011.614,84.07
2011-08-15,2011.622,85.85
2011-08-16,2011.625,84.66
2011-08-17,2011.628,83.84
2011-08-18,2011.631,76.26
2011-08-19,2011.633,75.55
2011-08-22,2011.642,75.26
2011-08-23,2011.644,78.6
2011-08-24,2011.647,79.21
2011-08-25,2011.65,77.55
2011-08-26,2011.653,80.69
2011-08-29,2011.661,85.37
2011-08-30,2011.664,86.54
2011-08-31,2011.667,87.44
2011-09-01,2011.667,86.05
2011-09-02,2011.669,83.04
2011-09-06,2011.681,81.47
2011-09-07,2011.683,86.01
2011-09-08,2011.686,84.71
2011-09-09,2011.689,80.8
2011-09-12,2011.697,81.93
2011-09-13,2011.7,84.83
2011-09-14,2011.703,88.5
2011-09-15,2011.706,89.48
2011-09-16,2011.708,89.51
2011-09-19,2011.717,88.57
2011-09-20,2011.719,87.71
2011-09-21,2011.722,85.3
2011-09-22,2011.725,82.83
2011-09-23,2011.728,83.69
2011-09-26,2011.736,86.24
2011-09-27,2011.739,89.21
2011-09-28,2011.742,91.16
2011-09-29,2011.744,91.92
2011-09-30,2011.747,87.03
2011-10-03,2011.756,82.53
2011-10-04,2011.758,86.99
2011-10-05,2011.761,90.16
2011-10-06,2011.764,91.97
2011-10-07,2011.767,90.61
2011-10-10,2011.775,96.56
2011-10-11,2011.778,95.3
2011-10-12,2011.781,96.91
2011-10-13,2011.783,96.33
2011-10-14,2011.786,97.79
2011-10-17,2011.794,96.42
2011-10-18,2011.797,98.36
2011-10-19,2011.8,94.59
2011-10-20,2011.803,94.4
2011-10-21,2011.806,97.13
2011-10-24,2011.814,99.82
2011-10-25,2011.817,97.3
2011-10-26,2011.819,99.82
2011-10-27,2011.822,105.36
2011-10-28,2011.825,104.58
2011-10-31,2011.833,101.92
2011-11-01,2011.833,98.88
2011-11-02,2011.836,101.13
2011-11-03,2011.839,102.65
2011-11-04,2011.842,101.41
2011-11-07,2011.85,101.61
2011-11-08,2011.853,103.19
2011-11-09,2011.856,97.75
2011-11-10,2011.858,98.18
2011-11-11,2011.861,100.57
2011-11-14,2011.869,99.71
2011-11-15,2011.872,100.66
2011-11-16,2011.875,99.3
2011-11-17,2011.878,97.11
2011-11-18,2011.881,95.92
2011-11-21,2011.889,94.14
2011-11-22,2011.892,92.23
2011-11-23,2011.894,88.4
2011-11-25,2011.9,87.86
2011-11-28,2011.908,90.62
2011-11-29,2011.911,90.96
2011-11-30,2011.914,94.31
2011-12-01,2011.917,93.43
2011-12-02,2011.919,93.98
2011-12-05,2011.928,95.47
2011-12-06,2011.931,96.62
2011-12-07,2011.933,97.18
2011-12-08,2011.936,94.54
2011-12-09,2011.939,97.08
2011-12-12,2011.947,94.37
2011-12-13,2011.95,91.92
2011-12-14,2011.953,89.47
2011-12-15,2011.956,89.5
2011-12-16,2011.958,89.79
2011-12-19,2011.967,87.79
2011-12-20,2011.969,91.88
2011-12-21,2011.972,90.38
2011-12-22,2011.975,92.18
2011-12-23,2011.978,92.77
2011-12-27,2011.989,92.62
2011-12-28,2011.992,90.58
2011-12-29,2011.994,92.42
2011-12-30,2011.997,91.38
2012-01-03,2012.006,93.37
2012-01-04,2012.008,93.66
2012-01-05,2012.011,94.97
2012-01-06,2012.014,96.01
2012-01-09,2012.022,97.42
2012-01-10,2012.025,100.45
2012-01-11,2012.028,100.81
2012-01-12,2012.031,101.79
2012-01-13,2012.033,100.93
