Date,t,Close
2011-08-08,2011.603,98.18
2011-08-09,2011.606,103.33
2011-08-10,2011.608,99.85
2011-08-11,2011.611,105.86
2011-08-12,2011.614,106.81
2011-08-15,2011.622,108.69
2011-08-16,2011.625,107.74
2011-08-17,2011.628,109.17
2011-08-18,2011.631,105.34
2011-08-19,2011.633,105.1
2011-08-22,2011.642,107.32
2011-08-23,2011.644,112.46
2011-08-24,2011.647,115.19
2011-08-25,2011.65,113.38
2011-08-26,2011.653,113.86
2011-08-29,2011.661,118.36
2011-08-30,2011.664,117.54
2011-08-31,2011.667,116.85
2011-09-01,2011.667,114.13
2011-09-02,2011.669,109.86
2011-09-06,2011.681,109.67
2011-09-07,2011.683,111.93
2011-09-08,2011.686,111
2011-09-09,2011.689,107.81
2011-09-12,2011.697,108.66
2011-09-13,2011.7,109.7
2011-09-14,2011.703,111.66
2011-09-15,2011.706,112.88
2011-09-16,2011.708,112.25
2011-09-19,2011.717,109.93
2011-09-20,2011.719,110.32
2011-09-21,2011.722,105.59
2011-09-22,2011.725,104.04
2011-09-23,2011.728,107.95
2011-09-26,2011.736,111.63
2011-09-27,2011.739,112.9
2011-09-28,2011.742,109.94
2011-09-29,2011.744,111.18
2011-09-30,2011.747,111.31
2011-10-03,2011.756,107.41
2011-10-04,2011.758,109.39
2011-10-05,2011.761,110.92
2011-10-06,2011.764,112.4
2011-10-07,2011.767,111.9
2011-10-10,2011.775,115.13
2011-10-11,2011.778,113.35
2011-10-12,2011.781,113.8
2011-10-13,2011.783,112.51
2011-10-14,2011.786,114.25
2011-10-17,2011.794,112.71
2011-10-18,2011.797,114.1
2011-10-19,2011.8,113.11
2011-10-20,2011.803,113.37
2011-10-21,2011.806,115.63
2011-10-24,2011.814,117.48
2011-10-25,2011.817,116.16
2011-10-26,2011.819,117.69
2011-10-27,2011.822,117.86
2011-10-28,2011.825,115.41
2011-10-31,2011.833,113.26
2011-11-01,2011.833,108.78
2011-11-02,2011.836,109.09
2011-11-03,2011.839,110.82
2011-11-04,2011.842,109.78
2011-11-07,2011.85,109.59
2011-11-08,2011.853,109.88
2011-11-09,2011.856,106.91
2011-11-10,2011.858,107.04
2011-11-11,2011.861,109.41
2011-11-14,2011.869,107.36
2011-11-15,2011.872,107.62
2011-11-16,2011.875,106.68
2011-11-17,2011.878,105.75
2011-11-18,2011.881,106.28
2011-11-21,2011.889,103.33
2011-11-22,2011.892,104.81
2011-11-23,2011.894,103.65
2011-11-25,2011.9,103.88
2011-11-28,2011.908,105.2
2011-11-29,2011.911,105.29
2011-11-30,2011.914,108.59
2011-12-01,2011.917,108.22
2011-12-02,2011.919,107.29
2011-12-05,2011.928,108.42
2011-12-06,2011.931,108.53
2011-12-07,2011.933,108.16
2011-12-08,2011.936,105.46
2011-12-09,2011.939,108.57
2011-12-12,2011.947,108.42
2011-12-13,2011.95,106.92
2011-12-14,2011.953,107.05
2011-12-15,2011.956,105.66
2011-12-16,2011.958,105.58
2011-12-19,2011.967,105.57
2011-12-20,2011.969,108.06
2011-12-21,2011.972,108.49
2011-12-22,2011.975,109.54
2011-12-23,2011.978,110.6
2011-12-27,2011.989,111.19
2011-12-28,2011.992,109.95
2011-12-29,2011.994,110.47
2011-12-30,2011.997,110.11
2012-01-03,2012.006,110.2
2012-01-04,2012.008,108.97
2012-01-05,2012.011,109.7
2012-01-06,2012.014,110.76
2012-01-09,2012.022,110.54
2012-01-10,2012.025,112.14
2012-01-11,2012.028,111.74
2012-01-12,2012.031,114.46
2012-01-13,2012.033,113.36
2012-01-17,2012.044,113.31
2012-01-18,2012.047,113.75
2012-01-19,2012.05,114.22
2012-01-20,2012.053,114.78
2012-01-23,2012.061,115.64
2012-01-24,2012.064,115.69
2012-01-25,2012.067,116.37
2012-01-26,2012.069,116.57
2012-01-27,2012.072,116.94
2012-01-30,2012.081,116.8
2012-01-31,2012.083,117.39
2012-02-01,2012.083,118.92
2012-02-02,2012.086,118.59
2012-02-03,2012.089,120.17
2012-02-06,2012.097,119.86
2012-02-07,2012.1,119.07
2012-02-08,2012.103,119.32
2012-02-09,2012.106,119.4
2012-02-10,2012.108,119.29
2012-02-13,2012.117,120.8
2012-02-14,2012.119,120.74
2012-02-15,2012.122,119.31
2012-02-16,2012.125,118.39
2012-02-17,2012.128,118.75
2012-02-21,2012.139,119.73
2012-02-22,2012.142,119.6
2012-02-23,2012.144,120.84
2012-02-24,2012.147,121.11
2012-02-27,2012.156,120.24
2012-02-28,2012.158,119.39
2012-02-29,2012.161,119.24
2012-03-01,2012.167,119.58
2012-03-02,2012.169,118.82
2012-03-05,2012.178,119.29
2012-03-06,2012.181,118.11
2012-03-07,2012.183,117.59
2012-03-08,2012.186,119.15
2012-03-09,2012.189,120.23
2012-03-12,2012.197,120.25
2012-03-13,2012.2,120.63
2012-03-14,2012.203,119.95
2012-03-15,2012.206,119.39
2012-03-16,2012.208,119.8
2012-03-19,2012.217,119.8
2012-03-20,2012.219,119.11
2012-03-21,2012.222,119.49
2012-03-22,2012.225,119.36
2012-03-23,2012.228,119.01
2012-03-26,2012.236,120.48
2012-03-27,2012.239,120.3
2012-03-28,2012.242,119.44
2012-03-29,2012.244,118.85
2012-03-30,2012.247,119.07
2012-04-02,2012.253,120
2012-04-03,2012.256,119.44
2012-04-04,2012.258,119.43
2012-04-05,2012.261,120.13
2012-04-09,2012.272,119.51
2012-04-10,2012.275,118.01
2012-04-11,2012.278,119.47
2012-04-12,2012.281,121.1
2012-04-13,2012.283,120.38
2012-04-16,2012.292,120.68
2012-04-17,2012.294,121.77
2012-04-18,2012.297,122.37
2012-04-19,2012.3,121.79
2012-04-20,2012.303,122.57
2012-04-23,2012.311,121.9
2012-04-24,2012.314,122.12
2012-04-25,2012.317,122.56
2012-04-26,2012.319,121
2012-04-27,2012.322,115.07
2012-04-30,2012.331,115.07
2012-05-01,2012.333,116.1
2012-05-02,2012.336,115.7
2012-05-03,2012.339,114.93
2012-05-04,2012.342,113.52
2012-05-07,2012.35,113.79
2012-05-08,2012.353,113.55
2012-05-09,2012.356,112.33
2012-05-10,2012.358,113.06
2012-05-11,2012.361,112.09
2012-05-14,2012.369,108.97
2012-05-15,2012.372,109.07
2012-05-16,2012.375,109.86
2012-05-17,2012.378,109.06
2012-05-18,2012.381,108.71
2012-05-21,2012.389,110.22
2012-05-22,2012.392,111.15
2012-05-23,2012.394,112.53
2012-05-24,2012.397,112.47
2012-05-25,2012.4,112.27
2012-05-29,2012.411,112.42
2012-05-30,2012.414,111.28
2012-05-31,2012.417,111.18
2012-06-01,2012.417,109.89
2012-06-04,2012.425,109.65
2012-06-05,2012.428,109.63
2012-06-06,2012.431,110.55
2012-06-07,2012.433,110.39
2012-06-08,2012.436,111.25
2012-06-11,2012.444,110.46
2012-06-12,2012.447,110.52
2012-06-13,2012.45,110.52
2012-06-14,2012.453,110.7
2012-06-15,2012.456,110.77
2012-06-18,2012.464,111.31
2012-06-19,2012.467,112.5
2012-06-20,2012.469,112.33
2012-06-21,2012.472,110.9
2012-06-22,2012.475,110.54
2012-06-25,2012.483,109.89
2012-06-26,2012.486,110.2
2012-06-27,2012.489,111.03
2012-06-28,2012.492,111
2012-06-29,2012.494,114.25
2012-07-02,2012.503,113.95
2012-07-03,2012.506,114.32
2012-07-05,2012.511,113.89
2012-07-06,2012.514,113.14
2012-07-09,2012.522,113.35
2012-07-10,2012.525,114.16
2012-07-11,2012.528,111.47
2012-07-12,2012.531,112.09
2012-07-13,2012.533,113.35
2012-07-16,2012.542,113.49
2012-07-17,2012.544,114.36
2012-07-18,2012.547,115.24
2012-07-19,2012.55,116.11
2012-07-20,2012.553,114.88
2012-07-23,2012.561,114.5
2012-07-24,2012.564,113.44
2012-07-25,2012.567,113.41
2012-07-26,2012.569,114.79
2012-07-27,2012.572,118.33
2012-07-30,2012.581,119.34
2012-07-31,2012.583,119.1
2012-08-01,2012.583,118.15
2012-08-02,2012.586,117.4
2012-08-03,2012.589,119.19
2012-08-06,2012.597,119.5
2012-08-07,2012.6,119.17
2012-08-08,2012.603,118.77
2012-08-09,2012.606,118.62
2012-08-10,2012.608,119.16
2012-08-13,2012.617,118.94
2012-08-14,2012.619,119.29
2012-08-15,2012.622,119.6
2012-08-16,2012.625,120.8
2012-08-17,2012.628,120.65
2012-08-20,2012.636,117.96
2012-08-21,2012.639,117.48
2012-08-22,2012.642,117.37
2012-08-23,2012.644,116.96
2012-08-24,2012.647,117.17
2012-08-27,2012.656,116.66
2012-08-28,2012.658,116.95
2012-08-29,2012.661,117.88
2012-08-30,2012.664,117.44
2012-08-31,2012.667,117.54
2012-09-04,2012.675,117.66
2012-09-05,2012.678,116.54
2012-09-06,2012.681,118.3
2012-09-07,2012.683,118.88
2012-09-10,2012.692,118.12
2012-09-11,2012.694,117.98
2012-09-12,2012.697,117.76
2012-09-13,2012.7,118.6
2012-09-14,2012.703,118.1
2012-09-17,2012.711,118.15
2012-09-18,2012.714,118.51
2012-09-19,2012.717,116.02
2012-09-20,2012.719,114.76
2012-09-21,2012.722,114.46
2012-09-24,2012.731,114.35
2012-09-25,2012.733,113.4
2012-09-26,2012.736,112.22
2012-09-27,2012.739,112.42
2012-09-28,2012.742,112.89
2012-10-01,2012.75,111.94
2012-10-02,2012.753,112.26
2012-10-03,2012.756,112.37
2012-10-04,2012.758,113.39
2012-10-05,2012.761,113.63
2012-10-08,2012.769,113.57
2012-10-09,2012.772,112.45
2012-10-10,2012.775,112.63
2012-10-11,2012.778,113.02
2012-10-12,2012.781,113.06
2012-10-15,2012.789,114.11
2012-10-16,2012.792,114.51
2012-10-17,2012.794,115.88
2012-10-18,2012.797,116.62
2012-10-19,2012.8,115
2012-10-22,2012.808,115.2
2012-10-23,2012.811,114.66
2012-10-24,2012.814,113.22
2012-10-25,2012.817,116.51
2012-10-26,2012.819,115.75
2012-10-31,2012.833,116.29
2012-11-01,2012.833,116.99
2012-11-02,2012.836,113.25
2012-11-05,2012.844,113.79
2012-11-06,2012.847,113.99
2012-11-07,2012.85,112.96
2012-11-08,2012.853,111.9
2012-11-09,2012.856,112.21
2012-11-12,2012.864,112.19
2012-11-13,2012.867,111.72
2012-11-14,2012.869,110.14
2012-11-15,2012.872,110
2012-11-16,2012.875,111.11
2012-11-19,2012.883,111.72
2012-11-20,2012.886,112.44
2012-11-21,2012.889,113.47
2012-11-23,2012.894,114.35
2012-11-26,2012.903,114.11
2012-11-27,2012.906,114.17
2012-11-28,2012.908,114.98
2012-11-29,2012.911,115.56
2012-11-30,2012.914,115.73
2012-12-03,2012.922,115.51
2012-12-04,2012.925,115.94
2012-12-05,2012.928,118.16
2012-12-06,2012.931,118.56
2012-12-07,2012.933,119.24
2012-12-10,2012.942,119.71
2012-12-11,2012.944,118.87
2012-12-12,2012.947,117.88
2012-12-13,2012.95,118.17
2012-12-14,2012.953,118.05
2012-12-17,2012.961,118.62
2012-12-18,2012.964,119.56
2012-12-19,2012.967,119.11
2012-12-20,2012.969,119.51
2012-12-21,2012.972,118.73
2012-12-24,2012.981,118.75
2012-12-26,2012.986,118.22
2012-12-27,2012.989,118.36
2012-12-28,2012.992,117.29
2012-12-31,2013,118.56
2013-01-02,2013.003,119.42
2013-01-03,2013.006,120.15
2013-01-04,2013.008,120.36
2013-01-07,2013.017,120.2
2013-01-08,2013.019,120.26
2013-01-09,2013.022,121.36
2013-01-10,2013.025,122
2013-01-11,2013.028,121.79
2013-01-14,2013.036,121.8
2013-01-15,2013.039,121.88
2013-01-16,2013.042,121.82
2013-01-17,2013.044,122.55
2013-01-18,2013.047,123.02
2013-01-22,2013.058,124.05
2013-01-23,2013.061,123.71
2013-01-24,2013.064,123.55
2013-01-25,2013.067,124.16
2013-01-28,2013.075,126.11
2013-01-29,2013.078,126.1
2013-01-30,2013.081,125.32
2013-01-31,2013.083,126.12
2013-02-01,2013.083,126.18
2013-02-04,2013.092,124.75
2013-02-05,2013.094,125.18
2013-02-06,2013.097,125.53
2013-02-07,2013.1,127.59
2013-02-08,2013.103,125.91
2013-02-11,2013.111,125.92
2013-02-12,2013.114,126.11
2013-02-13,2013.117,126.37
2013-02-14,2013.119,127.38
2013-02-15,2013.122,126.87
2013-02-19,2013.133,126.46
2013-02-20,2013.136,126.07
2013-02-21,2013.139,125.57
2013-02-22,2013.142,126.44
2013-02-25,2013.15,125.2
2013-02-26,2013.153,125.59
2013-02-27,2013.156,127.09
2013-02-28,2013.158,127.66
2013-03-01,2013.167,126.46
2013-03-04,2013.175,127.76
2013-03-05,2013.178,128.51
2013-03-06,2013.181,127.64
2013-03-07,2013.183,126.55
2013-03-08,2013.186,127.68
2013-03-11,2013.194,128.49
2013-03-12,2013.197,128.07
2013-03-13,2013.2,129.57
2013-03-14,2013.203,129.74
2013-03-15,2013.206,130.52
2013-03-18,2013.214,130.31
2013-03-19,2013.217,130.39
2013-03-20,2013.219,131.94
2013-03-21,2013.222,131.8
2013-03-22,2013.225,133.44
2013-03-25,2013.233,133.28
2013-03-26,2013.236,133.94
2013-03-27,2013.239,133.92
2013-03-28,2013.242,135.84
2013-04-01,2013.25,133.86
2013-04-02,2013.253,134.41
2013-04-03,2013.256,133.77
2013-04-04,2013.258,134.36
2013-04-05,2013.261,133.33
2013-04-08,2013.269,134.17
2013-04-09,2013.272,134.75
2013-04-10,2013.275,136.89
2013-04-11,2013.278,137.58
2013-04-12,2013.281,137.4
2013-04-15,2013.289,134.55
2013-04-16,2013.292,136.63
2013-04-17,2013.294,134.12
2013-04-18,2013.297,133.48
2013-04-19,2013.3,135.13
2013-04-22,2013.308,134.78
2013-04-23,2013.311,135.56
2013-04-24,2013.314,137.55
2013-04-25,2013.317,138.06
2013-04-26,2013.319,139.7
2013-04-29,2013.328,139.39
2013-04-30,2013.331,140.66
2013-05-01,2013.333,139.79
2013-05-02,2013.336,140.3
2013-05-03,2013.339,141.57
2013-05-06,2013.347,141.79
2013-05-07,2013.35,143.24
2013-05-08,2013.353,143.2
2013-05-09,2013.356,142.39
2013-05-10,2013.358,141.65
2013-05-13,2013.367,140.96
2013-05-14,2013.369,142.1
2013-05-15,2013.372,143.88
2013-05-16,2013.375,143.77
2013-05-17,2013.378,145.4
2013-05-20,2013.386,145.29
2013-05-21,2013.389,145.86
2013-05-22,2013.392,144.23
2013-05-23,2013.394,144.49
2013-05-24,2013.397,144.59
2013-05-28,2013.408,144.61
2013-05-29,2013.411,142.26
2013-05-30,2013.414,143.65
2013-05-31,2013.417,142.71
2013-06-03,2013.422,142.67
2013-06-04,2013.425,141.94
2013-06-05,2013.428,140
2013-06-06,2013.431,139.3
2013-06-07,2013.433,139.68
2013-06-10,2013.442,139.43
2013-06-11,2013.444,138.46
2013-06-12,2013.447,137.91
2013-06-13,2013.45,138.2
2013-06-14,2013.453,137.88
2013-06-17,2013.461,140.21
2013-06-18,2013.464,142.02
2013-06-19,2013.467,139.43
2013-06-20,2013.469,136.98
2013-06-21,2013.472,137.85
2013-06-24,2013.481,135.71
2013-06-25,2013.483,136.98
2013-06-26,2013.486,139.59
2013-06-27,2013.489,140.11
2013-06-28,2013.492,140.11
2013-07-01,2013.5,141.25
2013-07-02,2013.503,140.21
2013-07-03,2013.506,139.82
2013-07-05,2013.511,141.69
2013-07-08,2013.519,142.21
2013-07-09,2013.522,143.76
2013-07-10,2013.525,144.33
2013-07-11,2013.528,146.38
2013-07-12,2013.531,146.68
2013-07-15,2013.539,146.46
2013-07-16,2013.542,145.75
2013-07-17,2013.544,145.79
2013-07-18,2013.547,147.33
2013-07-19,2013.55,147.46
2013-07-22,2013.558,147.47
2013-07-23,2013.561,147.45
2013-07-24,2013.564,146.93
2013-07-25,2013.567,146.88
2013-07-26,2013.569,145.37
2013-07-29,2013.578,144.1
2013-07-30,2013.581,144.51
2013-07-31,2013.583,144.67
2013-08-01,2013.583,146.32
2013-08-02,2013.586,146.72
2013-08-05,2013.594,147.02
2013-08-06,2013.597,146.59
2013-08-07,2013.6,146.7
2013-08-08,2013.603,148.12
