Date,t,Close
2011-10-05,2011.761,305.47
2011-10-06,2011.764,309.19
2011-10-07,2011.767,309.19
2011-10-10,2011.775,313.51
2011-10-11,2011.778,313.39
2011-10-12,2011.781,316.74
2011-10-13,2011.783,317.7
2011-10-14,2011.786,319.86
2011-10-17,2011.794,313.63
2011-10-18,2011.797,319.98
2011-10-19,2011.8,312.31
2011-10-20,2011.803,314.95
2011-10-21,2011.806,323.22
2011-10-24,2011.814,323.58
2011-10-25,2011.817,320.7
2011-10-26,2011.819,321.3
2011-10-27,2011.822,331.38
2011-10-28,2011.825,334.97
2011-10-31,2011.833,332.46
2011-11-01,2011.833,326.22
2011-11-02,2011.836,330.54
2011-11-03,2011.839,333.9
2011-11-04,2011.842,333.42
2011-11-07,2011.85,334.37
2011-11-08,2011.853,337.01
2011-11-09,2011.856,330.06
2011-11-10,2011.858,330.66
2011-11-11,2011.861,332.82
2011-11-14,2011.869,331.62
2011-11-15,2011.872,333.9
2011-11-16,2011.875,330.06
2011-11-17,2011.878,327.9
2011-11-18,2011.881,333.3
2011-11-21,2011.889,326.34
2011-11-22,2011.892,328.86
2011-11-23,2011.894,322.5
2011-11-25,2011.9,324.66
2011-11-28,2011.908,333.54
2011-11-29,2011.911,333.3
2011-11-30,2011.914,342.29
2011-12-01,2011.917,344.57
2011-12-02,2011.919,349.37
2011-12-05,2011.928,350.45
2011-12-06,2011.931,349.13
2011-12-07,2011.933,352.13
2011-12-08,2011.936,348.89
2011-12-09,2011.939,353.44
2011-12-12,2011.947,350.45
2011-12-13,2011.95,348.89
2011-12-14,2011.953,346.61
2011-12-15,2011.956,347.69
2011-12-16,2011.958,346.61
2011-12-19,2011.967,342.89
2011-12-20,2011.969,348.53
2011-12-21,2011.972,348.65
2011-12-22,2011.975,350.33
2011-12-23,2011.978,352.96
2011-12-27,2011.989,353.68
2011-12-28,2011.992,351.41
2011-12-29,2011.994,353.92
2011-12-30,2011.997,351.77
2012-01-03,2012.006,353.2
2012-01-04,2012.008,347.81
2012-01-05,2012.011,346.73
2012-01-06,2012.014,346.85
2012-01-09,2012.022,346.73
2012-01-10,2012.025,350.21
2012-01-11,2012.028,350.57
2012-01-12,2012.031,351.77
2012-01-13,2012.033,353.44
2012-01-17,2012.044,357.76
2012-01-18,2012.047,357.76
2012-01-19,2012.05,359.8
2012-01-20,2012.053,362.44
2012-01-23,2012.061,363.16
2012-01-24,2012.064,363.28
2012-01-25,2012.067,364.96
2012-01-26,2012.069,364
2012-01-27,2012.072,363.4
2012-01-30,2012.081,361.48
2012-01-31,2012.083,361.12
2012-02-01,2012.083,364.72
2012-02-02,2012.086,367.36
2012-02-03,2012.089,370.59
2012-02-06,2012.097,357.28
2012-02-07,2012.1,352.13
2012-02-08,2012.103,353.2
2012-02-09,2012.106,354.28
2012-02-10,2012.108,351.53
2012-02-13,2012.117,351.17
2012-02-14,2012.119,351.41
2012-02-15,2012.122,349.37
2012-02-16,2012.125,349.37
2012-02-17,2012.128,353.44
2012-02-21,2012.139,352.24
2012-02-22,2012.142,352.6
2012-02-23,2012.144,351.53
2012-02-24,2012.147,351.05
2012-02-27,2012.156,349.85
2012-02-28,2012.158,351.89
2012-02-29,2012.161,352.84
2012-03-01,2012.167,351.77
2012-03-02,2012.169,352.01
2012-03-05,2012.178,353.32
2012-03-06,2012.181,352.48
2012-03-07,2012.183,354.16
2012-03-08,2012.186,356.8
2012-03-09,2012.189,358.96
2012-03-12,2012.197,361.6
2012-03-13,2012.2,361.84
2012-03-14,2012.203,362.08
2012-03-15,2012.206,356.08
2012-03-16,2012.208,355.36
2012-03-19,2012.217,355.6
2012-03-20,2012.219,356.32
2012-03-21,2012.222,358.72
2012-03-22,2012.225,358.24
2012-03-23,2012.228,357.88
2012-03-26,2012.236,360.04
2012-03-27,2012.239,359.2
2012-03-28,2012.242,357.64
2012-03-29,2012.244,357.16
2012-03-30,2012.247,358.12
2012-04-02,2012.253,360.28
2012-04-03,2012.256,355.72
2012-04-04,2012.258,353.8
2012-04-05,2012.261,353.44
2012-04-09,2012.272,349.13
2012-04-10,2012.275,347.69
2012-04-11,2012.278,351.17
2012-04-12,2012.281,353.08
2012-04-13,2012.283,351.53
2012-04-16,2012.292,355.96
2012-04-17,2012.294,361
2012-04-18,2012.297,355.84
2012-04-19,2012.3,354.4
2012-04-20,2012.303,348.17
2012-04-23,2012.311,342.29
2012-04-24,2012.314,342.89
2012-04-25,2012.317,345.53
2012-04-26,2012.319,346.85
2012-04-27,2012.322,348.53
2012-04-30,2012.331,346.61
2012-05-01,2012.333,347.93
2012-05-02,2012.336,344.21
2012-05-03,2012.339,340.01
2012-05-04,2012.342,334.61
2012-05-07,2012.35,339.29
2012-05-08,2012.353,336.05
2012-05-09,2012.356,332.46
2012-05-10,2012.358,334.37
2012-05-11,2012.361,331.02
2012-05-14,2012.369,330.66
2012-05-15,2012.372,332.22
2012-05-16,2012.375,332.82
2012-05-17,2012.378,333.3
2012-05-18,2012.381,326.94
2012-05-21,2012.389,328.14
2012-05-22,2012.392,330.54
2012-05-23,2012.394,330.3
2012-05-24,2012.397,333.42
2012-05-25,2012.4,335.09
2012-05-29,2012.411,337.01
2012-05-30,2012.414,335.93
2012-05-31,2012.417,334.73
2012-06-01,2012.417,330.42
2012-06-04,2012.425,332.82
2012-06-05,2012.428,334.85
2012-06-06,2012.431,339.05
2012-06-07,2012.433,343.25
2012-06-08,2012.436,345.41
2012-06-11,2012.444,343.49
2012-06-12,2012.447,343.01
2012-06-13,2012.45,342.17
2012-06-14,2012.453,347.57
2012-06-15,2012.456,349.49
2012-06-18,2012.464,350.21
2012-06-19,2012.467,353.8
2012-06-20,2012.469,350.69
2012-06-21,2012.472,346.49
2012-06-22,2012.475,347.81
2012-06-25,2012.483,345.41
2012-06-26,2012.486,344.81
2012-06-27,2012.489,347.81
2012-06-28,2012.492,351.65
2012-06-29,2012.494,357.52
2012-07-02,2012.503,358.36
2012-07-03,2012.506,353.92
2012-07-05,2012.511,351.29
2012-07-06,2012.514,347.69
2012-07-09,2012.522,348.41
2012-07-10,2012.525,350.33
2012-07-11,2012.528,349.97
2012-07-12,2012.531,344.09
2012-07-13,2012.533,346.61
2012-07-16,2012.542,346.25
2012-07-17,2012.544,346.85
2012-07-18,2012.547,348.65
2012-07-19,2012.55,348.65
2012-07-20,2012.553,346.25
2012-07-23,2012.561,342.41
2012-07-24,2012.564,341.45
2012-07-25,2012.567,339.53
2012-07-26,2012.569,345.53
2012-07-27,2012.572,350.81
2012-07-30,2012.581,352.01
2012-07-31,2012.583,352.48
2012-08-01,2012.583,350.81
2012-08-02,2012.586,345.41
2012-08-03,2012.589,350.57
2012-08-06,2012.597,349.37
2012-08-07,2012.6,346.13
2012-08-08,2012.603,346.49
2012-08-09,2012.606,344.09
2012-08-10,2012.608,345.89
2012-08-13,2012.617,361.48
2012-08-14,2012.619,365.2
2012-08-15,2012.622,367.6
2012-08-16,2012.625,364.6
2012-08-17,2012.628,366.52
2012-08-20,2012.636,364.12
2012-08-21,2012.639,362.56
2012-08-22,2012.642,362.2
2012-08-23,2012.644,360.16
2012-08-24,2012.647,364.12
2012-08-27,2012.656,364.48
2012-08-28,2012.658,365.2
2012-08-29,2012.661,363.88
2012-08-30,2012.664,363.16
2012-08-31,2012.667,363.4
2012-09-04,2012.675,363.28
2012-09-05,2012.678,361.72
2012-09-06,2012.681,367.24
2012-09-07,2012.683,366.76
2012-09-10,2012.692,366.16
2012-09-11,2012.694,365.32
2012-09-12,2012.697,362.08
2012-09-13,2012.7,367.72
2012-09-14,2012.703,364
2012-09-17,2012.711,366.04
2012-09-18,2012.714,368.32
2012-09-19,2012.717,372.03
2012-09-20,2012.719,370.23
2012-09-21,2012.722,368.8
2012-09-24,2012.731,371.19
2012-09-25,2012.733,370.23
2012-09-26,2012.736,370.35
2012-09-27,2012.739,374.79
2012-09-28,2012.742,375.03
2012-10-01,2012.75,378.51
2012-10-02,2012.753,380.79
2012-10-03,2012.756,378.99
2012-10-04,2012.758,378.51
2012-10-05,2012.761,378.99
2012-10-08,2012.769,376.59
2012-10-09,2012.772,374.55
2012-10-10,2012.775,373.71
2012-10-11,2012.778,374.79
2012-10-12,2012.781,374.79
2012-10-15,2012.789,377.67
2012-10-16,2012.792,378.87
2012-10-17,2012.794,379.71
2012-10-18,2012.797,380.07
2012-10-19,2012.8,370.83
2012-10-22,2012.808,370.23
2012-10-23,2012.811,367.36
2012-10-24,2012.814,364.72
2012-10-25,2012.817,369.88
2012-10-26,2012.819,370.12
2012-10-31,2012.833,372.63
2012-11-01,2012.833,378.63
2012-11-02,2012.836,375.87
2012-11-05,2012.844,369.16
2012-11-06,2012.847,367.12
2012-11-07,2012.85,362.68
2012-11-08,2012.853,358.48
2012-11-09,2012.856,359.8
2012-11-12,2012.864,359.32
2012-11-13,2012.867,359.32
2012-11-14,2012.869,359.68
2012-11-15,2012.872,358.84
2012-11-16,2012.875,360.16
2012-11-19,2012.883,365.44
2012-11-20,2012.886,365.32
2012-11-21,2012.889,365.56
2012-11-23,2012.894,371.79
2012-11-26,2012.903,372.27
2012-11-27,2012.906,375.03
2012-11-28,2012.908,378.87
2012-11-29,2012.911,377.79
2012-11-30,2012.914,379.59
2012-12-03,2012.922,378.15
2012-12-04,2012.925,374.55
2012-12-05,2012.928,379.83
2012-12-06,2012.931,382.23
2012-12-07,2012.933,381.75
2012-12-10,2012.942,380.55
2012-12-11,2012.944,382.11
2012-12-12,2012.947,384.27
2012-12-13,2012.95,382.35
2012-12-14,2012.953,380.91
2012-12-17,2012.961,383.07
2012-12-18,2012.964,386.67
2012-12-19,2012.967,383.67
2012-12-20,2012.969,388.46
2012-12-21,2012.972,383.31
2012-12-24,2012.981,382.95
2012-12-26,2012.986,379.95
2012-12-27,2012.989,380.31
2012-12-28,2012.992,376.71
2012-12-31,2013,379.71
2013-01-02,2013.003,382.59
2013-01-03,2013.006,380.91
2013-01-04,2013.008,381.99
2013-01-07,2013.017,380.91
2013-01-08,2013.019,377.07
2013-01-09,2013.022,370.35
2013-01-10,2013.025,371.19
2013-01-11,2013.028,370.71
2013-01-14,2013.036,372.63
2013-01-15,2013.039,374.31
2013-01-16,2013.042,373.59
2013-01-17,2013.044,375.15
2013-01-18,2013.047,377.43
2013-01-22,2013.058,378.75
2013-01-23,2013.061,380.43
2013-01-24,2013.064,378.39
2013-01-25,2013.067,381.75
2013-01-28,2013.075,380.19
2013-01-29,2013.078,381.03
2013-01-30,2013.081,379.23
2013-01-31,2013.083,381.03
2013-02-01,2013.083,384.87
2013-02-04,2013.092,374.55
2013-02-05,2013.094,376.23
2013-02-06,2013.097,376.95
2013-02-07,2013.1,378.15
2013-02-08,2013.103,379.11
2013-02-11,2013.111,378.51
2013-02-12,2013.114,378.51
2013-02-13,2013.117,381.15
2013-02-14,2013.119,384.15
2013-02-15,2013.122,384.63
2013-02-19,2013.133,387.27
2013-02-20,2013.136,390.14
2013-02-21,2013.139,391.7
2013-02-22,2013.142,392.78
2013-02-25,2013.15,383.67
2013-02-26,2013.153,382.35
2013-02-27,2013.156,385.47
2013-02-28,2013.158,385.71
2013-03-01,2013.167,389.54
2013-03-04,2013.175,393.14
2013-03-05,2013.178,393.86
2013-03-06,2013.181,393.74
2013-03-07,2013.183,391.82
2013-03-08,2013.186,399.02
2013-03-11,2013.194,402.86
2013-03-12,2013.197,402.98
2013-03-13,2013.2,404.9
2013-03-14,2013.203,405.14
2013-03-15,2013.206,406.1
2013-03-18,2013.214,405.14
2013-03-19,2013.217,412.81
2013-03-20,2013.219,414.13
2013-03-21,2013.222,413.05
2013-03-22,2013.225,418.57
2013-03-25,2013.233,420.01
2013-03-26,2013.236,419.77
2013-03-27,2013.239,419.89
2013-03-28,2013.242,421.81
2013-04-01,2013.25,422.65
2013-04-02,2013.253,420.49
2013-04-03,2013.256,413.77
2013-04-04,2013.258,412.21
2013-04-05,2013.261,412.33
2013-04-08,2013.269,409.69
2013-04-09,2013.272,411.73
2013-04-10,2013.275,416.77
2013-04-11,2013.278,415.33
2013-04-12,2013.281,415.21
2013-04-15,2013.289,405.38
2013-04-16,2013.292,413.29
2013-04-17,2013.294,410.53
2013-04-18,2013.297,410.41
2013-04-19,2013.3,416.29
2013-04-22,2013.308,416.53
2013-04-23,2013.311,419.89
2013-04-24,2013.314,416.41
2013-04-25,2013.317,418.09
2013-04-26,2013.319,417.37
2013-04-29,2013.328,419.89
2013-04-30,2013.331,418.09
2013-05-01,2013.333,414.61
2013-05-02,2013.336,420.01
2013-05-03,2013.339,415.69
2013-05-06,2013.347,411.73
2013-05-07,2013.35,412.57
2013-05-08,2013.353,413.05
2013-05-09,2013.356,409.69
2013-05-10,2013.358,410.17
2013-05-13,2013.367,410.89
2013-05-14,2013.369,416.77
2013-05-15,2013.372,421.33
2013-05-16,2013.375,418.45
2013-05-17,2013.378,421.45
2013-05-20,2013.386,417.97
2013-05-21,2013.389,420.73
2013-05-22,2013.392,420.61
2013-05-23,2013.394,414.49
2013-05-24,2013.397,417.61
2013-05-28,2013.408,419.53
2013-05-29,2013.411,408.97
2013-05-30,2013.414,408.97
2013-05-31,2013.417,405.38
2013-06-03,2013.422,406.45
2013-06-04,2013.425,409.93
2013-06-05,2013.428,399.98
2013-06-06,2013.431,400.46
2013-06-07,2013.433,404.9
2013-06-10,2013.442,408.73
2013-06-11,2013.444,409.33
2013-06-12,2013.447,409.69
2013-06-13,2013.45,414.37
2013-06-14,2013.453,413.41
2013-06-17,2013.461,416.05
2013-06-18,2013.464,416.65
2013-06-19,2013.467,409.57
2013-06-20,2013.469,400.58
2013-06-21,2013.472,403.94
2013-06-24,2013.481,403.7
2013-06-25,2013.483,406.33
2013-06-26,2013.486,408.97
2013-06-27,2013.489,411.25
2013-06-28,2013.492,409.69
2013-07-01,2013.5,411.61
2013-07-02,2013.503,408.13
2013-07-03,2013.506,404.78
2013-07-05,2013.511,407.05
2013-07-08,2013.519,415.93
2013-07-09,2013.522,420.01
2013-07-10,2013.525,419.17
2013-07-11,2013.528,425.16
2013-07-12,2013.531,426.96
2013-07-15,2013.539,427.92
2013-07-16,2013.542,426.6
2013-07-17,2013.544,425.16
2013-07-18,2013.547,430.08
2013-07-19,2013.55,432.12
2013-07-22,2013.558,428.64
2013-07-23,2013.561,425.88
2013-07-24,2013.564,412.93
2013-07-25,2013.567,414.25
2013-07-26,2013.569,417.01
2013-07-29,2013.578,419.53
2013-07-30,2013.581,416.17
2013-07-31,2013.583,413.89
2013-08-01,2013.583,417.25
2013-08-02,2013.586,419.53
2013-08-05,2013.594,419.89
2013-08-06,2013.597,420.49
2013-08-07,2013.6,417.97
2013-08-08,2013.603,418.09
2013-08-09,2013.606,419.89
2013-08-12,2013.614,395.66
2013-08-13,2013.617,397.1
2013-08-14,2013.619,396.14
2013-08-15,2013.622,389.54
2013-08-16,2013.625,389.18
2013-08-19,2013.633,389.78
2013-08-20,2013.636,388.94
2013-08-21,2013.639,383.55
2013-08-22,2013.642,387.15
2013-08-23,2013.644,386.79
2013-08-26,2013.653,382.47
2013-08-27,2013.656,380.67
2013-08-28,2013.658,377.43
2013-08-29,2013.661,383.19
2013-08-30,2013.664,384.03
2013-09-03,2013.672,385.95
2013-09-04,2013.675,385.47
2013-09-05,2013.678,384.99
2013-09-06,2013.681,384.27
2013-09-09,2013.689,386.43
2013-09-10,2013.692,386.55
2013-09-11,2013.694,389.9
2013-09-12,2013.697,391.46
2013-09-13,2013.7,394.34
2013-09-16,2013.708,395.9
2013-09-17,2013.711,397.82
2013-09-18,2013.714,400.46
2013-09-19,2013.717,393.74
2013-09-20,2013.719,390.62
2013-09-23,2013.728,387.51
2013-09-24,2013.731,388.58
2013-09-25,2013.733,383.91
2013-09-26,2013.736,385.23
2013-09-27,2013.739,384.15
2013-09-30,2013.747,381.75
2013-10-01,2013.75,382.47
2013-10-02,2013.753,379.83
2013-10-03,2013.756,378.51
2013-10-04,2013.758,380.43
2013-10-07,2013.767,379.35
2013-10-08,2013.769,373.71
2013-10-09,2013.772,379.59
2013-10-10,2013.775,387.27
2013-10-11,2013.778,386.43
2013-10-14,2013.786,385.11
2013-10-15,2013.789,382.11
2013-10-16,2013.792,384.87
2013-10-17,2013.794,384.99
2013-10-18,2013.797,384.63
2013-10-21,2013.806,386.07
2013-10-22,2013.808,391.34
2013-10-23,2013.811,390.38
2013-10-24,2013.814,393.74
2013-10-25,2013.817,395.66
2013-10-28,2013.825,398.54
2013-10-29,2013.828,393.86
2013-10-30,2013.831,389.66
2013-10-31,2013.833,387.87
2013-11-01,2013.833,390.5
2013-11-04,2013.842,407.29
2013-11-05,2013.844,399.5
2013-11-06,2013.847,403.7
2013-11-07,2013.85,397.46
2013-11-08,2013.853,397.34
2013-11-11,2013.861,396.86
2013-11-12,2013.864,397.58
2013-11-13,2013.867,400.58
2013-11-14,2013.869,402.62
2013-11-15,2013.872,404.18
2013-11-18,2013.881,403.34
2013-11-19,2013.883,402.98
2013-11-20,2013.886,399.74
2013-11-21,2013.889,401.9
2013-11-22,2013.892,406.93
2013-11-25,2013.9,405.14
2013-11-26,2013.903,409.69
2013-11-27,2013.906,405.5
2013-11-29,2013.911,403.34
2013-12-02,2013.919,403.46
2013-12-03,2013.922,404.06
2013-12-04,2013.925,403.34
2013-12-05,2013.928,402.62
2013-12-06,2013.931,411.49
2013-12-09,2013.939,451.19
2013-12-10,2013.942,443.27
2013-12-11,2013.944,443.27
2013-12-12,2013.947,434.52
2013-12-13,2013.95,435.12
2013-12-16,2013.958,434.16
2013-12-17,2013.961,432.12
2013-12-18,2013.964,435
2013-12-19,2013.967,434.88
2013-12-20,2013.969,437.16
2013-12-23,2013.978,437.64
2013-12-24,2013.981,437.4
2013-12-26,2013.986,438.12
2013-12-27,2013.989,441.6
2013-12-30,2013.997,439.68
2013-12-31,2014,432.96
2014-01-02,2014.003,430.8
2014-01-03,2014.006,432.36
2014-01-06,2014.014,431.76
2014-01-07,2014.017,437.52
2014-01-08,2014.019,431.64
2014-01-09,2014.022,430.92
2014-01-10,2014.025,436.08
2014-01-13,2014.033,435.12
2014-01-14,2014.036,439.56
2014-01-15,2014.039,440.88
2014-01-16,2014.042,442.43
2014-01-17,2014.044,437.88
2014-01-21,2014.056,438.48
2014-01-22,2014.058,436.68
2014-01-23,2014.061,433.08
2014-01-24,2014.064,425.52
2014-01-27,2014.072,426.48
2014-01-28,2014.075,428.52
2014-01-29,2014.078,420.37
2014-01-30,2014.081,421.57
2014-01-31,2014.083,420.73
2014-02-03,2014.089,413.89
2014-02-04,2014.092,414.85
2014-02-05,2014.094,416.89
2014-02-06,2014.097,423.13
2014-02-07,2014.1,425.88
2014-02-10,2014.108,424.44
2014-02-11,2014.111,427.92
2014-02-12,2014.114,423.97
2014-02-13,2014.117,427.2
2014-02-14,2014.119,428.28
2014-02-18,2014.131,430.8
2014-02-19,2014.133,429.6
2014-02-20,2014.136,429.96
2014-02-21,2014.139,432.24
2014-02-24,2014.147,431.4
2014-02-25,2014.15,432.96
2014-02-26,2014.153,431.88
2014-02-27,2014.156,431.16
2014-02-28,2014.158,432
2014-03-03,2014.172,431.76
2014-03-04,2014.175,436.56
2014-03-05,2014.178,434.16
2014-03-06,2014.181,435.24
2014-03-07,2014.183,434.28
2014-03-10,2014.192,434.04
2014-03-11,2014.194,433.56
2014-03-12,2014.197,434.16
2014-03-13,2014.2,429.72
2014-03-14,2014.203,431.04
2014-03-17,2014.211,433.8
2014-03-18,2014.214,437.64
2014-03-19,2014.217,433.56
2014-03-20,2014.219,434.76
2014-03-21,2014.222,432.48
2014-03-24,2014.231,429.96
2014-03-25,2014.233,429.96
2014-03-26,2014.236,430.08
2014-03-27,2014.239,425.4
2014-03-28,2014.242,431.52
2014-03-31,2014.25,433.32
2014-04-01,2014.25,433.08
2014-04-02,2014.253,428.64
2014-04-03,2014.256,430.08
2014-04-04,2014.258,427.56
2014-04-07,2014.267,430.08
2014-04-08,2014.269,429.84
2014-04-09,2014.272,433.92
2014-04-10,2014.275,430.8
2014-04-11,2014.278,423.85
2014-04-14,2014.286,428.76
2014-04-15,2014.289,428.88
2014-04-16,2014.292,430.8
2014-04-17,2014.294,432.12
2014-04-21,2014.306,435.96
2014-04-22,2014.308,436.32
2014-04-23,2014.311,436.92
2014-04-24,2014.314,436.56
2014-04-25,2014.317,432.24
2014-04-28,2014.325,437.52
2014-04-29,2014.328,434.64
2014-04-30,2014.331,436.92
2014-05-01,2014.333,434.16
2014-05-02,2014.336,434.28
2014-05-05,2014.344,446.03
2014-05-06,2014.347,438.6
2014-05-07,2014.35,440.64
2014-05-08,2014.353,439.08
2014-05-09,2014.356,441.6
2014-05-12,2014.364,441.12
2014-05-13,2014.367,441.6
