Date,t,Close
2011-08-10,2011.608,94.61
2011-08-11,2011.611,98.4
2011-08-12,2011.614,99.13
2011-08-15,2011.622,100.73
2011-08-16,2011.625,100.92
2011-08-17,2011.628,102.81
2011-08-18,2011.631,98.95
2011-08-19,2011.633,96.97
2011-08-22,2011.642,96.97
2011-08-23,2011.644,98.49
2011-08-24,2011.647,97.9
2011-08-25,2011.65,96.85
2011-08-26,2011.653,99.1
2011-08-29,2011.661,103.39
2011-08-30,2011.664,102.81
2011-08-31,2011.667,105.37
2011-09-01,2011.667,103.54
2011-09-02,2011.669,101.95
2011-09-06,2011.681,102.22
2011-09-07,2011.683,105.63
2011-09-08,2011.686,105.12
2011-09-09,2011.689,100.74
2011-09-12,2011.697,100.86
2011-09-13,2011.7,101.51
2011-09-14,2011.703,102.18
2011-09-15,2011.706,104.66
2011-09-16,2011.708,103.6
2011-09-19,2011.717,104.91
2011-09-20,2011.719,104.18
2011-09-21,2011.722,101.03
2011-09-22,2011.725,99.12
2011-09-23,2011.728,99.41
2011-09-26,2011.736,102.82
2011-09-27,2011.739,102.29
2011-09-28,2011.742,101.29
2011-09-29,2011.744,100.97
2011-09-30,2011.747,98.97
2011-10-03,2011.756,96.56
2011-10-04,2011.758,99.01
2011-10-05,2011.761,100.45
2011-10-06,2011.764,103.64
2011-10-07,2011.767,102.16
2011-10-10,2011.775,104.4
2011-10-11,2011.778,103.6
2011-10-12,2011.781,104.18
2011-10-13,2011.783,103.72
2011-10-14,2011.786,104.36
2011-10-17,2011.794,103.07
2011-10-18,2011.797,104.99
2011-10-19,2011.8,105.71
2011-10-20,2011.803,105.89
2011-10-21,2011.806,107.95
2011-10-24,2011.814,109.72
2011-10-25,2011.817,106.92
2011-10-26,2011.819,108.06
2011-10-27,2011.822,111.46
2011-10-28,2011.825,110.7
2011-10-31,2011.833,108.79
2011-11-01,2011.833,105.43
2011-11-02,2011.836,106.68
2011-11-03,2011.839,105.8
2011-11-04,2011.842,106.07
2011-11-07,2011.85,106.91
2011-11-08,2011.853,107.76
2011-11-09,2011.856,105.19
2011-11-10,2011.858,106.11
2011-11-11,2011.861,108.5
2011-11-14,2011.869,107.21
2011-11-15,2011.872,107.35
2011-11-16,2011.875,105.17
2011-11-17,2011.878,102.97
2011-11-18,2011.881,103.53
2011-11-21,2011.889,102.12
2011-11-22,2011.892,101.42
2011-11-23,2011.894,99.99
2011-11-25,2011.9,101.2
2011-11-28,2011.908,104.02
2011-11-29,2011.911,102.85
2011-11-30,2011.914,107.01
2011-12-01,2011.917,107.29
2011-12-02,2011.919,107.69
2011-12-05,2011.928,109.45
2011-12-06,2011.931,109.8
2011-12-07,2011.933,109.05
2011-12-08,2011.936,107.74
2011-12-09,2011.939,110.29
2011-12-12,2011.947,109.7
2011-12-13,2011.95,109.12
2011-12-14,2011.953,107.2
2011-12-15,2011.956,108.33
2011-12-16,2011.958,107.79
2011-12-19,2011.967,107.18
2011-12-20,2011.969,109.76
2011-12-21,2011.972,111.15
2011-12-22,2011.975,110.54
2011-12-23,2011.978,111.63
2011-12-27,2011.989,111.85
2011-12-28,2011.992,111.74
2011-12-29,2011.994,112.23
2011-12-30,2011.997,111.5
2012-01-03,2012.006,112.86
