Date,t,Close
2011-10-03,2011.756,795.38
2011-10-04,2011.758,831.45
2011-10-05,2011.761,877.81
2011-10-06,2011.764,931.92
2011-10-07,2011.767,911.95
2011-10-10,2011.775,949.67
2011-10-11,2011.778,965.04
2011-10-12,2011.781,962.01
2011-10-13,2011.783,962.33
2011-10-14,2011.786,980.27
2011-10-17,2011.794,949.22
2011-10-18,2011.797,972.63
2011-10-19,2011.8,943.07
2011-10-20,2011.803,963.52
2011-10-21,2011.806,992.22
2011-10-24,2011.814,1001.05
2011-10-25,2011.817,979.73
2011-10-26,2011.819,1000.19
2011-10-27,2011.822,1046.22
2011-10-28,2011.825,1036.93
2011-10-31,2011.833,985.64
2011-11-01,2011.833,958.55
2011-11-02,2011.836,980.09
2011-11-03,2011.839,996.22
2011-11-04,2011.842,993.98
2011-11-07,2011.85,1000.94
2011-11-08,2011.853,1020.08
2011-11-09,2011.856,974.58
2011-11-10,2011.858,989.47
2011-11-11,2011.861,1011.97
2011-11-14,2011.869,1000.69
2011-11-15,2011.872,996.47
2011-11-16,2011.875,973.33
2011-11-17,2011.878,921.93
2011-11-18,2011.881,941.3
2011-11-21,2011.889,934.61
2011-11-22,2011.892,920.41
2011-11-23,2011.894,895.27
2011-11-25,2011.9,885.28
2011-11-28,2011.908,912.59
2011-11-29,2011.911,912.16
2011-11-30,2011.914,945.76
2011-12-01,2011.917,950.76
2011-12-02,2011.919,915.96
2011-12-05,2011.928,916.46
2011-12-06,2011.931,945.51
2011-12-07,2011.933,941.18
2011-12-08,2011.936,912.58
2011-12-09,2011.939,920.07
2011-12-12,2011.947,898.43
2011-12-13,2011.95,883.92
2011-12-14,2011.953,867.38
2011-12-15,2011.956,872.83
2011-12-16,2011.958,873.95
2011-12-19,2011.967,865.24
2011-12-20,2011.969,906.61
2011-12-21,2011.972,910.42
2011-12-22,2011.975,921.34
2011-12-23,2011.978,929.1
2011-12-27,2011.989,930.17
2011-12-28,2011.992,907.22
2011-12-29,2011.994,915.24
2011-12-30,2011.997,913.86
2012-01-03,2012.006,946.6
2012-01-04,2012.008,955.11
2012-01-05,2012.011,992.75
2012-01-06,2012.014,994.93
2012-01-09,2012.022,1006.19
2012-01-10,2012.025,1025.75
2012-01-11,2012.028,1032.63
2012-01-12,2012.031,1033.13
2012-01-13,2012.033,1036.38
2012-01-17,2012.044,1045.32
2012-01-18,2012.047,1038.24
2012-01-19,2012.05,1035.22
2012-01-20,2012.053,1042.1
2012-01-23,2012.061,1039.16
2012-01-24,2012.064,1039.38
2012-01-25,2012.067,1061.92
2012-01-26,2012.069,1050.97
2012-01-27,2012.072,1056.64
2012-01-30,2012.081,1066.86
2012-01-31,2012.083,1063.91
2012-02-01,2012.083,1085.27
2012-02-02,2012.086,1074.29
2012-02-03,2012.089,1080.05
2012-02-06,2012.097,1060.79
2012-02-07,2012.1,1058.85
2012-02-08,2012.103,1053.78
2012-02-09,2012.106,1042.74
2012-02-10,2012.108,1022.62
2012-02-13,2012.117,1032.16
2012-02-14,2012.119,1019.49
2012-02-15,2012.122,1027.2
2012-02-16,2012.125,1036.43
2012-02-17,2012.128,1042.45
2012-02-21,2012.139,1053.64
2012-02-22,2012.142,1066.53
2012-02-23,2012.144,1052.83
2012-02-24,2012.147,1062.11
2012-02-27,2012.156,1063.07
2012-02-28,2012.158,1068.03
2012-02-29,2012.161,1043.18
2012-03-01,2012.167,1069.29
2012-03-02,2012.169,1070.6
2012-03-05,2012.178,1050.03
2012-03-06,2012.181,1016.6
2012-03-07,2012.183,1022.66
2012-03-08,2012.186,1049.43
2012-03-09,2012.189,1041.51
2012-03-12,2012.197,1036.81
2012-03-13,2012.2,1044.01
2012-03-14,2012.203,1035.54
2012-03-15,2012.206,1042.73
2012-03-16,2012.208,1051.69
2012-03-19,2012.217,1059.7
2012-03-20,2012.219,1056.05
2012-03-21,2012.222,1055.64
2012-03-22,2012.225,1041.07
2012-03-23,2012.228,1053.99
2012-03-26,2012.236,1070.11
2012-03-27,2012.239,1067.55
2012-03-28,2012.242,1056.43
2012-03-29,2012.244,1038.11
2012-03-30,2012.247,1047.94
2012-04-02,2012.253,1068.13
2012-04-03,2012.256,1068.06
2012-04-04,2012.258,1052.34
2012-04-05,2012.261,1035.73
2012-04-09,2012.272,1006.96
2012-04-10,2012.275,979.69
2012-04-11,2012.278,995.16
2012-04-12,2012.281,1024.68
2012-04-13,2012.283,1008.03
2012-04-16,2012.292,1002.58
2012-04-17,2012.294,1015.46
2012-04-18,2012.297,1007.01
2012-04-19,2012.3,1008.02
2012-04-20,2012.303,1013.67
2012-04-23,2012.311,994.4
2012-04-24,2012.314,992.58
2012-04-25,2012.317,1030.27
2012-04-26,2012.319,1023.96
2012-04-27,2012.322,1037.52
2012-04-30,2012.331,1018.9
2012-05-01,2012.333,1023.34
2012-05-02,2012.336,1021.21
2012-05-03,2012.339,1012.97
2012-05-04,2012.342,981.52
2012-05-07,2012.35,976.5
2012-05-08,2012.353,982.69
2012-05-09,2012.356,953.29
2012-05-10,2012.358,946.29
2012-05-11,2012.361,952.27
2012-05-14,2012.369,934.79
2012-05-15,2012.372,934.02
2012-05-16,2012.375,923.65
2012-05-17,2012.378,902.49
2012-05-18,2012.381,906.65
2012-05-21,2012.389,939.92
2012-05-22,2012.392,925.2
2012-05-23,2012.394,940.16
2012-05-24,2012.397,959.24
2012-05-25,2012.4,953.5
2012-05-29,2012.411,973.72
2012-05-30,2012.414,979.51
2012-05-31,2012.417,983.08
2012-06-01,2012.417,958.9
2012-06-04,2012.425,954.23
2012-06-05,2012.428,971.11
2012-06-06,2012.431,998.07
2012-06-07,2012.433,989.8
2012-06-08,2012.436,1003.56
2012-06-11,2012.444,988.11
2012-06-12,2012.447,1004.69
2012-06-13,2012.45,980.24
2012-06-14,2012.453,987.54
2012-06-15,2012.456,998.13
2012-06-18,2012.464,1013.67
2012-06-19,2012.467,1038.51
2012-06-20,2012.469,1029.81
2012-06-21,2012.472,1003.1
2012-06-22,2012.475,1012.22
2012-06-25,2012.483,1015.8
2012-06-26,2012.486,1030.54
2012-06-27,2012.489,1057.14
2012-06-28,2012.492,1053.61
2012-06-29,2012.494,1080.24
2012-07-02,2012.503,1085.99
2012-07-03,2012.506,1095.97
2012-07-05,2012.511,1094.01
2012-07-06,2012.514,1080.33
2012-07-09,2012.522,1084.37
2012-07-10,2012.525,1070.42
2012-07-11,2012.528,1084.2
2012-07-12,2012.531,1077.64
2012-07-13,2012.533,1090.95
2012-07-16,2012.542,1109.09
2012-07-17,2012.544,1134.29
2012-07-18,2012.547,1136.68
2012-07-19,2012.55,1133.91
2012-07-20,2012.553,1138.35
2012-07-23,2012.561,1116.94
2012-07-24,2012.564,1108.09
2012-07-25,2012.567,1109.72
2012-07-26,2012.569,1117.45
2012-07-27,2012.572,1136.32
2012-07-30,2012.581,1132.1
2012-07-31,2012.583,1119.28
2012-08-01,2012.583,1123.78
2012-08-02,2012.586,1126.89
2012-08-03,2012.589,1133.28
2012-08-06,2012.597,1145.72
2012-08-07,2012.6,1152.9
2012-08-08,2012.603,1148.89
2012-08-09,2012.606,1161.85
2012-08-10,2012.608,1141.67
2012-08-13,2012.617,1139.24
2012-08-14,2012.619,1133.71
2012-08-15,2012.622,1143.64
2012-08-16,2012.625,1166.97
2012-08-17,2012.628,1163.81
2012-08-20,2012.636,1156.44
2012-08-21,2012.639,1152.1
2012-08-22,2012.642,1159.71
2012-08-23,2012.644,1129.32
2012-08-24,2012.647,1125.2
2012-08-27,2012.656,1128.24
2012-08-28,2012.658,1134.63
2012-08-29,2012.661,1145.95
2012-08-30,2012.664,1133.24
2012-08-31,2012.667,1141.04
2012-09-04,2012.675,1129.89
2012-09-05,2012.678,1149.67
2012-09-06,2012.681,1178.87
2012-09-07,2012.683,1180.33
2012-09-10,2012.692,1173.61
2012-09-11,2012.694,1174.64
2012-09-12,2012.697,1163.79
2012-09-13,2012.7,1189.13
2012-09-14,2012.703,1184.5
2012-09-17,2012.711,1177.31
2012-09-18,2012.714,1173.58
2012-09-19,2012.717,1197.04
2012-09-20,2012.719,1195.21
2012-09-21,2012.722,1191.55
2012-09-24,2012.731,1189.23
2012-09-25,2012.733,1173.18
2012-09-26,2012.736,1164.98
2012-09-27,2012.739,1186.61
2012-09-28,2012.742,1185.71
2012-10-01,2012.75,1184.46
2012-10-02,2012.753,1177.12
2012-10-03,2012.756,1152.6
2012-10-04,2012.758,1173.44
2012-10-05,2012.761,1175.95
2012-10-08,2012.769,1174.72
2012-10-09,2012.772,1164.52
2012-10-10,2012.775,1150.48
2012-10-11,2012.778,1148.74
2012-10-12,2012.781,1140.36
2012-10-15,2012.789,1143.61
2012-10-16,2012.792,1159.79
2012-10-17,2012.794,1157.59
2012-10-18,2012.797,1155.02
2012-10-19,2012.8,1136.94
2012-10-22,2012.808,1142.46
2012-10-23,2012.811,1117.91
2012-10-24,2012.814,1114.43
2012-10-25,2012.817,1113.28
2012-10-26,2012.819,1113.35
2012-10-31,2012.833,1107.58
2012-11-01,2012.833,1122.57
2012-11-02,2012.836,1099.5
2012-11-05,2012.844,1124.66
2012-11-06,2012.847,1137.32
2012-11-07,2012.85,1114.41
2012-11-08,2012.853,1097.34
2012-11-09,2012.856,1098.58
2012-11-12,2012.864,1091.15
2012-11-13,2012.867,1086.32
2012-11-14,2012.869,1066.61
2012-11-15,2012.872,1072.89
2012-11-16,2012.875,1079.9
2012-11-19,2012.883,1119.57
2012-11-20,2012.886,1133.7
2012-11-21,2012.889,1133.67
2012-11-23,2012.894,1149.92
2012-11-26,2012.903,1155.82
2012-11-27,2012.906,1152.34
2012-11-28,2012.908,1156.48
2012-11-29,2012.911,1171.1
2012-11-30,2012.914,1167.67
2012-12-03,2012.922,1140.64
2012-12-04,2012.925,1142.45
2012-12-05,2012.928,1145.35
2012-12-06,2012.931,1150.99
2012-12-07,2012.933,1156.86
2012-12-10,2012.942,1160.34
2012-12-11,2012.944,1173.78
2012-12-12,2012.947,1158.68
2012-12-13,2012.95,1146.46
2012-12-14,2012.953,1146.49
2012-12-17,2012.961,1160.18
2012-12-18,2012.964,1171.62
2012-12-19,2012.967,1166.27
2012-12-20,2012.969,1173.49
2012-12-21,2012.972,1168.48
2012-12-24,2012.981,1171.75
2012-12-26,2012.986,1184.86
2012-12-27,2012.989,1183.8
2012-12-28,2012.992,1170.85
2012-12-31,2013,1192.79
2013-01-02,2013.003,1212.43
2013-01-03,2013.006,1201.88
2013-01-04,2013.008,1220.2
2013-01-07,2013.017,1218.45
2013-01-08,2013.019,1235.18
2013-01-09,2013.022,1254.44
2013-01-10,2013.025,1258.19
2013-01-11,2013.028,1263.82
2013-01-14,2013.036,1267.55
2013-01-15,2013.039,1272.73
2013-01-16,2013.042,1275.07
2013-01-17,2013.044,1270.71
2013-01-18,2013.047,1282.44
2013-01-22,2013.058,1288.01
2013-01-23,2013.061,1292.18
2013-01-24,2013.064,1305.18
2013-01-25,2013.067,1317.03
