Date,t,Close
2011-08-19,2011.633,596.56
2011-08-22,2011.642,601.65
2011-08-23,2011.644,634.6
2011-08-24,2011.647,651.37
2011-08-25,2011.65,635.89
2011-08-26,2011.653,655.09
2011-08-29,2011.661,672.18
2011-08-30,2011.664,655.7
2011-08-31,2011.667,657.83
2011-09-01,2011.667,657.07
2011-09-02,2011.669,638.01
2011-09-06,2011.681,635.89
2011-09-07,2011.683,656.77
2011-09-08,2011.686,647.81
2011-09-09,2011.689,626.32
2011-09-12,2011.697,640.44
2011-09-13,2011.7,651.53
2011-09-14,2011.703,664.2
2011-09-15,2011.706,668.38
2011-09-16,2011.708,681.51
2011-09-19,2011.717,684.78
2011-09-20,2011.719,679.16
2011-09-21,2011.722,650.92
2011-09-22,2011.725,639.08
2011-09-23,2011.728,672.94
2011-09-26,2011.736,678.02
2011-09-27,2011.739,687.66
2011-09-28,2011.742,671.64
2011-09-29,2011.744,668
2011-09-30,2011.747,649.17
2011-10-03,2011.756,630.5
2011-10-04,2011.758,650.84
2011-10-05,2011.761,666.56
2011-10-06,2011.764,677.79
2011-10-07,2011.767,669.22
2011-10-10,2011.775,688.73
2011-10-11,2011.778,682.12
2011-10-12,2011.781,696.85
2011-10-13,2011.783,700.04
2011-10-14,2011.786,705.81
2011-10-17,2011.794,691
2011-10-18,2011.797,694.5
2011-10-19,2011.8,693.05
2011-10-20,2011.803,697.61
2011-10-21,2011.806,716.28
2011-10-24,2011.814,721.75
2011-10-25,2011.817,711.73
2011-10-26,2011.819,715.22
2011-10-27,2011.822,727.52
2011-10-28,2011.825,734.5
2011-10-31,2011.833,731.47
2011-11-01,2011.833,712.72
2011-11-02,2011.836,720.76
2011-11-03,2011.839,726.38
2011-11-04,2011.842,716.51
2011-11-07,2011.85,712.11
2011-11-08,2011.853,724.41
2011-11-09,2011.856,701.18
2011-11-10,2011.858,713.02
2011-11-11,2011.861,729.95
2011-11-14,2011.869,726.91
2011-11-15,2011.872,728.43
2011-11-16,2011.875,711.35
2011-11-17,2011.878,697.61
2011-11-18,2011.881,704.14
2011-11-21,2011.889,691.31
2011-11-22,2011.892,695.63
2011-11-23,2011.894,690.32
2011-11-25,2011.9,685.39
2011-11-28,2011.908,720.54
2011-11-29,2011.911,720.23
2011-11-30,2011.914,730.18
2011-12-01,2011.917,723.12
2011-12-02,2011.919,730.71
2011-12-05,2011.928,733.37
2011-12-06,2011.931,730.71
2011-12-07,2011.933,727.98
2011-12-08,2011.936,722.59
2011-12-09,2011.939,741.57
2011-12-12,2011.947,736.02
2011-12-13,2011.95,721.6
2011-12-14,2011.953,716.59
2011-12-15,2011.956,714.23
2011-12-16,2011.958,711.12
2011-12-19,2011.967,708.92
2011-12-20,2011.969,710.82
2011-12-21,2011.972,731.47
2011-12-22,2011.975,719.85
2011-12-23,2011.978,735.64
2011-12-27,2011.989,742.25
2011-12-28,2011.992,732.08
2011-12-29,2011.994,739.9
2011-12-30,2011.997,731.62
2012-01-03,2012.006,734.96
2012-01-04,2012.008,745.66
2012-01-05,2012.011,745.21
2012-01-06,2012.014,743.92
2012-01-09,2012.022,746.65
2012-01-10,2012.025,747.56
2012-01-11,2012.028,745.06
2012-01-12,2012.031,752.35
2012-01-13,2012.033,746.27
2012-01-17,2012.044,753.41
2012-01-18,2012.047,765.71
2012-01-19,2012.05,771.17
2012-01-20,2012.053,772.54
2012-01-23,2012.061,771.02
2012-01-24,2012.064,775.96
2012-01-25,2012.067,783.55
2012-01-26,2012.069,776.64
2012-01-27,2012.072,775.2
2012-01-30,2012.081,784.91
2012-01-31,2012.083,789.47
2012-02-01,2012.083,787.65
2012-02-02,2012.086,780.59
2012-02-03,2012.089,785.75
2012-02-06,2012.097,785.45
2012-02-07,2012.1,791.29
2012-02-08,2012.103,804.2
2012-02-09,2012.106,802.91
2012-02-10,2012.108,800.25
2012-02-13,2012.117,798.81
2012-02-14,2012.119,809.51
2012-02-15,2012.122,809.28
2012-02-16,2012.125,805.94
2012-02-17,2012.128,809.89
2012-02-21,2012.139,796.76
2012-02-22,2012.142,802.68
2012-02-23,2012.144,805.79
2012-02-24,2012.147,806.93
2012-02-27,2012.156,813.61
2012-02-28,2012.158,815.59
2012-02-29,2012.161,819.31
2012-03-01,2012.167,824.01
2012-03-02,2012.169,825.53
2012-03-05,2012.178,829.33
2012-03-06,2012.181,814.9
2012-03-07,2012.183,816.72
2012-03-08,2012.186,819.15
2012-03-09,2012.189,834.94
2012-03-12,2012.197,830.92
2012-03-13,2012.2,840.87
2012-03-14,2012.203,837.37
2012-03-15,2012.206,840.64
2012-03-16,2012.208,844.36
2012-03-19,2012.217,851.27
2012-03-20,2012.219,848.31
2012-03-21,2012.222,838.44
