Date,t,Close
2011-08-08,2011.603,299.55
2011-08-09,2011.606,318.19
2011-08-10,2011.608,312.4
2011-08-11,2011.611,330.82
2011-08-12,2011.614,330.5
2011-08-15,2011.622,339.03
2011-08-16,2011.625,338.97
2011-08-17,2011.628,339.38
2011-08-18,2011.631,331.37
2011-08-19,2011.633,327.35
2011-08-22,2011.642,325.83
2011-08-23,2011.644,335.2
2011-08-24,2011.647,340.98
2011-08-25,2011.65,336.75
2011-08-26,2011.653,342.96
2011-08-29,2011.661,352.41
2011-08-30,2011.664,352.27
2011-08-31,2011.667,352.43
2011-09-01,2011.667,352.41
2011-09-02,2011.669,342.16
2011-09-06,2011.681,337.89
2011-09-07,2011.683,345.66
2011-09-08,2011.686,341.97
2011-09-09,2011.689,333.43
2011-09-12,2011.697,331.6
2011-09-13,2011.7,335.97
2011-09-14,2011.703,339.15
2011-09-15,2011.706,342.21
2011-09-16,2011.708,342.03
2011-09-19,2011.717,341.01
2011-09-20,2011.719,342.07
2011-09-21,2011.722,334.35
2011-09-22,2011.725,325.52
2011-09-23,2011.728,326.23
2011-09-26,2011.736,330.74
2011-09-27,2011.739,339.07
2011-09-28,2011.742,334.23
2011-09-29,2011.744,339.38
2011-09-30,2011.747,333.44
2011-10-03,2011.756,325.67
2011-10-04,2011.758,325.08
2011-10-05,2011.761,331.57
2011-10-06,2011.764,338.61
2011-10-07,2011.767,339.91
2011-10-10,2011.775,353.63
2011-10-11,2011.778,350.74
2011-10-12,2011.781,349.95
2011-10-13,2011.783,348.85
2011-10-14,2011.786,351.11
2011-10-17,2011.794,351.92
2011-10-18,2011.797,357.13
2011-10-19,2011.8,355.54
2011-10-20,2011.803,357.15
2011-10-21,2011.806,363.27
2011-10-24,2011.814,367.99
2011-10-25,2011.817,363.27
2011-10-26,2011.819,366.01
2011-10-27,2011.822,377.25
2011-10-28,2011.825,376.43
2011-10-31,2011.833,372.44
2011-11-01,2011.833,361.57
2011-11-02,2011.836,368.21
2011-11-03,2011.839,375.07
2011-11-04,2011.842,376.84
2011-11-07,2011.85,377.58
2011-11-08,2011.853,379.4
2011-11-09,2011.856,367.95
2011-11-10,2011.858,375.03
2011-11-11,2011.861,382.04
2011-11-14,2011.869,379.59
2011-11-15,2011.872,384.91
2011-11-16,2011.875,384
2011-11-17,2011.878,384.32
2011-11-18,2011.881,385.03
2011-11-21,2011.889,379.57
2011-11-22,2011.892,379.57
2011-11-23,2011.894,373.39
