Date,t,Close
2011-08-08,2011.603,585.98
2011-08-09,2011.606,616.84
2011-08-10,2011.608,591.71
2011-08-11,2011.611,603.34
2011-08-12,2011.614,617.07
2011-08-15,2011.622,619.01
2011-08-16,2011.625,630.42
2011-08-17,2011.628,639.35
2011-08-18,2011.631,637.13
2011-08-19,2011.633,628.83
2011-08-22,2011.642,630.03
2011-08-23,2011.644,637.09
2011-08-24,2011.647,641.72
2011-08-25,2011.65,632.41
2011-08-26,2011.653,639.19
2011-08-29,2011.661,648.01
2011-08-30,2011.664,647.75
2011-08-31,2011.667,659.48
2011-09-01,2011.667,651.3
2011-09-02,2011.669,634.78
2011-09-06,2011.681,628.07
2011-09-07,2011.683,646.71
2011-09-08,2011.686,643.96
2011-09-09,2011.689,634.67
2011-09-12,2011.697,636.51
2011-09-13,2011.7,645.65
2011-09-14,2011.703,650.38
2011-09-15,2011.706,656.62
2011-09-16,2011.708,669.25
2011-09-19,2011.717,670.67
2011-09-20,2011.719,665.74
2011-09-21,2011.722,654.9
2011-09-22,2011.725,629.79
2011-09-23,2011.728,635.26
2011-09-26,2011.736,652.18
2011-09-27,2011.739,649.77
2011-09-28,2011.742,642.88
2011-09-29,2011.744,640.93
2011-09-30,2011.747,628.8
2011-10-03,2011.756,613.08
2011-10-04,2011.758,633.56
2011-10-05,2011.761,638.51
2011-10-06,2011.764,661.6
2011-10-07,2011.767,656.95
2011-10-10,2011.775,670.79
2011-10-11,2011.778,675.37
2011-10-12,2011.781,673
2011-10-13,2011.783,671.91
2011-10-14,2011.786,674.98
2011-10-17,2011.794,676.64
2011-10-18,2011.797,687.3
2011-10-19,2011.8,686.13
2011-10-20,2011.803,691.71
2011-10-21,2011.806,703.72
2011-10-24,2011.814,705.17
2011-10-25,2011.817,702.72
2011-10-26,2011.819,709.53
2011-10-27,2011.822,713.34
2011-10-28,2011.825,708.04
2011-10-31,2011.833,704.19
2011-11-01,2011.833,682.32
2011-11-02,2011.836,685.3
2011-11-03,2011.839,681.03
2011-11-04,2011.842,682.03
2011-11-07,2011.85,688.87
2011-11-08,2011.853,691.35
2011-11-09,2011.856,673.55
2011-11-10,2011.858,675.09
2011-11-11,2011.861,690.78
2011-11-14,2011.869,685.09
2011-11-15,2011.872,689.33
2011-11-16,2011.875,683.61
2011-11-17,2011.878,679.1
2011-11-18,2011.881,684.24
2011-11-21,2011.889,680.21
2011-11-22,2011.892,681.96
2011-11-23,2011.894,665.43
2011-11-25,2011.9,661.97
2011-11-28,2011.908,668.82
2011-11-29,2011.911,677.46
2011-11-30,2011.914,687.07
2011-12-01,2011.917,680.41
2011-12-02,2011.919,683.79
2011-12-05,2011.928,690.07
2011-12-06,2011.931,693.35
2011-12-07,2011.933,697.55
2011-12-08,2011.936,688.75
2011-12-09,2011.939,689.56
2011-12-12,2011.947,688.87
2011-12-13,2011.95,679.81
2011-12-14,2011.953,676.98
2011-12-15,2011.956,673.73
2011-12-16,2011.958,675.76
2011-12-19,2011.967,665.6
2011-12-20,2011.969,671.99
2011-12-21,2011.972,673.54
2011-12-22,2011.975,667.61
2011-12-23,2011.978,674.67
2011-12-27,2011.989,679.68
2011-12-28,2011.992,673.58
2011-12-29,2011.994,674.32
2011-12-30,2011.997,668.52
2012-01-03,2012.006,666.66
2012-01-04,2012.008,657.47
2012-01-05,2012.011,646.85
2012-01-06,2012.014,643.14
2012-01-09,2012.022,641.32
2012-01-10,2012.025,642.53
2012-01-11,2012.028,642.95
2012-01-12,2012.031,651.03
2012-01-13,2012.033,650.42
2012-01-17,2012.044,653.27
2012-01-18,2012.047,656.12
2012-01-19,2012.05,667.61
2012-01-20,2012.053,659.5
2012-01-23,2012.061,663.42
2012-01-24,2012.064,669.62
2012-01-25,2012.067,673.17
2012-01-26,2012.069,662.65
2012-01-27,2012.072,659.93
2012-01-30,2012.081,662.65
2012-01-31,2012.083,666.3
2012-02-01,2012.083,673.97
2012-02-02,2012.086,681.99
2012-02-03,2012.089,684.56
2012-02-06,2012.097,684.02
2012-02-07,2012.1,687.02
2012-02-08,2012.103,687.89
2012-02-09,2012.106,691.57
2012-02-10,2012.108,689.29
2012-02-13,2012.117,689.1
2012-02-14,2012.119,689.63
2012-02-15,2012.122,682.29
2012-02-16,2012.125,682.77
2012-02-17,2012.128,690.83
2012-02-21,2012.139,686.66
2012-02-22,2012.142,689.18
2012-02-23,2012.144,704.26
2012-02-24,2012.147,708.97
2012-02-27,2012.156,710.06
2012-02-28,2012.158,716.93
2012-02-29,2012.161,722.03
2012-03-01,2012.167,727.3
2012-03-02,2012.169,724.12
2012-03-05,2012.178,729.05
2012-03-06,2012.181,727.21
2012-03-07,2012.183,729.92
2012-03-08,2012.186,737.72
2012-03-09,2012.189,743.67
2012-03-12,2012.197,745.95
2012-03-13,2012.2,751.18
2012-03-14,2012.203,753.17
2012-03-15,2012.206,753.12
2012-03-16,2012.208,748.75
2012-03-19,2012.217,748.73
2012-03-20,2012.219,747.25
2012-03-21,2012.222,744.13
2012-03-22,2012.225,748.72
2012-03-23,2012.228,750.76
2012-03-26,2012.236,759.7
2012-03-27,2012.239,753.88
