Date,t,Close
2011-08-08,2011.603,290.25
2011-08-09,2011.606,307.66
2011-08-10,2011.608,296.61
2011-08-11,2011.611,315.94
2011-08-12,2011.614,318.44
2011-08-15,2011.622,321.41
2011-08-16,2011.625,318.83
2011-08-17,2011.628,318.7
2011-08-18,2011.631,307.45
2011-08-19,2011.633,305.43
2011-08-22,2011.642,304.08
2011-08-23,2011.644,313.06
2011-08-24,2011.647,313.8
2011-08-25,2011.65,306.82
2011-08-26,2011.653,313.81
2011-08-29,2011.661,321.11
2011-08-30,2011.664,322.15
2011-08-31,2011.667,326.27
2011-09-01,2011.667,324.02
2011-09-02,2011.669,317.48
2011-09-06,2011.681,315.82
2011-09-07,2011.683,324.88
2011-09-08,2011.686,320.39
2011-09-09,2011.689,307.47
2011-09-12,2011.697,306.45
2011-09-13,2011.7,309.52
2011-09-14,2011.703,315.6
2011-09-15,2011.706,313.27
2011-09-16,2011.708,320.89
2011-09-19,2011.717,320.91
2011-09-20,2011.719,325.18
2011-09-21,2011.722,315.18
2011-09-22,2011.725,309.77
2011-09-23,2011.728,309.2
2011-09-26,2011.736,317.04
2011-09-27,2011.739,323.36
2011-09-28,2011.742,316.99
2011-09-29,2011.744,315.42
2011-09-30,2011.747,307.98
2011-10-03,2011.756,295.85
2011-10-04,2011.758,295.25
2011-10-05,2011.761,298.75
2011-10-06,2011.764,297.01
2011-10-07,2011.767,297.41
2011-10-10,2011.775,307.62
2011-10-11,2011.778,306.96
2011-10-12,2011.781,309.84
2011-10-13,2011.783,310.48
2011-10-14,2011.786,311.78
2011-10-17,2011.794,308.31
2011-10-18,2011.797,311.56
2011-10-19,2011.8,311.56
2011-10-20,2011.803,312.48
2011-10-21,2011.806,323.77
2011-10-24,2011.814,328.02
2011-10-25,2011.817,322
2011-10-26,2011.819,336.61
2011-10-27,2011.822,346.94
2011-10-28,2011.825,347.49
2011-10-31,2011.833,336.83
2011-11-01,2011.833,327.57
2011-11-02,2011.836,333.39
2011-11-03,2011.839,334.57
2011-11-04,2011.842,330.21
2011-11-07,2011.85,334.69
2011-11-08,2011.853,334.61
2011-11-09,2011.856,323.94
2011-11-10,2011.858,329.82
2011-11-11,2011.861,337.38
2011-11-14,2011.869,334.68
2011-11-15,2011.872,335.62
2011-11-16,2011.875,326.54
2011-11-17,2011.878,322.79
2011-11-18,2011.881,320.56
2011-11-21,2011.889,314.41
2011-11-22,2011.892,312.62
2011-11-23,2011.894,311.26
2011-11-25,2011.9,307.65
2011-11-28,2011.908,315.52
2011-11-29,2011.911,314.18
2011-11-30,2011.914,324.61
2011-12-01,2011.917,325.5
2011-12-02,2011.919,320.54
2011-12-05,2011.928,319.55
2011-12-06,2011.931,318.89
2011-12-07,2011.933,321.07
2011-12-08,2011.936,315.13
2011-12-09,2011.939,318.66
2011-12-12,2011.947,315.35
2011-12-13,2011.95,313.86
2011-12-14,2011.953,308.39
2011-12-15,2011.956,310.32
2011-12-16,2011.958,313.18
2011-12-19,2011.967,309.19
2011-12-20,2011.969,315.18
2011-12-21,2011.972,313.54
2011-12-22,2011.975,315.28
2011-12-23,2011.978,316.81
2011-12-27,2011.989,317.83
2011-12-28,2011.992,311.11
2011-12-29,2011.994,315.23
2011-12-30,2011.997,314.14
2012-01-03,2012.006,320.86
2012-01-04,2012.008,319.33
2012-01-05,2012.011,316.89
2012-01-06,2012.014,320.25
2012-01-09,2012.022,321.3
2012-01-10,2012.025,322.39
2012-01-11,2012.028,321.02
2012-01-12,2012.031,321.39
2012-01-13,2012.033,316.07
2012-01-17,2012.044,318.65
2012-01-18,2012.047,318.67
2012-01-19,2012.05,320.63
2012-01-20,2012.053,322.92
2012-01-23,2012.061,321.07
2012-01-24,2012.064,320.5
2012-01-25,2012.067,323.65
2012-01-26,2012.069,323.66
2012-01-27,2012.072,325.45
2012-01-30,2012.081,324.6
2012-01-31,2012.083,331.23
2012-02-01,2012.083,334.91
2012-02-02,2012.086,331.05
2012-02-03,2012.089,328.04
2012-02-06,2012.097,329.38
2012-02-07,2012.1,331.29
2012-02-08,2012.103,332.57
2012-02-09,2012.106,329.8
2012-02-10,2012.108,326.93
2012-02-13,2012.117,326.27
2012-02-14,2012.119,326.74
2012-02-15,2012.122,323.03
2012-02-16,2012.125,324.1
2012-02-17,2012.128,325.47
2012-02-21,2012.139,321.95
2012-02-22,2012.142,321.73
2012-02-23,2012.144,323.86
2012-02-24,2012.147,327.04
2012-02-27,2012.156,326.66
2012-02-28,2012.158,328.05
2012-02-29,2012.161,327.66
2012-03-01,2012.167,328.06
2012-03-02,2012.169,322.26
2012-03-05,2012.178,323.07
2012-03-06,2012.181,322.48
2012-03-07,2012.183,323.88
2012-03-08,2012.186,331.22
2012-03-09,2012.189,334.55
2012-03-12,2012.197,333.57
2012-03-13,2012.2,334.72
2012-03-14,2012.203,335.84
2012-03-15,2012.206,335.96
2012-03-16,2012.208,336.64
2012-03-19,2012.217,335.58
2012-03-20,2012.219,334.73
2012-03-21,2012.222,335.06
2012-03-22,2012.225,333.76
2012-03-23,2012.228,336.82
2012-03-26,2012.236,343.15
2012-03-27,2012.239,344.26
2012-03-28,2012.242,342.63
2012-03-29,2012.244,343.93
2012-03-30,2012.247,343.69
2012-04-02,2012.253,343.56
2012-04-03,2012.256,341.03
2012-04-04,2012.258,339.77
2012-04-05,2012.261,337.75
2012-04-09,2012.272,336.67
2012-04-10,2012.275,333.86
2012-04-11,2012.278,337.35
2012-04-12,2012.281,343.7
2012-04-13,2012.283,337.99
2012-04-16,2012.292,336.64
2012-04-17,2012.294,343.68
2012-04-18,2012.297,340.83
2012-04-19,2012.3,339.56
2012-04-20,2012.303,341.74
2012-04-23,2012.311,340
2012-04-24,2012.314,340.26
2012-04-25,2012.317,342.69
2012-04-26,2012.319,341.84
2012-04-27,2012.322,342.76
2012-04-30,2012.331,343.89
2012-05-01,2012.333,343.09
2012-05-02,2012.336,342.37
2012-05-03,2012.339,343.98
2012-05-04,2012.342,339.62
2012-05-07,2012.35,339.6
2012-05-08,2012.353,340.86
2012-05-09,2012.356,338.09
2012-05-10,2012.358,339.46
2012-05-11,2012.361,340.87
2012-05-14,2012.369,340.19
2012-05-15,2012.372,337.66
2012-05-16,2012.375,338.1
2012-05-17,2012.378,334.09
2012-05-18,2012.381,330.72
