Date,t,Close
2011-10-03,2011.756,450.31
2011-10-04,2011.758,458.6
2011-10-05,2011.761,464.19
2011-10-06,2011.764,469.25
2011-10-07,2011.767,467.8
2011-10-10,2011.775,480.38
2011-10-11,2011.778,477.5
2011-10-12,2011.781,475.6
2011-10-13,2011.783,475.97
2011-10-14,2011.786,480.18
2011-10-17,2011.794,468.72
2011-10-18,2011.797,473.09
2011-10-19,2011.8,479.43
2011-10-20,2011.803,474.31
2011-10-21,2011.806,485.01
2011-10-24,2011.814,494.21
2011-10-25,2011.817,482.51
2011-10-26,2011.819,483.01
2011-10-27,2011.822,496.45
2011-10-28,2011.825,500.31
2011-10-31,2011.833,491.42
2011-11-01,2011.833,475.12
2011-11-02,2011.836,480.21
2011-11-03,2011.839,488.33
2011-11-04,2011.842,483.19
2011-11-07,2011.85,489.69
2011-11-08,2011.853,493.9
2011-11-09,2011.856,476.68
2011-11-10,2011.858,482.43
2011-11-11,2011.861,491.42
2011-11-14,2011.869,487.66
2011-11-15,2011.872,492.9
2011-11-16,2011.875,483.67
2011-11-17,2011.878,471.95
2011-11-18,2011.881,467.2
2011-11-21,2011.889,458.31
2011-11-22,2011.892,461
2011-11-23,2011.894,453.64
2011-11-25,2011.9,451.83
2011-11-28,2011.908,464.66
2011-11-29,2011.911,463.96
2011-11-30,2011.914,484.62
2011-12-01,2011.917,489.1
2011-12-02,2011.919,473.61
2011-12-05,2011.928,481.79
2011-12-06,2011.931,480.09
2011-12-07,2011.933,480.02
2011-12-08,2011.936,466.93
2011-12-09,2011.939,474.03
2011-12-12,2011.947,469.15
2011-12-13,2011.95,465.59
2011-12-14,2011.953,460.62
2011-12-15,2011.956,463.12
2011-12-16,2011.958,461.53
2011-12-19,2011.967,458.54
2011-12-20,2011.969,473.13
2011-12-21,2011.972,476.8
2011-12-22,2011.975,483.59
2011-12-23,2011.978,487.67
2011-12-27,2011.989,487.85
2011-12-28,2011.992,482.47
2011-12-29,2011.994,489.28
2011-12-30,2011.997,488.19
2012-01-03,2012.006,495.6
2012-01-04,2012.008,489.91
2012-01-05,2012.011,491.88
2012-01-06,2012.014,494.15
2012-01-09,2012.022,493.77
2012-01-10,2012.025,496.24
2012-01-11,2012.028,499.24
2012-01-12,2012.031,499.73
2012-01-13,2012.033,497.52
2012-01-17,2012.044,500.11
2012-01-18,2012.047,505.46
2012-01-19,2012.05,513.29
2012-01-20,2012.053,512.73
2012-01-23,2012.061,511.79
2012-01-24,2012.064,513.77
2012-01-25,2012.067,524.51
2012-01-26,2012.069,526.73
2012-01-27,2012.072,527.6
2012-01-30,2012.081,525.39
2012-01-31,2012.083,526.48
2012-02-01,2012.083,532.93
2012-02-02,2012.086,534.14
2012-02-03,2012.089,538.27
2012-02-06,2012.097,540.4
2012-02-07,2012.1,538.71
2012-02-08,2012.103,536.95
2012-02-09,2012.106,532.28
2012-02-10,2012.108,531.51
2012-02-13,2012.117,535.97
2012-02-14,2012.119,535.49
2012-02-15,2012.122,533.98
2012-02-16,2012.125,536.82
2012-02-17,2012.128,537.4
2012-02-21,2012.139,532.12
2012-02-22,2012.142,529.93
2012-02-23,2012.144,528.21
2012-02-24,2012.147,536.08
2012-02-27,2012.156,536.52
2012-02-28,2012.158,537.64
2012-02-29,2012.161,531.96
2012-03-01,2012.167,531.45
2012-03-02,2012.169,529.32
2012-03-05,2012.178,526.75
2012-03-06,2012.181,519.35
2012-03-07,2012.183,521.61
2012-03-08,2012.186,529.21
2012-03-09,2012.189,531.23
2012-03-12,2012.197,529.25
2012-03-13,2012.2,540.98
2012-03-14,2012.203,540.47
2012-03-15,2012.206,546.53
2012-03-16,2012.208,547.57
2012-03-19,2012.217,545.56
2012-03-20,2012.219,545.12
2012-03-21,2012.222,543.92
2012-03-22,2012.225,542.35
2012-03-23,2012.228,542.5
2012-03-26,2012.236,553
2012-03-27,2012.239,552.84
2012-03-28,2012.242,548.68
2012-03-29,2012.244,547.39
2012-03-30,2012.247,549.64
2012-04-02,2012.253,552.51
2012-04-03,2012.256,550.85
2012-04-04,2012.258,543.04
2012-04-05,2012.261,542.66
2012-04-09,2012.272,533.81
2012-04-10,2012.275,527.32
2012-04-11,2012.278,531.58
2012-04-12,2012.281,539.93
2012-04-13,2012.283,529.91
2012-04-16,2012.292,523.76
2012-04-17,2012.294,531.47
2012-04-18,2012.297,534.48
2012-04-19,2012.3,533.22
2012-04-20,2012.303,533.08
2012-04-23,2012.311,527.36
2012-04-24,2012.314,529.27
2012-04-25,2012.317,537.12
2012-04-26,2012.319,535.9
2012-04-27,2012.322,541
2012-04-30,2012.331,542.26
2012-05-01,2012.333,546.73
2012-05-02,2012.336,545.7
2012-05-03,2012.339,544.6
2012-05-04,2012.342,537.56
2012-05-07,2012.35,538.31
2012-05-08,2012.353,538.45
2012-05-09,2012.356,534.7
2012-05-10,2012.358,537.94
2012-05-11,2012.361,537.17
2012-05-14,2012.369,534.4
2012-05-15,2012.372,531.04
2012-05-16,2012.375,527.98
2012-05-17,2012.378,518.81
2012-05-18,2012.381,513.02
2012-05-21,2012.389,522.83
2012-05-22,2012.392,519.21
2012-05-23,2012.394,518.24
2012-05-24,2012.397,522.9
2012-05-25,2012.4,521.51
2012-05-29,2012.411,522.77
2012-05-30,2012.414,515.07
2012-05-31,2012.417,512.14
2012-06-01,2012.417,501.82
2012-06-04,2012.425,502.14
2012-06-05,2012.428,507.17
2012-06-06,2012.431,512.75
2012-06-07,2012.433,513.47
2012-06-08,2012.436,517.49
2012-06-11,2012.444,512.33
2012-06-12,2012.447,516.11
2012-06-13,2012.45,512.27
2012-06-14,2012.453,515.68
2012-06-15,2012.456,522.28
2012-06-18,2012.464,526.86
2012-06-19,2012.467,534.29
2012-06-20,2012.469,533.49
2012-06-21,2012.472,524.88
2012-06-22,2012.475,531.21
2012-06-25,2012.483,523.84
2012-06-26,2012.486,523.78
2012-06-27,2012.489,530.09
2012-06-28,2012.492,526.99
2012-06-29,2012.494,540.64
2012-07-02,2012.503,545.7
2012-07-03,2012.506,546.3
2012-07-05,2012.511,542.17
2012-07-06,2012.514,535.56
2012-07-09,2012.522,537.73
2012-07-10,2012.525,531.66
2012-07-11,2012.528,532.72
2012-07-12,2012.531,529.19
2012-07-13,2012.533,532.53
2012-07-16,2012.542,531.69
2012-07-17,2012.544,540.7
2012-07-18,2012.547,540.97
2012-07-19,2012.55,540.99
2012-07-20,2012.553,528.93
2012-07-23,2012.561,518.89
2012-07-24,2012.564,512.92
2012-07-25,2012.567,521.86
2012-07-26,2012.569,521.79
2012-07-27,2012.572,536.65
2012-07-30,2012.581,533.75
2012-07-31,2012.583,532.14
2012-08-01,2012.583,532.32
2012-08-02,2012.586,525.41
2012-08-03,2012.589,536.54
