Date,t,Close
2011-10-03,2011.756,105.86
2011-10-04,2011.758,112.05
2011-10-05,2011.761,117.95
2011-10-06,2011.764,126.79
2011-10-07,2011.767,128.27
2011-10-10,2011.775,130.04
2011-10-11,2011.778,132.39
2011-10-12,2011.781,134.75
2011-10-13,2011.783,130.33
2011-10-14,2011.786,134.46
2011-10-17,2011.794,128.27
2011-10-18,2011.797,131.81
2011-10-19,2011.8,130.04
2011-10-20,2011.803,137.7
2011-10-21,2011.806,143.6
2011-10-24,2011.814,148.02
2011-10-25,2011.817,150.09
2011-10-26,2011.819,152.74
2011-10-27,2011.822,151.27
2011-10-28,2011.825,149.5
2011-10-31,2011.833,139.47
2011-11-01,2011.833,140.65
2011-11-02,2011.836,146.25
2011-11-03,2011.839,148.02
2011-11-04,2011.842,143.3
2011-11-07,2011.85,146.25
2011-11-08,2011.853,152.15
2011-11-09,2011.856,148.02
2011-11-10,2011.858,149.2
2011-11-11,2011.861,153.04
2011-11-14,2011.869,151.27
2011-11-15,2011.872,149.5
2011-11-16,2011.875,142.42
2011-11-17,2011.878,133.87
2011-11-18,2011.881,132.69
2011-11-21,2011.889,127.09
2011-11-22,2011.892,126.2
2011-11-23,2011.894,121.48
2011-11-25,2011.9,122.96
2011-11-28,2011.908,128.56
2011-11-29,2011.911,128.56
2011-11-30,2011.914,137.11
2011-12-01,2011.917,138
2011-12-02,2011.919,123.25
2011-12-05,2011.928,138.59
2011-12-06,2011.931,138
2011-12-07,2011.933,134.16
2011-12-08,2011.936,130.92
2011-12-09,2011.939,131.22
2011-12-12,2011.947,132.1
2011-12-13,2011.95,127.68
2011-12-14,2011.953,129.74
2011-12-15,2011.956,131.81
2011-12-16,2011.958,130.33
2011-12-19,2011.967,130.33
2011-12-20,2011.969,137.7
2011-12-21,2011.972,143.89
2011-12-22,2011.975,145.07
2011-12-23,2011.978,146.84
2011-12-27,2011.989,148.02
2011-12-28,2011.992,145.37
2011-12-29,2011.994,147.14
2011-12-30,2011.997,151.27
2012-01-03,2012.006,146.25
2012-01-04,2012.008,138.29
2012-01-05,2012.011,140.36
2012-01-06,2012.014,147.14
2012-01-09,2012.022,150.38
2012-01-10,2012.025,151.86
2012-01-11,2012.028,154.21
2012-01-12,2012.031,151.27
2012-01-13,2012.033,149.5
2012-01-17,2012.044,145.37
2012-01-18,2012.047,148.02
2012-01-19,2012.05,152.15
2012-01-20,2012.053,150.38
2012-01-23,2012.061,150.09
2012-01-24,2012.064,157.16
2012-01-25,2012.067,162.18
2012-01-26,2012.069,159.52
2012-01-27,2012.072,161.59
2012-01-30,2012.081,157.16
2012-01-31,2012.083,155.98
2012-02-01,2012.083,161.29
2012-02-02,2012.086,160.11
2012-02-03,2012.089,176.04
2012-02-06,2012.097,175.15
2012-02-07,2012.1,172.5
2012-02-08,2012.103,172.79
2012-02-09,2012.106,164.54
2012-02-10,2012.108,168.66
2012-02-13,2012.117,170.14
2012-02-14,2012.119,167.19
2012-02-15,2012.122,168.07
2012-02-16,2012.125,167.48
2012-02-17,2012.128,166.89
2012-02-21,2012.139,165.13
2012-02-22,2012.142,163.65
2012-02-23,2012.144,165.71
2012-02-24,2012.147,170.43
2012-02-27,2012.156,166.6
2012-02-28,2012.158,168.37
2012-02-29,2012.161,166.6
2012-03-01,2012.167,168.96
2012-03-02,2012.169,166.89
2012-03-05,2012.178,162.77
2012-03-06,2012.181,159.23
2012-03-07,2012.183,160.7
2012-03-08,2012.186,163.06
2012-03-09,2012.189,161.29
2012-03-12,2012.197,158.34
2012-03-13,2012.2,161.29
2012-03-14,2012.203,160.11
2012-03-15,2012.206,167.48
2012-03-16,2012.208,164.54
2012-03-19,2012.217,163.06
2012-03-20,2012.219,159.52
2012-03-21,2012.222,160.11
2012-03-22,2012.225,157.46
2012-03-23,2012.228,154.8
2012-03-26,2012.236,163.36
2012-03-27,2012.239,159.52
2012-03-28,2012.242,153.04
2012-03-29,2012.244,152.15
2012-03-30,2012.247,156.57
2012-04-02,2012.253,158.34
2012-04-03,2012.256,161.59
2012-04-04,2012.258,157.75
2012-04-05,2012.261,155.1
2012-04-09,2012.272,150.68
2012-04-10,2012.275,148.02
