Date,t,Close
2011-10-03,2011.756,96.93
2011-10-04,2011.758,100.2
2011-10-05,2011.761,102.27
2011-10-06,2011.764,105.8
2011-10-07,2011.767,104.63
2011-10-10,2011.775,108.23
2011-10-11,2011.778,108.23
2011-10-12,2011.781,111.06
2011-10-13,2011.783,109.2
2011-10-14,2011.786,110.51
2011-10-17,2011.794,106.93
2011-10-18,2011.797,109.16
2011-10-19,2011.8,110.13
2011-10-20,2011.803,111.66
2011-10-21,2011.806,113.66
2011-10-24,2011.814,116.16
2011-10-25,2011.817,115.63
2011-10-26,2011.819,116.73
2011-10-27,2011.822,129.36
2011-10-28,2011.825,128.39
2011-10-31,2011.833,123.16
2011-11-01,2011.833,118.46
2011-11-02,2011.836,119.43
2011-11-03,2011.839,120.99
2011-11-04,2011.842,119.26
2011-11-07,2011.85,120.53
2011-11-08,2011.853,123.69
2011-11-09,2011.856,117.53
2011-11-10,2011.858,118.23
2011-11-11,2011.861,120.69
2011-11-14,2011.869,119.53
2011-11-15,2011.872,120.26
2011-11-16,2011.875,117.59
2011-11-17,2011.878,114.56
2011-11-18,2011.881,111.93
2011-11-21,2011.889,113.06
2011-11-22,2011.892,110.93
2011-11-23,2011.894,109.5
2011-11-25,2011.9,109.3
2011-11-28,2011.908,112.7
2011-11-29,2011.911,112.6
2011-11-30,2011.914,120.33
2011-12-01,2011.917,120.39
2011-12-02,2011.919,117.86
2011-12-05,2011.928,119.69
2011-12-06,2011.931,120.13
2011-12-07,2011.933,120.23
2011-12-08,2011.936,117.59
2011-12-09,2011.939,120.39
2011-12-12,2011.947,118.93
2011-12-13,2011.95,117.23
2011-12-14,2011.953,116.13
2011-12-15,2011.956,115.93
2011-12-16,2011.958,115.49
2011-12-19,2011.967,114.9
2011-12-20,2011.969,118.03
2011-12-21,2011.972,117.79
2011-12-22,2011.975,118.46
2011-12-23,2011.978,118.73
2011-12-27,2011.989,118.39
2011-12-28,2011.992,116.13
2011-12-29,2011.994,117.63
2011-12-30,2011.997,116.59
2012-01-03,2012.006,117.89
2012-01-04,2012.008,117.86
2012-01-05,2012.011,117.96
2012-01-06,2012.014,117.26
2012-01-09,2012.022,116.69
2012-01-10,2012.025,118.36
2012-01-11,2012.028,119.46
2012-01-12,2012.031,121.26
2012-01-13,2012.033,120.26
2012-01-17,2012.044,120.29
