Date,t,Close
2011-10-03,2011.756,332.83
2011-10-04,2011.758,338.33
2011-10-05,2011.761,334.92
2011-10-06,2011.764,357.06
2011-10-07,2011.767,352.98
2011-10-10,2011.775,362.42
2011-10-11,2011.778,362.34
2011-10-12,2011.781,361.19
2011-10-13,2011.783,358.19
2011-10-14,2011.786,360.03
2011-10-17,2011.794,357.52
2011-10-18,2011.797,364.9
2011-10-19,2011.8,359.15
2011-10-20,2011.803,353.49
2011-10-21,2011.806,360.43
2011-10-24,2011.814,367.81
2011-10-25,2011.817,362.62
2011-10-26,2011.819,389.24
2011-10-27,2011.822,404.35
2011-10-28,2011.825,411.59
2011-10-31,2011.833,402.25
2011-11-01,2011.833,391.32
2011-11-02,2011.836,392.88
2011-11-03,2011.839,395.03
2011-11-04,2011.842,402.2
2011-11-07,2011.85,414.12
2011-11-08,2011.853,421.68
2011-11-09,2011.856,407.28
2011-11-10,2011.858,412.75
2011-11-11,2011.861,417.92
2011-11-14,2011.869,415.6
2011-11-15,2011.872,412.95
2011-11-16,2011.875,403.5
2011-11-17,2011.878,394.02
2011-11-18,2011.881,397.61
2011-11-21,2011.889,388.63
2011-11-22,2011.892,390.09
2011-11-23,2011.894,389.79
2011-11-25,2011.9,387.61
2011-11-28,2011.908,396.58
2011-11-29,2011.911,397.67
2011-11-30,2011.914,413.46
2011-12-01,2011.917,417
2011-12-02,2011.919,418.73
2011-12-05,2011.928,415.39
2011-12-06,2011.931,416.23
2011-12-07,2011.933,414.29
2011-12-08,2011.936,406.7
2011-12-09,2011.939,411.84
2011-12-12,2011.947,405.53
2011-12-13,2011.95,399.46
2011-12-14,2011.953,396.14
2011-12-15,2011.956,396.08
2011-12-16,2011.958,396.66
2011-12-19,2011.967,393.83
2011-12-20,2011.969,404.97
2011-12-21,2011.972,405.97
2011-12-22,2011.975,414.14
2011-12-23,2011.978,412.41
2011-12-27,2011.989,411.2
2011-12-28,2011.992,403.13
2011-12-29,2011.994,406.64
2011-12-30,2011.997,408.24
2012-01-03,2012.006,420.68
2012-01-04,2012.008,425.2
2012-01-05,2012.011,429.64
2012-01-06,2012.014,435.42
2012-01-09,2012.022,438.34
2012-01-10,2012.025,437.51
2012-01-11,2012.028,434.37
2012-01-12,2012.031,432.32
2012-01-13,2012.033,432.85
2012-01-17,2012.044,438.71
2012-01-18,2012.047,445.12
2012-01-19,2012.05,444.2
2012-01-20,2012.053,447.15
2012-01-23,2012.061,446.24
2012-01-24,2012.064,451.35
2012-01-25,2012.067,455.59
