Date,t,Close
2011-08-10,2011.608,125.55
2011-08-11,2011.611,132.82
2011-08-12,2011.614,132.98
2011-08-15,2011.622,136.09
2011-08-16,2011.625,134.42
2011-08-17,2011.628,132.43
2011-08-18,2011.631,126.59
2011-08-19,2011.633,127.75
2011-08-22,2011.642,129.23
2011-08-23,2011.644,141.01
2011-08-24,2011.647,144.11
2011-08-25,2011.65,141.62
2011-08-26,2011.653,148.62
2011-08-29,2011.661,151.89
2011-08-30,2011.664,153.85
2011-08-31,2011.667,150.77
2011-09-01,2011.667,149.6
2011-09-02,2011.669,146.29
2011-09-06,2011.681,147.31
2011-09-07,2011.683,150.86
2011-09-08,2011.686,150.97
2011-09-09,2011.689,144.94
2011-09-12,2011.697,146.97
2011-09-13,2011.7,151.66
2011-09-14,2011.703,156.21
2011-09-15,2011.706,154.08
2011-09-16,2011.708,154.97
2011-09-19,2011.717,153.99
2011-09-20,2011.719,160.64
2011-09-21,2011.722,158.29
2011-09-22,2011.725,156.78
2011-09-23,2011.728,158.08
2011-09-26,2011.736,162.97
2011-09-27,2011.739,166.58
2011-09-28,2011.742,160.82
2011-09-29,2011.744,161.12
2011-09-30,2011.747,156.62
2011-10-03,2011.756,149.85
2011-10-04,2011.758,148.55
2011-10-05,2011.761,155.22
2011-10-06,2011.764,153.14
2011-10-07,2011.767,150.86
2011-10-10,2011.775,156.39
2011-10-11,2011.778,158.45
2011-10-12,2011.781,155.06
2011-10-13,2011.783,157.33
2011-10-14,2011.786,159.93
2011-10-17,2011.794,150.47
2011-10-18,2011.797,150.17
2011-10-19,2011.8,149.49
2011-10-20,2011.803,150.17
2011-10-21,2011.806,152.75
2011-10-24,2011.814,156.46
2011-10-25,2011.817,152.94
2011-10-26,2011.819,150.79
2011-10-27,2011.822,149.69
2011-10-28,2011.825,148.8
2011-10-31,2011.833,144.98
2011-11-01,2011.833,142.01
2011-11-02,2011.836,142.54
2011-11-03,2011.839,146.06
2011-11-04,2011.842,145.67
2011-11-07,2011.85,145.69
2011-11-08,2011.853,148.85
2011-11-09,2011.856,145.58
2011-11-10,2011.858,146.56
2011-11-11,2011.861,148.59
2011-11-14,2011.869,146.35
2011-11-15,2011.872,146.42
2011-11-16,2011.875,142.17
2011-11-17,2011.878,137.12
2011-11-18,2011.881,132.46
2011-11-21,2011.889,130.63
2011-11-22,2011.892,130.99
2011-11-23,2011.894,131.47
2011-11-25,2011.9,130.31
2011-11-28,2011.908,134.06
2011-11-29,2011.911,133.01
2011-11-30,2011.914,139.38
2011-12-01,2011.917,142.01
2011-12-02,2011.919,139.41
2011-12-05,2011.928,141.28
2011-12-06,2011.931,139.57
2011-12-07,2011.933,137.69
2011-12-08,2011.936,135.73
2011-12-09,2011.939,138.77
2011-12-12,2011.947,134.72
2011-12-13,2011.95,131.79
2011-12-14,2011.953,129.58
2011-12-15,2011.956,127.43
2011-12-16,2011.958,128.8
2011-12-19,2011.967,131.95
2011-12-20,2011.969,136.96
2011-12-21,2011.972,136.39
2011-12-22,2011.975,136.98
2011-12-23,2011.978,139.77
2011-12-27,2011.989,142.65
2011-12-28,2011.992,140.57
2011-12-29,2011.994,141.23
2011-12-30,2011.997,140
2012-01-03,2012.006,142.97
2012-01-04,2012.008,141.06
2012-01-05,2012.011,142.7
2012-01-06,2012.014,145.07
2012-01-09,2012.022,144.34
2012-01-10,2012.025,143.29
2012-01-11,2012.028,144
2012-01-12,2012.031,141.71
2012-01-13,2012.033,140.71
2012-01-17,2012.044,139.06
2012-01-18,2012.047,139.41
2012-01-19,2012.05,140.59
2012-01-20,2012.053,139.5
2012-01-23,2012.061,137.12
2012-01-24,2012.064,138.13
2012-01-25,2012.067,138.61
2012-01-26,2012.069,136.64
2012-01-27,2012.072,138.26
2012-01-30,2012.081,139.13
2012-01-31,2012.083,139.18
2012-02-01,2012.083,140.37
2012-02-02,2012.086,140.94
2012-02-03,2012.089,144.21
2012-02-06,2012.097,143.5
2012-02-07,2012.1,143.02
2012-02-08,2012.103,162.01
2012-02-09,2012.106,158.61
2012-02-10,2012.108,158.33
2012-02-13,2012.117,160.59
2012-02-14,2012.119,161.46
2012-02-15,2012.122,160.5
2012-02-16,2012.125,164.55
2012-02-17,2012.128,162.26
2012-02-21,2012.139,164.14
2012-02-22,2012.142,165.62
2012-02-23,2012.144,167.2
2012-02-24,2012.147,168.59
2012-02-27,2012.156,169.78
2012-02-28,2012.158,171.02
2012-02-29,2012.161,168.75
2012-03-01,2012.167,170.81
2012-03-02,2012.169,172.23
2012-03-05,2012.178,173.01
2012-03-06,2012.181,170.4
2012-03-07,2012.183,172.66
2012-03-08,2012.186,173.87
2012-03-09,2012.189,175.68
2012-03-12,2012.197,173.07
2012-03-13,2012.2,175.61
2012-03-14,2012.203,174.08
2012-03-15,2012.206,176.87
2012-03-16,2012.208,175.84
2012-03-19,2012.217,175.68
2012-03-20,2012.219,174.31
2012-03-21,2012.222,174.4
2012-03-22,2012.225,175.11
2012-03-23,2012.228,175.34
2012-03-26,2012.236,178.58
2012-03-27,2012.239,174.08
2012-03-28,2012.242,173.23
2012-03-29,2012.244,174.06
2012-03-30,2012.247,174.08
2012-04-02,2012.253,175.7
2012-04-03,2012.256,175.06
2012-04-04,2012.258,172.39
2012-04-05,2012.261,173.42
2012-04-09,2012.272,170.22
2012-04-10,2012.275,166.42
2012-04-11,2012.278,168.94
2012-04-12,2012.281,168.11
2012-04-13,2012.283,166.7
2012-04-16,2012.292,167.41
2012-04-17,2012.294,168.69
2012-04-18,2012.297,170.01
2012-04-19,2012.3,169.3
2012-04-20,2012.303,170.29
2012-04-23,2012.311,167.73
2012-04-24,2012.314,165.17
2012-04-25,2012.317,166.31
2012-04-26,2012.319,168.73
2012-04-27,2012.322,177.17
2012-04-30,2012.331,185.35
2012-05-01,2012.333,189.26
2012-05-02,2012.336,189.71
2012-05-03,2012.339,187.59
2012-05-04,2012.342,183.95
2012-05-07,2012.35,186.06
2012-05-08,2012.353,186.08
2012-05-09,2012.356,180.34
2012-05-10,2012.358,180.85
2012-05-11,2012.361,182.67
2012-05-14,2012.369,181.1
2012-05-15,2012.372,182.74
2012-05-16,2012.375,181.07
2012-05-17,2012.378,178.31
2012-05-18,2012.381,174.81
2012-05-21,2012.389,178.79
2012-05-22,2012.392,180.82
2012-05-23,2012.394,182.49
2012-05-24,2012.397,181.42
2012-05-25,2012.4,180.59
2012-05-29,2012.411,182.13
2012-05-30,2012.414,182.17
2012-05-31,2012.417,178.19
2012-06-01,2012.417,174.56
2012-06-04,2012.425,174.79
2012-06-05,2012.428,175.38
2012-06-06,2012.431,178.79
2012-06-07,2012.433,179.11
2012-06-08,2012.436,180.46
2012-06-11,2012.444,178.01
2012-06-12,2012.447,183.66
2012-06-13,2012.45,182.67
2012-06-14,2012.453,186.35
2012-06-15,2012.456,188.89
2012-06-18,2012.464,196.48
2012-06-19,2012.467,198.65
2012-06-20,2012.469,190.88
2012-06-21,2012.472,182.17
2012-06-22,2012.475,184.69
2012-06-25,2012.483,178.7
2012-06-26,2012.486,178.24
2012-06-27,2012.489,177.51
2012-06-28,2012.492,178.35
2012-06-29,2012.494,188.94
2012-07-02,2012.503,189.07
2012-07-03,2012.506,190.99
2012-07-05,2012.511,189.65
2012-07-06,2012.514,187.47
2012-07-09,2012.522,189.28
2012-07-10,2012.525,187.02
2012-07-11,2012.528,184.18
2012-07-12,2012.531,182.58
2012-07-13,2012.533,183.52
2012-07-16,2012.542,177.3
2012-07-17,2012.544,178.45
2012-07-18,2012.547,179.57
2012-07-19,2012.55,178.61
2012-07-20,2012.553,176.05
2012-07-23,2012.561,174.72
2012-07-24,2012.564,172.57
2012-07-25,2012.567,172.8
2012-07-26,2012.569,178.38
2012-07-27,2012.572,168.48
2012-07-30,2012.581,168.75
2012-07-31,2012.583,168.96
2012-08-01,2012.583,166.06
2012-08-02,2012.586,165.67
2012-08-03,2012.589,168.41
2012-08-06,2012.597,165.71
2012-08-07,2012.6,165.92
2012-08-08,2012.603,165.37
2012-08-09,2012.606,163.89
2012-08-10,2012.608,162.56
2012-08-13,2012.617,162.77
2012-08-14,2012.619,163.41
2012-08-15,2012.622,167.98
2012-08-16,2012.625,168.57
2012-08-17,2012.628,165.85
2012-08-20,2012.636,162.54
2012-08-21,2012.639,162.58
2012-08-22,2012.642,164.16
2012-08-23,2012.644,162.35
2012-08-24,2012.647,162.9
2012-08-27,2012.656,162.7
2012-08-28,2012.658,163.79
2012-08-29,2012.661,167.45
2012-08-30,2012.664,167.98
2012-08-31,2012.667,167.18
2012-09-04,2012.675,168
2012-09-05,2012.678,168.05
2012-09-06,2012.681,172.07
2012-09-07,2012.683,172.23
2012-09-10,2012.692,168.69
2012-09-11,2012.694,166.45
2012-09-12,2012.697,163.2
2012-09-13,2012.7,167.5
2012-09-14,2012.703,164.64
2012-09-17,2012.711,162.29
2012-09-18,2012.714,163.29
2012-09-19,2012.717,167.43
2012-09-20,2012.719,168.3
2012-09-21,2012.722,170.19
2012-09-24,2012.731,169.99
2012-09-25,2012.733,171.04
2012-09-26,2012.736,169.28
2012-09-27,2012.739,170.27
2012-09-28,2012.742,176.94
2012-10-01,2012.75,176.91
2012-10-02,2012.753,179.09
2012-10-03,2012.756,182.11
2012-10-04,2012.758,181.85
2012-10-05,2012.761,179.5
2012-10-08,2012.769,178.29
2012-10-09,2012.772,173.62
2012-10-10,2012.775,172
2012-10-11,2012.778,165.85
2012-10-12,2012.781,165.51
2012-10-15,2012.789,166.29
2012-10-16,2012.792,166.42
2012-10-17,2012.794,163.84
2012-10-18,2012.797,164.8
2012-10-19,2012.8,160.98
2012-10-22,2012.808,158.15
2012-10-23,2012.811,155.43
2012-10-24,2012.814,156.41
2012-10-25,2012.817,156.5
2012-10-26,2012.819,176.85
2012-10-31,2012.833,174.15
2012-11-01,2012.833,176.73
2012-11-02,2012.836,177.67
2012-11-05,2012.844,180.75
2012-11-06,2012.847,185.42
2012-11-07,2012.85,181.97
2012-11-08,2012.853,178.29
2012-11-09,2012.856,179.63
2012-11-12,2012.864,176.05
2012-11-13,2012.867,175.22
2012-11-14,2012.869,173.05
2012-11-15,2012.872,174.08
2012-11-16,2012.875,176.18
2012-11-19,2012.883,177.07
2012-11-20,2012.886,178.26
2012-11-21,2012.889,178.38
2012-11-23,2012.894,178.42
2012-11-26,2012.903,176.05
2012-11-27,2012.906,175.61
2012-11-28,2012.908,177.67
2012-11-29,2012.911,176.66
2012-11-30,2012.914,176.5
2012-12-03,2012.922,176.39
2012-12-04,2012.925,175.61
2012-12-05,2012.928,179.5
2012-12-06,2012.931,179.27
2012-12-07,2012.933,178.54
2012-12-10,2012.942,179.31
2012-12-11,2012.944,182.33
2012-12-12,2012.947,180.94
2012-12-13,2012.95,179.29
2012-12-14,2012.953,176.53
2012-12-17,2012.961,178.49
2012-12-18,2012.964,182.81
2012-12-19,2012.967,181.33
2012-12-20,2012.969,183.41
2012-12-21,2012.972,178.93
2012-12-24,2012.981,179.47
2012-12-26,2012.986,176.43
2012-12-27,2012.989,175.34
2012-12-28,2012.992,173.9
2012-12-31,2013,177.46
2013-01-02,2013.003,183.89
2013-01-03,2013.006,183.34
2013-01-04,2013.008,185.35
2013-01-07,2013.017,189.76
2013-01-08,2013.019,187.27
2013-01-09,2013.022,185.83
2013-01-10,2013.025,187.91
2013-01-11,2013.028,186.56
2013-01-14,2013.036,187.79
2013-01-15,2013.039,184.46
2013-01-16,2013.042,180.71
2013-01-17,2013.044,182.74
2013-01-18,2013.047,185.58
2013-01-22,2013.058,189.71
2013-01-23,2013.061,188.94
2013-01-24,2013.064,189.85
2013-01-25,2013.067,190.58
2013-01-28,2013.075,190.01
2013-01-29,2013.078,192.87
2013-01-30,2013.081,188.5
2013-01-31,2013.083,188.69
2013-02-01,2013.083,192.27
2013-02-04,2013.092,189.92
2013-02-05,2013.094,191.09
2013-02-06,2013.097,195.34
2013-02-07,2013.1,197.85
2013-02-08,2013.103,201.37
2013-02-11,2013.111,200
2013-02-12,2013.114,200.11
2013-02-13,2013.117,200.27
2013-02-14,2013.119,200.91
2013-02-15,2013.122,200.98
2013-02-19,2013.133,202.13
2013-02-20,2013.136,199.13
2013-02-21,2013.139,196.94
2013-02-22,2013.142,200.14
2013-02-25,2013.15,195.15
2013-02-26,2013.153,199.27
2013-02-27,2013.156,200.46
2013-02-28,2013.158,199.91
2013-03-01,2013.167,203.95
2013-03-04,2013.175,204.8
2013-03-05,2013.178,210.93
2013-03-06,2013.181,207.79
2013-03-07,2013.183,209.17
2013-03-08,2013.186,210.95
2013-03-11,2013.194,212.07
2013-03-12,2013.197,212.73
2013-03-13,2013.2,212.37
2013-03-14,2013.203,212.57
2013-03-15,2013.206,212.07
2013-03-18,2013.214,208.27
2013-03-19,2013.217,207.45
2013-03-20,2013.219,208.78
2013-03-21,2013.222,207.02
2013-03-22,2013.225,212.78
2013-03-25,2013.233,211.47
2013-03-26,2013.236,213.12
2013-03-27,2013.239,211.84
2013-03-28,2013.242,216.57
2013-04-01,2013.25,215.38
2013-04-02,2013.253,216.73
2013-04-03,2013.256,212.21
2013-04-04,2013.258,210.67
2013-04-05,2013.261,210.58
2013-04-08,2013.269,213.53
2013-04-09,2013.272,212.87
2013-04-10,2013.275,217.76
2013-04-11,2013.278,218.38
2013-04-12,2013.281,216.41
2013-04-15,2013.289,209.28
2013-04-16,2013.292,214.95
2013-04-17,2013.294,211.06
2013-04-18,2013.297,208.46
2013-04-19,2013.3,209.81
2013-04-22,2013.308,209.23
2013-04-23,2013.311,212.41
2013-04-24,2013.314,210.61
2013-04-25,2013.317,209.51
2013-04-26,2013.319,219.15
2013-04-29,2013.328,216.66
2013-04-30,2013.331,221.19
2013-05-01,2013.333,218.67
2013-05-02,2013.336,221.35
2013-05-03,2013.339,220.96
2013-05-06,2013.347,218.49
2013-05-07,2013.35,217.05
2013-05-08,2013.353,215.34
2013-05-09,2013.356,214.97
2013-05-10,2013.358,217.33
2013-05-13,2013.367,217.26
2013-05-14,2013.369,218.72
2013-05-15,2013.372,221.53
2013-05-16,2013.375,220.3
2013-05-17,2013.378,225.9
2013-05-20,2013.386,221.76
2013-05-21,2013.389,223.15
2013-05-22,2013.392,220
2013-05-23,2013.394,220.37
2013-05-24,2013.397,219.63
2013-05-28,2013.408,218.17
2013-05-29,2013.411,222.06
2013-05-30,2013.414,223.82
2013-05-31,2013.417,224.64
2013-06-03,2013.422,225.97
2013-06-04,2013.425,226.38
2013-06-05,2013.428,221.21
2013-06-06,2013.431,226.88
2013-06-07,2013.433,227.09
2013-06-10,2013.442,225.03
2013-06-11,2013.444,224.32
2013-06-12,2013.447,221.94
2013-06-13,2013.45,226.06
2013-06-14,2013.453,224.5
2013-06-17,2013.461,224.5
2013-06-18,2013.464,226.31
2013-06-19,2013.467,221.99
2013-06-20,2013.469,216.07
2013-06-21,2013.472,216.21
2013-06-24,2013.481,216.25
2013-06-25,2013.483,216.98
2013-06-26,2013.486,220.23
2013-06-27,2013.489,221.23
2013-06-28,2013.492,219.63
2013-07-01,2013.5,222.86
2013-07-02,2013.503,222.26
2013-07-03,2013.506,221.99
2013-07-05,2013.511,227.84
2013-07-08,2013.519,223.73
2013-07-09,2013.522,217.33
2013-07-10,2013.525,217.55
2013-07-11,2013.528,224.46
2013-07-12,2013.531,226.56
2013-07-15,2013.539,226.47
2013-07-16,2013.542,225.78
2013-07-17,2013.544,227.02
2013-07-18,2013.547,227.06
2013-07-19,2013.55,227.61
2013-07-22,2013.558,231.04
2013-07-23,2013.561,228.21
2013-07-24,2013.564,225.78
2013-07-25,2013.567,226.88
2013-07-26,2013.569,222.45
2013-07-29,2013.578,220.75
2013-07-30,2013.581,225.23
2013-07-31,2013.583,224
2013-08-01,2013.583,228.11
2013-08-02,2013.586,228.89
2013-08-05,2013.594,227.29
2013-08-06,2013.597,225.46
2013-08-07,2013.6,222.35
2013-08-08,2013.603,222.31
2013-08-09,2013.606,222.81
2013-08-12,2013.614,223.68
2013-08-13,2013.617,223.95
2013-08-14,2013.619,222.67
2013-08-15,2013.622,215.04
2013-08-16,2013.625,216.64
2013-08-19,2013.633,217.1
2013-08-20,2013.636,217.74
2013-08-21,2013.639,214.99
2013-08-22,2013.642,217.74
2013-08-23,2013.644,216.87
2013-08-26,2013.653,216.96
2013-08-27,2013.656,213.17
2013-08-28,2013.658,211.84
2013-08-29,2013.661,213.3
2013-08-30,2013.664,210.56
2013-09-03,2013.672,214.45
2013-09-04,2013.675,216.23
2013-09-05,2013.678,213.07
2013-09-06,2013.681,213.49
2013-09-09,2013.689,216.59
2013-09-10,2013.692,220.07
2013-09-11,2013.694,221.9
2013-09-12,2013.697,222.13
2013-09-13,2013.7,223.91
2013-09-16,2013.708,227.02
2013-09-17,2013.711,226.19
2013-09-18,2013.714,226.74
2013-09-19,2013.717,227.98
2013-09-20,2013.719,227.75
2013-09-23,2013.728,225.19
2013-09-24,2013.731,223.5
2013-09-25,2013.733,223.95
2013-09-26,2013.736,222.77
2013-09-27,2013.739,240.5
2013-09-30,2013.747,240.23
2013-10-01,2013.75,246.72
2013-10-02,2013.753,245.85
2013-10-03,2013.756,244.89
2013-10-04,2013.758,250.1
2013-10-07,2013.767,247.73
2013-10-08,2013.769,243.06
2013-10-09,2013.772,240.87
2013-10-10,2013.775,249.28
2013-10-11,2013.778,249.97
2013-10-14,2013.786,255.77
2013-10-15,2013.789,252.43
2013-10-16,2013.792,258.33
2013-10-17,2013.794,261.03
2013-10-18,2013.797,264.09
2013-10-21,2013.806,265.46
2013-10-22,2013.808,266.01
2013-10-23,2013.811,265.19
2013-10-24,2013.814,264.05
2013-10-25,2013.817,256.59
2013-10-28,2013.825,258.47
2013-10-29,2013.828,256.78
2013-10-30,2013.831,255.45
2013-10-31,2013.833,256.14
2013-11-01,2013.833,256.69
2013-11-04,2013.842,258.24
2013-11-05,2013.844,255.68
2013-11-06,2013.847,258.06
2013-11-07,2013.85,256.37
2013-11-08,2013.853,260.75
2013-11-11,2013.861,257.83
2013-11-12,2013.864,258.15
2013-11-13,2013.867,259.57
2013-11-14,2013.869,260.98
2013-11-15,2013.872,262.13
2013-11-18,2013.881,258.93
2013-11-19,2013.883,256.69
2013-11-20,2013.886,255.77
2013-11-21,2013.889,263.73
2013-11-22,2013.892,264.96
2013-11-25,2013.9,266.24
2013-11-26,2013.903,263.68
2013-11-27,2013.906,263.54
2013-11-29,2013.911,262.72
2013-12-02,2013.919,263.68
2013-12-03,2013.922,262.63
2013-12-04,2013.925,257.83
2013-12-05,2013.928,256.41
2013-12-06,2013.931,262.49
2013-12-09,2013.939,259.25
2013-12-10,2013.942,255.36
2013-12-11,2013.944,249.6
2013-12-12,2013.947,246.99
2013-12-13,2013.95,247.63
2013-12-16,2013.958,248.32
2013-12-17,2013.961,251.11
2013-12-18,2013.964,254.9
2013-12-19,2013.967,250.01
2013-12-20,2013.969,250.01
2013-12-23,2013.978,252.85
2013-12-24,2013.981,253.17
2013-12-26,2013.986,254.49
2013-12-27,2013.989,254.08
2013-12-30,2013.997,254.9
2013-12-31,2014,254.81
2014-01-02,2014.003,251.75
2014-01-03,2014.006,250.06
2014-01-06,2014.014,247.77
2014-01-07,2014.017,252.62
2014-01-08,2014.019,248.32
2014-01-09,2014.022,251.52
2014-01-10,2014.025,252.25
2014-01-13,2014.033,246.08
2014-01-14,2014.036,251.75
2014-01-15,2014.039,253.81
2014-01-16,2014.042,253.21
2014-01-17,2014.044,254.81
2014-01-21,2014.056,255.54
2014-01-22,2014.058,260.66
2014-01-23,2014.061,258.24
2014-01-24,2014.064,250.1
2014-01-27,2014.072,247.5
2014-01-28,2014.075,250.97
2014-01-29,2014.078,247.09
2014-01-30,2014.081,257.23
2014-01-31,2014.083,260.07
2014-02-03,2014.089,254.45
2014-02-04,2014.092,258.74
2014-02-05,2014.094,243.25
2014-02-06,2014.097,245.03
2014-02-07,2014.1,253.53
2014-02-10,2014.108,256.46
2014-02-11,2014.111,262.77
2014-02-12,2014.114,264.91
2014-02-13,2014.117,270.99
2014-02-14,2014.119,275.11
2014-02-18,2014.131,277.67
2014-02-19,2014.133,273.78
2014-02-20,2014.136,277.39
2014-02-21,2014.139,283.79
2014-02-24,2014.147,285.49
2014-02-25,2014.15,284.16
2014-02-26,2014.153,284.25
2014-02-27,2014.156,279.82
2014-02-28,2014.158,280.55
2014-03-03,2014.172,277.49
2014-03-04,2014.175,282.79
2014-03-05,2014.178,279.63
2014-03-06,2014.181,277.35
2014-03-07,2014.183,275.98
2014-03-10,2014.192,277.49
2014-03-11,2014.194,274.01
2014-03-12,2014.197,273.65
2014-03-13,2014.2,269.12
2014-03-14,2014.203,270.99
2014-03-17,2014.211,272.09
2014-03-18,2014.214,276.16
2014-03-19,2014.217,272.87
2014-03-20,2014.219,272.78
2014-03-21,2014.222,266.47
2014-03-24,2014.231,262.26
2014-03-25,2014.233,264.55
2014-03-26,2014.236,258.65
2014-03-27,2014.239,258.51
2014-03-28,2014.242,256.69
2014-03-31,2014.25,257.14
2014-04-01,2014.25,258.24
2014-04-02,2014.253,256.59
2014-04-03,2014.256,253.49
2014-04-04,2014.258,245.35
2014-04-07,2014.267,243.43
2014-04-08,2014.269,248.23
2014-04-09,2014.272,252.57
2014-04-10,2014.275,241.69
2014-04-11,2014.278,238.22
2014-04-14,2014.286,241.69
2014-04-15,2014.289,246.72
2014-04-16,2014.292,246.77
2014-04-17,2014.294,246.86
2014-04-21,2014.306,247.36
2014-04-22,2014.308,245.53
2014-04-23,2014.311,241.78
2014-04-24,2014.314,239.09
2014-04-25,2014.317,226.33
2014-04-28,2014.325,225.97
2014-04-29,2014.328,228.75
2014-04-30,2014.331,234.51
2014-05-01,2014.333,234.01
2014-05-02,2014.336,234.97
2014-05-05,2014.344,235.02
2014-05-06,2014.347,229.26
2014-05-07,2014.35,226.24
2014-05-08,2014.353,226.93
2014-05-09,2014.356,229.44
2014-05-12,2014.364,236.11
2014-05-13,2014.367,234.01
