Date,t,Close
2012-07-26,2012.569,36.88
2012-07-27,2012.572,38.54
2012-07-30,2012.581,37.89
2012-07-31,2012.583,37.19
2012-08-01,2012.583,39.41
2012-08-02,2012.586,38.37
2012-08-03,2012.589,40.39
2012-08-06,2012.597,41.17
2012-08-07,2012.6,43.16
2012-08-08,2012.603,43.66
2012-08-09,2012.606,44.27
2012-08-10,2012.608,44.14
2012-08-13,2012.617,43.43
2012-08-14,2012.619,42.89
2012-08-15,2012.622,44.17
2012-08-16,2012.625,46.6
2012-08-17,2012.628,46.47
2012-08-20,2012.636,45.76
2012-08-21,2012.639,45.76
2012-08-22,2012.642,45.35
2012-08-23,2012.644,44.71
2012-08-24,2012.647,44.98
2012-08-27,2012.656,43.63
2012-08-28,2012.658,43.29
2012-08-29,2012.661,43.36
2012-08-30,2012.664,43.87
2012-08-31,2012.667,44.98
2012-09-04,2012.675,43.97
2012-09-05,2012.678,44.34
2012-09-06,2012.681,45.99
2012-09-07,2012.683,47.38
2012-09-10,2012.692,46.7
2012-09-11,2012.694,46.6
2012-09-12,2012.697,47.21
2012-09-13,2012.7,48.12
2012-09-14,2012.703,48.93
2012-09-17,2012.711,47.95
2012-09-18,2012.714,47.17
2012-09-19,2012.717,47.01
2012-09-20,2012.719,45.49
2012-09-21,2012.722,44.68
2012-09-24,2012.731,44.88
2012-09-25,2012.733,42.75
2012-09-26,2012.736,42.52
2012-09-27,2012.739,43.12
2012-09-28,2012.742,42.82
2012-10-01,2012.75,41.67
2012-10-02,2012.753,42.69
2012-10-03,2012.756,43.33
2012-10-04,2012.758,43.93
2012-10-05,2012.761,43.7
2012-10-08,2012.769,43.8
2012-10-09,2012.772,43.87
2012-10-10,2012.775,43.5
2012-10-11,2012.778,44.04
2012-10-12,2012.781,45.25
2012-10-15,2012.789,46.23
2012-10-16,2012.792,47.17
2012-10-17,2012.794,46.8
2012-10-18,2012.797,46.67
2012-10-19,2012.8,44.14
2012-10-22,2012.808,44.04
2012-10-23,2012.811,43.09
2012-10-24,2012.814,41.91
2012-10-25,2012.817,41.2
2012-10-26,2012.819,40.19
2012-10-31,2012.833,41.67
2012-11-01,2012.833,43.87
2012-11-02,2012.836,43.77
2012-11-05,2012.844,44.54
2012-11-06,2012.847,46.43
2012-11-07,2012.85,45.35
2012-11-08,2012.853,43.56
2012-11-09,2012.856,43.5
2012-11-12,2012.864,43.97
2012-11-13,2012.867,43.8
2012-11-14,2012.869,43.02
2012-11-15,2012.872,44.04
2012-11-16,2012.875,44.04
2012-11-19,2012.883,46.26
2012-11-20,2012.886,46.77
2012-11-21,2012.889,47.14
2012-11-23,2012.894,48.49
2012-11-26,2012.903,49.23
2012-11-27,2012.906,49.7
2012-11-28,2012.908,50.72
2012-11-29,2012.911,50.72
2012-11-30,2012.914,49.97
2012-12-03,2012.922,49.03
2012-12-04,2012.925,48.76
2012-12-05,2012.928,49.37
2012-12-06,2012.931,49.97
2012-12-07,2012.933,50.04
2012-12-10,2012.942,50.04
2012-12-11,2012.944,51.12
2012-12-12,2012.947,51.73
2012-12-13,2012.95,51.46
2012-12-14,2012.953,51.63
2012-12-17,2012.961,52.03
2012-12-18,2012.964,50.31
2012-12-19,2012.967,48.62
2012-12-20,2012.969,47.11
2012-12-21,2012.972,46.87
2012-12-24,2012.981,47.61
2012-12-26,2012.986,47.78
2012-12-27,2012.989,47.31
2012-12-28,2012.992,46.97
2012-12-31,2013,49.03
2013-01-02,2013.003,49.1
2013-01-03,2013.006,49.74
2013-01-04,2013.008,50.28
2013-01-07,2013.017,48.76
2013-01-08,2013.019,46.5
2013-01-09,2013.022,46.23
2013-01-10,2013.025,47.24
2013-01-11,2013.028,48.05
2013-01-14,2013.036,48.69
2013-01-15,2013.039,49.3
2013-01-16,2013.042,49.27
2013-01-17,2013.044,48.96
2013-01-18,2013.047,48.79
2013-01-22,2013.058,48.69
2013-01-23,2013.061,47.41
2013-01-24,2013.064,48.12
2013-01-25,2013.067,49.84
2013-01-28,2013.075,50.75
2013-01-29,2013.078,50.45
2013-01-30,2013.081,50.89
