Date,t,Close
2011-08-08,2011.603,133.65
2011-08-09,2011.606,141.23
2011-08-10,2011.608,134.53
2011-08-11,2011.611,142.38
2011-08-12,2011.614,146.28
2011-08-15,2011.622,146.79
2011-08-16,2011.625,145.15
2011-08-17,2011.628,143.32
2011-08-18,2011.631,137.09
2011-08-19,2011.633,136.09
2011-08-22,2011.642,138.83
2011-08-23,2011.644,143.29
2011-08-24,2011.647,144.32
2011-08-25,2011.65,142.95
2011-08-26,2011.653,147.54
2011-08-29,2011.661,153.16
2011-08-30,2011.664,153.61
2011-08-31,2011.667,152.81
2011-09-01,2011.667,153.53
2011-09-02,2011.669,151.68
2011-09-06,2011.681,152.14
2011-09-07,2011.683,156.5
2011-09-08,2011.686,154.15
2011-09-09,2011.689,151.28
2011-09-12,2011.697,155.9
2011-09-13,2011.7,159.12
2011-09-14,2011.703,159.55
2011-09-15,2011.706,159.53
2011-09-16,2011.708,161.09
2011-09-19,2011.717,160.87
2011-09-20,2011.719,158.4
2011-09-21,2011.722,154.47
2011-09-22,2011.725,155.44
2011-09-23,2011.728,153.78
2011-09-26,2011.736,158.67
2011-09-27,2011.739,159.72
2011-09-28,2011.742,158.05
2011-09-29,2011.744,159.61
2011-09-30,2011.747,154.02
2011-10-03,2011.756,148.51
2011-10-04,2011.758,149.02
2011-10-05,2011.761,149.66
2011-10-06,2011.764,154.5
2011-10-07,2011.767,153.53
2011-10-10,2011.775,158.24
2011-10-11,2011.778,159.8
2011-10-12,2011.781,160.39
2011-10-13,2011.783,160.68
2011-10-14,2011.786,164.39
2011-10-17,2011.794,161.92
2011-10-18,2011.797,163.91
2011-10-19,2011.8,161.73
2011-10-20,2011.803,160.47
2011-10-21,2011.806,166.11
2011-10-24,2011.814,167.24
2011-10-25,2011.817,163.99
2011-10-26,2011.819,163.77
2011-10-27,2011.822,168.69
2011-10-28,2011.825,164.34
2011-10-31,2011.833,166.19
2011-11-01,2011.833,165.33
2011-11-02,2011.836,166.35
2011-11-03,2011.839,166.6
2011-11-04,2011.842,166.7
2011-11-07,2011.85,169.2
2011-11-08,2011.853,170.49
2011-11-09,2011.856,165.2
2011-11-10,2011.858,160.55
2011-11-11,2011.861,166.41
2011-11-14,2011.869,164.58
2011-11-15,2011.872,165.52
2011-11-16,2011.875,162.89
2011-11-17,2011.878,161.7
2011-11-18,2011.881,161.22
2011-11-21,2011.889,159.1
2011-11-22,2011.892,157.54
2011-11-23,2011.894,156.38
2011-11-25,2011.9,155.6
2011-11-28,2011.908,159.9
2011-11-29,2011.911,160.41
2011-11-30,2011.914,162.62
2011-12-01,2011.917,161.54
2011-12-02,2011.919,163.42
2011-12-05,2011.928,167.16
2011-12-06,2011.931,166.3
2011-12-07,2011.933,168.85
2011-12-08,2011.936,166.6
2011-12-09,2011.939,169.9
2011-12-12,2011.947,167.86
2011-12-13,2011.95,164.28
2011-12-14,2011.953,163.02
2011-12-15,2011.956,164.39
2011-12-16,2011.958,164.53
2011-12-19,2011.967,163.07
2011-12-20,2011.969,165.41
2011-12-21,2011.972,165.09
2011-12-22,2011.975,154.74
2011-12-23,2011.978,154.42
2011-12-27,2011.989,154.9
2011-12-28,2011.992,155.55
2011-12-29,2011.994,157.54
2011-12-30,2011.997,155.79
2012-01-03,2012.006,156.89
2012-01-04,2012.008,159.76
2012-01-05,2012.011,160.55
