Date,t,Close
2011-12-19,2011.967,152.26
2011-12-20,2011.969,161.62
2011-12-21,2011.972,164.91
2011-12-22,2011.975,169.68
2011-12-23,2011.978,171.79
2011-12-27,2011.989,156.45
2011-12-28,2011.992,155.62
2011-12-29,2011.994,158.8
2011-12-30,2011.997,159.24
2012-01-03,2012.006,162.8
2012-01-04,2012.008,164.34
2012-01-05,2012.011,168.87
2012-01-06,2012.014,166.05
2012-01-09,2012.022,169.44
2012-01-10,2012.025,173.94
2012-01-11,2012.028,173.94
2012-01-12,2012.031,174.54
2012-01-13,2012.033,170.82
2012-01-17,2012.044,167.43
2012-01-18,2012.047,180.75
2012-01-19,2012.05,186.02
2012-01-20,2012.053,181.86
2012-01-23,2012.061,181.09
2012-01-24,2012.064,182.43
2012-01-25,2012.067,184.21
2012-01-26,2012.069,182.63
2012-01-27,2012.072,183.23
2012-01-30,2012.081,180.38
2012-01-31,2012.083,182.29
2012-02-01,2012.083,206.86
2012-02-02,2012.086,215.99
2012-02-03,2012.089,230.42
2012-02-06,2012.097,237.4
2012-02-07,2012.1,237.27
2012-02-08,2012.103,235.59
2012-02-09,2012.106,233.34
2012-02-10,2012.108,235.05
2012-02-13,2012.117,241.43
2012-02-14,2012.119,241.86
2012-02-15,2012.122,232.73
2012-02-16,2012.125,237.13
2012-02-17,2012.128,238.37
2012-02-21,2012.139,236.96
2012-02-22,2012.142,235.18
2012-02-23,2012.144,237.94
2012-02-24,2012.147,239.28
2012-02-27,2012.156,255.39
2012-02-28,2012.158,255.56
2012-02-29,2012.161,253.61
2012-03-01,2012.167,249.95
2012-03-02,2012.169,248.81
2012-03-05,2012.178,247.84
2012-03-06,2012.181,244.31
2012-03-07,2012.183,246.9
2012-03-08,2012.186,246.46
2012-03-09,2012.189,252.7
2012-03-12,2012.197,252.13
2012-03-13,2012.2,261.96
2012-03-14,2012.203,263.44
2012-03-15,2012.206,264.52
2012-03-16,2012.208,257.87
2012-03-19,2012.217,260.96
2012-03-20,2012.219,259.82
2012-03-21,2012.222,260.15
2012-03-22,2012.225,256.86
2012-03-23,2012.228,257.67
2012-03-26,2012.236,261.83
2012-03-27,2012.239,257.13
2012-03-28,2012.242,254.48
2012-03-29,2012.244,255.49
2012-03-30,2012.247,257.94
2012-04-02,2012.253,254.28
2012-04-03,2012.256,250.02
2012-04-04,2012.258,249.11
2012-04-05,2012.261,252.47
2012-04-09,2012.272,249.31
2012-04-10,2012.275,236.46
2012-04-11,2012.278,241.43
2012-04-12,2012.281,241.53
2012-04-13,2012.283,238.61
2012-04-16,2012.292,238.37
2012-04-17,2012.294,228.2
2012-04-18,2012.297,222.2
2012-04-19,2012.3,216.42
2012-04-20,2012.303,215.35
2012-04-23,2012.311,220.59
2012-04-24,2012.314,222.6
2012-04-25,2012.317,231.19
2012-04-26,2012.319,221.36
2012-04-27,2012.322,216.53
2012-04-30,2012.331,214.85
2012-05-01,2012.333,217.43
2012-05-02,2012.336,217.73
2012-05-03,2012.339,210.75
2012-05-04,2012.342,207.3
2012-05-07,2012.35,208
2012-05-08,2012.353,206.79
2012-05-09,2012.356,205.08
2012-05-10,2012.358,205.15
2012-05-11,2012.361,209.44
2012-05-14,2012.369,204.78
2012-05-15,2012.372,204.58
2012-05-16,2012.375,206.66
2012-05-17,2012.378,196.19
2012-05-18,2012.381,193.67
2012-05-21,2012.389,196.52
2012-05-22,2012.392,196.59
2012-05-23,2012.394,197.87
2012-05-24,2012.397,196.42
2012-05-25,2012.4,203.24
2012-05-29,2012.411,210.85
2012-05-30,2012.414,211.86
2012-05-31,2012.417,207.67
2012-06-01,2012.417,194.01
2012-06-04,2012.425,192.19
2012-06-05,2012.428,197.53
2012-06-06,2012.431,204.01
2012-06-07,2012.433,201.39
2012-06-08,2012.436,204.14
2012-06-11,2012.444,197.43
2012-06-12,2012.447,200.01
2012-06-13,2012.45,195.45
2012-06-14,2012.453,194.78
2012-06-15,2012.456,198.37
2012-06-18,2012.464,202.13
2012-06-19,2012.467,208.54
2012-06-20,2012.469,207.4
2012-06-21,2012.472,195.18
2012-06-22,2012.475,190.38
2012-06-25,2012.483,184.11
2012-06-26,2012.486,186.05
2012-06-27,2012.489,190.79
2012-06-28,2012.492,192.77
2012-06-29,2012.494,205.25
2012-07-02,2012.503,206.49
2012-07-03,2012.506,211.22
2012-07-05,2012.511,212.3
2012-07-06,2012.514,210.82
2012-07-09,2012.522,207.73
2012-07-10,2012.525,203.57
2012-07-11,2012.528,207.73
2012-07-12,2012.531,207.06
2012-07-13,2012.533,210.82
2012-07-16,2012.542,208
2012-07-17,2012.544,212.9
2012-07-18,2012.547,218.27
2012-07-19,2012.55,229.75
2012-07-20,2012.553,226.9
2012-07-23,2012.561,225.89
2012-07-24,2012.564,208.91
2012-07-25,2012.567,216.83
2012-07-26,2012.569,224.51
2012-07-27,2012.572,230.25
2012-07-30,2012.581,228.98
2012-07-31,2012.583,226.73
2012-08-01,2012.583,226.19
2012-08-02,2012.586,224.34
2012-08-03,2012.589,233.37
2012-08-06,2012.597,234.98
2012-08-07,2012.6,237.8
2012-08-08,2012.603,240.52
2012-08-09,2012.606,239.01
2012-08-10,2012.608,241.09
2012-08-13,2012.617,240.72
2012-08-14,2012.619,240.02
2012-08-15,2012.622,240.86
2012-08-16,2012.625,247.74
2012-08-17,2012.628,252.6
2012-08-20,2012.636,247.17
2012-08-21,2012.639,246.43
2012-08-22,2012.642,250.45
2012-08-23,2012.644,248.37
2012-08-24,2012.647,249.51
2012-08-27,2012.656,248.47
2012-08-28,2012.658,248.27
2012-08-29,2012.661,250.62
2012-08-30,2012.664,249.38
2012-08-31,2012.667,253.24
2012-09-04,2012.675,255.19
2012-09-05,2012.678,252.53
2012-09-06,2012.681,260.96
2012-09-07,2012.683,261.83
2012-09-10,2012.692,263.48
2012-09-11,2012.694,267.3
2012-09-12,2012.697,270.12
2012-09-13,2012.7,271.6
2012-09-14,2012.703,279.68
2012-09-17,2012.711,279.65
2012-09-18,2012.714,278.14
2012-09-19,2012.717,285.29
2012-09-20,2012.719,283.58
2012-09-21,2012.722,285.99
2012-09-24,2012.731,287.54
2012-09-25,2012.733,279.68
2012-09-26,2012.736,274.65
2012-09-27,2012.739,280.15
2012-09-28,2012.742,278.24
2012-10-01,2012.75,277.1
2012-10-02,2012.753,281.36
2012-10-03,2012.756,284.99
2012-10-04,2012.758,285.26
2012-10-05,2012.761,287.17
2012-10-08,2012.769,290.46
2012-10-09,2012.772,282.6
2012-10-10,2012.775,282.23
2012-10-11,2012.778,284.65
2012-10-12,2012.781,280.49
2012-10-15,2012.789,282.23
2012-10-16,2012.792,284.75
2012-10-17,2012.794,292.34
2012-10-18,2012.797,292.6
2012-10-19,2012.8,292.13
2012-10-22,2012.808,289.65
2012-10-23,2012.811,314.82
2012-10-24,2012.814,319.62
2012-10-25,2012.817,318.41
2012-10-26,2012.819,319.79
2012-10-31,2012.833,327.81
2012-11-01,2012.833,337.47
2012-11-02,2012.836,329.39
2012-11-05,2012.844,329.42
2012-11-06,2012.847,329.39
2012-11-07,2012.85,328.21
2012-11-08,2012.853,326.7
2012-11-09,2012.856,324.22
2012-11-12,2012.864,323.78
2012-11-13,2012.867,325.36
2012-11-14,2012.869,319.28
2012-11-15,2012.872,315.32
2012-11-16,2012.875,322.71
2012-11-19,2012.883,329.29
2012-11-20,2012.886,338.65
2012-11-21,2012.889,339.05
2012-11-23,2012.894,344.76
2012-11-26,2012.903,338.92
2012-11-27,2012.906,336.23
2012-11-28,2012.908,344.29
2012-11-29,2012.911,344.05
2012-11-30,2012.914,341.77
2012-12-03,2012.922,338.82
2012-12-04,2012.925,337
2012-12-05,2012.928,330.96
2012-12-06,2012.931,327.54
2012-12-07,2012.933,328.92
2012-12-10,2012.942,334.45
2012-12-11,2012.944,333.45
2012-12-12,2012.947,339.96
2012-12-13,2012.95,339.35
2012-12-14,2012.953,335.93
2012-12-17,2012.961,340.12
2012-12-18,2012.964,344.72
2012-12-19,2012.967,342.81
2012-12-20,2012.969,343.41
2012-12-21,2012.972,340.23
2012-12-24,2012.981,337.61
2012-12-26,2012.986,334.72
2012-12-27,2012.989,339.49
2012-12-28,2012.992,332.31
2012-12-31,2013,341.47
2013-01-02,2013.003,359.66
2013-01-03,2013.006,358.75
2013-01-04,2013.008,355.7
2013-01-07,2013.017,350.26
2013-01-08,2013.019,352.41
2013-01-09,2013.022,355.09
2013-01-10,2013.025,354.99
2013-01-11,2013.028,352.54
2013-01-14,2013.036,353.82
2013-01-15,2013.039,350.46
2013-01-16,2013.042,344.99
2013-01-17,2013.044,360.43
2013-01-18,2013.047,343.35
2013-01-22,2013.058,348.75
2013-01-23,2013.061,361.44
2013-01-24,2013.064,369.22
2013-01-25,2013.067,368.08
2013-01-28,2013.075,356.7
2013-01-29,2013.078,367.01
2013-01-30,2013.081,364.86
2013-01-31,2013.083,387.21
2013-02-01,2013.083,378.35
2013-02-04,2013.092,374.56
2013-02-05,2013.094,372.14
2013-02-06,2013.097,363.78
2013-02-07,2013.1,359.09
2013-02-08,2013.103,360.16
2013-02-11,2013.111,357.31
2013-02-12,2013.114,371.87
2013-02-13,2013.117,372.44
2013-02-14,2013.119,372.51
2013-02-15,2013.122,373.62
2013-02-19,2013.133,377.91
2013-02-20,2013.136,361
2013-02-21,2013.139,359.46
2013-02-22,2013.142,367.64
2013-02-25,2013.15,359.46
2013-02-26,2013.153,369.49
2013-02-27,2013.156,372.64
2013-02-28,2013.158,379.05
2013-03-01,2013.167,383.75
2013-03-04,2013.175,393.85
2013-03-05,2013.178,398.95
2013-03-06,2013.181,397.71
2013-03-07,2013.183,389.56
2013-03-08,2013.186,395.16
2013-03-11,2013.194,400.33
2013-03-12,2013.197,398.89
2013-03-13,2013.2,396.44
2013-03-14,2013.203,394.29
2013-03-15,2013.206,386.6
2013-03-18,2013.214,385.4
2013-03-19,2013.217,386.5
2013-03-20,2013.219,390.23
2013-03-21,2013.222,382.04
2013-03-22,2013.225,383.89
2013-03-25,2013.233,381.77
2013-03-26,2013.236,383.55
2013-03-27,2013.239,390.06
2013-03-28,2013.242,397.54
2013-04-01,2013.25,389.52
2013-04-02,2013.253,385.9
2013-04-03,2013.256,377.91
2013-04-04,2013.258,376.13
2013-04-05,2013.261,380.56
2013-04-08,2013.269,384.12
2013-04-09,2013.272,386.71
2013-04-10,2013.275,395.87
2013-04-11,2013.278,401.34
2013-04-12,2013.281,399.36
2013-04-15,2013.289,379.62
2013-04-16,2013.292,391.91
2013-04-17,2013.294,391.07
2013-04-18,2013.297,377.01
2013-04-19,2013.3,393.08
2013-04-22,2013.308,396.07
2013-04-23,2013.311,409.43
2013-04-24,2013.314,400.2
2013-04-25,2013.317,393.89
2013-04-26,2013.319,389.96
2013-04-29,2013.328,389.52
2013-04-30,2013.331,383.52
2013-05-01,2013.333,378.89
2013-05-02,2013.336,389.29
2013-05-03,2013.339,397.41
2013-05-06,2013.347,399.36
2013-05-07,2013.35,411.61
2013-05-08,2013.353,414.79
2013-05-09,2013.356,418.52
2013-05-10,2013.358,429.23
2013-05-13,2013.367,427.11
2013-05-14,2013.369,432.92
2013-05-15,2013.372,435.17
2013-05-16,2013.375,429.9
2013-05-17,2013.378,438.66
2013-05-20,2013.386,434.7
2013-05-21,2013.389,439.53
2013-05-22,2013.392,431.98
2013-05-23,2013.394,438.22
2013-05-24,2013.397,433.55
2013-05-28,2013.408,434.96
2013-05-29,2013.411,428.79
2013-05-30,2013.414,432.68
2013-05-31,2013.417,428.76
2013-06-03,2013.422,424.26
2013-06-04,2013.425,411.54
2013-06-05,2013.428,401.77
2013-06-06,2013.431,412.38
2013-06-07,2013.433,417.98
2013-06-10,2013.442,423.79
2013-06-11,2013.444,416.47
2013-06-12,2013.447,412.28
2013-06-13,2013.45,428.96
2013-06-14,2013.453,433.72
2013-06-17,2013.461,433.86
2013-06-18,2013.464,434.96
2013-06-19,2013.467,425.53
2013-06-20,2013.469,403.72
2013-06-21,2013.472,380.3
2013-06-24,2013.481,375.09
2013-06-25,2013.483,382.58
2013-06-26,2013.486,377.71
2013-06-27,2013.489,387.38
2013-06-28,2013.492,383.79
2013-07-01,2013.5,388.95
2013-07-02,2013.503,390.46
2013-07-03,2013.506,385.9
2013-07-05,2013.511,384.26
2013-07-08,2013.519,381.2
2013-07-09,2013.522,383.55
2013-07-10,2013.525,401.44
2013-07-11,2013.528,413.99
2013-07-12,2013.531,413.96
2013-07-15,2013.539,418.92
2013-07-16,2013.542,406.34
2013-07-17,2013.544,404.73
2013-07-18,2013.547,400.6
2013-07-19,2013.55,432.61
2013-07-22,2013.558,441.91
2013-07-23,2013.561,439.76
2013-07-24,2013.564,435.67
2013-07-25,2013.567,434.53
2013-07-26,2013.569,437.58
2013-07-29,2013.578,438.15
2013-07-30,2013.581,441.84
2013-07-31,2013.583,449.49
2013-08-01,2013.583,458.66
2013-08-02,2013.586,462.18
2013-08-05,2013.594,459.93
2013-08-06,2013.597,442.35
2013-08-07,2013.6,445.57
2013-08-08,2013.603,446.37
2013-08-09,2013.606,447.21
2013-08-12,2013.614,453.25
2013-08-13,2013.617,451.11
2013-08-14,2013.619,444.53
2013-08-15,2013.622,445.37
2013-08-16,2013.625,448.56
2013-08-19,2013.633,442.35
2013-08-20,2013.636,450.54
2013-08-21,2013.639,441.98
2013-08-22,2013.642,459.29
2013-08-23,2013.644,450.7
2013-08-26,2013.653,446.68
2013-08-27,2013.656,432.04
2013-08-28,2013.658,432.38
2013-08-29,2013.661,435.53
2013-08-30,2013.664,431.74
2013-09-03,2013.672,431.44
2013-09-04,2013.675,442.18
2013-09-05,2013.678,434.53
2013-09-06,2013.681,440.87
2013-09-09,2013.689,455.13
2013-09-10,2013.692,459.63
2013-09-11,2013.694,455.7
2013-09-12,2013.697,452.82
2013-09-13,2013.7,459.76
2013-09-16,2013.708,473.99
2013-09-17,2013.711,480
2013-09-18,2013.714,502.75
2013-09-19,2013.717,502.42
2013-09-20,2013.719,496.85
2013-09-23,2013.728,491.01
2013-09-24,2013.731,499.3
2013-09-25,2013.733,498.39
2013-09-26,2013.736,495.54
2013-09-27,2013.739,494.7
2013-09-30,2013.747,491.44
2013-10-01,2013.75,485.57
2013-10-02,2013.753,475.27
2013-10-03,2013.756,467.89
2013-10-04,2013.758,468.76
2013-10-07,2013.767,458.52
2013-10-08,2013.769,449.93
2013-10-09,2013.772,456.84
2013-10-10,2013.775,467.68
2013-10-11,2013.778,471.24
2013-10-14,2013.786,440.6
2013-10-15,2013.789,443.15
2013-10-16,2013.792,448.82
2013-10-17,2013.794,452.05
2013-10-18,2013.797,447.78
2013-10-21,2013.806,439.53
2013-10-22,2013.808,490.61
2013-10-23,2013.811,484.6
2013-10-24,2013.814,494.2
2013-10-25,2013.817,490.57
2013-10-28,2013.825,489.93
2013-10-29,2013.828,499.8
2013-10-30,2013.831,493.42
2013-10-31,2013.833,490
2013-11-01,2013.833,493.52
2013-11-04,2013.842,504.26
2013-11-05,2013.844,496.18
2013-11-06,2013.847,491.75
2013-11-07,2013.85,483.09
2013-11-08,2013.853,487.45
2013-11-11,2013.861,478.26
2013-11-12,2013.864,479.13
2013-11-13,2013.867,484.09
2013-11-14,2013.869,500.2
2013-11-15,2013.872,506.21
2013-11-18,2013.881,505.2
2013-11-19,2013.883,500.91
2013-11-20,2013.886,488.69
2013-11-21,2013.889,504.16
2013-11-22,2013.892,504.33
2013-11-25,2013.9,507.65
2013-11-26,2013.903,513.83
2013-11-27,2013.906,511.18
2013-11-29,2013.911,512.65
2013-12-02,2013.919,501.01
2013-12-03,2013.922,500
2013-12-04,2013.925,496.95
2013-12-05,2013.928,493.16
2013-12-06,2013.931,501.88
2013-12-09,2013.939,503.36
2013-12-10,2013.942,508.76
2013-12-11,2013.944,496.31
2013-12-12,2013.947,498.79
2013-12-13,2013.95,499.53
2013-12-16,2013.958,503.19
2013-12-17,2013.961,508.53
2013-12-18,2013.964,524.03
2013-12-19,2013.967,515.2
2013-12-20,2013.969,521.11
2013-12-23,2013.978,525.51
2013-12-24,2013.981,526.68
2013-12-26,2013.986,529.57
2013-12-27,2013.989,526.75
2013-12-30,2013.997,527.02
2013-12-31,2014,526.41
2014-01-02,2014.003,523.63
2014-01-03,2014.006,526.55
2014-01-06,2014.014,518.33
2014-01-07,2014.017,518.76
2014-01-08,2014.019,528.9
2014-01-09,2014.022,533.63
2014-01-10,2014.025,525.67
