Date,t,Close
2011-10-03,2011.756,168.99
2011-10-04,2011.758,174.38
2011-10-05,2011.761,184.32
2011-10-06,2011.764,188.92
2011-10-07,2011.767,186.53
2011-10-10,2011.775,196.95
2011-10-11,2011.778,198.31
2011-10-12,2011.781,203.6
2011-10-13,2011.783,201
2011-10-14,2011.786,203.23
2011-10-17,2011.794,191.83
2011-10-18,2011.797,211.8
2011-10-19,2011.8,208.48
2011-10-20,2011.803,215.01
2011-10-21,2011.806,222.23
2011-10-24,2011.814,231.75
2011-10-25,2011.817,219.99
2011-10-26,2011.819,225.44
2011-10-27,2011.822,237.9
2011-10-28,2011.825,236.45
2011-10-31,2011.833,226.68
2011-11-01,2011.833,219.27
2011-11-02,2011.836,228.2
2011-11-03,2011.839,236.52
2011-11-04,2011.842,236.33
2011-11-07,2011.85,241.62
2011-11-08,2011.853,249.71
2011-11-09,2011.856,234.31
2011-11-10,2011.858,241.1
2011-11-11,2011.861,242.99
2011-11-14,2011.869,238.31
2011-11-15,2011.872,239.13
2011-11-16,2011.875,243.19
2011-11-17,2011.878,238.89
2011-11-18,2011.881,236.13
2011-11-21,2011.889,232.76
2011-11-22,2011.892,233.22
2011-11-23,2011.894,223.37
2011-11-25,2011.9,224.33
2011-11-28,2011.908,232.45
2011-11-29,2011.911,235.24
2011-11-30,2011.914,251.79
2011-12-01,2011.917,251.85
2011-12-02,2011.919,252.13
2011-12-05,2011.928,264.76
2011-12-06,2011.931,266.21
2011-12-07,2011.933,267.59
2011-12-08,2011.936,257.04
2011-12-09,2011.939,266.21
2011-12-12,2011.947,264.66
2011-12-13,2011.95,252.95
2011-12-14,2011.953,243.88
2011-12-15,2011.956,248.06
2011-12-16,2011.958,250.74
2011-12-19,2011.967,245.72
2011-12-20,2011.969,262.95
2011-12-21,2011.972,268.77
2011-12-22,2011.975,263.52
2011-12-23,2011.978,260.69
2011-12-27,2011.989,259.21
2011-12-28,2011.992,255.37
2011-12-29,2011.994,267.85
2011-12-30,2011.997,265.74
2012-01-03,2012.006,272.15
2012-01-04,2012.008,275.09
2012-01-05,2012.011,284.92
2012-01-06,2012.014,280.54
2012-01-09,2012.022,283.26
2012-01-10,2012.025,288.93
2012-01-11,2012.028,305.3
2012-01-12,2012.031,305.79
2012-01-13,2012.033,301.47
2012-01-17,2012.044,299
2012-01-18,2012.047,311.31
2012-01-19,2012.05,310.44
2012-01-20,2012.053,302.38
2012-01-23,2012.061,298
2012-01-24,2012.064,307.51
2012-01-25,2012.067,313.95
2012-01-26,2012.069,305.65
2012-01-27,2012.072,308.55
2012-01-30,2012.081,303.64
2012-01-31,2012.083,297.3
2012-02-01,2012.083,304.25
2012-02-02,2012.086,303.25
2012-02-03,2012.089,321.16
2012-02-06,2012.097,315.83
2012-02-07,2012.1,316.54
2012-02-08,2012.103,323.44
2012-02-09,2012.106,329.69
2012-02-10,2012.108,323.43
2012-02-13,2012.117,332.81
2012-02-14,2012.119,330.5
2012-02-15,2012.122,328.57
2012-02-16,2012.125,325.71
2012-02-17,2012.128,324.7
2012-02-21,2012.139,314.13
2012-02-22,2012.142,309.26
2012-02-23,2012.144,318.03
2012-02-24,2012.147,312.72
2012-02-27,2012.156,318.03
2012-02-28,2012.158,310.66
2012-02-29,2012.161,323.96
2012-03-01,2012.167,320.19
2012-03-02,2012.169,314.76
2012-03-05,2012.178,314.27
2012-03-06,2012.181,304.99
2012-03-07,2012.183,318.93
2012-03-08,2012.186,333.2
2012-03-09,2012.189,345.56
2012-03-12,2012.197,348.08
2012-03-13,2012.2,360.22
2012-03-14,2012.203,356.31
2012-03-15,2012.206,365.71
2012-03-16,2012.208,358.46
2012-03-19,2012.217,356.2
2012-03-20,2012.219,354.53
2012-03-21,2012.222,357.28
2012-03-22,2012.225,349.42
2012-03-23,2012.228,345.8
2012-03-26,2012.236,347.52
2012-03-27,2012.239,359.12
2012-03-28,2012.242,364.75
2012-03-29,2012.244,355.91
2012-03-30,2012.247,349.76
2012-04-02,2012.253,343.7
2012-04-03,2012.256,342.78
2012-04-04,2012.258,336.16
2012-04-05,2012.261,329.84
2012-04-09,2012.272,335.82
2012-04-10,2012.275,315.52
2012-04-11,2012.278,334.42
2012-04-12,2012.281,344.68
2012-04-13,2012.283,338.46
2012-04-16,2012.292,335.44
2012-04-17,2012.294,339.88
2012-04-18,2012.297,334.42
2012-04-19,2012.3,327.53
2012-04-20,2012.303,339.77
2012-04-23,2012.311,330.44
2012-04-24,2012.314,341
2012-04-25,2012.317,346.52
2012-04-26,2012.319,366.28
2012-04-27,2012.322,379.38
2012-04-30,2012.331,372.43
2012-05-01,2012.333,379.41
2012-05-02,2012.336,390.34
2012-05-03,2012.339,382.58
2012-05-04,2012.342,377.4
2012-05-07,2012.35,380.57
2012-05-08,2012.353,372.69
2012-05-09,2012.356,385.88
2012-05-10,2012.358,377.35
2012-05-11,2012.361,382.45
2012-05-14,2012.369,377.29
2012-05-15,2012.372,386.48
2012-05-16,2012.375,382.32
2012-05-17,2012.378,354.85
2012-05-18,2012.381,348.28
2012-05-21,2012.389,359.86
2012-05-22,2012.392,366.11
2012-05-23,2012.394,374.6
2012-05-24,2012.397,377.23
2012-05-25,2012.4,375.05
2012-05-29,2012.411,383.19
2012-05-30,2012.414,363.62
2012-05-31,2012.417,367.47
2012-06-01,2012.417,333.57
2012-06-04,2012.425,315.22
2012-06-05,2012.428,330.84
2012-06-06,2012.431,345.68
2012-06-07,2012.433,347.52
2012-06-08,2012.436,354.71
2012-06-11,2012.444,337.74
2012-06-12,2012.447,340.38
2012-06-13,2012.45,332.15
2012-06-14,2012.453,345.83
2012-06-15,2012.456,351.19
2012-06-18,2012.464,364.76
2012-06-19,2012.467,369.74
2012-06-20,2012.469,368.59
2012-06-21,2012.472,356.78
2012-06-22,2012.475,361.68
2012-06-25,2012.483,360.08
2012-06-26,2012.486,373.87
2012-06-27,2012.489,385.16
2012-06-28,2012.492,390.49
2012-06-29,2012.494,413.66
2012-07-02,2012.503,417.81
2012-07-03,2012.506,415.02
2012-07-05,2012.511,423.5
2012-07-06,2012.514,425.3
2012-07-09,2012.522,424.63
2012-07-10,2012.525,411.44
2012-07-11,2012.528,403.3
2012-07-12,2012.531,415.73
2012-07-13,2012.533,419.93
2012-07-16,2012.542,422.7
2012-07-17,2012.544,421.78
2012-07-18,2012.547,412.59
2012-07-19,2012.55,409.21
2012-07-20,2012.553,419.14
2012-07-23,2012.561,422.26
2012-07-24,2012.564,410.7
2012-07-25,2012.567,394.29
2012-07-26,2012.569,425.42
2012-07-27,2012.572,424.23
2012-07-30,2012.581,412.15
2012-07-31,2012.583,405.14
2012-08-01,2012.583,398.31
2012-08-02,2012.586,409.05
2012-08-03,2012.589,408.9
2012-08-06,2012.597,408.19
2012-08-07,2012.6,415.62
2012-08-08,2012.603,423.82
2012-08-09,2012.606,437.37
2012-08-10,2012.608,430.66
2012-08-13,2012.617,431.67
2012-08-14,2012.619,435.3
2012-08-15,2012.622,434.5
2012-08-16,2012.625,454.89
2012-08-17,2012.628,454.77
2012-08-20,2012.636,442.04
2012-08-21,2012.639,435.05
2012-08-22,2012.642,452.13
2012-08-23,2012.644,449.02
2012-08-24,2012.647,455.8
2012-08-27,2012.656,447.78
2012-08-28,2012.658,448.44
2012-08-29,2012.661,450.5
2012-08-30,2012.664,449.58
2012-08-31,2012.667,456.38
2012-09-04,2012.675,463.39
2012-09-05,2012.678,466.01
2012-09-06,2012.681,482.68
2012-09-07,2012.683,483.28
2012-09-10,2012.692,474.97
2012-09-11,2012.694,480.67
2012-09-12,2012.697,498.8
2012-09-13,2012.7,512.53
2012-09-14,2012.703,530.07
2012-09-17,2012.711,520.09
2012-09-18,2012.714,512.7
2012-09-19,2012.717,530.06
2012-09-20,2012.719,534.41
2012-09-21,2012.722,542.99
2012-09-24,2012.731,535.31
2012-09-25,2012.733,522.27
2012-09-26,2012.736,499.6
2012-09-27,2012.739,506.42
2012-09-28,2012.742,500.1
2012-10-01,2012.75,498.08
2012-10-02,2012.753,502.37
2012-10-03,2012.756,534.46
2012-10-04,2012.758,535.74
2012-10-05,2012.761,535.43
2012-10-08,2012.769,524.42
2012-10-09,2012.772,512.72
2012-10-10,2012.775,514.65
2012-10-11,2012.778,503.33
2012-10-12,2012.781,500.38
2012-10-15,2012.789,520.57
2012-10-16,2012.792,523.68
2012-10-17,2012.794,543.77
2012-10-18,2012.797,548.68
2012-10-19,2012.8,550.78
2012-10-22,2012.808,546.65
2012-10-23,2012.811,536.83
2012-10-24,2012.814,543.13
2012-10-25,2012.817,532.77
2012-10-26,2012.819,530.19
2012-10-31,2012.833,534.68
2012-11-01,2012.833,550.51
2012-11-02,2012.836,534.87
2012-11-05,2012.844,551.65
2012-11-06,2012.847,551.14
2012-11-07,2012.85,550.52
2012-11-08,2012.853,539.67
2012-11-09,2012.856,529.32
2012-11-12,2012.864,505.24
2012-11-13,2012.867,502.34
2012-11-14,2012.869,479.83
2012-11-15,2012.872,479.96
2012-11-16,2012.875,494.05
2012-11-19,2012.883,500.61
2012-11-20,2012.886,519.07
2012-11-21,2012.889,521.04
2012-11-23,2012.894,525.51
2012-11-26,2012.903,525.08
2012-11-27,2012.906,526.93
2012-11-28,2012.908,522.81
2012-11-29,2012.911,524.99
2012-11-30,2012.914,519.55
2012-12-03,2012.922,519.1
2012-12-04,2012.925,516.78
2012-12-05,2012.928,498.16
2012-12-06,2012.931,499.17
2012-12-07,2012.933,504.19
2012-12-10,2012.942,499.48
2012-12-11,2012.944,500.7
2012-12-12,2012.947,519.68
2012-12-13,2012.95,514.15
2012-12-14,2012.953,513.32
2012-12-17,2012.961,537.69
2012-12-18,2012.964,551.19
2012-12-19,2012.967,546.43
2012-12-20,2012.969,548.08
2012-12-21,2012.972,538.05
2012-12-24,2012.981,535.42
2012-12-26,2012.986,529.19
2012-12-27,2012.989,529.57
2012-12-28,2012.992,523.68
2012-12-31,2013,539.02
2013-01-02,2013.003,554.51
2013-01-03,2013.006,554.27
2013-01-04,2013.008,563.65
2013-01-07,2013.017,571.8
2013-01-08,2013.019,572.81
2013-01-09,2013.022,578.86
2013-01-10,2013.025,572.25
2013-01-11,2013.028,571.94
2013-01-14,2013.036,569.35
2013-01-15,2013.039,573.03
2013-01-16,2013.042,570.25
2013-01-17,2013.044,592.1
2013-01-18,2013.047,593.92
2013-01-22,2013.058,594.73
2013-01-23,2013.061,602.57
2013-01-24,2013.064,601.64
2013-01-25,2013.067,612.76
2013-01-28,2013.075,596.11
2013-01-29,2013.078,622.34
2013-01-30,2013.081,610.1
2013-01-31,2013.083,611.66
2013-02-01,2013.083,602.81
2013-02-04,2013.092,589.37
2013-02-05,2013.094,599.21
2013-02-06,2013.097,595.04
2013-02-07,2013.1,587
2013-02-08,2013.103,586.18
2013-02-11,2013.111,579.73
2013-02-12,2013.114,607.36
2013-02-13,2013.117,604.42
