Date,t,Close
2011-08-08,2011.603,71.44
2011-08-09,2011.606,76.44
2011-08-10,2011.608,74.96
2011-08-11,2011.611,79.72
2011-08-12,2011.614,80.36
2011-08-15,2011.622,82.84
2011-08-16,2011.625,81.24
2011-08-17,2011.628,80.2
2011-08-18,2011.631,76.72
2011-08-19,2011.633,77.28
2011-08-22,2011.642,76.28
2011-08-23,2011.644,79.48
2011-08-24,2011.647,82.6
2011-08-25,2011.65,81.24
2011-08-26,2011.653,82.88
2011-08-29,2011.661,86.51
2011-08-30,2011.664,87.11
2011-08-31,2011.667,88.71
2011-09-01,2011.667,88.39
2011-09-02,2011.669,85.91
2011-09-06,2011.681,84.67
2011-09-07,2011.683,88.23
2011-09-08,2011.686,85.91
2011-09-09,2011.689,83.4
2011-09-12,2011.697,82.6
2011-09-13,2011.7,82.64
2011-09-14,2011.703,84.95
2011-09-15,2011.706,85.63
2011-09-16,2011.708,86.19
2011-09-19,2011.717,85.39
2011-09-20,2011.719,84.67
2011-09-21,2011.722,81.24
2011-09-22,2011.725,78.2
2011-09-23,2011.728,78.72
2011-09-26,2011.736,81.56
2011-09-27,2011.739,83.72
2011-09-28,2011.742,80.72
2011-09-29,2011.744,82.28
2011-09-30,2011.747,79.12
2011-10-03,2011.756,74.4
2011-10-04,2011.758,78.88
2011-10-05,2011.761,81.88
2011-10-06,2011.764,84.63
2011-10-07,2011.767,82.56
2011-10-10,2011.775,85.95
2011-10-11,2011.778,87.47
2011-10-12,2011.781,86.83
2011-10-13,2011.783,86.51
2011-10-14,2011.786,88.07
2011-10-17,2011.794,86.23
2011-10-18,2011.797,88.35
2011-10-19,2011.8,88.31
2011-10-20,2011.803,89.43
2011-10-21,2011.806,92.11
2011-10-24,2011.814,94.95
2011-10-25,2011.817,93.75
2011-10-26,2011.819,95.63
2011-10-27,2011.822,94.23
2011-10-28,2011.825,89.55
2011-10-31,2011.833,87.55
2011-11-01,2011.833,83.96
2011-11-02,2011.836,86.35
2011-11-03,2011.839,87.35
2011-11-04,2011.842,87.35
