Date,t,Close
2011-08-10,2011.608,297.39
2011-08-11,2011.611,313.46
2011-08-12,2011.614,319.46
2011-08-15,2011.622,326.52
2011-08-16,2011.625,340.15
2011-08-17,2011.628,342.2
2011-08-18,2011.631,330.7
2011-08-19,2011.633,327.26
2011-08-22,2011.642,331.24
2011-08-23,2011.644,340.25
2011-08-24,2011.647,350.13
2011-08-25,2011.65,345.2
2011-08-26,2011.653,347.03
2011-08-29,2011.661,348.37
2011-08-30,2011.664,342.9
2011-08-31,2011.667,341.04
2011-09-01,2011.667,337.27
2011-09-02,2011.669,327.24
2011-09-06,2011.681,327.86
2011-09-07,2011.683,336.02
2011-09-08,2011.686,332.81
2011-09-09,2011.689,325.22
2011-09-12,2011.697,329.54
2011-09-13,2011.7,331.71
2011-09-14,2011.703,340.17
2011-09-15,2011.706,347.55
2011-09-16,2011.708,352.01
2011-09-19,2011.717,348.16
2011-09-20,2011.719,350.83
2011-09-21,2011.722,340.02
2011-09-22,2011.725,333.02
2011-09-23,2011.728,342.31
2011-09-26,2011.736,344.69
2011-09-27,2011.739,346.19
2011-09-28,2011.742,342.26
2011-09-29,2011.744,344.35
2011-09-30,2011.747,334.22
2011-10-03,2011.756,323.39
2011-10-04,2011.758,333.24
2011-10-05,2011.761,336.1
2011-10-06,2011.764,342.74
2011-10-07,2011.767,347.02
2011-10-10,2011.775,355.02
2011-10-11,2011.778,353.53
2011-10-12,2011.781,354.1
2011-10-13,2011.783,351.02
2011-10-14,2011.786,358.1
2011-10-17,2011.794,355.12
2011-10-18,2011.797,367.42
2011-10-19,2011.8,361.12
2011-10-20,2011.803,366.07
2011-10-21,2011.806,377.25
2011-10-24,2011.814,374.2
2011-10-25,2011.817,368.15
2011-10-26,2011.819,372.39
2011-10-27,2011.822,378.46
2011-10-28,2011.825,367.92
2011-10-31,2011.833,363.77
2011-11-01,2011.833,359.64
2011-11-02,2011.836,366.81
2011-11-03,2011.839,371.65
2011-11-04,2011.842,370.73
2011-11-07,2011.85,381.56
2011-11-08,2011.853,388.26
2011-11-09,2011.856,379.71
2011-11-10,2011.858,381.43
2011-11-11,2011.861,390.98
2011-11-14,2011.869,394.46
2011-11-15,2011.872,391.55
2011-11-16,2011.875,391.57
2011-11-17,2011.878,389.44
2011-11-18,2011.881,390.85
2011-11-21,2011.889,383.97
2011-11-22,2011.892,382.69
2011-11-23,2011.894,376.85
2011-11-25,2011.9,377.62
2011-11-28,2011.908,387.12
2011-11-29,2011.911,403.8
2011-11-30,2011.914,403.98
2011-12-01,2011.917,404.03
2011-12-02,2011.919,410.61
2011-12-05,2011.928,412.84
2011-12-06,2011.931,415.79
2011-12-07,2011.933,421.01
2011-12-08,2011.936,413.58
2011-12-09,2011.939,416.28
2011-12-12,2011.947,413.49
2011-12-13,2011.95,406.93
2011-12-14,2011.953,406.04
2011-12-15,2011.956,408.97
2011-12-16,2011.958,417.87
2011-12-19,2011.967,414.68
2011-12-20,2011.969,432.36
2011-12-21,2011.972,433.99
2011-12-22,2011.975,430.7
2011-12-23,2011.978,430.83
2011-12-27,2011.989,433.16
2011-12-28,2011.992,425.73
2011-12-29,2011.994,432.5
2011-12-30,2011.997,431.03
2012-01-03,2012.006,432.5
2012-01-04,2012.008,441.93
2012-01-05,2012.011,443.78
2012-01-06,2012.014,444.37
2012-01-09,2012.022,443.24
2012-01-10,2012.025,447.15
2012-01-11,2012.028,447.22
2012-01-12,2012.031,445.96
2012-01-13,2012.033,446.39
2012-01-17,2012.044,450.66
2012-01-18,2012.047,462.19
2012-01-19,2012.05,465.11
2012-01-20,2012.053,454.44
2012-01-23,2012.061,455.87
2012-01-24,2012.064,459.5
2012-01-25,2012.067,461.73
2012-01-26,2012.069,459.82
2012-01-27,2012.072,459.05
2012-01-30,2012.081,457.85
2012-01-31,2012.083,455.3
2012-02-01,2012.083,456.13
2012-02-02,2012.086,455.72
2012-02-03,2012.089,462.73
2012-02-06,2012.097,461.87
2012-02-07,2012.1,463.38
2012-02-08,2012.103,460.94
2012-02-09,2012.106,461.8
2012-02-10,2012.108,463.22
2012-02-13,2012.117,469.02
2012-02-14,2012.119,468.8
2012-02-15,2012.122,467.73
2012-02-16,2012.125,468.57
2012-02-17,2012.128,476.01
2012-02-21,2012.139,477.9
2012-02-22,2012.142,470.96
2012-02-23,2012.144,474.19
2012-02-24,2012.147,474.96
2012-02-27,2012.156,475.62
2012-02-28,2012.158,479.75
2012-02-29,2012.161,485.83
2012-03-01,2012.167,485.08
2012-03-02,2012.169,483.34
2012-03-05,2012.178,483.81
2012-03-06,2012.181,474.7
2012-03-07,2012.183,487.33
2012-03-08,2012.186,493.03
2012-03-09,2012.189,497.25
2012-03-12,2012.197,501.01
2012-03-13,2012.2,506.97
2012-03-14,2012.203,510.7
2012-03-15,2012.206,509.96
2012-03-16,2012.208,507.36
2012-03-19,2012.217,506.51
2012-03-20,2012.219,510.64
2012-03-21,2012.222,514.96
2012-03-22,2012.225,514.65
2012-03-23,2012.228,512.52
2012-03-26,2012.236,519.09
2012-03-27,2012.239,518.47
2012-03-28,2012.242,517.79
2012-03-29,2012.244,517.74
2012-03-30,2012.247,521.44
2012-04-02,2012.253,519.23
2012-04-03,2012.256,517.58
2012-04-04,2012.258,517.66
2012-04-05,2012.261,523.41
2012-04-09,2012.272,521.69
2012-04-10,2012.275,509.05
2012-04-11,2012.278,515.58
2012-04-12,2012.281,524.32
2012-04-13,2012.283,527.65
2012-04-16,2012.292,534.68
2012-04-17,2012.294,537.2
2012-04-18,2012.297,535.01
2012-04-19,2012.3,533.51
2012-04-20,2012.303,530.88
2012-04-23,2012.311,525.45
2012-04-24,2012.314,527.79
2012-04-25,2012.317,534.43
2012-04-26,2012.319,532.48
2012-04-27,2012.322,534.03
2012-04-30,2012.331,532.15
2012-05-01,2012.333,536.59
2012-05-02,2012.336,542
2012-05-03,2012.339,537.9
2012-05-04,2012.342,531.22
2012-05-07,2012.35,525.62
2012-05-08,2012.353,519.64
2012-05-09,2012.356,514.28
2012-05-10,2012.358,516.91
2012-05-11,2012.361,511.87
2012-05-14,2012.369,508.36
2012-05-15,2012.372,497.07
2012-05-16,2012.375,499.37
2012-05-17,2012.378,482.02
2012-05-18,2012.381,482.84
2012-05-21,2012.389,470.71
2012-05-22,2012.392,474.58
2012-05-23,2012.394,481.78
2012-05-24,2012.397,493.53
2012-05-25,2012.4,492.44
2012-05-29,2012.411,496.18
2012-05-30,2012.414,492.92
2012-05-31,2012.417,488.86
2012-06-01,2012.417,477.34
2012-06-04,2012.425,484.53
2012-06-05,2012.428,484.35
2012-06-06,2012.431,501.78
2012-06-07,2012.433,507.36
2012-06-08,2012.436,516.3
2012-06-11,2012.444,504.18
2012-06-12,2012.447,512.87
2012-06-13,2012.45,501
2012-06-14,2012.453,514.15
2012-06-15,2012.456,513.71
2012-06-18,2012.464,518.9
2012-06-19,2012.467,524.04
2012-06-20,2012.469,523.54
2012-06-21,2012.472,506.48
2012-06-22,2012.475,510.78
2012-06-25,2012.483,505.24
2012-06-26,2012.486,509.53
2012-06-27,2012.489,507.44
2012-06-28,2012.492,508.09
2012-06-29,2012.494,523.64
2012-07-02,2012.503,524.75
2012-07-03,2012.506,509.86
2012-07-05,2012.511,512.86
2012-07-06,2012.514,514.59
2012-07-09,2012.522,511.32
2012-07-10,2012.525,511.42
2012-07-11,2012.528,504.89
2012-07-12,2012.531,503.51
2012-07-13,2012.533,508.09
2012-07-16,2012.542,498.67
2012-07-17,2012.544,492.22
2012-07-18,2012.547,494.14
2012-07-19,2012.55,496.48
2012-07-20,2012.553,493.37
2012-07-23,2012.561,495.08
2012-07-24,2012.564,496.55
2012-07-25,2012.567,494.94
2012-07-26,2012.569,513.19
2012-07-27,2012.572,521.31
2012-07-30,2012.581,516.96
2012-07-31,2012.583,501.46
2012-08-01,2012.583,496.73
