Date,t,Close
2011-08-10,2011.608,360.28
2011-08-11,2011.611,373.26
2011-08-12,2011.614,377.38
2011-08-15,2011.622,382.27
2011-08-16,2011.625,380.93
2011-08-17,2011.628,380.7
2011-08-18,2011.631,375.51
2011-08-19,2011.633,375.73
2011-08-22,2011.642,379.46
2011-08-23,2011.644,387.53
2011-08-24,2011.647,389.45
2011-08-25,2011.65,385.38
2011-08-26,2011.653,386.85
2011-08-29,2011.661,391.18
2011-08-30,2011.664,394.02
2011-08-31,2011.667,394.5
2011-09-01,2011.667,392.29
2011-09-02,2011.669,387.75
2011-09-06,2011.681,387.43
2011-09-07,2011.683,391.37
2011-09-08,2011.686,390.79
2011-09-09,2011.689,384.29
2011-09-12,2011.697,383.39
2011-09-13,2011.7,385.39
2011-09-14,2011.703,389
2011-09-15,2011.706,391.95
2011-09-16,2011.708,400.34
2011-09-19,2011.717,397.82
2011-09-20,2011.719,399.78
2011-09-21,2011.722,391.17
2011-09-22,2011.725,381.19
2011-09-23,2011.728,383.8
2011-09-26,2011.736,390.66
2011-09-27,2011.739,394.28
2011-09-28,2011.742,389.12
2011-09-29,2011.744,394.93
2011-09-30,2011.747,391.82
2011-10-03,2011.756,389.52
2011-10-04,2011.758,391.83
2011-10-05,2011.761,392.61
2011-10-06,2011.764,394.98
2011-10-07,2011.767,396.24
2011-10-10,2011.775,401.6
2011-10-11,2011.778,399.42
2011-10-12,2011.781,401.7
2011-10-13,2011.783,400.22
2011-10-14,2011.786,402.75
2011-10-17,2011.794,398.42
2011-10-18,2011.797,402.75
2011-10-19,2011.8,401.75
2011-10-20,2011.803,402.98
2011-10-21,2011.806,410.72
2011-10-24,2011.814,402.53
2011-10-25,2011.817,397.78
2011-10-26,2011.819,400.77
2011-10-27,2011.822,402.89
2011-10-28,2011.825,399.92
2011-10-31,2011.833,395.88
2011-11-01,2011.833,387.89
2011-11-02,2011.836,388.48
2011-11-03,2011.839,390.55
2011-11-04,2011.842,389.66
2011-11-07,2011.85,392.24
2011-11-08,2011.853,396.56
2011-11-09,2011.856,387.8
2011-11-10,2011.858,391.14
2011-11-11,2011.861,395.12
2011-11-14,2011.869,391.25
2011-11-15,2011.872,393.48
2011-11-16,2011.875,391.5
2011-11-17,2011.878,389.45
2011-11-18,2011.881,391.14
2011-11-21,2011.889,383.04
2011-11-22,2011.892,383.73
2011-11-23,2011.894,379.12
2011-11-25,2011.9,379.2
2011-11-28,2011.908,386.36
2011-11-29,2011.911,388.79
2011-11-30,2011.914,399.86
2011-12-01,2011.917,396.61
2011-12-02,2011.919,398.85
2011-12-05,2011.928,399.58
2011-12-06,2011.931,400
2011-12-07,2011.933,402.03
2011-12-08,2011.936,397.71
2011-12-09,2011.939,399.98
2011-12-12,2011.947,396.84
2011-12-13,2011.95,398.3
2011-12-14,2011.953,396.93
2011-12-15,2011.956,400.88
2011-12-16,2011.958,400.96
2011-12-19,2011.967,400.11
2011-12-20,2011.969,405.85
2011-12-21,2011.972,408.1
2011-12-22,2011.975,408.55
2011-12-23,2011.978,411.59
2011-12-27,2011.989,412.47
2011-12-28,2011.992,410.61
2011-12-29,2011.994,413.29
2011-12-30,2011.997,411.21
2012-01-03,2012.006,410.73
2012-01-04,2012.008,410.02
2012-01-05,2012.011,408.38
2012-01-06,2012.014,407.34
2012-01-09,2012.022,408.61
2012-01-10,2012.025,407.27
2012-01-11,2012.028,403.58
2012-01-12,2012.031,404.44
2012-01-13,2012.033,404.27
2012-01-17,2012.044,407.85
2012-01-18,2012.047,407.58
2012-01-19,2012.05,407.84
2012-01-20,2012.053,407.5
2012-01-23,2012.061,401.45
2012-01-24,2012.064,398.35
2012-01-25,2012.067,401.04
2012-01-26,2012.069,401.82
2012-01-27,2012.072,398.4
2012-01-30,2012.081,393.18
2012-01-31,2012.083,393.57
2012-02-01,2012.083,394.99
2012-02-02,2012.086,395.36
2012-02-03,2012.089,393.68
2012-02-06,2012.097,396.5
2012-02-07,2012.1,397.28
2012-02-08,2012.103,396.71
2012-02-09,2012.106,398.75
2012-02-10,2012.108,397.29
2012-02-13,2012.117,399.3
2012-02-14,2012.119,400.5
2012-02-15,2012.122,400.79
2012-02-16,2012.125,404.61
2012-02-17,2012.128,403.38
2012-02-21,2012.139,401.13
2012-02-22,2012.142,400.92
2012-02-23,2012.144,409.99
2012-02-24,2012.147,411.08
2012-02-27,2012.156,410.28
2012-02-28,2012.158,413.98
2012-02-29,2012.161,415.05
2012-03-01,2012.167,410.74
2012-03-02,2012.169,411.11
2012-03-05,2012.178,412.68
2012-03-06,2012.181,412.15
2012-03-07,2012.183,409.9
2012-03-08,2012.186,412.36
2012-03-09,2012.189,412.52
2012-03-12,2012.197,416.53
2012-03-13,2012.2,418.51
2012-03-14,2012.203,418.05
2012-03-15,2012.206,417.66
2012-03-16,2012.208,415.25
2012-03-19,2012.217,415.49
2012-03-20,2012.219,415.98
2012-03-21,2012.222,416.38
2012-03-22,2012.225,417.78
2012-03-23,2012.228,416.96
2012-03-26,2012.236,418.14
2012-03-27,2012.239,416.7
2012-03-28,2012.242,416.57
2012-03-29,2012.244,416.23
2012-03-30,2012.247,418
2012-04-02,2012.253,420.51
2012-04-03,2012.256,418.35
2012-04-04,2012.258,418.53
2012-04-05,2012.261,419.04
2012-04-09,2012.272,415.86
2012-04-10,2012.275,412.95
2012-04-11,2012.278,413.97
2012-04-12,2012.281,413.37
2012-04-13,2012.283,412.19
2012-04-16,2012.292,416.87
2012-04-17,2012.294,419.09
2012-04-18,2012.297,417.98
2012-04-19,2012.3,416.66
2012-04-20,2012.303,421.97
2012-04-23,2012.311,417.31
2012-04-24,2012.314,420.66
2012-04-25,2012.317,421.14
2012-04-26,2012.319,421.2
2012-04-27,2012.322,409.76
2012-04-30,2012.331,406.7
2012-05-01,2012.333,406.39
2012-05-02,2012.336,408.78
2012-05-03,2012.339,410.74
2012-05-04,2012.342,408.93
2012-05-07,2012.35,409.73
2012-05-08,2012.353,409.02
2012-05-09,2012.356,407.24
2012-05-10,2012.358,409.82
2012-05-11,2012.361,407.4
2012-05-14,2012.369,406.94
2012-05-15,2012.372,409.13
2012-05-16,2012.375,411.73
2012-05-17,2012.378,408.58
2012-05-18,2012.381,405.81
2012-05-21,2012.389,405.39
2012-05-22,2012.392,404.59
2012-05-23,2012.394,400.76
2012-05-24,2012.397,402.55
2012-05-25,2012.4,402.2
2012-05-29,2012.411,404.74
2012-05-30,2012.414,401.22
2012-05-31,2012.417,400.75
2012-06-01,2012.417,395.7
2012-06-04,2012.425,396.05
2012-06-05,2012.428,395.36
2012-06-06,2012.431,399.67
2012-06-07,2012.433,404.36
2012-06-08,2012.436,405.83
2012-06-11,2012.444,404.69
2012-06-12,2012.447,405.97
2012-06-13,2012.45,405.41
2012-06-14,2012.453,409.6
2012-06-15,2012.456,408.32
2012-06-18,2012.464,406.16
2012-06-19,2012.467,405.68
2012-06-20,2012.469,396.45
2012-06-21,2012.472,392.05
2012-06-22,2012.475,393.16
2012-06-25,2012.483,390.16
2012-06-26,2012.486,391.08
2012-06-27,2012.489,395.35
2012-06-28,2012.492,397.54
2012-06-29,2012.494,404.05
2012-07-02,2012.503,403.56
2012-07-03,2012.506,405.08
2012-07-05,2012.511,405.1
2012-07-06,2012.514,404.35
2012-07-09,2012.522,405.73
2012-07-10,2012.525,406.53
2012-07-11,2012.528,404.79
2012-07-12,2012.531,414.46
2012-07-13,2012.533,422.43
2012-07-16,2012.542,420.35
2012-07-17,2012.544,423.74
2012-07-18,2012.547,421.7
2012-07-19,2012.55,422.29
2012-07-20,2012.553,419.44
2012-07-23,2012.561,417.07
2012-07-24,2012.564,414.16
2012-07-25,2012.567,414.19
2012-07-26,2012.569,421.12
2012-07-27,2012.572,424.99
2012-07-30,2012.581,425.61
2012-07-31,2012.583,422.46
2012-08-01,2012.583,419.68
2012-08-02,2012.586,416.47
2012-08-03,2012.589,424.74
2012-08-06,2012.597,424.92
2012-08-07,2012.6,424.86
2012-08-08,2012.603,427.7
2012-08-09,2012.606,427.28
2012-08-10,2012.608,427.82
2012-08-13,2012.617,426.51
2012-08-14,2012.619,427.89
2012-08-15,2012.622,427.53
2012-08-16,2012.625,429.59
2012-08-17,2012.628,430.2
2012-08-20,2012.636,429.02
2012-08-21,2012.639,428.93
2012-08-22,2012.642,428.83
2012-08-23,2012.644,427.33
2012-08-24,2012.647,429.78
2012-08-27,2012.656,430.17
2012-08-28,2012.658,430.07
2012-08-29,2012.661,429.49
2012-08-30,2012.664,429.1
2012-08-31,2012.667,430.96
2012-09-04,2012.675,432.66
2012-09-05,2012.678,430.95
2012-09-06,2012.681,436.46
2012-09-07,2012.683,436.22
2012-09-10,2012.692,433.81
2012-09-11,2012.694,432.04
2012-09-12,2012.697,431.12
2012-09-13,2012.7,436.61
2012-09-14,2012.703,436.46
2012-09-17,2012.711,437.99
2012-09-18,2012.714,439.04
2012-09-19,2012.717,439.68
2012-09-20,2012.719,442.07
2012-09-21,2012.722,441.4
2012-09-24,2012.731,443.45
2012-09-25,2012.733,442.12
2012-09-26,2012.736,441.19
2012-09-27,2012.739,441.73
2012-09-28,2012.742,442.04
2012-10-01,2012.75,443.42
2012-10-02,2012.753,440.51
2012-10-03,2012.756,442.4
2012-10-04,2012.758,443.92
2012-10-05,2012.761,445.1
2012-10-08,2012.769,442.81
2012-10-09,2012.772,439.91
2012-10-10,2012.775,437.63
2012-10-11,2012.778,437.22
2012-10-12,2012.781,436.66
2012-10-15,2012.789,440.87
2012-10-16,2012.792,442.56
2012-10-17,2012.794,446.58
2012-10-18,2012.797,446.8
2012-10-19,2012.8,440.27
2012-10-22,2012.808,439.49
2012-10-23,2012.811,433.6
2012-10-24,2012.814,435.24
2012-10-25,2012.817,441.61
2012-10-26,2012.819,438.18
2012-10-31,2012.833,438.56
2012-11-01,2012.833,439.53
2012-11-02,2012.836,438.42
2012-11-05,2012.844,436.21
2012-11-06,2012.847,437.92
2012-11-07,2012.85,433.41
2012-11-08,2012.853,427.42
2012-11-09,2012.856,428.07
2012-11-12,2012.864,429.05
2012-11-13,2012.867,428.58
2012-11-14,2012.869,426.21
2012-11-15,2012.872,425.43
2012-11-16,2012.875,429.62
2012-11-19,2012.883,436.16
2012-11-20,2012.886,438
2012-11-21,2012.889,438.68
2012-11-23,2012.894,445.08
2012-11-26,2012.903,443.88
2012-11-27,2012.906,441.14
2012-11-28,2012.908,443.55
2012-11-29,2012.911,443.8
2012-11-30,2012.914,445.8
2012-12-03,2012.922,444.38
2012-12-04,2012.925,442.8
2012-12-05,2012.928,442.4
2012-12-06,2012.931,444.46
2012-12-07,2012.933,447.8
2012-12-10,2012.942,446.2
2012-12-11,2012.944,448.93
2012-12-12,2012.947,448.51
2012-12-13,2012.95,445.33
2012-12-14,2012.953,443.77
2012-12-17,2012.961,444.36
2012-12-18,2012.964,445.84
2012-12-19,2012.967,441.35
2012-12-20,2012.969,443.19
2012-12-21,2012.972,437.13
2012-12-24,2012.981,435.99
2012-12-26,2012.986,433.22
2012-12-27,2012.989,433.75
2012-12-28,2012.992,428.77
2012-12-31,2013,433.23
2013-01-02,2013.003,442.32
2013-01-03,2013.006,440.4
2013-01-04,2013.008,442.25
2013-01-07,2013.017,437.72
2013-01-08,2013.019,437.19
2013-01-09,2013.022,439.05
2013-01-10,2013.025,441.95
2013-01-11,2013.028,441.67
2013-01-14,2013.036,444.56
2013-01-15,2013.039,445.53
2013-01-16,2013.042,443.05
2013-01-17,2013.044,445.92
2013-01-18,2013.047,447.42
2013-01-22,2013.058,447.37
2013-01-23,2013.061,450.68
2013-01-24,2013.064,449.94
2013-01-25,2013.067,462.29
2013-01-28,2013.075,464.93
2013-01-29,2013.078,471.8
2013-01-30,2013.081,472.08
2013-01-31,2013.083,470.77
2013-02-01,2013.083,476.24
2013-02-04,2013.092,472.25
2013-02-05,2013.094,475.34
2013-02-06,2013.097,478.12
2013-02-07,2013.1,478.42
2013-02-08,2013.103,475.43
2013-02-11,2013.111,475.2
2013-02-12,2013.114,475.47
2013-02-13,2013.117,477.95
2013-02-14,2013.119,479.46
2013-02-15,2013.122,480.31
2013-02-19,2013.133,486.04
2013-02-20,2013.136,484.58
2013-02-21,2013.139,485.15
2013-02-22,2013.142,487.34
2013-02-25,2013.15,482.42
2013-02-26,2013.153,483.3
2013-02-27,2013.156,487.33
2013-02-28,2013.158,484.21
2013-03-01,2013.167,485.33
2013-03-04,2013.175,487.16
2013-03-05,2013.178,490
2013-03-06,2013.181,489.64
2013-03-07,2013.183,487.84
2013-03-08,2013.186,489.43
2013-03-11,2013.194,489.96
2013-03-12,2013.197,488.87
2013-03-13,2013.2,486.66
2013-03-14,2013.203,488.7
2013-03-15,2013.206,482.57
2013-03-18,2013.214,481.73
2013-03-19,2013.217,486.76
2013-03-20,2013.219,491.44
2013-03-21,2013.222,488.82
2013-03-22,2013.225,490.25
2013-03-25,2013.233,486.99
2013-03-26,2013.236,494.08
2013-03-27,2013.239,491.89
2013-03-28,2013.242,493.71
2013-04-01,2013.25,496.14
2013-04-02,2013.253,503.77
2013-04-03,2013.256,497.42
2013-04-04,2013.258,499.45
2013-04-05,2013.261,498.27
2013-04-08,2013.269,501.63
2013-04-09,2013.272,498.83
2013-04-10,2013.275,504.56
2013-04-11,2013.278,507.52
2013-04-12,2013.281,509.04
2013-04-15,2013.289,505.28
2013-04-16,2013.292,510.17
2013-04-17,2013.294,503.87
2013-04-18,2013.297,508.37
2013-04-19,2013.3,518.97
2013-04-22,2013.308,518.95
2013-04-23,2013.311,524.57
2013-04-24,2013.314,496.97
2013-04-25,2013.317,495.66
2013-04-26,2013.319,497.32
2013-04-29,2013.328,500.12
2013-04-30,2013.331,496.14
2013-05-01,2013.333,496.71
2013-05-02,2013.336,502.09
2013-05-03,2013.339,504.82
2013-05-06,2013.347,501.52
2013-05-07,2013.35,502.59
2013-05-08,2013.353,504.73
2013-05-09,2013.356,502.67
2013-05-10,2013.358,505.78
2013-05-13,2013.367,505.36
2013-05-14,2013.369,512.09
2013-05-15,2013.372,517.87
2013-05-16,2013.375,515.31
2013-05-17,2013.378,514.38
2013-05-20,2013.386,508.61
2013-05-21,2013.389,506.73
2013-05-22,2013.392,506.71
2013-05-23,2013.394,505.79
2013-05-24,2013.397,520.54
2013-05-28,2013.408,517.5
2013-05-29,2013.411,502.61
2013-05-30,2013.414,504
2013-05-31,2013.417,488.94
2013-06-03,2013.422,493.83
2013-06-04,2013.425,493.71
2013-06-05,2013.428,487.91
2013-06-06,2013.431,489.35
2013-06-07,2013.433,495.44
2013-06-10,2013.442,496.73
2013-06-11,2013.444,496.88
2013-06-12,2013.447,493.28
2013-06-13,2013.45,497.95
2013-06-14,2013.453,496.91
2013-06-17,2013.461,503.26
2013-06-18,2013.464,503.56
2013-06-19,2013.467,492.85
2013-06-20,2013.469,478.05
2013-06-21,2013.472,489.66
2013-06-24,2013.481,484.5
2013-06-25,2013.483,485.46
2013-06-26,2013.486,490.67
2013-06-27,2013.489,492.72
2013-06-28,2013.492,489.36
2013-07-01,2013.5,494.89
2013-07-02,2013.503,496.2
2013-07-03,2013.506,496.89
2013-07-05,2013.511,496.29
2013-07-08,2013.519,499.63
2013-07-09,2013.522,504.14
2013-07-10,2013.525,504.59
2013-07-11,2013.528,510.02
2013-07-12,2013.531,513.91
2013-07-15,2013.539,513.54
2013-07-16,2013.542,510.88
2013-07-17,2013.544,506.44
2013-07-18,2013.547,507.68
2013-07-19,2013.55,512.87
2013-07-22,2013.558,510.58
2013-07-23,2013.561,509.23
2013-07-24,2013.564,506.05
2013-07-25,2013.567,508.67
2013-07-26,2013.569,509.54
2013-07-29,2013.578,507.85
2013-07-30,2013.581,509.5
2013-07-31,2013.583,508.87
2013-08-01,2013.583,515.4
2013-08-02,2013.586,514.44
2013-08-05,2013.594,515.33
2013-08-06,2013.597,517.16
2013-08-07,2013.6,517.68
2013-08-08,2013.603,518.36
2013-08-09,2013.606,515.64
2013-08-12,2013.614,515.84
2013-08-13,2013.617,516.13
2013-08-14,2013.619,512.76
2013-08-15,2013.622,507.44
2013-08-16,2013.625,503.85
2013-08-19,2013.633,501.83
2013-08-20,2013.636,501.81
2013-08-21,2013.639,499.66
2013-08-22,2013.642,502.24
2013-08-23,2013.644,504.34
2013-08-26,2013.653,495.77
