Date,t,Close
2011-08-08,2011.603,84.79
2011-08-09,2011.606,88.03
2011-08-10,2011.608,85.82
2011-08-11,2011.611,90.77
2011-08-12,2011.614,94.27
2011-08-15,2011.622,94.14
2011-08-16,2011.625,92.97
2011-08-17,2011.628,91.98
2011-08-18,2011.631,86.74
2011-08-19,2011.633,85.69
2011-08-22,2011.642,86.18
2011-08-23,2011.644,88.78
2011-08-24,2011.647,90.68
2011-08-25,2011.65,89.66
2011-08-26,2011.653,91.62
2011-08-29,2011.661,93.61
2011-08-30,2011.664,93.89
2011-08-31,2011.667,95.13
2011-09-01,2011.667,94.44
2011-09-02,2011.669,91.25
2011-09-06,2011.681,90.62
2011-09-07,2011.683,94.96
2011-09-08,2011.686,92.99
2011-09-09,2011.689,90.53
2011-09-12,2011.697,90.14
2011-09-13,2011.7,92.64
2011-09-14,2011.703,94.64
2011-09-15,2011.706,94.29
2011-09-16,2011.708,93.82
2011-09-19,2011.717,93.65
2011-09-20,2011.719,92.36
2011-09-21,2011.722,89.17
2011-09-22,2011.725,87.93
2011-09-23,2011.728,88.12
2011-09-26,2011.736,90.7
2011-09-27,2011.739,92.31
2011-09-28,2011.742,90.25
2011-09-29,2011.744,90.76
2011-09-30,2011.747,87.4
2011-10-03,2011.756,85.97
2011-10-04,2011.758,90.06
2011-10-05,2011.761,92.22
2011-10-06,2011.764,94.15
2011-10-07,2011.767,94.15
2011-10-10,2011.775,96.46
2011-10-11,2011.778,96.69
2011-10-12,2011.781,98.7
2011-10-13,2011.783,98.85
2011-10-14,2011.786,101.01
2011-10-17,2011.794,99.39
2011-10-18,2011.797,101.4
2011-10-19,2011.8,101.4
2011-10-20,2011.803,101.17
2011-10-21,2011.806,103.71
2011-10-24,2011.814,104.49
2011-10-25,2011.817,101.94
2011-10-26,2011.819,104.25
2011-10-27,2011.822,106.65
2011-10-28,2011.825,118.53
2011-10-31,2011.833,114.21
2011-11-01,2011.833,115.6
2011-11-02,2011.836,122.39
2011-11-03,2011.839,121.77
2011-11-04,2011.842,122.77
2011-11-07,2011.85,122
2011-11-08,2011.853,124.09
2011-11-09,2011.856,120
2011-11-10,2011.858,122.16
2011-11-11,2011.861,125.01
2011-11-14,2011.869,125.17
2011-11-15,2011.872,124.09
2011-11-16,2011.875,121.85
2011-11-17,2011.878,117.84
2011-11-18,2011.881,116.91
2011-11-21,2011.889,113.9
2011-11-22,2011.892,113.28
2011-11-23,2011.894,110.12
2011-11-25,2011.9,109.96
2011-11-28,2011.908,113.36
2011-11-29,2011.911,116.14
2011-11-30,2011.914,118.07
2011-12-01,2011.917,117.45
2011-12-02,2011.919,115.91
2011-12-05,2011.928,117.84
2011-12-06,2011.931,118.14
2011-12-07,2011.933,120.85
2011-12-08,2011.936,117.22
2011-12-09,2011.939,120.38
2011-12-12,2011.947,118.76
2011-12-13,2011.95,116.37
2011-12-14,2011.953,114.36
2011-12-15,2011.956,116.14
2011-12-16,2011.958,115.67
2011-12-19,2011.967,113.21
2011-12-20,2011.969,118.61
2011-12-21,2011.972,121.85
2011-12-22,2011.975,122.39
2011-12-23,2011.978,124.09
2011-12-27,2011.989,123.93
2011-12-28,2011.992,123.24
2011-12-29,2011.994,126.71
2011-12-30,2011.997,124.63
2012-01-03,2012.006,125.24
2012-01-04,2012.008,125.55
2012-01-05,2012.011,128.56
2012-01-06,2012.014,131.19
2012-01-09,2012.022,132.57
2012-01-10,2012.025,132.65
2012-01-11,2012.028,133.96
2012-01-12,2012.031,134.5
2012-01-13,2012.033,132.65
2012-01-17,2012.044,130.72
2012-01-18,2012.047,132.65
2012-01-19,2012.05,134.74
2012-01-20,2012.053,133.5
2012-01-23,2012.061,132.65
2012-01-24,2012.064,131.73
2012-01-25,2012.067,133.73
2012-01-26,2012.069,134.5
2012-01-27,2012.072,145.23
2012-01-30,2012.081,143.53
2012-01-31,2012.083,142.53
2012-02-01,2012.083,143.15
2012-02-02,2012.086,141.91
2012-02-03,2012.089,144.46
2012-02-06,2012.097,145.85
2012-02-07,2012.1,147.93
2012-02-08,2012.103,146.85
2012-02-09,2012.106,148.93
2012-02-10,2012.108,145.69
2012-02-13,2012.117,146.39
2012-02-14,2012.119,145.92
2012-02-15,2012.122,144.46
2012-02-16,2012.125,147.39
2012-02-17,2012.128,148.63
2012-02-21,2012.139,146.54
2012-02-22,2012.142,145.23
2012-02-23,2012.144,142.84
2012-02-24,2012.147,141.83
2012-02-27,2012.156,141.6
2012-02-28,2012.158,141.14
2012-02-29,2012.161,141.22
2012-03-01,2012.167,142.84
2012-03-02,2012.169,140.21
2012-03-05,2012.178,139.06
2012-03-06,2012.181,133.35
2012-03-07,2012.183,134.89
2012-03-08,2012.186,138.52
2012-03-09,2012.189,138.29
2012-03-12,2012.197,136.36
2012-03-13,2012.2,142.45
2012-03-14,2012.203,143.92
2012-03-15,2012.206,144.46
2012-03-16,2012.208,142.53
2012-03-19,2012.217,141.22
2012-03-20,2012.219,140.14
2012-03-21,2012.222,139.91
2012-03-22,2012.225,138.59
2012-03-23,2012.228,139.83
2012-03-26,2012.236,140.91
2012-03-27,2012.239,139.44
2012-03-28,2012.242,138.21
2012-03-29,2012.244,137.98
2012-03-30,2012.247,137.44
2012-04-02,2012.253,137.9
2012-04-03,2012.256,138.67
2012-04-04,2012.258,134.97
2012-04-05,2012.261,134.74
2012-04-09,2012.272,132.03
2012-04-10,2012.275,129.57
2012-04-11,2012.278,130.34
2012-04-12,2012.281,133.04
2012-04-13,2012.283,132.19
2012-04-16,2012.292,132.65
2012-04-17,2012.294,134.58
2012-04-18,2012.297,133.81
2012-04-19,2012.3,133.96
2012-04-20,2012.303,134.27
2012-04-23,2012.311,132.81
2012-04-24,2012.314,134.89
2012-04-25,2012.317,137.74
2012-04-26,2012.319,138.59
2012-04-27,2012.322,143.3
2012-04-30,2012.331,140.45
2012-05-01,2012.333,140.99
2012-05-02,2012.336,143.53
2012-05-03,2012.339,143.92
2012-05-04,2012.342,143.22
2012-05-07,2012.35,143.84
2012-05-08,2012.353,141.68
2012-05-09,2012.356,140.99
2012-05-10,2012.358,142.22
2012-05-11,2012.361,141.37
2012-05-14,2012.369,140.91
2012-05-15,2012.372,138.98
2012-05-16,2012.375,139.67
2012-05-17,2012.378,135.82
2012-05-18,2012.381,136.51
2012-05-21,2012.389,138.52
2012-05-22,2012.392,138.59
2012-05-23,2012.394,140.68
2012-05-24,2012.397,141.91
2012-05-25,2012.4,146.16
2012-05-29,2012.411,146.85
2012-05-30,2012.414,142.68
2012-05-31,2012.417,141.99
2012-06-01,2012.417,136.28
2012-06-04,2012.425,136.12
2012-06-05,2012.428,135.58
2012-06-06,2012.431,139.21
2012-06-07,2012.433,139.29
2012-06-08,2012.436,138.83
2012-06-11,2012.444,139.83
2012-06-12,2012.447,142.61
2012-06-13,2012.45,141.06
2012-06-14,2012.453,142.07
2012-06-15,2012.456,142.68
2012-06-18,2012.464,143.3
2012-06-19,2012.467,142.38
2012-06-20,2012.469,141.99
2012-06-21,2012.472,139.06
2012-06-22,2012.475,138.98
2012-06-25,2012.483,135.89
2012-06-26,2012.486,134.5
2012-06-27,2012.489,134.27
2012-06-28,2012.492,134.81
2012-06-29,2012.494,139.98
2012-07-02,2012.503,140.14
2012-07-03,2012.506,139.83
2012-07-05,2012.511,143.84
2012-07-06,2012.514,141.14
2012-07-09,2012.522,139.13
2012-07-10,2012.525,136.59
2012-07-11,2012.528,134.43
2012-07-12,2012.531,134.27
2012-07-13,2012.533,136.59
2012-07-16,2012.542,135.12
2012-07-17,2012.544,137.05
2012-07-18,2012.547,138.83
2012-07-19,2012.55,141.45
2012-07-20,2012.553,139.83
2012-07-23,2012.561,135.51
2012-07-24,2012.564,134.5
2012-07-25,2012.567,134.5
2012-07-26,2012.569,136.59
2012-07-27,2012.572,139.6
2012-07-30,2012.581,137.2
2012-07-31,2012.583,136.2
2012-08-01,2012.583,133.35
2012-08-02,2012.586,128.64
2012-08-03,2012.589,131.73
2012-08-06,2012.597,132.5
2012-08-07,2012.6,134.43
2012-08-08,2012.603,134.43
2012-08-09,2012.606,133.11
2012-08-10,2012.608,131.03
2012-08-13,2012.617,131.49
2012-08-14,2012.619,130.34
2012-08-15,2012.622,130.26
2012-08-16,2012.625,132.81
2012-08-17,2012.628,135.82
2012-08-20,2012.636,136.2
2012-08-21,2012.639,136.28
2012-08-22,2012.642,135.12
2012-08-23,2012.644,135.43
2012-08-24,2012.647,136.2
2012-08-27,2012.656,133.42
2012-08-28,2012.658,133.96
2012-08-29,2012.661,135.2
2012-08-30,2012.664,136.74
2012-08-31,2012.667,138.36
2012-09-04,2012.675,138.67
2012-09-05,2012.678,139.52
2012-09-06,2012.681,143.46
2012-09-07,2012.683,144.77
2012-09-10,2012.692,144.69
2012-09-11,2012.694,145.08
2012-09-12,2012.697,146.31
2012-09-13,2012.7,146.77
2012-09-14,2012.703,152.1
2012-09-17,2012.711,149.63
2012-09-18,2012.714,151.02
2012-09-19,2012.717,150.71
2012-09-20,2012.719,148.78
2012-09-21,2012.722,149.01
2012-09-24,2012.731,148.63
2012-09-25,2012.733,147.24
2012-09-26,2012.736,147.7
2012-09-27,2012.739,147.39
2012-09-28,2012.742,147.31
2012-10-01,2012.75,145.62
2012-10-02,2012.753,145.62
2012-10-03,2012.756,147.08
2012-10-04,2012.758,149.4
2012-10-05,2012.761,150.32
2012-10-08,2012.769,151.17
2012-10-09,2012.772,150.32
2012-10-10,2012.775,151.17
2012-10-11,2012.778,151.33
2012-10-12,2012.781,152.41
2012-10-15,2012.789,155.96
2012-10-16,2012.792,157.89
2012-10-17,2012.794,159.82
2012-10-18,2012.797,161.51
2012-10-19,2012.8,158.97
2012-10-22,2012.808,157.89
2012-10-23,2012.811,157.89
2012-10-24,2012.814,156.34
2012-10-25,2012.817,155.03
2012-10-26,2012.819,158.89
2012-10-31,2012.833,159.27
2012-11-01,2012.833,162.67
2012-11-02,2012.836,162.36
2012-11-05,2012.844,162.9
2012-11-06,2012.847,164.29
2012-11-07,2012.85,162.44
2012-11-08,2012.853,157.04
2012-11-09,2012.856,156.96
2012-11-12,2012.864,158.12
2012-11-13,2012.867,158.12
2012-11-14,2012.869,158.19
2012-11-15,2012.872,158.97
2012-11-16,2012.875,161.59
2012-11-19,2012.883,164.75
2012-11-20,2012.886,164.52
2012-11-21,2012.889,163.21
2012-11-23,2012.894,164.75
2012-11-26,2012.903,164.29
2012-11-27,2012.906,164.83
2012-11-28,2012.908,165.83
2012-11-29,2012.911,167.84
2012-11-30,2012.914,168.3
2012-12-03,2012.922,167.76
2012-12-04,2012.925,167.15
2012-12-05,2012.928,167.53
2012-12-06,2012.931,168.07
2012-12-07,2012.933,169.08
2012-12-10,2012.942,171.7
2012-12-11,2012.944,169.15
2012-12-12,2012.947,171.08
2012-12-13,2012.95,169
2012-12-14,2012.953,169.54
2012-12-17,2012.961,169.23
2012-12-18,2012.964,169.08
2012-12-19,2012.967,167.22
2012-12-20,2012.969,167.69
2012-12-21,2012.972,168.38
2012-12-24,2012.981,169.31
2012-12-26,2012.986,168.38
