Date,t,Close
2011-10-03,2011.756,164.26
2011-10-04,2011.758,170.86
2011-10-05,2011.761,174.01
2011-10-06,2011.764,179.43
2011-10-07,2011.767,177.34
2011-10-10,2011.775,186.85
2011-10-11,2011.778,186.03
2011-10-12,2011.781,191.17
2011-10-13,2011.783,192.05
2011-10-14,2011.786,194.53
2011-10-17,2011.794,188.16
2011-10-18,2011.797,194.58
2011-10-19,2011.8,191.11
2011-10-20,2011.803,191.93
2011-10-21,2011.806,198.08
2011-10-24,2011.814,204.44
2011-10-25,2011.817,199.58
2011-10-26,2011.819,203.66
2011-10-27,2011.822,213.06
2011-10-28,2011.825,209.8
2011-10-31,2011.833,203.27
2011-11-01,2011.833,194.94
2011-11-02,2011.836,200.54
2011-11-03,2011.839,203.52
2011-11-04,2011.842,201.58
2011-11-07,2011.85,201.61
2011-11-08,2011.853,203.19
2011-11-09,2011.856,192.85
2011-11-10,2011.858,194.5
2011-11-11,2011.861,200.15
2011-11-14,2011.869,197.8
2011-11-15,2011.872,198.08
2011-11-16,2011.875,192.96
2011-11-17,2011.878,190.17
2011-11-18,2011.881,194.58
2011-11-21,2011.889,191.54
2011-11-22,2011.892,188.31
2011-11-23,2011.894,182.79
2011-11-25,2011.9,182.14
2011-11-28,2011.908,190.73
2011-11-29,2011.911,190.78
2011-11-30,2011.914,198.8
2011-12-01,2011.917,197.88
2011-12-02,2011.919,200.84
2011-12-05,2011.928,204.55
2011-12-06,2011.931,203.03
2011-12-07,2011.933,202.7
2011-12-08,2011.936,196.82
2011-12-09,2011.939,200.93
2011-12-12,2011.947,199.78
2011-12-13,2011.95,194.84
2011-12-14,2011.953,191.29
2011-12-15,2011.956,191.82
2011-12-16,2011.958,194.78
2011-12-19,2011.967,190.31
2011-12-20,2011.969,194.42
2011-12-21,2011.972,195.57
2011-12-22,2011.975,196.71
2011-12-23,2011.978,200.26
2011-12-27,2011.989,201.95
2011-12-28,2011.992,197.15
2011-12-29,2011.994,199.15
2011-12-30,2011.997,197.69
2012-01-03,2012.006,200.87
2012-01-04,2012.008,201.62
2012-01-05,2012.011,204.75
2012-01-06,2012.014,204.29
2012-01-09,2012.022,206.72
2012-01-10,2012.025,209.24
2012-01-11,2012.028,212.64
2012-01-12,2012.031,216.28
2012-01-13,2012.033,212.13
2012-01-17,2012.044,200.38
2012-01-18,2012.047,204.77
2012-01-19,2012.05,210.73
2012-01-20,2012.053,210.42
2012-01-23,2012.061,210.76
2012-01-24,2012.064,212.44
2012-01-25,2012.067,211.68
2012-01-26,2012.069,208.02
2012-01-27,2012.072,208.31
2012-01-30,2012.081,207.45
2012-01-31,2012.083,207.22
2012-02-01,2012.083,211.38
2012-02-02,2012.086,210.99
2012-02-03,2012.089,217.76
2012-02-06,2012.097,218.07
2012-02-07,2012.1,216.4
2012-02-08,2012.103,219.54
2012-02-09,2012.106,219.83
2012-02-10,2012.108,216.03
2012-02-13,2012.117,215.21
2012-02-14,2012.119,212.96
2012-02-15,2012.122,209.85
2012-02-16,2012.125,211.78
2012-02-17,2012.128,213.95
2012-02-21,2012.139,211.57
2012-02-22,2012.142,209.56
2012-02-23,2012.144,209.94
2012-02-24,2012.147,211.25
2012-02-27,2012.156,211.47
2012-02-28,2012.158,212.5
2012-02-29,2012.161,211.66
2012-03-01,2012.167,213.88
2012-03-02,2012.169,213.44
2012-03-05,2012.178,213.65
2012-03-06,2012.181,208.77
2012-03-07,2012.183,212.04
2012-03-08,2012.186,215.33
2012-03-09,2012.189,216.64
2012-03-12,2012.197,217.46
2012-03-13,2012.2,225.4
2012-03-14,2012.203,224.02
2012-03-15,2012.206,224.47
2012-03-16,2012.208,223.68
2012-03-19,2012.217,225.74
2012-03-20,2012.219,223.79
2012-03-21,2012.222,224.45
2012-03-22,2012.225,222.78
2012-03-23,2012.228,223.23
2012-03-26,2012.236,228
2012-03-27,2012.239,227.03
2012-03-28,2012.242,225.53
2012-03-29,2012.244,222.78
2012-03-30,2012.247,224.07
2012-04-02,2012.253,223.83
2012-04-03,2012.256,223.4
2012-04-04,2012.258,219.21
2012-04-05,2012.261,219.97
2012-04-09,2012.272,218.89
2012-04-10,2012.275,213.66
2012-04-11,2012.278,219.75
2012-04-12,2012.281,221.92
2012-04-13,2012.283,221
2012-04-16,2012.292,220.97
2012-04-17,2012.294,224.98
2012-04-18,2012.297,224.92
2012-04-19,2012.3,230.34
2012-04-20,2012.303,226.6
2012-04-23,2012.311,224
2012-04-24,2012.314,225.47
2012-04-25,2012.317,228.88
2012-04-26,2012.319,234.28
2012-04-27,2012.322,235.31
2012-04-30,2012.331,232.63
2012-05-01,2012.333,236.39
2012-05-02,2012.336,237.36
2012-05-03,2012.339,235.82
2012-05-04,2012.342,231.25
2012-05-07,2012.35,230.01
2012-05-08,2012.353,229.02
2012-05-09,2012.356,228.1
2012-05-10,2012.358,228.51
2012-05-11,2012.361,228.92
2012-05-14,2012.369,225.95
2012-05-15,2012.372,227.16
2012-05-16,2012.375,224.62
2012-05-17,2012.378,217.39
2012-05-18,2012.381,213.77
2012-05-21,2012.389,221.72
2012-05-22,2012.392,222.94
2012-05-23,2012.394,222.94
2012-05-24,2012.397,224.5
2012-05-25,2012.4,223.98
2012-05-29,2012.411,227.9
2012-05-30,2012.414,223.83
2012-05-31,2012.417,224.15
2012-06-01,2012.417,212.88
2012-06-04,2012.425,212
2012-06-05,2012.428,213.46
2012-06-06,2012.431,220
2012-06-07,2012.433,221.7
2012-06-08,2012.436,225.05
2012-06-11,2012.444,220.26
2012-06-12,2012.447,225.27
2012-06-13,2012.45,222.75
2012-06-14,2012.453,227.76
2012-06-15,2012.456,229.05
2012-06-18,2012.464,229.73
2012-06-19,2012.467,234.7
2012-06-20,2012.469,235.93
2012-06-21,2012.472,230.17
2012-06-22,2012.475,228.61
2012-06-25,2012.483,224.25
2012-06-26,2012.486,225.46
2012-06-27,2012.489,226.52
2012-06-28,2012.492,224.62
2012-06-29,2012.494,232.51
