Date,t,Close
2011-09-22,2011.725,53.8
2011-09-23,2011.728,54.6
2011-09-26,2011.736,56.18
2011-09-27,2011.739,57.6
2011-09-28,2011.742,56.48
2011-09-29,2011.744,58.89
2011-09-30,2011.747,56.91
2011-10-03,2011.756,55.27
2011-10-04,2011.758,58.68
2011-10-05,2011.761,60.39
2011-10-06,2011.764,61.55
2011-10-07,2011.767,62.08
2011-10-10,2011.775,64.15
2011-10-11,2011.778,63.53
2011-10-12,2011.781,64.82
2011-10-13,2011.783,65.11
2011-10-14,2011.786,69.03
2011-10-17,2011.794,65.38
2011-10-18,2011.797,67.04
2011-10-19,2011.8,65.78
2011-10-20,2011.803,65.62
2011-10-21,2011.806,68.04
2011-10-24,2011.814,69.91
2011-10-25,2011.817,67.77
2011-10-26,2011.819,71.28
2011-10-27,2011.822,73.05
2011-10-28,2011.825,73.05
2011-10-31,2011.833,70.88
2011-11-01,2011.833,69
2011-11-02,2011.836,70.66
2011-11-03,2011.839,72.84
2011-11-04,2011.842,72.11
2011-11-07,2011.85,71.17
2011-11-08,2011.853,72.03
2011-11-09,2011.856,68.57
2011-11-10,2011.858,70.69
2011-11-11,2011.861,72.17
2011-11-14,2011.869,70.93
2011-11-15,2011.872,71.95
2011-11-16,2011.875,71.15
2011-11-17,2011.878,69.51
2011-11-18,2011.881,68.55
2011-11-21,2011.889,66.83
2011-11-22,2011.892,66.94
2011-11-23,2011.894,64.42
2011-11-25,2011.9,63.91
2011-11-28,2011.908,66.72
2011-11-29,2011.911,66.27
2011-11-30,2011.914,71.04
2011-12-01,2011.917,70.77
2011-12-02,2011.919,72.43
2011-12-05,2011.928,74.66
2011-12-06,2011.931,73.69
2011-12-07,2011.933,73.43
2011-12-08,2011.936,73.51
2011-12-09,2011.939,75.49
2011-12-12,2011.947,74.07
2011-12-13,2011.95,72.94
2011-12-14,2011.953,70.91
2011-12-15,2011.956,71.63
2011-12-16,2011.958,72.7
2011-12-19,2011.967,71.47
2011-12-20,2011.969,73.83
2011-12-21,2011.972,74.2
2011-12-22,2011.975,76
2011-12-23,2011.978,76.56
2011-12-27,2011.989,76.38
2011-12-28,2011.992,74.45
2011-12-29,2011.994,76
2011-12-30,2011.997,76.32
2012-01-03,2012.006,76.86
2012-01-04,2012.008,76.4
2012-01-05,2012.011,76.56
2012-01-06,2012.014,76.32
2012-01-09,2012.022,76.75
2012-01-10,2012.025,77.5
2012-01-11,2012.028,77.1
2012-01-12,2012.031,77.42
2012-01-13,2012.033,76.24
2012-01-17,2012.044,76.99
2012-01-18,2012.047,78.63
2012-01-19,2012.05,80.43
2012-01-20,2012.053,80.67
2012-01-23,2012.061,79.75
2012-01-24,2012.064,79.67
2012-01-25,2012.067,81.15
2012-01-26,2012.069,79.81
2012-01-27,2012.072,74.42
2012-01-30,2012.081,74.42
2012-01-31,2012.083,74.26
2012-02-01,2012.083,76.13
2012-02-02,2012.086,75.38
2012-02-03,2012.089,79.38
2012-02-06,2012.097,79.06
2012-02-07,2012.1,79.14
2012-02-08,2012.103,79.25
2012-02-09,2012.106,79.75
2012-02-10,2012.108,78.07
2012-02-13,2012.117,78.66
2012-02-14,2012.119,78.82
2012-02-15,2012.122,78.04
2012-02-16,2012.125,78.55
2012-02-17,2012.128,78.23
2012-02-21,2012.139,78.47
2012-02-22,2012.142,78.15
2012-02-23,2012.144,77.93
2012-02-24,2012.147,77.42
2012-02-27,2012.156,77.69
2012-02-28,2012.158,76.83
2012-02-29,2012.161,76.24
2012-03-01,2012.167,77.21
2012-03-02,2012.169,75.49
2012-03-05,2012.178,75.81
2012-03-06,2012.181,74.5
2012-03-07,2012.183,76.13
2012-03-08,2012.186,77.82
2012-03-09,2012.189,78.79
2012-03-12,2012.197,79.11
2012-03-13,2012.2,81.02
2012-03-14,2012.203,81.28
2012-03-15,2012.206,82.57
2012-03-16,2012.208,82.28
2012-03-19,2012.217,82.89
2012-03-20,2012.219,81.98
2012-03-21,2012.222,81.69
2012-03-22,2012.225,80.93
2012-03-23,2012.228,81.63
2012-03-26,2012.236,83.08
2012-03-27,2012.239,82.46
2012-03-28,2012.242,81.79
2012-03-29,2012.244,80.85
2012-03-30,2012.247,81.26
2012-04-02,2012.253,82.57
2012-04-03,2012.256,82.09
2012-04-04,2012.258,80.4
2012-04-05,2012.261,79.75
2012-04-09,2012.272,77.88
2012-04-10,2012.275,76.11
2012-04-11,2012.278,77.26
2012-04-12,2012.281,79.19
2012-04-13,2012.283,78.01
2012-04-16,2012.292,78.04
2012-04-17,2012.294,80.4
2012-04-18,2012.297,79.51
2012-04-19,2012.3,77.37
2012-04-20,2012.303,77.66
2012-04-23,2012.311,76.38
2012-04-24,2012.314,77.34
2012-04-25,2012.317,81.77
2012-04-26,2012.319,81.31
2012-04-27,2012.322,82.09
2012-04-30,2012.331,79.92
2012-05-01,2012.333,80.43
2012-05-02,2012.336,81.39
2012-05-03,2012.339,80.56
2012-05-04,2012.342,79.3
2012-05-07,2012.35,79.35
2012-05-08,2012.353,78.76
2012-05-09,2012.356,76.99
2012-05-10,2012.358,77.48
2012-05-11,2012.361,78.92
2012-05-14,2012.369,78.23
2012-05-15,2012.372,77.72
2012-05-16,2012.375,77.1
2012-05-17,2012.378,75.65
2012-05-18,2012.381,75.36
2012-05-21,2012.389,77.23
2012-05-22,2012.392,77.29
2012-05-23,2012.394,77.05
2012-05-24,2012.397,77.05
2012-05-25,2012.4,76.56
2012-05-29,2012.411,78.31
2012-05-30,2012.414,76.08
2012-05-31,2012.417,76.21
2012-06-01,2012.417,71.33
2012-06-04,2012.425,70.53
2012-06-05,2012.428,71.92
2012-06-06,2012.431,73.99
2012-06-07,2012.433,73.69
2012-06-08,2012.436,75.84
2012-06-11,2012.444,74.47
2012-06-12,2012.447,76.21
2012-06-13,2012.45,75.12
2012-06-14,2012.453,76.11
2012-06-15,2012.456,77.39
2012-06-18,2012.464,77.82
2012-06-19,2012.467,78.87
2012-06-20,2012.469,77.93
2012-06-21,2012.472,75.41
2012-06-22,2012.475,75.44
2012-06-25,2012.483,73.18
2012-06-26,2012.486,72.84
2012-06-27,2012.489,73.86
2012-06-28,2012.492,73.32
2012-06-29,2012.494,76.62
2012-07-02,2012.503,76.38
2012-07-03,2012.506,77.93
2012-07-05,2012.511,78.33
2012-07-06,2012.514,76.43
2012-07-09,2012.522,75.84
2012-07-10,2012.525,75.63
2012-07-11,2012.528,75.81
2012-07-12,2012.531,74.23
2012-07-13,2012.533,75.52
2012-07-16,2012.542,75.52
2012-07-17,2012.544,75.89
2012-07-18,2012.547,76.75
2012-07-19,2012.55,77.64
2012-07-20,2012.553,75.46
2012-07-23,2012.561,74.71
2012-07-24,2012.564,73.27
2012-07-25,2012.567,70.02
2012-07-26,2012.569,70.66
2012-07-27,2012.572,72.57
2012-07-30,2012.581,72.89
2012-07-31,2012.583,72.43
2012-08-01,2012.583,71.92
2012-08-02,2012.586,71.76
2012-08-03,2012.589,73.83
2012-08-06,2012.597,73.32
2012-08-07,2012.6,74.45
2012-08-08,2012.603,74.18
2012-08-09,2012.606,75.52
2012-08-10,2012.608,75.79
2012-08-13,2012.617,76.19
2012-08-14,2012.619,75.57
2012-08-15,2012.622,76.35
2012-08-16,2012.625,77.77
2012-08-17,2012.628,77.9
2012-08-20,2012.636,77.74
2012-08-21,2012.639,77.07
2012-08-22,2012.642,75.12
2012-08-23,2012.644,75.63
2012-08-24,2012.647,75.22
2012-08-27,2012.656,71.92
2012-08-28,2012.658,71.01
2012-08-29,2012.661,72.57
2012-08-30,2012.664,71.09
2012-08-31,2012.667,70.53
2012-09-04,2012.675,69.64
2012-09-05,2012.678,69.03
2012-09-06,2012.681,72.57
2012-09-07,2012.683,72.7
2012-09-10,2012.692,72.81
2012-09-11,2012.694,72.97
2012-09-12,2012.697,72.06
2012-09-13,2012.7,72.22
2012-09-14,2012.703,73.61
2012-09-17,2012.711,72.51
2012-09-18,2012.714,72.68
2012-09-19,2012.717,72.19
2012-09-20,2012.719,71.09
2012-09-21,2012.722,71.76
2012-09-24,2012.731,72.25
2012-09-25,2012.733,70.77
2012-09-26,2012.736,70.56
2012-09-27,2012.739,71.74
2012-09-28,2012.742,71.41
2012-10-01,2012.75,70.58
2012-10-02,2012.753,69.67
2012-10-03,2012.756,69.43
2012-10-04,2012.758,70.37
2012-10-05,2012.761,70.61
2012-10-08,2012.769,70.15
2012-10-09,2012.772,68.36
2012-10-10,2012.775,68.04
2012-10-11,2012.778,68.14
2012-10-12,2012.781,67.69
2012-10-15,2012.789,67.85
2012-10-16,2012.792,68.38
2012-10-17,2012.794,69.08
2012-10-18,2012.797,69.54
2012-10-19,2012.8,73.05
2012-10-22,2012.808,71.9
2012-10-23,2012.811,71.98
2012-10-24,2012.814,71.74
2012-10-25,2012.817,72.59
2012-10-26,2012.819,71.82
2012-10-31,2012.833,72.11
2012-11-01,2012.833,74.26
2012-11-02,2012.836,74.07
2012-11-05,2012.844,73.8
2012-11-06,2012.847,75.04
2012-11-07,2012.85,73.13
2012-11-08,2012.853,72.3
2012-11-09,2012.856,71.71
2012-11-12,2012.864,71.55
2012-11-13,2012.867,72.41
2012-11-14,2012.869,71.71
2012-11-15,2012.872,71.92
2012-11-16,2012.875,71.41
2012-11-19,2012.883,72.57
2012-11-20,2012.886,72.38
2012-11-21,2012.889,73.02
2012-11-23,2012.894,73.64
2012-11-26,2012.903,74.98
2012-11-27,2012.906,74.34
2012-11-28,2012.908,74.69
2012-11-29,2012.911,74.77
2012-11-30,2012.914,75.79
2012-12-03,2012.922,75.84
2012-12-04,2012.925,76.16
2012-12-05,2012.928,75.97
2012-12-06,2012.931,76.75
2012-12-07,2012.933,78.47
2012-12-10,2012.942,78.9
2012-12-11,2012.944,79.7
2012-12-12,2012.947,79.43
2012-12-13,2012.95,79.16
2012-12-14,2012.953,79.75
2012-12-17,2012.961,80.08
2012-12-18,2012.964,81.69
2012-12-19,2012.967,83.11
2012-12-20,2012.969,84.5
2012-12-21,2012.972,84.69
2012-12-24,2012.981,84.37
2012-12-26,2012.986,84.8
2012-12-27,2012.989,84.93
2012-12-28,2012.992,84.31
2012-12-31,2013,85.33
