Date,t,Close
2011-08-10,2011.608,96.75
2011-08-11,2011.611,99.49
2011-08-12,2011.614,99.58
2011-08-15,2011.622,100.37
2011-08-16,2011.625,103.64
2011-08-17,2011.628,103.43
2011-08-18,2011.631,103.18
2011-08-19,2011.633,103.95
2011-08-22,2011.642,103.8
2011-08-23,2011.644,105.95
2011-08-24,2011.647,106.63
2011-08-25,2011.65,105.06
2011-08-26,2011.653,105.82
2011-08-29,2011.661,106.46
2011-08-30,2011.664,105.97
2011-08-31,2011.667,106.75
2011-09-01,2011.667,106.23
2011-09-02,2011.669,104.98
2011-09-06,2011.681,104.4
2011-09-07,2011.683,106.27
2011-09-08,2011.686,106.01
2011-09-09,2011.689,104.1
2011-09-12,2011.697,105.07
2011-09-13,2011.7,105.06
2011-09-14,2011.703,106.38
2011-09-15,2011.706,107.23
2011-09-16,2011.708,107.86
2011-09-19,2011.717,107.86
2011-09-20,2011.719,107.64
2011-09-21,2011.722,105.98
2011-09-22,2011.725,104
2011-09-23,2011.728,104.83
2011-09-26,2011.736,106.74
2011-09-27,2011.739,106.99
2011-09-28,2011.742,105.73
2011-09-29,2011.744,106.35
2011-09-30,2011.747,105.99
2011-10-03,2011.756,105.9
2011-10-04,2011.758,107.25
2011-10-05,2011.761,106.41
2011-10-06,2011.764,106.17
2011-10-07,2011.767,107.49
2011-10-10,2011.775,109.93
2011-10-11,2011.778,109.67
2011-10-12,2011.781,110.57
2011-10-13,2011.783,110.4
2011-10-14,2011.786,111.08
2011-10-17,2011.794,110.3
2011-10-18,2011.797,112.73
2011-10-19,2011.8,113.19
2011-10-20,2011.803,113.32
2011-10-21,2011.806,114.5
2011-10-24,2011.814,114
2011-10-25,2011.817,113.44
2011-10-26,2011.819,114.59
2011-10-27,2011.822,115.78
2011-10-28,2011.825,114.71
2011-10-31,2011.833,113.46
2011-11-01,2011.833,112.78
2011-11-02,2011.836,114.1
2011-11-03,2011.839,115.02
2011-11-04,2011.842,114.81
2011-11-07,2011.85,115.58
2011-11-08,2011.853,117.91
2011-11-09,2011.856,115.47
2011-11-10,2011.858,115.33
2011-11-11,2011.861,117.02
2011-11-14,2011.869,116.71
2011-11-15,2011.872,114.99
2011-11-16,2011.875,113.29
2011-11-17,2011.878,113.01
2011-11-18,2011.881,113.65
2011-11-21,2011.889,112.66
2011-11-22,2011.892,113.13
2011-11-23,2011.894,112.44
2011-11-25,2011.9,112.82
2011-11-28,2011.908,113.87
2011-11-29,2011.911,115.68
2011-11-30,2011.914,117.4
2011-12-01,2011.917,117.63
2011-12-02,2011.919,116.74
2011-12-05,2011.928,117.28
2011-12-06,2011.931,118.23
2011-12-07,2011.933,117.62
2011-12-08,2011.936,116.22
2011-12-09,2011.939,116.21
2011-12-12,2011.947,115.8
2011-12-13,2011.95,114.89
2011-12-14,2011.953,114.64
2011-12-15,2011.956,115.02
2011-12-16,2011.958,115.48
2011-12-19,2011.967,114.6
2011-12-20,2011.969,117.22
2011-12-21,2011.972,117.57
2011-12-22,2011.975,117.27
2011-12-23,2011.978,118.77
2011-12-27,2011.989,118.5
2011-12-28,2011.992,118.21
2011-12-29,2011.994,118.65
2011-12-30,2011.997,117.94
2012-01-03,2012.006,119.24
2012-01-04,2012.008,118.14
2012-01-05,2012.011,117.42
2012-01-06,2012.014,116.03
2012-01-09,2012.022,115.51
2012-01-10,2012.025,115.37
2012-01-11,2012.028,116.2
2012-01-12,2012.031,116.33
2012-01-13,2012.033,116.63
2012-01-17,2012.044,117.38
2012-01-18,2012.047,117.74
2012-01-19,2012.05,118.42
2012-01-20,2012.053,119.08
2012-01-23,2012.061,119.02
2012-01-24,2012.064,119.75
2012-01-25,2012.067,120.23
2012-01-26,2012.069,119.25
2012-01-27,2012.072,118.72
2012-01-30,2012.081,119.52
2012-01-31,2012.083,119.91
2012-02-01,2012.083,121.45
2012-02-02,2012.086,121.94
2012-02-03,2012.089,122.01
2012-02-06,2012.097,121.68
2012-02-07,2012.1,121.22
2012-02-08,2012.103,121.02
2012-02-09,2012.106,121.61
2012-02-10,2012.108,121.4
2012-02-13,2012.117,121.12
2012-02-14,2012.119,121.83
2012-02-15,2012.122,120.85
2012-02-16,2012.125,121.55
2012-02-17,2012.128,122.35
2012-02-21,2012.139,118.74
2012-02-22,2012.142,116.6
2012-02-23,2012.144,116.68
2012-02-24,2012.147,116.91
