Date,t,Close
2011-11-23,2011.894,46.74
2011-11-25,2011.9,47.24
2011-11-28,2011.908,48.75
2011-11-29,2011.911,47.58
2011-11-30,2011.914,51.71
2011-12-01,2011.917,50.96
2011-12-02,2011.919,52.58
2011-12-05,2011.928,54.71
2011-12-06,2011.931,55.1
2011-12-07,2011.933,56.98
2011-12-08,2011.936,53.67
2011-12-09,2011.939,54.81
2011-12-12,2011.947,52.67
2011-12-13,2011.95,51.43
2011-12-14,2011.953,50.35
2011-12-15,2011.956,49.79
2011-12-16,2011.958,49.17
2011-12-19,2011.967,47.62
2011-12-20,2011.969,49.62
2011-12-21,2011.972,49.94
2011-12-22,2011.975,51.72
2011-12-23,2011.978,51.49
2011-12-27,2011.989,50.45
2011-12-28,2011.992,49.36
2011-12-29,2011.994,50.02
2011-12-30,2011.997,49.72
2012-01-03,2012.006,52.45
2012-01-04,2012.008,52.14
2012-01-05,2012.011,52.55
2012-01-06,2012.014,51.91
2012-01-09,2012.022,52.63
2012-01-10,2012.025,54.54
2012-01-11,2012.028,55.28
2012-01-12,2012.031,55.83
2012-01-13,2012.033,54.45
2012-01-17,2012.044,53.71
2012-01-18,2012.047,56.64
2012-01-19,2012.05,58.84
2012-01-20,2012.053,59.5
2012-01-23,2012.061,59.05
2012-01-24,2012.064,59.08
2012-01-25,2012.067,58.63
2012-01-26,2012.069,58.22
2012-01-27,2012.072,59.58
2012-01-30,2012.081,58.63
2012-01-31,2012.083,59.56
2012-02-01,2012.083,61.05
2012-02-02,2012.086,61.34
2012-02-03,2012.089,63.82
2012-02-06,2012.097,63.89
2012-02-07,2012.1,62.98
2012-02-08,2012.103,63.27
2012-02-09,2012.106,63.05
2012-02-10,2012.108,61.79
2012-02-13,2012.117,61.91
2012-02-14,2012.119,60.94
2012-02-15,2012.122,60.98
2012-02-16,2012.125,61.92
2012-02-17,2012.128,62.35
2012-02-21,2012.139,62.66
2012-02-22,2012.142,61.42
2012-02-23,2012.144,62.39
2012-02-24,2012.147,62.21
2012-02-27,2012.156,62.53
2012-02-28,2012.158,62.93
2012-02-29,2012.161,62.27
2012-03-01,2012.167,64.72
2012-03-02,2012.169,64.04
2012-03-05,2012.178,63.07
2012-03-06,2012.181,60.45
2012-03-07,2012.183,61.96
2012-03-08,2012.186,62.59
2012-03-09,2012.189,62.93
2012-03-12,2012.197,62.65
2012-03-13,2012.2,65.98
2012-03-14,2012.203,64.52
2012-03-15,2012.206,66.68
2012-03-16,2012.208,66.69
2012-03-19,2012.217,67.61
2012-03-20,2012.219,68.49
2012-03-21,2012.222,68.09
2012-03-22,2012.225,67.01
2012-03-23,2012.228,68.23
2012-03-26,2012.236,69.74
2012-03-27,2012.239,68.57
2012-03-28,2012.242,67.82
2012-03-29,2012.244,66.42
2012-03-30,2012.247,66.58
2012-04-02,2012.253,67.04
2012-04-03,2012.256,66.11
2012-04-04,2012.258,64.4
2012-04-05,2012.261,63.39
2012-04-09,2012.272,62.57
2012-04-10,2012.275,60.94
2012-04-11,2012.278,61.67
2012-04-12,2012.281,63.95
2012-04-13,2012.283,61.15
2012-04-16,2012.292,62.05
2012-04-17,2012.294,62.3
2012-04-18,2012.297,61.65
