Date,t,Close
2011-10-03,2011.756,184.78
2011-10-04,2011.758,187.42
2011-10-05,2011.761,191.32
2011-10-06,2011.764,195.32
2011-10-07,2011.767,194.6
2011-10-10,2011.775,202.33
2011-10-11,2011.778,202.36
2011-10-12,2011.781,206.02
2011-10-13,2011.783,204.08
2011-10-14,2011.786,208.08
2011-10-17,2011.794,202.56
2011-10-18,2011.797,208.6
2011-10-19,2011.8,205.91
2011-10-20,2011.803,207.89
2011-10-21,2011.806,207.34
2011-10-24,2011.814,210.15
2011-10-25,2011.817,205.15
2011-10-26,2011.819,206.18
2011-10-27,2011.822,218.08
2011-10-28,2011.825,217.54
2011-10-31,2011.833,210.62
2011-11-01,2011.833,202.98
2011-11-02,2011.836,206.33
2011-11-03,2011.839,210.9
2011-11-04,2011.842,208.34
2011-11-07,2011.85,209.05
2011-11-08,2011.853,211.31
2011-11-09,2011.856,203.39
2011-11-10,2011.858,205.94
2011-11-11,2011.861,209.89
2011-11-14,2011.869,207.87
2011-11-15,2011.872,208.66
2011-11-16,2011.875,206.56
2011-11-17,2011.878,202.59
2011-11-18,2011.881,203
2011-11-21,2011.889,197.97
2011-11-22,2011.892,195.35
2011-11-23,2011.894,191.15
2011-11-25,2011.9,191.14
2011-11-28,2011.908,194.14
2011-11-29,2011.911,194.89
2011-11-30,2011.914,206.21
2011-12-01,2011.917,205.64
2011-12-02,2011.919,206.41
2011-12-05,2011.928,208.87
2011-12-06,2011.931,212.8
2011-12-07,2011.933,212.81
2011-12-08,2011.936,207.36
2011-12-09,2011.939,213.26
2011-12-12,2011.947,208.53
2011-12-13,2011.95,207.31
2011-12-14,2011.953,208.33
2011-12-15,2011.956,210.02
2011-12-16,2011.958,211.84
2011-12-19,2011.967,209.91
2011-12-20,2011.969,216
2011-12-21,2011.972,218.66
2011-12-22,2011.975,222.01
2011-12-23,2011.978,224.65
2011-12-27,2011.989,222.81
2011-12-28,2011.992,220.34
2011-12-29,2011.994,223.15
2011-12-30,2011.997,221.41
2012-01-03,2012.006,226.91
2012-01-04,2012.008,228.87
2012-01-05,2012.011,228.76
2012-01-06,2012.014,229.22
2012-01-09,2012.022,231.36
2012-01-10,2012.025,231.11
2012-01-11,2012.028,232.22
2012-01-12,2012.031,233.29
2012-01-13,2012.033,231.89
2012-01-17,2012.044,231.6
2012-01-18,2012.047,234.69
2012-01-19,2012.05,236.17
2012-01-20,2012.053,236.23
2012-01-23,2012.061,234.66
2012-01-24,2012.064,234.35
2012-01-25,2012.067,237.2
2012-01-26,2012.069,236.98
2012-01-27,2012.072,236.41
2012-01-30,2012.081,235.39
2012-01-31,2012.083,234.19
2012-02-01,2012.083,235.06
2012-02-02,2012.086,234.78
2012-02-03,2012.089,237.31
2012-02-06,2012.097,237.4
2012-02-07,2012.1,238.25
2012-02-08,2012.103,238.57
2012-02-09,2012.106,237.69
2012-02-10,2012.108,234.84
2012-02-13,2012.117,237.05
2012-02-14,2012.119,235.69
2012-02-15,2012.122,233.4
2012-02-16,2012.125,236.36
2012-02-17,2012.128,238.78
2012-02-21,2012.139,240.66
2012-02-22,2012.142,240.56
2012-02-23,2012.144,240.2
2012-02-24,2012.147,239.59
2012-02-27,2012.156,238.45
2012-02-28,2012.158,239.05
2012-02-29,2012.161,237.79
2012-03-01,2012.167,238.31
2012-03-02,2012.169,237.28
2012-03-05,2012.178,236.14
2012-03-06,2012.181,231.01
2012-03-07,2012.183,234.47
2012-03-08,2012.186,237.52
2012-03-09,2012.189,237.9
2012-03-12,2012.197,238.98
2012-03-13,2012.2,243.91
2012-03-14,2012.203,245.37
2012-03-15,2012.206,249.3
2012-03-16,2012.208,249.5
2012-03-19,2012.217,249.58
2012-03-20,2012.219,247.91
2012-03-21,2012.222,247.8
2012-03-22,2012.225,245.73
2012-03-23,2012.228,245.05
2012-03-26,2012.236,247.93
2012-03-27,2012.239,248.1
2012-03-28,2012.242,248.07
2012-03-29,2012.244,247.94
2012-03-30,2012.247,249.6
2012-04-02,2012.253,249.11
2012-04-03,2012.256,248.38
2012-04-04,2012.258,245.61
2012-04-05,2012.261,243.1
2012-04-09,2012.272,239.84
2012-04-10,2012.275,234.19
2012-04-11,2012.278,237.47
2012-04-12,2012.281,241.11
2012-04-13,2012.283,236.78
2012-04-16,2012.292,237.44
2012-04-17,2012.294,241.92
2012-04-18,2012.297,239.87
2012-04-19,2012.3,239.25
2012-04-20,2012.303,241.52
2012-04-23,2012.311,238.63
2012-04-24,2012.314,243.27
2012-04-25,2012.317,242.81
2012-04-26,2012.319,245.43
2012-04-27,2012.322,247.29
2012-04-30,2012.331,245
2012-05-01,2012.333,247.02
2012-05-02,2012.336,246.55
2012-05-03,2012.339,244.82
2012-05-04,2012.342,242.16
