Date,t,Close
2011-08-22,2011.642,548.57
2011-08-23,2011.644,564.3
2011-08-24,2011.647,569.41
2011-08-25,2011.65,569.37
2011-08-26,2011.653,579.78
2011-08-29,2011.661,597.85
2011-08-30,2011.664,603.56
2011-08-31,2011.667,604.17
2011-09-01,2011.667,601.84
2011-09-02,2011.669,591.23
2011-09-06,2011.681,590.85
2011-09-07,2011.683,604.77
2011-09-08,2011.686,595.67
2011-09-09,2011.689,579.27
2011-09-12,2011.697,575.79
2011-09-13,2011.7,584.83
2011-09-14,2011.703,597.71
2011-09-15,2011.706,609.64
2011-09-16,2011.708,614.45
2011-09-19,2011.717,609.87
2011-09-20,2011.719,617.15
2011-09-21,2011.722,590.13
2011-09-22,2011.725,571.54
2011-09-23,2011.728,571.74
2011-09-26,2011.736,585.59
2011-09-27,2011.739,596.21
2011-09-28,2011.742,582.26
2011-09-29,2011.744,587.57
2011-09-30,2011.747,571.91
2011-10-03,2011.756,558.45
2011-10-04,2011.758,577.58
2011-10-05,2011.761,596.98
2011-10-06,2011.764,602.06
2011-10-07,2011.767,599.13
2011-10-10,2011.775,621.65
2011-10-11,2011.778,613.68
2011-10-12,2011.781,619.92
2011-10-13,2011.783,617.87
2011-10-14,2011.786,627.69
2011-10-17,2011.794,616.84
2011-10-18,2011.797,632.22
2011-10-19,2011.8,617.73
2011-10-20,2011.803,620.5
2011-10-21,2011.806,627.37
2011-10-24,2011.814,628.96
2011-10-25,2011.817,619.28
2011-10-26,2011.819,634.97
2011-10-27,2011.822,651.48
2011-10-28,2011.825,652.19
2011-10-31,2011.833,629.33
2011-11-01,2011.833,609.8
2011-11-02,2011.836,622.23
2011-11-03,2011.839,632.09
2011-11-04,2011.842,625.91
2011-11-07,2011.85,630.15
2011-11-08,2011.853,637.08
2011-11-09,2011.856,611.45
2011-11-10,2011.858,620.6
2011-11-11,2011.861,632.81
2011-11-14,2011.869,629.81
2011-11-15,2011.872,628.14
2011-11-16,2011.875,614.19
2011-11-17,2011.878,600.42
2011-11-18,2011.881,601.78
2011-11-21,2011.889,593.16
2011-11-22,2011.892,590.1
2011-11-23,2011.894,579.89
2011-11-25,2011.9,577.63
2011-11-28,2011.908,599.29
2011-11-29,2011.911,597.23
2011-11-30,2011.914,630.91
2011-12-01,2011.917,623.7
2011-12-02,2011.919,620.8
2011-12-05,2011.928,629.5
2011-12-06,2011.931,629.7
2011-12-07,2011.933,637.2
2011-12-08,2011.936,629.48
2011-12-09,2011.939,635.62
2011-12-12,2011.947,625.44
2011-12-13,2011.95,623.27
2011-12-14,2011.953,620.81
2011-12-15,2011.956,631.14
2011-12-16,2011.958,633.84
2011-12-19,2011.967,628.24
2011-12-20,2011.969,647.41
2011-12-21,2011.972,644.61
2011-12-22,2011.975,648.8
2011-12-23,2011.978,655.23
2011-12-27,2011.989,658.88
2011-12-28,2011.992,649.9
2011-12-29,2011.994,654.24
2011-12-30,2011.997,652.72
2012-01-03,2012.006,659.72
2012-01-04,2012.008,666.4
2012-01-05,2012.011,660.64
2012-01-06,2012.014,660.56
2012-01-09,2012.022,656.34
2012-01-10,2012.025,661.69
2012-01-11,2012.028,664.45
2012-01-12,2012.031,677.02
2012-01-13,2012.033,672.28
2012-01-17,2012.044,678.68
2012-01-18,2012.047,685.84
2012-01-19,2012.05,684.78
2012-01-20,2012.053,675.91
2012-01-23,2012.061,675.46
2012-01-24,2012.064,667.18
2012-01-25,2012.067,657.85
2012-01-26,2012.069,657.85
2012-01-27,2012.072,656.72
2012-01-30,2012.081,659.39
2012-01-31,2012.083,657.98
2012-02-01,2012.083,663.17
2012-02-02,2012.086,655.93
2012-02-03,2012.089,670.21
2012-02-06,2012.097,669.78
2012-02-07,2012.1,671.01
2012-02-08,2012.103,672.89
2012-02-09,2012.106,673.37
2012-02-10,2012.108,667.06
2012-02-13,2012.117,667.91
2012-02-14,2012.119,668.68
2012-02-15,2012.122,670.28
2012-02-16,2012.125,678.53
2012-02-17,2012.128,682.82
2012-02-21,2012.139,681.56
2012-02-22,2012.142,679.03
2012-02-23,2012.144,683.58
2012-02-24,2012.147,683.1
2012-02-27,2012.156,683.67
2012-02-28,2012.158,681.14
2012-02-29,2012.161,676.12
2012-03-01,2012.167,682.98
2012-03-02,2012.169,682.59
2012-03-05,2012.178,675.08
2012-03-06,2012.181,664.93
2012-03-07,2012.183,669.17
2012-03-08,2012.186,679.58
2012-03-09,2012.189,677.11
2012-03-12,2012.197,677.6
2012-03-13,2012.2,686.06
2012-03-14,2012.203,684.84
2012-03-15,2012.206,686.89
2012-03-16,2012.208,687.88
2012-03-19,2012.217,690.38
2012-03-20,2012.219,687.44
2012-03-21,2012.222,690.65
2012-03-22,2012.225,683.51
2012-03-23,2012.228,690.52
2012-03-26,2012.236,701.04
2012-03-27,2012.239,705.15
2012-03-28,2012.242,699.93
2012-03-29,2012.244,703.57
2012-03-30,2012.247,705.29
2012-04-02,2012.253,709.49
2012-04-03,2012.256,706.97
2012-04-04,2012.258,699.39
2012-04-05,2012.261,701.09
2012-04-09,2012.272,690.2
2012-04-10,2012.275,673.2
2012-04-11,2012.278,681.73
