Date,t,Close
2011-10-03,2011.756,338.81
2011-10-04,2011.758,355.26
2011-10-05,2011.761,365.75
2011-10-06,2011.764,375.56
2011-10-07,2011.767,371.27
2011-10-10,2011.775,386.8
2011-10-11,2011.778,388.41
2011-10-12,2011.781,399.57
2011-10-13,2011.783,396.08
2011-10-14,2011.786,404.04
2011-10-17,2011.794,391.36
2011-10-18,2011.797,408.73
2011-10-19,2011.8,402.44
2011-10-20,2011.803,400.19
2011-10-21,2011.806,407.53
2011-10-24,2011.814,419.61
2011-10-25,2011.817,409.14
2011-10-26,2011.819,415.91
2011-10-27,2011.822,439.18
2011-10-28,2011.825,442.41
2011-10-31,2011.833,428.02
2011-11-01,2011.833,416.82
2011-11-02,2011.836,427.8
2011-11-03,2011.839,441.49
2011-11-04,2011.842,439
2011-11-07,2011.85,436.12
2011-11-08,2011.853,438.12
2011-11-09,2011.856,416.26
2011-11-10,2011.858,419.5
2011-11-11,2011.861,431.72
2011-11-14,2011.869,429.96
2011-11-15,2011.872,433.14
2011-11-16,2011.875,424.32
2011-11-17,2011.878,413.59
2011-11-18,2011.881,415.86
2011-11-21,2011.889,406.57
2011-11-22,2011.892,406.11
2011-11-23,2011.894,392.2
2011-11-25,2011.9,390.34
2011-11-28,2011.908,406.43
2011-11-29,2011.911,406.14
2011-11-30,2011.914,426.83
2011-12-01,2011.917,425.93
2011-12-02,2011.919,427.6
2011-12-05,2011.928,437.48
2011-12-06,2011.931,438.12
2011-12-07,2011.933,435.62
2011-12-08,2011.936,421.64
2011-12-09,2011.939,431.37
2011-12-12,2011.947,425.49
2011-12-13,2011.95,420.59
2011-12-14,2011.953,411.98
2011-12-15,2011.956,413.54
2011-12-16,2011.958,415.04
2011-12-19,2011.967,409.34
2011-12-20,2011.969,426.39
2011-12-21,2011.972,425.61
2011-12-22,2011.975,426.5
2011-12-23,2011.978,432.16
2011-12-27,2011.989,432.45
2011-12-28,2011.992,422.01
2011-12-29,2011.994,428.33
2011-12-30,2011.997,425.43
2012-01-03,2012.006,438.14
2012-01-04,2012.008,438.56
2012-01-05,2012.011,439.87
2012-01-06,2012.014,435.05
2012-01-09,2012.022,437.66
2012-01-10,2012.025,448.54
2012-01-11,2012.028,450.7
2012-01-12,2012.031,458.34
2012-01-13,2012.033,454.77
2012-01-17,2012.044,458.7
2012-01-18,2012.047,463.81
2012-01-19,2012.05,464.63
2012-01-20,2012.053,458.42
2012-01-23,2012.061,458.68
2012-01-24,2012.064,461.01
2012-01-25,2012.067,468.96
2012-01-26,2012.069,467.63
2012-01-27,2012.072,468.39
2012-01-30,2012.081,469.22
2012-01-31,2012.083,466.5
2012-02-01,2012.083,476.56
2012-02-02,2012.086,477.71
2012-02-03,2012.089,489.35
2012-02-06,2012.097,489.74
2012-02-07,2012.1,491.85
2012-02-08,2012.103,494.12
2012-02-09,2012.106,496.51
2012-02-10,2012.108,493.22
2012-02-13,2012.117,500.25
2012-02-14,2012.119,498.96
2012-02-15,2012.122,494.27
2012-02-16,2012.125,501.64
2012-02-17,2012.128,501
2012-02-21,2012.139,504.63
2012-02-22,2012.142,502.02
2012-02-23,2012.144,503.35
2012-02-24,2012.147,500.6
2012-02-27,2012.156,502.29
2012-02-28,2012.158,501.6
2012-02-29,2012.161,499.12
2012-03-01,2012.167,499.99
2012-03-02,2012.169,494.84
2012-03-05,2012.178,491.24
2012-03-06,2012.181,475.54
2012-03-07,2012.183,481.19
2012-03-08,2012.186,487.98
2012-03-09,2012.189,490.44
2012-03-12,2012.197,491.78
2012-03-13,2012.2,502.03
2012-03-14,2012.203,501.6
2012-03-15,2012.206,507.33
2012-03-16,2012.208,506.19
2012-03-19,2012.217,505.5
2012-03-20,2012.219,498.01
2012-03-21,2012.222,497.04
2012-03-22,2012.225,489.35
2012-03-23,2012.228,492.96
2012-03-26,2012.236,501.64
2012-03-27,2012.239,500.53
2012-03-28,2012.242,492.75
2012-03-29,2012.244,492.96
2012-03-30,2012.247,495.22
2012-04-02,2012.253,499.96
2012-04-03,2012.256,496.63
2012-04-04,2012.258,490.83
2012-04-05,2012.261,488.33
2012-04-09,2012.272,481.08
2012-04-10,2012.275,472.02
2012-04-11,2012.278,475.51
2012-04-12,2012.281,486.52
2012-04-13,2012.283,478.28
2012-04-16,2012.292,479.35
2012-04-17,2012.294,487.07
2012-04-18,2012.297,485.59
2012-04-19,2012.3,476.88
2012-04-20,2012.303,481.04
2012-04-23,2012.311,476.16
2012-04-24,2012.314,488.51
2012-04-25,2012.317,492.4
2012-04-26,2012.319,494.65
2012-04-27,2012.322,500.87
2012-04-30,2012.331,494.29
2012-05-01,2012.333,494.7
2012-05-02,2012.336,495.12
2012-05-03,2012.339,489.2
2012-05-04,2012.342,480.36
2012-05-07,2012.35,480.98
2012-05-08,2012.353,479.68
2012-05-09,2012.356,479.29
2012-05-10,2012.358,479.9
2012-05-11,2012.361,480.06
2012-05-14,2012.369,474.42
2012-05-15,2012.372,469.18
2012-05-16,2012.375,465.62
2012-05-17,2012.378,451.81
2012-05-18,2012.381,450.38
2012-05-21,2012.389,460.57
2012-05-22,2012.392,464.09
2012-05-23,2012.394,470.18
2012-05-24,2012.397,471.63
2012-05-25,2012.4,469.48
2012-05-29,2012.411,476.49
2012-05-30,2012.414,466.73
2012-05-31,2012.417,461.37
2012-06-01,2012.417,445.26
2012-06-04,2012.425,439.29
2012-06-05,2012.428,443.49
2012-06-06,2012.431,454.22
2012-06-07,2012.433,454.63
2012-06-08,2012.436,457.25
2012-06-11,2012.444,448.38
2012-06-12,2012.447,454.21
2012-06-13,2012.45,444.87
2012-06-14,2012.453,443.41
2012-06-15,2012.456,447.11
2012-06-18,2012.464,448.39
2012-06-19,2012.467,454.24
2012-06-20,2012.469,449
2012-06-21,2012.472,436.37
2012-06-22,2012.475,438.54
2012-06-25,2012.483,428.02
2012-06-26,2012.486,428.45
2012-06-27,2012.489,431.28
2012-06-28,2012.492,430.52
2012-06-29,2012.494,447.32
2012-07-02,2012.503,442.85
2012-07-03,2012.506,449.9
2012-07-05,2012.511,449.55
2012-07-06,2012.514,442.52
2012-07-09,2012.522,440.86
2012-07-10,2012.525,429.25
2012-07-11,2012.528,422.66
2012-07-12,2012.531,421.33
2012-07-13,2012.533,429.78
2012-07-16,2012.542,423.84
2012-07-17,2012.544,427.8
2012-07-18,2012.547,440.89
2012-07-19,2012.55,449.16
2012-07-20,2012.553,444.62
2012-07-23,2012.561,444.7
2012-07-24,2012.564,439.12
2012-07-25,2012.567,442.07
2012-07-26,2012.569,450.56
2012-07-27,2012.572,466.22
2012-07-30,2012.581,463.61
2012-07-31,2012.583,462.36
2012-08-01,2012.583,460.02
2012-08-02,2012.586,455.39
2012-08-03,2012.589,467.78
2012-08-06,2012.597,468.43
2012-08-07,2012.6,476.06
2012-08-08,2012.603,478.8
2012-08-09,2012.606,479.37
2012-08-10,2012.608,483.93
2012-08-13,2012.617,483.15
2012-08-14,2012.619,479.45
2012-08-15,2012.622,481.26
2012-08-16,2012.625,491.12
2012-08-17,2012.628,493.81
2012-08-20,2012.636,489.65
2012-08-21,2012.639,488.27
2012-08-22,2012.642,487.73
2012-08-23,2012.644,486.7
2012-08-24,2012.647,490.31
2012-08-27,2012.656,489.3
2012-08-28,2012.658,485.44
2012-08-29,2012.661,484.92
2012-08-30,2012.664,480.82
2012-08-31,2012.667,484.4
2012-09-04,2012.675,481.88
2012-09-05,2012.678,478.88
2012-09-06,2012.681,494.55
2012-09-07,2012.683,501.09
2012-09-10,2012.692,498.96
2012-09-11,2012.694,501.83
2012-09-12,2012.697,503.65
2012-09-13,2012.7,509.2
2012-09-14,2012.703,514.09
2012-09-17,2012.711,509.68
2012-09-18,2012.714,511.18
2012-09-19,2012.717,514.62
2012-09-20,2012.719,513.56
2012-09-21,2012.722,515.18
2012-09-24,2012.731,511.71
2012-09-25,2012.733,501.5
2012-09-26,2012.736,496.09
2012-09-27,2012.739,502.41
2012-09-28,2012.742,502.61
2012-10-01,2012.75,500.96
2012-10-02,2012.753,499.31
2012-10-03,2012.756,501
2012-10-04,2012.758,504.68
2012-10-05,2012.761,506.57
2012-10-08,2012.769,503.4
2012-10-09,2012.772,493.84
2012-10-10,2012.775,487.1
2012-10-11,2012.778,486.64
2012-10-12,2012.781,486.25
2012-10-15,2012.789,490.29
2012-10-16,2012.792,497.2
2012-10-17,2012.794,498.21
2012-10-18,2012.797,501.75
2012-10-19,2012.8,496.23
2012-10-22,2012.808,494.73
2012-10-23,2012.811,490.44
2012-10-24,2012.814,487.84
2012-10-25,2012.817,491.13
2012-10-26,2012.819,489.25
2012-10-31,2012.833,499.96
2012-11-01,2012.833,512.9
2012-11-02,2012.836,510.2
2012-11-05,2012.844,514.96
2012-11-06,2012.847,519
2012-11-07,2012.85,506.63
2012-11-08,2012.853,501.16
2012-11-09,2012.856,501.39
2012-11-12,2012.864,503.02
2012-11-13,2012.867,502.97
2012-11-14,2012.869,494.08
2012-11-15,2012.872,492.31
2012-11-16,2012.875,497.65
2012-11-19,2012.883,508.23
2012-11-20,2012.886,510.93
2012-11-21,2012.889,511.53
2012-11-23,2012.894,519.41
2012-11-26,2012.903,518.34
2012-11-27,2012.906,515.03
2012-11-28,2012.908,522.25
2012-11-29,2012.911,526.32
2012-11-30,2012.914,523.47
2012-12-03,2012.922,517.68
2012-12-04,2012.925,518.92
2012-12-05,2012.928,523.18
2012-12-06,2012.931,522.14
2012-12-07,2012.933,524.04
2012-12-10,2012.942,526.6
2012-12-11,2012.944,526.08
2012-12-12,2012.947,527.17
2012-12-13,2012.95,525.91
2012-12-14,2012.953,519.91
2012-12-17,2012.961,522.72
2012-12-18,2012.964,534.22
2012-12-19,2012.967,532.04
2012-12-20,2012.969,533.83
2012-12-21,2012.972,526.85
2012-12-24,2012.981,526.93
2012-12-26,2012.986,525.04
2012-12-27,2012.989,524.97
2012-12-28,2012.992,519.95
2012-12-31,2013,530.22
2013-01-02,2013.003,543.66
2013-01-03,2013.006,542.43
2013-01-04,2013.008,544.83
2013-01-07,2013.017,542.98
2013-01-08,2013.019,542.84
2013-01-09,2013.022,545.43
2013-01-10,2013.025,548.79
2013-01-11,2013.028,546.81
2013-01-14,2013.036,547.58
2013-01-15,2013.039,547.87
2013-01-16,2013.042,547.13
2013-01-17,2013.044,557.61
2013-01-18,2013.047,561.13
2013-01-22,2013.058,562.36
2013-01-23,2013.061,562.63
2013-01-24,2013.064,564.09
2013-01-25,2013.067,564.87
2013-01-28,2013.075,564.38
2013-01-29,2013.078,565.13
2013-01-30,2013.081,560.89
2013-01-31,2013.083,559.5
2013-02-01,2013.083,563.65
2013-02-04,2013.092,556.95
2013-02-05,2013.094,565.01
2013-02-06,2013.097,563.04
2013-02-07,2013.1,557.65
2013-02-08,2013.103,563.48
2013-02-11,2013.111,562.86
2013-02-12,2013.114,567.3
2013-02-13,2013.117,571.2
2013-02-14,2013.119,571.85
2013-02-15,2013.122,572
2013-02-19,2013.133,576.93
2013-02-20,2013.136,566.99
2013-02-21,2013.139,558.16
2013-02-22,2013.142,564.3
2013-02-25,2013.15,548.02
2013-02-26,2013.153,552
2013-02-27,2013.156,564.39
2013-02-28,2013.158,567.51
2013-03-01,2013.167,564.21
2013-03-04,2013.175,562.6
2013-03-05,2013.178,572.49
2013-03-06,2013.181,573.5
2013-03-07,2013.183,571.69
2013-03-08,2013.186,575.88
2013-03-11,2013.194,577.76
2013-03-12,2013.197,572.66
2013-03-13,2013.2,574.32
2013-03-14,2013.203,578.42
2013-03-15,2013.206,579.81
2013-03-18,2013.214,578.24
2013-03-19,2013.217,578.54
2013-03-20,2013.219,582.7
2013-03-21,2013.222,575.32
2013-03-22,2013.225,575.72
2013-03-25,2013.233,569
2013-03-26,2013.236,568.48
2013-03-27,2013.239,563.72
2013-03-28,2013.242,570.79
2013-04-01,2013.25,563.54
2013-04-02,2013.253,561.79
2013-04-03,2013.256,559.4
2013-04-04,2013.258,565.3
2013-04-05,2013.261,561.77
2013-04-08,2013.269,567.06
2013-04-09,2013.272,569.69
2013-04-10,2013.275,576.4
2013-04-11,2013.278,579.89
2013-04-12,2013.281,574.68
2013-04-15,2013.289,553.69
2013-04-16,2013.292,564.57
2013-04-17,2013.294,554.22
2013-04-18,2013.297,546.92
2013-04-19,2013.3,546.67
2013-04-22,2013.308,548.57
2013-04-23,2013.311,558.34
2013-04-24,2013.314,568.15
2013-04-25,2013.317,571.21
2013-04-26,2013.319,563.8
2013-04-29,2013.328,567.59
2013-04-30,2013.331,565.77
2013-05-01,2013.333,556.52
2013-05-02,2013.336,561.98
2013-05-03,2013.339,574.59
2013-05-06,2013.347,576.92
2013-05-07,2013.35,584.94
2013-05-08,2013.353,589.77
2013-05-09,2013.356,590.2
2013-05-10,2013.358,593.51
2013-05-13,2013.367,592.76
2013-05-14,2013.369,604.37
2013-05-15,2013.372,609.09
2013-05-16,2013.375,606.83
2013-05-17,2013.378,615.9
2013-05-20,2013.386,618.35
2013-05-21,2013.389,619.89
2013-05-22,2013.392,612.42
2013-05-23,2013.394,611.3
2013-05-24,2013.397,609.59
