Date,t,Close
2011-12-30,2011.997,772.82
2012-01-03,2012.006,800.28
2012-01-04,2012.008,796.56
2012-01-05,2012.011,798.15
2012-01-06,2012.014,814.12
2012-01-09,2012.022,805.81
2012-01-10,2012.025,812.18
2012-01-11,2012.028,806.46
2012-01-12,2012.031,797.25
2012-01-13,2012.033,808.81
2012-01-17,2012.044,825.11
2012-01-18,2012.047,859.2
2012-01-19,2012.05,880.49
2012-01-20,2012.053,865.46
2012-01-23,2012.061,848.01
2012-01-24,2012.064,853.04
2012-01-25,2012.067,858.91
2012-01-26,2012.069,882.79
2012-01-27,2012.072,893.26
2012-01-30,2012.081,883.61
2012-01-31,2012.083,892.15
2012-02-01,2012.083,853.7
2012-02-02,2012.086,860.05
2012-02-03,2012.089,885.38
2012-02-06,2012.097,868.43
2012-02-07,2012.1,867.99
2012-02-08,2012.103,873.08
2012-02-09,2012.106,869.24
2012-02-10,2012.108,872.82
2012-02-13,2012.117,897.96
2012-02-14,2012.119,900.47
2012-02-15,2012.122,878.06
2012-02-16,2012.125,865.78
2012-02-17,2012.128,877.9
2012-02-21,2012.139,876.04
2012-02-22,2012.142,869.51
2012-02-23,2012.144,865.29
2012-02-24,2012.147,867.34
2012-02-27,2012.156,865.22
2012-02-28,2012.158,900
2012-02-29,2012.161,884.52
2012-03-01,2012.167,890.94
2012-03-02,2012.169,892.76
2012-03-05,2012.178,891.86
2012-03-06,2012.181,886.53
2012-03-07,2012.183,898.18
2012-03-08,2012.186,915.55
2012-03-09,2012.189,902.75
2012-03-12,2012.197,900.39
2012-03-13,2012.2,905.32
2012-03-14,2012.203,897.02
2012-03-15,2012.206,910.06
2012-03-16,2012.208,920.61
2012-03-19,2012.217,933.03
2012-03-20,2012.219,953.07
2012-03-21,2012.222,956.39
2012-03-22,2012.225,960.58
2012-03-23,2012.228,970.52
2012-03-26,2012.236,1004.46
2012-03-27,2012.239,1008.55
2012-03-28,2012.242,989.01
2012-03-29,2012.244,999.25
2012-03-30,2012.247,992.56
2012-04-02,2012.253,981.13
2012-04-03,2012.256,994.32
2012-04-04,2012.258,976.31
2012-04-05,2012.261,982.43
2012-04-09,2012.272,975.48
2012-04-10,2012.275,948.24
2012-04-11,2012.278,945.78
2012-04-12,2012.281,961.24
2012-04-13,2012.283,951.17
2012-04-16,2012.292,926.7
2012-04-17,2012.294,944.15
2012-04-18,2012.297,959.42
2012-04-19,2012.3,953.37
2012-04-20,2012.303,946.93
2012-04-23,2012.311,934.11
2012-04-24,2012.314,927.95
2012-04-25,2012.317,956.24
2012-04-26,2012.319,964.59
2012-04-27,2012.322,1074.59
2012-04-30,2012.331,1089.63
2012-05-01,2012.333,1080.89
2012-05-02,2012.336,1089.59
2012-05-03,2012.339,1077.72
2012-05-04,2012.342,1053.92
2012-05-07,2012.35,1058.69
2012-05-08,2012.353,1046.34
2012-05-09,2012.356,1045.07
2012-05-10,2012.358,1039.8
2012-05-11,2012.361,1043.5
2012-05-14,2012.369,1024.51
2012-05-15,2012.372,1029.7
2012-05-16,2012.375,1029
2012-05-17,2012.378,1000.9
2012-05-18,2012.381,980.68
2012-05-21,2012.389,1006.85
2012-05-22,2012.392,998.43
2012-05-23,2012.394,1015.51
2012-05-24,2012.397,1006.22
2012-05-25,2012.4,992.94
2012-05-29,2012.411,1000.68
2012-05-30,2012.414,973.76
2012-05-31,2012.417,978.03
2012-06-01,2012.417,955.53
2012-06-04,2012.425,978.21
2012-06-05,2012.428,975.06
2012-06-06,2012.431,1001.19
2012-06-07,2012.433,999.45
2012-06-08,2012.436,1004.71
2012-06-11,2012.444,996.67
2012-06-12,2012.447,1000.72
2012-06-13,2012.45,993.23
2012-06-14,2012.453,990.38
2012-06-15,2012.456,1013.21
2012-06-18,2012.464,1032.4
2012-06-19,2012.467,1038.94
2012-06-20,2012.469,1030.3
2012-06-21,2012.472,1016.34
2012-06-22,2012.475,1027.86
2012-06-25,2012.483,1012.45
2012-06-26,2012.486,1030.75
2012-06-27,2012.489,1030.17
2012-06-28,2012.492,1012.7
2012-06-29,2012.494,1044.75
2012-07-02,2012.503,1055.83
2012-07-03,2012.506,1061.95
2012-07-05,2012.511,1055.36
2012-07-06,2012.514,1044.98
2012-07-09,2012.522,1041.9
2012-07-10,2012.525,1015.87
2012-07-11,2012.528,1011.91
2012-07-12,2012.531,1000.02
2012-07-13,2012.533,1013.21
2012-07-16,2012.542,1003.04
2012-07-17,2012.544,1009.23
2012-07-18,2012.547,1014.35
2012-07-19,2012.55,1048.25
2012-07-20,2012.553,1053.5
2012-07-23,2012.561,1044.4
2012-07-24,2012.564,1032.84
2012-07-25,2012.567,984.66
2012-07-26,2012.569,990.99
2012-07-27,2012.572,1072.83
2012-07-30,2012.581,1069.22
2012-07-31,2012.583,1053.84
2012-08-01,2012.583,1040.48
2012-08-02,2012.586,1038.88
2012-08-03,2012.589,1058.09
