Date,t,Close
2011-10-03,2011.756,206.63
2011-10-04,2011.758,214.3
2011-10-05,2011.761,219.59
2011-10-06,2011.764,220.98
2011-10-07,2011.767,217.19
2011-10-10,2011.775,223.81
2011-10-11,2011.778,221.94
2011-10-12,2011.781,225.04
2011-10-13,2011.783,226.19
2011-10-14,2011.786,228.05
2011-10-17,2011.794,222.78
2011-10-18,2011.797,230.76
2011-10-19,2011.8,232.23
2011-10-20,2011.803,236.77
2011-10-21,2011.806,247.38
2011-10-24,2011.814,249.12
2011-10-25,2011.817,245.43
2011-10-26,2011.819,249.83
2011-10-27,2011.822,257.27
2011-10-28,2011.825,246.49
2011-10-31,2011.833,241.73
2011-11-01,2011.833,235.64
2011-11-02,2011.836,243.85
2011-11-03,2011.839,244.03
2011-11-04,2011.842,243.52
2011-11-07,2011.85,244.58
2011-11-08,2011.853,248.9
2011-11-09,2011.856,242.18
2011-11-10,2011.858,242.98
2011-11-11,2011.861,247.02
2011-11-14,2011.869,242.64
2011-11-15,2011.872,244.41
2011-11-16,2011.875,238.06
2011-11-17,2011.878,235.68
2011-11-18,2011.881,233.96
2011-11-21,2011.889,230.13
2011-11-22,2011.892,226.69
2011-11-23,2011.894,224.51
2011-11-25,2011.9,226.95
2011-11-28,2011.908,229.78
2011-11-29,2011.911,228.47
2011-11-30,2011.914,238.35
2011-12-01,2011.917,238.84
2011-12-02,2011.919,239.19
2011-12-05,2011.928,240.77
2011-12-06,2011.931,240.91
2011-12-07,2011.933,242.65
2011-12-08,2011.936,239.65
2011-12-09,2011.939,242.72
2011-12-12,2011.947,238.36
2011-12-13,2011.95,236.16
2011-12-14,2011.953,238.56
2011-12-15,2011.956,237.78
2011-12-16,2011.958,236.54
2011-12-19,2011.967,235.31
2011-12-20,2011.969,241.48
2011-12-21,2011.972,242.99
2011-12-22,2011.975,245.42
2011-12-23,2011.978,246.93
2011-12-27,2011.989,247.78
2011-12-28,2011.992,246.45
2011-12-29,2011.994,248.03
2011-12-30,2011.997,246.29
2012-01-03,2012.006,247.68
2012-01-04,2012.008,244.24
2012-01-05,2012.011,243.61
2012-01-06,2012.014,240.94
2012-01-09,2012.022,241.41
2012-01-10,2012.025,243.71
2012-01-11,2012.028,243.6
2012-01-12,2012.031,244.94
2012-01-13,2012.033,243.97
2012-01-17,2012.044,244.3
2012-01-18,2012.047,246.13
2012-01-19,2012.05,247.49
2012-01-20,2012.053,248.04
2012-01-23,2012.061,246.27
2012-01-24,2012.064,244.92
2012-01-25,2012.067,247.57
2012-01-26,2012.069,249.01
2012-01-27,2012.072,250.23
2012-01-30,2012.081,249.11
2012-01-31,2012.083,250.2
2012-02-01,2012.083,254.64
2012-02-02,2012.086,253.89
2012-02-03,2012.089,253.16
2012-02-06,2012.097,251.77
2012-02-07,2012.1,253.46
2012-02-08,2012.103,254.04
2012-02-09,2012.106,254.29
2012-02-10,2012.108,252.34
2012-02-13,2012.117,253.54
2012-02-14,2012.119,251.09
2012-02-15,2012.122,247.65
2012-02-16,2012.125,247.68
2012-02-17,2012.128,250.79
2012-02-21,2012.139,250.97
2012-02-22,2012.142,249.2
2012-02-23,2012.144,251.25
2012-02-24,2012.147,248.72
2012-02-27,2012.156,247.98
2012-02-28,2012.158,245.46
2012-02-29,2012.161,244.58
2012-03-01,2012.167,249.13
2012-03-02,2012.169,247.81
2012-03-05,2012.178,248.79
2012-03-06,2012.181,246.49
2012-03-07,2012.183,248.06
2012-03-08,2012.186,250.67
2012-03-09,2012.189,252.03
2012-03-12,2012.197,251.78
2012-03-13,2012.2,255.75
2012-03-14,2012.203,257.26
2012-03-15,2012.206,258.78
2012-03-16,2012.208,257.19
2012-03-19,2012.217,256.31
2012-03-20,2012.219,255.15
2012-03-21,2012.222,255.79
2012-03-22,2012.225,253.18
2012-03-23,2012.228,254.52
2012-03-26,2012.236,257.59
2012-03-27,2012.239,256.16
2012-03-28,2012.242,258.43
2012-03-29,2012.244,256.4
2012-03-30,2012.247,256.71
2012-04-02,2012.253,257.35
2012-04-03,2012.256,256.59
2012-04-04,2012.258,254.58
2012-04-05,2012.261,253.12
2012-04-09,2012.272,250.26
2012-04-10,2012.275,246.51
2012-04-11,2012.278,250.06
2012-04-12,2012.281,252.14
2012-04-13,2012.283,251.63
2012-04-16,2012.292,252.94
2012-04-17,2012.294,256.68
2012-04-18,2012.297,255.36
2012-04-19,2012.3,258.73
2012-04-20,2012.303,256.85
2012-04-23,2012.311,255.52
