Date,t,Close
2011-08-19,2011.633,160.51
2011-08-22,2011.642,162.17
2011-08-23,2011.644,169.37
2011-08-24,2011.647,170.26
2011-08-25,2011.65,168.24
2011-08-26,2011.653,170.98
2011-08-29,2011.661,176.16
2011-08-30,2011.664,177.44
2011-08-31,2011.667,177.1
2011-09-01,2011.667,174.35
2011-09-02,2011.669,170.68
2011-09-06,2011.681,170.21
2011-09-07,2011.683,174.78
2011-09-08,2011.686,176.58
2011-09-09,2011.689,171.37
2011-09-12,2011.697,173.4
2011-09-13,2011.7,173.32
2011-09-14,2011.703,175.15
2011-09-15,2011.706,179.87
2011-09-16,2011.708,182.58
2011-09-19,2011.717,181.45
2011-09-20,2011.719,180.62
2011-09-21,2011.722,177.89
2011-09-22,2011.725,172.8
2011-09-23,2011.728,175.34
2011-09-26,2011.736,177.47
2011-09-27,2011.739,179.14
2011-09-28,2011.742,175.04
2011-09-29,2011.744,173.03
2011-09-30,2011.747,168.29
2011-10-03,2011.756,162.65
2011-10-04,2011.758,166.87
2011-10-05,2011.761,170.98
2011-10-06,2011.764,173.92
2011-10-07,2011.767,173.39
2011-10-10,2011.775,180.3
2011-10-11,2011.778,182.19
2011-10-12,2011.781,183.2
2011-10-13,2011.783,185.81
2011-10-14,2011.786,194.15
2011-10-17,2011.794,191.23
2011-10-18,2011.797,193.47
2011-10-19,2011.8,190.84
2011-10-20,2011.803,190.84
2011-10-21,2011.806,192.48
2011-10-24,2011.814,194.94
2011-10-25,2011.817,190.42
2011-10-26,2011.819,190.65
2011-10-27,2011.822,195.91
2011-10-28,2011.825,197.45
2011-10-31,2011.833,192.89
2011-11-01,2011.833,187.87
2011-11-02,2011.836,190.57
2011-11-03,2011.839,195.54
2011-11-04,2011.842,194.72
2011-11-07,2011.85,197.69
2011-11-08,2011.853,199.59
2011-11-09,2011.856,194.66
2011-11-10,2011.858,192.99
2011-11-11,2011.861,197.66
2011-11-14,2011.869,197.87
2011-11-15,2011.872,198.73
2011-11-16,2011.875,196.23
2011-11-17,2011.878,192.22
2011-11-18,2011.881,191.07
2011-11-21,2011.889,186.23
2011-11-22,2011.892,186.24
2011-11-23,2011.894,183.25
2011-11-25,2011.9,181.13
2011-11-28,2011.908,189.25
2011-11-29,2011.911,187.55
2011-11-30,2011.914,192.52
2011-12-01,2011.917,196.49
2011-12-02,2011.919,197.6
2011-12-05,2011.928,199.84
2011-12-06,2011.931,199.38
2011-12-07,2011.933,199.03
2011-12-08,2011.936,197.34
2011-12-09,2011.939,201.16
2011-12-12,2011.947,199.49
2011-12-13,2011.95,198.98
2011-12-14,2011.953,196.24
