Date,t,Close
2011-09-23,2011.728,434.07
2011-09-26,2011.736,447.9
2011-09-27,2011.739,455.55
2011-09-28,2011.742,447.39
2011-09-29,2011.744,457.71
2011-09-30,2011.747,447.88
2011-10-03,2011.756,435.63
2011-10-04,2011.758,447.15
2011-10-05,2011.761,457.88
2011-10-06,2011.764,459.88
2011-10-07,2011.767,457.31
2011-10-10,2011.775,476.08
2011-10-11,2011.778,474.9
2011-10-12,2011.781,478.81
2011-10-13,2011.783,475.65
2011-10-14,2011.786,488.87
2011-10-17,2011.794,482.33
2011-10-18,2011.797,494.58
2011-10-19,2011.8,492.17
2011-10-20,2011.803,495.5
2011-10-21,2011.806,505.43
2011-10-24,2011.814,507.33
2011-10-25,2011.817,499.89
2011-10-26,2011.819,510.39
2011-10-27,2011.822,521.97
2011-10-28,2011.825,521.84
2011-10-31,2011.833,500.38
2011-11-01,2011.833,486.43
2011-11-02,2011.836,496.8
2011-11-03,2011.839,506.34
2011-11-04,2011.842,506.96
2011-11-07,2011.85,512.31
2011-11-08,2011.853,517.79
2011-11-09,2011.856,499.1
2011-11-10,2011.858,507.17
2011-11-11,2011.861,514.13
2011-11-14,2011.869,509.05
2011-11-15,2011.872,506.44
2011-11-16,2011.875,498.21
2011-11-17,2011.878,493.29
2011-11-18,2011.881,490.21
2011-11-21,2011.889,482.69
2011-11-22,2011.892,479.72
2011-11-23,2011.894,468.14
2011-11-25,2011.9,462.76
2011-11-28,2011.908,476.98
2011-11-29,2011.911,484.12
2011-11-30,2011.914,508.92
2011-12-01,2011.917,504.77
2011-12-02,2011.919,504.77
2011-12-05,2011.928,509.94
2011-12-06,2011.931,512.17
2011-12-07,2011.933,512.49
2011-12-08,2011.936,502.17
2011-12-09,2011.939,511.23
2011-12-12,2011.947,502.55
2011-12-13,2011.95,504.14
2011-12-14,2011.953,493.35
2011-12-15,2011.956,493.55
2011-12-16,2011.958,496.49
2011-12-19,2011.967,491.22
2011-12-20,2011.969,508.75
2011-12-21,2011.972,515.91
2011-12-22,2011.975,522.51
2011-12-23,2011.978,527.75
2011-12-27,2011.989,529.47
2011-12-28,2011.992,520.8
2011-12-29,2011.994,527.6
2011-12-30,2011.997,524.72
2012-01-03,2012.006,536.83
2012-01-04,2012.008,536.54
2012-01-05,2012.011,533.12
2012-01-06,2012.014,529.21
2012-01-09,2012.022,532.82
2012-01-10,2012.025,534.36
2012-01-11,2012.028,528.84
2012-01-12,2012.031,523.58
2012-01-13,2012.033,524.91
2012-01-17,2012.044,529.67
2012-01-18,2012.047,534.23
2012-01-19,2012.05,535.63
2012-01-20,2012.053,537.23
2012-01-23,2012.061,537.79
2012-01-24,2012.064,535.56
2012-01-25,2012.067,537.3
2012-01-26,2012.069,532.09
2012-01-27,2012.072,525.76
2012-01-30,2012.081,522.88
2012-01-31,2012.083,516.93
2012-02-01,2012.083,518.09
2012-02-02,2012.086,518.1
2012-02-03,2012.089,528.03
2012-02-06,2012.097,533.72
2012-02-07,2012.1,536.71
2012-02-08,2012.103,533.01
2012-02-09,2012.106,531.34
2012-02-10,2012.108,525.98
2012-02-13,2012.117,530.68
2012-02-14,2012.119,532.26
2012-02-15,2012.122,528.95
2012-02-16,2012.125,534.72
2012-02-17,2012.128,535.89
2012-02-21,2012.139,541.77
2012-02-22,2012.142,541.28
2012-02-23,2012.144,544.38
2012-02-24,2012.147,547.04
2012-02-27,2012.156,548.09
2012-02-28,2012.158,548.84
2012-02-29,2012.161,544.79
2012-03-01,2012.167,548.59
2012-03-02,2012.169,545.7
2012-03-05,2012.178,546.62
2012-03-06,2012.181,539.85
2012-03-07,2012.183,540.57
2012-03-08,2012.186,539.07
2012-03-09,2012.189,536.42
2012-03-12,2012.197,539.43
2012-03-13,2012.2,546.32
2012-03-14,2012.203,541.95
2012-03-15,2012.206,540.56
2012-03-16,2012.208,543.54
2012-03-19,2012.217,547.28
2012-03-20,2012.219,541.17
2012-03-21,2012.222,537.39
2012-03-22,2012.225,529.17
2012-03-23,2012.228,532.94
2012-03-26,2012.236,540.99
2012-03-27,2012.239,537.68
2012-03-28,2012.242,530.98
2012-03-29,2012.244,532.49
2012-03-30,2012.247,535.72
2012-04-02,2012.253,540.25
2012-04-03,2012.256,533.65
2012-04-04,2012.258,527.68
2012-04-05,2012.261,524.58
2012-04-09,2012.272,518.51
2012-04-10,2012.275,508.12
2012-04-11,2012.278,508.62
2012-04-12,2012.281,515.95
2012-04-13,2012.283,509.18
2012-04-16,2012.292,512.55
2012-04-17,2012.294,521.24
2012-04-18,2012.297,520.56
2012-04-19,2012.3,517.89
2012-04-20,2012.303,518.07
2012-04-23,2012.311,518.08
2012-04-24,2012.314,520.7
2012-04-25,2012.317,523.01
2012-04-26,2012.319,525.83
2012-04-27,2012.322,525.51
2012-04-30,2012.331,526.39
2012-05-01,2012.333,532.83
2012-05-02,2012.336,527.74
2012-05-03,2012.339,521.96
2012-05-04,2012.342,513.32
2012-05-07,2012.35,512.13
2012-05-08,2012.353,509.24
2012-05-09,2012.356,503.29
2012-05-10,2012.358,504.36
2012-05-11,2012.361,503.28
2012-05-14,2012.369,497.07
2012-05-15,2012.372,493.04
2012-05-16,2012.375,492.56
2012-05-17,2012.378,491.53
2012-05-18,2012.381,488.04
2012-05-21,2012.389,492.99
2012-05-22,2012.392,491.98
2012-05-23,2012.394,492.23
2012-05-24,2012.397,495.89
2012-05-25,2012.4,492.2
2012-05-29,2012.411,495.09
2012-05-30,2012.414,481.7
2012-05-31,2012.417,477.63
2012-06-01,2012.417,471.57
2012-06-04,2012.425,472.43
2012-06-05,2012.428,472.26
2012-06-06,2012.431,488.65
2012-06-07,2012.433,491.27
2012-06-08,2012.436,492.48
2012-06-11,2012.444,487.71
2012-06-12,2012.447,492.67
2012-06-13,2012.45,489.1
2012-06-14,2012.453,497.22
2012-06-15,2012.456,505.87
2012-06-18,2012.464,503.03
2012-06-19,2012.467,508.97
2012-06-20,2012.469,510.25
2012-06-21,2012.472,491
2012-06-22,2012.475,491.95
2012-06-25,2012.483,485.36
2012-06-26,2012.486,493.12
2012-06-27,2012.489,499.54
2012-06-28,2012.492,501.17
2012-06-29,2012.494,516.34
2012-07-02,2012.503,516.19
2012-07-03,2012.506,523.47
2012-07-05,2012.511,517.78
2012-07-06,2012.514,512.72
2012-07-09,2012.522,507.79
2012-07-10,2012.525,503.53
2012-07-11,2012.528,510.58
2012-07-12,2012.531,509.22
2012-07-13,2012.533,516.37
2012-07-16,2012.542,516.28
2012-07-17,2012.544,520.36
2012-07-18,2012.547,523.16
2012-07-19,2012.55,524.81
2012-07-20,2012.553,524.52
2012-07-23,2012.561,518.63
2012-07-24,2012.564,512.91
2012-07-25,2012.567,515.3
2012-07-26,2012.569,525.94
2012-07-27,2012.572,531.66
2012-07-30,2012.581,533.21
2012-07-31,2012.583,528.75
2012-08-01,2012.583,531.02
2012-08-02,2012.586,524.01
2012-08-03,2012.589,534.67
2012-08-06,2012.597,534.46
2012-08-07,2012.6,538.83
2012-08-08,2012.603,540.73
2012-08-09,2012.606,540.67
2012-08-10,2012.608,543.36
2012-08-13,2012.617,540.89
2012-08-14,2012.619,541.15
2012-08-15,2012.622,538.81
2012-08-16,2012.625,542.59
2012-08-17,2012.628,540.22
2012-08-20,2012.636,538.65
2012-08-21,2012.639,535.93
2012-08-22,2012.642,537.35
2012-08-23,2012.644,533.4
2012-08-24,2012.647,537.48
2012-08-27,2012.656,535.67
2012-08-28,2012.658,538.04
2012-08-29,2012.661,535.65
2012-08-30,2012.664,530.47
2012-08-31,2012.667,533.27
2012-09-04,2012.675,529.93
2012-09-05,2012.678,529.48
2012-09-06,2012.681,540
2012-09-07,2012.683,546.92
2012-09-10,2012.692,544.95
2012-09-11,2012.694,546.18
2012-09-12,2012.697,546.67
2012-09-13,2012.7,558.11
2012-09-14,2012.703,563.98
2012-09-17,2012.711,561.13
2012-09-18,2012.714,559.39
2012-09-19,2012.717,553.88
2012-09-20,2012.719,559.17
2012-09-21,2012.722,560.56
2012-09-24,2012.731,559.74
2012-09-25,2012.733,556.99
2012-09-26,2012.736,553.49
2012-09-27,2012.739,557.96
2012-09-28,2012.742,555.64
2012-10-01,2012.75,558.28
2012-10-02,2012.753,558.32
2012-10-03,2012.756,554.84
2012-10-04,2012.758,559.46
2012-10-05,2012.761,560.78
2012-10-08,2012.769,560.88
2012-10-09,2012.772,558.13
2012-10-10,2012.775,546.11
2012-10-11,2012.778,548.06
2012-10-12,2012.781,545.74
2012-10-15,2012.789,548.32
2012-10-16,2012.792,555.15
2012-10-17,2012.794,561.07
2012-10-18,2012.797,561.12
2012-10-19,2012.8,553.68
2012-10-22,2012.808,552.02
2012-10-23,2012.811,538.55
2012-10-24,2012.814,537.63
2012-10-25,2012.817,542.71
2012-10-26,2012.819,542.28
2012-10-31,2012.833,541.67
2012-11-01,2012.833,545.12
2012-11-02,2012.836,535.51
2012-11-05,2012.844,538.2
2012-11-06,2012.847,544.59
2012-11-07,2012.85,526.3
2012-11-08,2012.853,519.35
2012-11-09,2012.856,519.72
2012-11-12,2012.864,520.15
2012-11-13,2012.867,514.96
2012-11-14,2012.869,508.95
2012-11-15,2012.872,507.59
2012-11-16,2012.875,509.87
2012-11-19,2012.883,518.61
2012-11-20,2012.886,516.3
2012-11-21,2012.889,519.09
2012-11-23,2012.894,525.8
2012-11-26,2012.903,522.58
2012-11-27,2012.906,515.77
2012-11-28,2012.908,522.18
2012-11-29,2012.911,522.66
2012-11-30,2012.914,521.71
2012-12-03,2012.922,517.31
2012-12-04,2012.925,514.67
2012-12-05,2012.928,518.99
2012-12-06,2012.931,521.71
2012-12-07,2012.933,525.2
2012-12-10,2012.942,524.65
2012-12-11,2012.944,528.39
2012-12-12,2012.947,531.22
2012-12-13,2012.95,527.41
2012-12-14,2012.953,526.01
2012-12-17,2012.961,530.42
2012-12-18,2012.964,536.63
2012-12-19,2012.967,531.77
2012-12-20,2012.969,534.94
2012-12-21,2012.972,527.56
2012-12-24,2012.981,524.3
2012-12-26,2012.986,524.08
2012-12-27,2012.989,523.48
2012-12-28,2012.992,513.07
2012-12-31,2013,521.78
2013-01-02,2013.003,533.74
2013-01-03,2013.006,532.83
2013-01-04,2013.008,536.12
2013-01-07,2013.017,531.6
2013-01-08,2013.019,533.77
2013-01-09,2013.022,533.28
2013-01-10,2013.025,538.8
2013-01-11,2013.028,542.43
2013-01-14,2013.036,543.78
2013-01-15,2013.039,544.48
2013-01-16,2013.042,545
2013-01-17,2013.044,548.77
2013-01-18,2013.047,551.69
2013-01-22,2013.058,554.03
2013-01-23,2013.061,551.27
2013-01-24,2013.064,554.65
2013-01-25,2013.067,557.52
2013-01-28,2013.075,555.79
2013-01-29,2013.078,562.08
2013-01-30,2013.081,557.18
2013-01-31,2013.083,554.05
2013-02-01,2013.083,556.25
2013-02-04,2013.092,551.19
2013-02-05,2013.094,554.14
2013-02-06,2013.097,554.79
