Date,t,Close
2012-11-14,2012.869,56.05
2012-11-15,2012.872,56.06
2012-11-16,2012.875,56.85
2012-11-19,2012.883,57.08
2012-11-20,2012.886,56.99
2012-11-21,2012.889,57.36
2012-11-23,2012.894,57.76
2012-11-26,2012.903,58.4
2012-11-27,2012.906,58.86
2012-11-28,2012.908,59.78
2012-11-29,2012.911,60.12
2012-11-30,2012.914,61.04
2012-12-03,2012.922,60.75
2012-12-04,2012.925,61.36
2012-12-05,2012.928,62.44
2012-12-06,2012.931,62.61
2012-12-07,2012.933,62.62
2012-12-10,2012.942,62.52
2012-12-11,2012.944,62.84
2012-12-12,2012.947,63.08
2012-12-13,2012.95,63.37
2012-12-14,2012.953,63.59
2012-12-17,2012.961,64.67
2012-12-18,2012.964,64.59
2012-12-19,2012.967,63.72
2012-12-20,2012.969,64.64
2012-12-21,2012.972,63.82
2012-12-24,2012.981,63.38
2012-12-26,2012.986,63.07
2012-12-27,2012.989,63.18
2012-12-28,2012.992,62.32
2012-12-31,2013,63.44
2013-01-02,2013.003,64.15
2013-01-03,2013.006,64.07
2013-01-04,2013.008,65.11
2013-01-07,2013.017,63.41
2013-01-08,2013.019,63.7
2013-01-09,2013.022,63.72
2013-01-10,2013.025,64.75
2013-01-11,2013.028,65.42
2013-01-14,2013.036,64.67
2013-01-15,2013.039,64.91
2013-01-16,2013.042,64.53
2013-01-17,2013.044,65.48
2013-01-18,2013.047,65.98
2013-01-22,2013.058,66.5
2013-01-23,2013.061,66.16
2013-01-24,2013.064,65.52
2013-01-25,2013.067,65.4
2013-01-28,2013.075,64.72
2013-01-29,2013.078,64.74
2013-01-30,2013.081,65.21
2013-01-31,2013.083,65.3
2013-02-01,2013.083,65.96
2013-02-04,2013.092,65.02
2013-02-05,2013.094,65.31
2013-02-06,2013.097,66.31
2013-02-07,2013.1,66.29
2013-02-08,2013.103,66.14
2013-02-11,2013.111,66.49
2013-02-12,2013.114,66.97
2013-02-13,2013.117,66.88
2013-02-14,2013.119,66.18
2013-02-15,2013.122,66.14
2013-02-19,2013.133,67.56
2013-02-20,2013.136,66.81
2013-02-21,2013.139,65.85
2013-02-22,2013.142,66.44
2013-02-25,2013.15,64.96
2013-02-26,2013.153,65.36
2013-02-27,2013.156,67.54
2013-02-28,2013.158,67.48
2013-03-01,2013.167,68.35
2013-03-04,2013.175,68.79
2013-03-05,2013.178,69.75
2013-03-06,2013.181,70.41
2013-03-07,2013.183,70.46
2013-03-08,2013.186,70.75
2013-03-11,2013.194,71.74
2013-03-12,2013.197,72.02
2013-03-13,2013.2,72.33
2013-03-14,2013.203,72.87
2013-03-15,2013.206,72.99
2013-03-18,2013.214,72.71
2013-03-19,2013.217,72.68
2013-03-20,2013.219,73.33
2013-03-21,2013.222,72.24
2013-03-22,2013.225,72.29
2013-03-25,2013.233,71.85
2013-03-26,2013.236,72.26
2013-03-27,2013.239,73.32
2013-03-28,2013.242,73.77
2013-04-01,2013.25,73.62
2013-04-02,2013.253,73.79
2013-04-03,2013.256,73.26
2013-04-04,2013.258,73.51
2013-04-05,2013.261,73.18
2013-04-08,2013.269,74.22
2013-04-09,2013.272,74.61
2013-04-10,2013.275,75.59
2013-04-11,2013.278,75.92
2013-04-12,2013.281,76.2
2013-04-15,2013.289,73.95
2013-04-16,2013.292,75.02
2013-04-17,2013.294,73.84
2013-04-18,2013.297,74.13
2013-04-19,2013.3,75.73
2013-04-22,2013.308,76.09
2013-04-23,2013.311,76.84
2013-04-24,2013.314,77.67
2013-04-25,2013.317,78.43
2013-04-26,2013.319,78.37
2013-04-29,2013.328,78.93
2013-04-30,2013.331,79.39
2013-05-01,2013.333,78.83
2013-05-02,2013.336,78.25
2013-05-03,2013.339,78.9
2013-05-06,2013.347,78.97
2013-05-07,2013.35,78.97
2013-05-08,2013.353,78.55
2013-05-09,2013.356,76.14
2013-05-10,2013.358,76.85
2013-05-13,2013.367,76.04
2013-05-14,2013.369,77.06
2013-05-15,2013.372,77.41
2013-05-16,2013.375,76.38
2013-05-17,2013.378,77.16
2013-05-20,2013.386,77.11
2013-05-21,2013.389,77.44
2013-05-22,2013.392,76.39
2013-05-23,2013.394,76.62
2013-05-24,2013.397,75.01
2013-05-28,2013.408,72.89
2013-05-29,2013.411,72.38
2013-05-30,2013.414,71.86
2013-05-31,2013.417,71.32
2013-06-03,2013.422,71.59
2013-06-04,2013.425,71.06
2013-06-05,2013.428,70.55
2013-06-06,2013.431,71.74
2013-06-07,2013.433,74.49
2013-06-10,2013.442,74.28
2013-06-11,2013.444,73.96
2013-06-12,2013.447,72.61
2013-06-13,2013.45,73.56
2013-06-14,2013.453,73.93
2013-06-17,2013.461,73.24
2013-06-18,2013.464,73.09
2013-06-19,2013.467,71.08
2013-06-20,2013.469,69.05
2013-06-21,2013.472,69.16
2013-06-24,2013.481,69.73
2013-06-25,2013.483,71.34
2013-06-26,2013.486,72
2013-06-27,2013.489,72.37
2013-06-28,2013.492,72.46
2013-07-01,2013.5,71.56
2013-07-02,2013.503,71.06
2013-07-03,2013.506,71.37
2013-07-05,2013.511,71.28
2013-07-08,2013.519,73.03
2013-07-09,2013.522,73.95
2013-07-10,2013.525,74.89
2013-07-11,2013.528,76.84
2013-07-12,2013.531,76.99
2013-07-15,2013.539,78.39
2013-07-16,2013.542,77.68
