Date,t,Close
2011-08-19,2011.633,116.07
2011-08-22,2011.642,117.56
2011-08-23,2011.644,121.93
2011-08-24,2011.647,123.64
2011-08-25,2011.65,122.63
2011-08-26,2011.653,125.21
2011-08-29,2011.661,128.08
2011-08-30,2011.664,128.33
2011-08-31,2011.667,128.11
2011-09-01,2011.667,126.58
2011-09-02,2011.669,123.83
2011-09-06,2011.681,122.51
2011-09-07,2011.683,124.92
2011-09-08,2011.686,123.32
2011-09-09,2011.689,120.03
2011-09-12,2011.697,120.85
2011-09-13,2011.7,121.74
2011-09-14,2011.703,124.46
2011-09-15,2011.706,126.81
2011-09-16,2011.708,129.16
2011-09-19,2011.717,128.92
2011-09-20,2011.719,129.74
2011-09-21,2011.722,128.3
2011-09-22,2011.725,124.42
2011-09-23,2011.728,125.26
2011-09-26,2011.736,129.04
2011-09-27,2011.739,131.84
2011-09-28,2011.742,131.49
2011-09-29,2011.744,132.52
2011-09-30,2011.747,129.15
2011-10-03,2011.756,127.38
2011-10-04,2011.758,129.39
2011-10-05,2011.761,130.93
2011-10-06,2011.764,134.34
2011-10-07,2011.767,134.74
2011-10-10,2011.775,138.12
2011-10-11,2011.778,137.12
2011-10-12,2011.781,138.47
2011-10-13,2011.783,138.79
2011-10-14,2011.786,141.66
2011-10-17,2011.794,138.81
2011-10-18,2011.797,134.61
2011-10-19,2011.8,133.38
2011-10-20,2011.803,132.92
2011-10-21,2011.806,135.85
2011-10-24,2011.814,136.54
2011-10-25,2011.817,135.17
2011-10-26,2011.819,136.26
2011-10-27,2011.822,140.51
2011-10-28,2011.825,141.57
2011-10-31,2011.833,138.85
2011-11-01,2011.833,135.64
2011-11-02,2011.836,137.31
2011-11-03,2011.839,139.74
2011-11-04,2011.842,138.77
2011-11-07,2011.85,139.14
2011-11-08,2011.853,139.63
2011-11-09,2011.856,135.32
2011-11-10,2011.858,136.01
2011-11-11,2011.861,139.2
2011-11-14,2011.869,138.5
2011-11-15,2011.872,139.79
2011-11-16,2011.875,138.04
2011-11-17,2011.878,136.79
2011-11-18,2011.881,136.08
2011-11-21,2011.889,133.58
2011-11-22,2011.892,133.48
2011-11-23,2011.894,130.62
2011-11-25,2011.9,130.2
2011-11-28,2011.908,134.04
2011-11-29,2011.911,133.37
2011-11-30,2011.914,138.79
2011-12-01,2011.917,139.65
2011-12-02,2011.919,140
2011-12-05,2011.928,141.15
2011-12-06,2011.931,142.19
2011-12-07,2011.933,142.69
2011-12-08,2011.936,140.28
2011-12-09,2011.939,142.94
2011-12-12,2011.947,141.04
2011-12-13,2011.95,140.15
2011-12-14,2011.953,137.89
2011-12-15,2011.956,137.29
2011-12-16,2011.958,134.51
2011-12-19,2011.967,133.68
2011-12-20,2011.969,137.01
2011-12-21,2011.972,132.3
2011-12-22,2011.975,132.92
2011-12-23,2011.978,134.66
2011-12-27,2011.989,134.77
2011-12-28,2011.992,134
2011-12-29,2011.994,135.66
2011-12-30,2011.997,134.19
2012-01-03,2012.006,135.79
2012-01-04,2012.008,135.38
2012-01-05,2012.011,134.73
2012-01-06,2012.014,133.24
2012-01-09,2012.022,132.82
2012-01-10,2012.025,133.43
2012-01-11,2012.028,134.37
2012-01-12,2012.031,133.33
2012-01-13,2012.033,132.24
2012-01-17,2012.044,132.87
2012-01-18,2012.047,134.19
2012-01-19,2012.05,134.03
2012-01-20,2012.053,138.84
2012-01-23,2012.061,139.95
2012-01-24,2012.064,141.18
2012-01-25,2012.067,141.41
2012-01-26,2012.069,140.73
2012-01-27,2012.072,140.31
2012-01-30,2012.081,141.59
2012-01-31,2012.083,141.88
2012-02-01,2012.083,142.5
2012-02-02,2012.086,141.59
2012-02-03,2012.089,143.26
2012-02-06,2012.097,142.44
2012-02-07,2012.1,142.85
2012-02-08,2012.103,142.2
2012-02-09,2012.106,142.87
2012-02-10,2012.108,142.07
2012-02-13,2012.117,142.38
2012-02-14,2012.119,142.22
2012-02-15,2012.122,142.34
2012-02-16,2012.125,143.21
2012-02-17,2012.128,143.32
2012-02-21,2012.139,143.11
2012-02-22,2012.142,143.7
2012-02-23,2012.144,145.95
2012-02-24,2012.147,146.46
2012-02-27,2012.156,146.31
2012-02-28,2012.158,146.53
2012-02-29,2012.161,145.71
2012-03-01,2012.167,146.29
2012-03-02,2012.169,146.95
2012-03-05,2012.178,148.29
2012-03-06,2012.181,145.65
2012-03-07,2012.183,146.26
2012-03-08,2012.186,147.95
2012-03-09,2012.189,148.59
2012-03-12,2012.197,148.9
2012-03-13,2012.2,151.35
2012-03-14,2012.203,151.92
2012-03-15,2012.206,153.17
2012-03-16,2012.208,153.28
2012-03-19,2012.217,152.97
2012-03-20,2012.219,151.84
2012-03-21,2012.222,152.65
2012-03-22,2012.225,152.86
2012-03-23,2012.228,153.35
2012-03-26,2012.236,155.21
2012-03-27,2012.239,154.63
2012-03-28,2012.242,154.18
2012-03-29,2012.244,154.72
2012-03-30,2012.247,155.03
2012-04-02,2012.253,155.88
2012-04-03,2012.256,155.68
2012-04-04,2012.258,153.38
2012-04-05,2012.261,153.33
2012-04-09,2012.272,152.41
2012-04-10,2012.275,150.5
2012-04-11,2012.278,151
2012-04-12,2012.281,152.99
2012-04-13,2012.283,150.64
2012-04-16,2012.292,150.09
2012-04-17,2012.294,153.85
2012-04-18,2012.297,149.33
2012-04-19,2012.3,148.65
2012-04-20,2012.303,148.79
2012-04-23,2012.311,148.12
2012-04-24,2012.314,148.75
2012-04-25,2012.317,151.26
2012-04-26,2012.319,152.77
2012-04-27,2012.322,153.81
2012-04-30,2012.331,153.76
2012-05-01,2012.333,154.42
2012-05-02,2012.336,154.49
2012-05-03,2012.339,153.82
2012-05-04,2012.342,151.51
2012-05-07,2012.35,148.02
2012-05-08,2012.353,146.98
2012-05-09,2012.356,146.93
2012-05-10,2012.358,146.39
2012-05-11,2012.361,146.71
2012-05-14,2012.369,145.48
2012-05-15,2012.372,145.46
2012-05-16,2012.375,145.62
2012-05-17,2012.378,144.08
2012-05-18,2012.381,142.64
2012-05-21,2012.389,144.58
2012-05-22,2012.392,144.11
2012-05-23,2012.394,143.83
2012-05-24,2012.397,143.32
2012-05-25,2012.4,142.2
2012-05-29,2012.411,144
2012-05-30,2012.414,142.25
2012-05-31,2012.417,140.79
2012-06-01,2012.417,137.72
2012-06-04,2012.425,137.89
2012-06-05,2012.428,138.64
2012-06-06,2012.431,142.34
2012-06-07,2012.433,142.54
2012-06-08,2012.436,142.8
2012-06-11,2012.444,140.75
2012-06-12,2012.447,142.08
2012-06-13,2012.45,141.13
2012-06-14,2012.453,142.68
2012-06-15,2012.456,145.8
2012-06-18,2012.464,145.21
2012-06-19,2012.467,145.93
2012-06-20,2012.469,145.73
2012-06-21,2012.472,141.23
2012-06-22,2012.475,141.91
2012-06-25,2012.483,140.88
2012-06-26,2012.486,140.14
2012-06-27,2012.489,140.73
2012-06-28,2012.492,139.73
2012-06-29,2012.494,144.06
2012-07-02,2012.503,144.22
2012-07-03,2012.506,144.56
2012-07-05,2012.511,144.01
2012-07-06,2012.514,140.24
2012-07-09,2012.522,139.05
2012-07-10,2012.525,136.5
2012-07-11,2012.528,136.05
2012-07-12,2012.531,134.86
2012-07-13,2012.533,137.08
2012-07-16,2012.542,136.44
2012-07-17,2012.544,135.92
2012-07-18,2012.547,139.01
2012-07-19,2012.55,143.13
2012-07-20,2012.553,141.03
2012-07-23,2012.561,139.54
2012-07-24,2012.564,138.94
2012-07-25,2012.567,139.54
2012-07-26,2012.569,141.93
2012-07-27,2012.572,143.97
2012-07-30,2012.581,143.92
2012-07-31,2012.583,143.44
2012-08-01,2012.583,142.77
2012-08-02,2012.586,142.07
2012-08-03,2012.589,145.46
2012-08-06,2012.597,146.58
2012-08-07,2012.6,147.42
2012-08-08,2012.603,147.33
2012-08-09,2012.606,146.98
2012-08-10,2012.608,147.63
2012-08-13,2012.617,147.44
2012-08-14,2012.619,146.82
2012-08-15,2012.622,146.67
2012-08-16,2012.625,148.32
2012-08-17,2012.628,148.48
2012-08-20,2012.636,147.84
2012-08-21,2012.639,146.93
2012-08-22,2012.642,146.33
2012-08-23,2012.644,145.24
2012-08-24,2012.647,146.67
2012-08-27,2012.656,145.43
2012-08-28,2012.658,144.85
2012-08-29,2012.661,145.19
2012-08-30,2012.664,144.04
2012-08-31,2012.667,145.12
2012-09-04,2012.675,144.83
2012-09-05,2012.678,145.21
2012-09-06,2012.681,148.79
2012-09-07,2012.683,149.34
2012-09-10,2012.692,149.51
2012-09-11,2012.694,151.2
2012-09-12,2012.697,151.72
2012-09-13,2012.7,153.63
2012-09-14,2012.703,154.12
2012-09-17,2012.711,153.97
2012-09-18,2012.714,153.76
2012-09-19,2012.717,153.47
2012-09-20,2012.719,153.18
2012-09-21,2012.722,153.2
2012-09-24,2012.731,152.8
2012-09-25,2012.733,152.17
2012-09-26,2012.736,151.34
2012-09-27,2012.739,153.08
2012-09-28,2012.742,155.54
2012-10-01,2012.75,157.29
2012-10-02,2012.753,157.12
2012-10-03,2012.756,157.61
2012-10-04,2012.758,157.71
2012-10-05,2012.761,157.71
2012-10-08,2012.769,157.2
2012-10-09,2012.772,155.57
2012-10-10,2012.775,154.03
2012-10-11,2012.778,154.04
2012-10-12,2012.781,155.24
2012-10-15,2012.789,156.18
2012-10-16,2012.792,157.64
2012-10-17,2012.794,151.42
2012-10-18,2012.797,147.96
2012-10-19,2012.8,146.45
2012-10-22,2012.808,147.15
2012-10-23,2012.811,145.07
2012-10-24,2012.814,144.19
2012-10-25,2012.817,144.65
2012-10-26,2012.819,145.47
2012-10-31,2012.833,146.33
2012-11-01,2012.833,147.95
2012-11-02,2012.836,145.38
2012-11-05,2012.844,145.8
2012-11-06,2012.847,146.87
2012-11-07,2012.85,143.84
2012-11-08,2012.853,142.77
2012-11-09,2012.856,142.6
2012-11-12,2012.864,142.7
2012-11-13,2012.867,141.99
2012-11-14,2012.869,139.86
2012-11-15,2012.872,139.89
2012-11-16,2012.875,141.13
2012-11-19,2012.883,143.34
2012-11-20,2012.886,142.38
2012-11-21,2012.889,143.31
2012-11-23,2012.894,145.55
2012-11-26,2012.903,144.95
2012-11-27,2012.906,143.82
2012-11-28,2012.908,144.29
2012-11-29,2012.911,144.42
2012-11-30,2012.914,143.45
2012-12-03,2012.922,142.97
2012-12-04,2012.925,143.14
2012-12-05,2012.928,143.49
2012-12-06,2012.931,144.17
2012-12-07,2012.933,145.32
2012-12-10,2012.942,145.84
2012-12-11,2012.944,147.55
2012-12-12,2012.947,146.77
2012-12-13,2012.95,145.82
2012-12-14,2012.953,145.95
2012-12-17,2012.961,147.54
2012-12-18,2012.964,148.96
2012-12-19,2012.967,148.2
2012-12-20,2012.969,147.68
2012-12-21,2012.972,146.36
2012-12-24,2012.981,145.56
2012-12-26,2012.986,144.95
2012-12-27,2012.989,145.32
2012-12-28,2012.992,143.4
2012-12-31,2013,145.02
2013-01-02,2013.003,148.99
2013-01-03,2013.006,148.1
2013-01-04,2013.008,147.58
2013-01-07,2013.017,147.15
2013-01-08,2013.019,146.97
2013-01-09,2013.022,146.85
2013-01-10,2013.025,147.13
2013-01-11,2013.028,148.8
2013-01-14,2013.036,147.86
2013-01-15,2013.039,147.87
2013-01-16,2013.042,147.68
2013-01-17,2013.044,148.46
2013-01-18,2013.047,149.04
2013-01-22,2013.058,149.86
2013-01-23,2013.061,154.82
2013-01-24,2013.064,154.61
2013-01-25,2013.067,155.55
2013-01-28,2013.075,155.4
2013-01-29,2013.078,154.58
2013-01-30,2013.081,154.64
2013-01-31,2013.083,154.26
2013-02-01,2013.083,156.15
2013-02-04,2013.092,154.91
2013-02-05,2013.094,154.7
2013-02-06,2013.097,153.01
2013-02-07,2013.1,152.42
2013-02-08,2013.103,153.7
2013-02-11,2013.111,152.49
2013-02-12,2013.114,152.37
2013-02-13,2013.117,152.44
2013-02-14,2013.119,152.09
2013-02-15,2013.122,153.33
2013-02-19,2013.133,153.68
2013-02-20,2013.136,152.6
2013-02-21,2013.139,151.3
2013-02-22,2013.142,153.45
2013-02-25,2013.15,151.03
2013-02-26,2013.153,151.74
2013-02-27,2013.156,153.73
2013-02-28,2013.158,152.84
2013-03-01,2013.167,154.37
2013-03-04,2013.175,155.84
2013-03-05,2013.178,157.43
2013-03-06,2013.181,158.72
2013-03-07,2013.183,159.16
2013-03-08,2013.186,160.09
2013-03-11,2013.194,159.8
2013-03-12,2013.197,159.85
2013-03-13,2013.2,160.64
2013-03-14,2013.203,162.7
2013-03-15,2013.206,161.6
2013-03-18,2013.214,160.57
2013-03-19,2013.217,160.34
2013-03-20,2013.219,161.55
2013-03-21,2013.222,159.01
2013-03-22,2013.225,158.58
2013-03-25,2013.233,157.61
2013-03-26,2013.236,158.9
2013-03-27,2013.239,158.25
2013-03-28,2013.242,160.45
2013-04-01,2013.25,159.83
2013-04-02,2013.253,161.12
2013-04-03,2013.256,159.84
2013-04-04,2013.258,158.68
2013-04-05,2013.261,157.55
2013-04-08,2013.269,157.76
2013-04-09,2013.272,157.64
2013-04-10,2013.275,159.92
2013-04-11,2013.278,160.82
2013-04-12,2013.281,159.4
2013-04-15,2013.289,157.09
2013-04-16,2013.292,159.41
2013-04-17,2013.294,157.41
2013-04-18,2013.297,155.48
2013-04-19,2013.3,145.36
2013-04-22,2013.308,144.05
2013-04-23,2013.311,146.26
2013-04-24,2013.314,146.43
2013-04-25,2013.317,148.14
2013-04-26,2013.319,148.33
2013-04-29,2013.328,151.93
2013-04-30,2013.331,154.14
2013-05-01,2013.333,151.78
2013-05-02,2013.336,153.48
2013-05-03,2013.339,154.81
2013-05-06,2013.347,153.6
2013-05-07,2013.35,154.03
2013-05-08,2013.353,155.71
2013-05-09,2013.356,155
2013-05-10,2013.358,155.27
2013-05-13,2013.367,153.52
2013-05-14,2013.369,154.06
2013-05-15,2013.372,154.59
2013-05-16,2013.375,155.31
2013-05-17,2013.378,158.34
2013-05-20,2013.386,157.77
2013-05-21,2013.389,158.62
2013-05-22,2013.392,157.46
2013-05-23,2013.394,156.72
2013-05-24,2013.397,156.3
2013-05-28,2013.408,157.71
2013-05-29,2013.411,157.85
2013-05-30,2013.414,158.88
2013-05-31,2013.417,157.66
2013-06-03,2013.422,158.23
2013-06-04,2013.425,156.39
2013-06-05,2013.428,153.75
2013-06-06,2013.431,154.62
2013-06-07,2013.433,156.81
2013-06-10,2013.442,155.92
2013-06-11,2013.444,154.98
2013-06-12,2013.447,153.07
2013-06-13,2013.45,155.04
2013-06-14,2013.453,153.76
2013-06-17,2013.461,154.88
2013-06-18,2013.464,156.11
2013-06-19,2013.467,154.03
2013-06-20,2013.469,150.37
2013-06-21,2013.472,149.05
2013-06-24,2013.481,147.61
2013-06-25,2013.483,148.77
2013-06-26,2013.486,149.07
2013-06-27,2013.489,149.67
2013-06-28,2013.492,144.3
2013-07-01,2013.5,144.7
2013-07-02,2013.503,144.83
2013-07-03,2013.506,146.13
2013-07-05,2013.511,147.5
2013-07-08,2013.519,147.92
2013-07-09,2013.522,145.91
2013-07-10,2013.525,147.1
2013-07-11,2013.528,148.18
2013-07-12,2013.531,147.93
2013-07-15,2013.539,149.25
2013-07-16,2013.542,148.87
2013-07-17,2013.544,149.27
2013-07-18,2013.547,151.58
2013-07-19,2013.55,148.96
2013-07-22,2013.558,149.33
2013-07-23,2013.561,149.41
2013-07-24,2013.564,150.09
2013-07-25,2013.567,150.52
2013-07-26,2013.569,150.5
2013-07-29,2013.578,149.64
2013-07-30,2013.581,150.02
2013-07-31,2013.583,149.56
2013-08-01,2013.583,150.89
2013-08-02,2013.586,150.48
2013-08-05,2013.594,150.64
2013-08-06,2013.597,147.83
2013-08-07,2013.6,146.39
2013-08-08,2013.603,145.97
2013-08-09,2013.606,146.14
2013-08-12,2013.614,146.66
2013-08-13,2013.617,146.38
2013-08-14,2013.619,145.19
2013-08-15,2013.622,143.77
2013-08-16,2013.625,143.64
2013-08-19,2013.633,142.86
2013-08-20,2013.636,143.2
2013-08-21,2013.639,143.73
2013-08-22,2013.642,144.47
2013-08-23,2013.644,144.8
2013-08-26,2013.653,144.29
2013-08-27,2013.656,142.29
2013-08-28,2013.658,142.28
2013-08-29,2013.661,142.77
2013-08-30,2013.664,142.16
2013-09-03,2013.672,143.57
2013-09-04,2013.675,143.2
2013-09-05,2013.678,144
2013-09-06,2013.681,143.31
2013-09-09,2013.689,144.65
2013-09-10,2013.692,146.16
2013-09-11,2013.694,148.68
2013-09-12,2013.697,148.34
2013-09-13,2013.7,149.42
2013-09-16,2013.708,150.81
2013-09-17,2013.711,150.37
2013-09-18,2013.714,152.46
2013-09-19,2013.717,151.53
2013-09-20,2013.719,149.69
2013-09-23,2013.728,149.85
2013-09-24,2013.731,148.81
2013-09-25,2013.733,148.88
2013-09-26,2013.736,149.08
2013-09-27,2013.739,146.57
2013-09-30,2013.747,145.27
2013-10-01,2013.75,146.16
2013-10-02,2013.753,145.36
2013-10-03,2013.756,144.51
2013-10-04,2013.758,144.87
2013-10-07,2013.767,143.23
2013-10-08,2013.769,140.6
2013-10-09,2013.772,141.73
2013-10-10,2013.775,144.32
2013-10-11,2013.778,146.35
2013-10-14,2013.786,146.65
2013-10-15,2013.789,143.8
2013-10-16,2013.792,144.91
2013-10-17,2013.794,138.8
2013-10-18,2013.797,138.22
2013-10-21,2013.806,138.15
2013-10-22,2013.808,139.48
2013-10-23,2013.811,139.73
2013-10-24,2013.814,141.02
2013-10-25,2013.817,140.46
2013-10-28,2013.825,141.45
2013-10-29,2013.828,144.39
2013-10-30,2013.831,142.71
2013-10-31,2013.833,141.72
2013-11-01,2013.833,141.65
2013-11-04,2013.842,141.93
2013-11-05,2013.844,141.23
2013-11-06,2013.847,142.75
2013-11-07,2013.85,143.22
2013-11-08,2013.853,143.23
2013-11-11,2013.861,145.01
2013-11-12,2013.864,145.56
2013-11-13,2013.867,146.48
2013-11-14,2013.869,145.71
2013-11-15,2013.872,146.8
2013-11-18,2013.881,147.53
2013-11-19,2013.883,147.9
2013-11-20,2013.886,147.7
2013-11-21,2013.889,147.37
2013-11-22,2013.892,145.47
2013-11-25,2013.9,143.87
2013-11-26,2013.903,143.27
2013-11-27,2013.906,144.35
2013-11-29,2013.911,144.61
2013-12-02,2013.919,142.97
2013-12-03,2013.922,142.46
2013-12-04,2013.925,141.6
2013-12-05,2013.928,141.68
2013-12-06,2013.931,142.88
2013-12-09,2013.939,142.41
2013-12-10,2013.942,142.23
2013-12-11,2013.944,140.54
2013-12-12,2013.947,139.33
2013-12-13,2013.95,139.15
2013-12-16,2013.958,142.34
2013-12-17,2013.961,140.97
2013-12-18,2013.964,143.54
2013-12-19,2013.967,145.81
2013-12-20,2013.969,146.47
2013-12-23,2013.978,148.06
2013-12-24,2013.981,148.56
2013-12-26,2013.986,150.15
2013-12-27,2013.989,150.08
2013-12-30,2013.997,150.8
2013-12-31,2014,151.71
2014-01-02,2014.003,149.8
2014-01-03,2014.006,150.47
2014-01-06,2014.014,149.77
2014-01-07,2014.017,152.39
2014-01-08,2014.019,151.77
2014-01-09,2014.022,151.61
2014-01-10,2014.025,151.69
2014-01-13,2014.033,148.86
2014-01-14,2014.036,150.63
2014-01-15,2014.039,152.69
2014-01-16,2014.042,153.06
2014-01-17,2014.044,153.74
2014-01-21,2014.056,152.9
2014-01-22,2014.058,149.83
2014-01-23,2014.061,149.19
2014-01-24,2014.064,146.24
2014-01-27,2014.072,145.01
2014-01-28,2014.075,144.67
2014-01-29,2014.078,143.78
2014-01-30,2014.081,144.9
2014-01-31,2014.083,143.88
2014-02-03,2014.089,140.8
2014-02-04,2014.092,141.12
2014-02-05,2014.094,141.08
2014-02-06,2014.097,142.06
2014-02-07,2014.1,144.43
2014-02-10,2014.108,144.02
2014-02-11,2014.111,146.09
2014-02-12,2014.114,146.69
2014-02-13,2014.117,147.96
