Date,t,Close
2011-08-08,2011.603,125.54
2011-08-09,2011.606,130.85
2011-08-10,2011.608,127.34
2011-08-11,2011.611,130.5
2011-08-12,2011.614,129.56
2011-08-15,2011.622,132.25
2011-08-16,2011.625,131.77
2011-08-17,2011.628,134
2011-08-18,2011.631,131.04
2011-08-19,2011.633,129.18
2011-08-22,2011.642,130.59
2011-08-23,2011.644,133.61
2011-08-24,2011.647,135.61
2011-08-25,2011.65,133.61
2011-08-26,2011.653,133.57
2011-08-29,2011.661,135
2011-08-30,2011.664,136.19
2011-08-31,2011.667,133.35
2011-09-01,2011.667,131.87
2011-09-02,2011.669,130.82
2011-09-06,2011.681,129.53
2011-09-07,2011.683,130.91
2011-09-08,2011.686,130.12
2011-09-09,2011.689,128.64
2011-09-12,2011.697,129.65
2011-09-13,2011.7,130.99
2011-09-14,2011.703,131.53
2011-09-15,2011.706,132.85
2011-09-16,2011.708,134.77
2011-09-19,2011.717,133.16
2011-09-20,2011.719,133.92
2011-09-21,2011.722,131.24
2011-09-22,2011.725,129.26
2011-09-23,2011.728,130.02
2011-09-26,2011.736,132.11
2011-09-27,2011.739,133.58
2011-09-28,2011.742,132.89
2011-09-29,2011.744,134.1
2011-09-30,2011.747,132.59
2011-10-03,2011.756,130.56
2011-10-04,2011.758,130.97
2011-10-05,2011.761,130.36
2011-10-06,2011.764,130.83
2011-10-07,2011.767,131.32
2011-10-10,2011.775,134.41
2011-10-11,2011.778,132.84
2011-10-12,2011.781,133.95
2011-10-13,2011.783,134.61
2011-10-14,2011.786,135.29
2011-10-17,2011.794,134.36
2011-10-18,2011.797,135.36
2011-10-19,2011.8,134.78
2011-10-20,2011.803,134.66
2011-10-21,2011.806,135.56
2011-10-24,2011.814,134.18
2011-10-25,2011.817,131.79
2011-10-26,2011.819,133.61
2011-10-27,2011.822,136.97
2011-10-28,2011.825,137.71
2011-10-31,2011.833,135.59
2011-11-01,2011.833,133.06
2011-11-02,2011.836,134.58
2011-11-03,2011.839,136.71
2011-11-04,2011.842,135.37
2011-11-07,2011.85,136.49
2011-11-08,2011.853,137.01
2011-11-09,2011.856,134.52
2011-11-10,2011.858,135.87
2011-11-11,2011.861,136.94
2011-11-14,2011.869,135.54
2011-11-15,2011.872,135.95
2011-11-16,2011.875,133.86
2011-11-17,2011.878,133.39
2011-11-18,2011.881,133.23
2011-11-21,2011.889,131.89
2011-11-22,2011.892,131.24
2011-11-23,2011.894,128.5
2011-11-25,2011.9,128.22
2011-11-28,2011.908,130.96
2011-11-29,2011.911,131.75
2011-11-30,2011.914,135.94
2011-12-01,2011.917,135.43
2011-12-02,2011.919,135.42
2011-12-05,2011.928,136.43
2011-12-06,2011.931,136.84
2011-12-07,2011.933,137.25
