Date,t,Close
2011-08-08,2011.603,148.61
2011-08-09,2011.606,155.67
2011-08-10,2011.608,150.61
2011-08-11,2011.611,157.17
2011-08-12,2011.614,159.35
2011-08-15,2011.622,161.71
2011-08-16,2011.625,161.5
2011-08-17,2011.628,160.93
2011-08-18,2011.631,154.08
2011-08-19,2011.633,154.71
2011-08-22,2011.642,156.66
2011-08-23,2011.644,161.94
2011-08-24,2011.647,164.41
2011-08-25,2011.65,161.16
2011-08-26,2011.653,162.83
2011-08-29,2011.661,167.79
2011-08-30,2011.664,171.93
2011-08-31,2011.667,171.4
2011-09-01,2011.667,169.51
2011-09-02,2011.669,165.2
2011-09-06,2011.681,163.94
2011-09-07,2011.683,168.67
2011-09-08,2011.686,166.84
2011-09-09,2011.689,164.41
2011-09-12,2011.697,164.04
2011-09-13,2011.7,165.05
2011-09-14,2011.703,167.49
2011-09-15,2011.706,167.1
2011-09-16,2011.708,167.83
2011-09-19,2011.717,166.85
2011-09-20,2011.719,166.13
2011-09-21,2011.722,162.49
2011-09-22,2011.725,160.87
2011-09-23,2011.728,159.27
2011-09-26,2011.736,162.17
2011-09-27,2011.739,165.03
2011-09-28,2011.742,161.93
2011-09-29,2011.744,162.08
2011-09-30,2011.747,157.81
2011-10-03,2011.756,153.43
2011-10-04,2011.758,156.04
2011-10-05,2011.761,161.11
2011-10-06,2011.764,162.11
2011-10-07,2011.767,162.4
2011-10-10,2011.775,168.92
2011-10-11,2011.778,168.87
2011-10-12,2011.781,170.17
2011-10-13,2011.783,168.37
2011-10-14,2011.786,167.84
2011-10-17,2011.794,166.84
2011-10-18,2011.797,166.91
2011-10-19,2011.8,165.84
2011-10-20,2011.803,167.08
2011-10-21,2011.806,169.17
2011-10-24,2011.814,174.17
2011-10-25,2011.817,171.67
2011-10-26,2011.819,175.45
2011-10-27,2011.822,180.94
2011-10-28,2011.825,178.18
2011-10-31,2011.833,175.84
2011-11-01,2011.833,175.2
2011-11-02,2011.836,178.77
2011-11-03,2011.839,180.7
2011-11-04,2011.842,179.1
2011-11-07,2011.85,179.54
2011-11-08,2011.853,181.08
2011-11-09,2011.856,172.48
2011-11-10,2011.858,175.03
2011-11-11,2011.861,178.26
2011-11-14,2011.869,174.38
2011-11-15,2011.872,177.06
2011-11-16,2011.875,172.2
2011-11-17,2011.878,169.76
2011-11-18,2011.881,173.46
2011-11-21,2011.889,169.4
2011-11-22,2011.892,170.23
2011-11-23,2011.894,166.69
2011-11-25,2011.9,167.1
2011-11-28,2011.908,169.83
2011-11-29,2011.911,170.61
2011-11-30,2011.914,174.9
2011-12-01,2011.917,173.95
2011-12-02,2011.919,173.72
2011-12-05,2011.928,177.61
2011-12-06,2011.931,178.17
2011-12-07,2011.933,177.65
2011-12-08,2011.936,173.49
2011-12-09,2011.939,175.98
2011-12-12,2011.947,174.64
2011-12-13,2011.95,170.04
2011-12-14,2011.953,167.72
2011-12-15,2011.956,168.56
2011-12-16,2011.958,168.61
2011-12-19,2011.967,163.56
2011-12-20,2011.969,166.36
2011-12-21,2011.972,167.54
2011-12-22,2011.975,165.38
2011-12-23,2011.978,167.1
2011-12-27,2011.989,165.31
2011-12-28,2011.992,162.72
2011-12-29,2011.994,165.63
2011-12-30,2011.997,164.69
2012-01-03,2012.006,165.18
2012-01-04,2012.008,167.47
2012-01-05,2012.011,168.81
2012-01-06,2012.014,166.49
2012-01-09,2012.022,168.74
2012-01-10,2012.025,170.78
2012-01-11,2012.028,172.04
2012-01-12,2012.031,171.29
2012-01-13,2012.033,167.48
2012-01-17,2012.044,168.37
2012-01-18,2012.047,170.88
2012-01-19,2012.05,169.82
2012-01-20,2012.053,169.22
2012-01-23,2012.061,172.45
2012-01-24,2012.064,173.82
2012-01-25,2012.067,176.78
2012-01-26,2012.069,176.74
2012-01-27,2012.072,176
2012-01-30,2012.081,175.97
2012-01-31,2012.083,182.89
2012-02-01,2012.083,182.87
2012-02-02,2012.086,183.48
2012-02-03,2012.089,186.53
2012-02-06,2012.097,188.63
2012-02-07,2012.1,189.33
2012-02-08,2012.103,187.28
2012-02-09,2012.106,190.4
2012-02-10,2012.108,190.6
2012-02-13,2012.117,191.46
2012-02-14,2012.119,191.69
2012-02-15,2012.122,189.64
2012-02-16,2012.125,191.14
2012-02-17,2012.128,190.87
2012-02-21,2012.139,188.31
2012-02-22,2012.142,186.62
2012-02-23,2012.144,188.74
2012-02-24,2012.147,187.75
2012-02-27,2012.156,189.23
2012-02-28,2012.158,190.17
2012-02-29,2012.161,189.62
2012-03-01,2012.167,191.35
2012-03-02,2012.169,190.48
2012-03-05,2012.178,192.61
2012-03-06,2012.181,187.74
2012-03-07,2012.183,188.79
2012-03-08,2012.186,191.58
2012-03-09,2012.189,193.45
2012-03-12,2012.197,193.79
2012-03-13,2012.2,194.78
2012-03-14,2012.203,193.99
2012-03-15,2012.206,193.81
2012-03-16,2012.208,192.44
2012-03-19,2012.217,195.76
2012-03-20,2012.219,195.16
2012-03-21,2012.222,193.97
2012-03-22,2012.225,195.53
2012-03-23,2012.228,196.78
2012-03-26,2012.236,200.49
2012-03-27,2012.239,200.82
2012-03-28,2012.242,199.45
2012-03-29,2012.244,199.04
2012-03-30,2012.247,196.85
2012-04-02,2012.253,199.68
2012-04-03,2012.256,200.22
2012-04-04,2012.258,198.12
2012-04-05,2012.261,198.36
2012-04-09,2012.272,195.96
2012-04-10,2012.275,192.35
2012-04-11,2012.278,195.8
2012-04-12,2012.281,198.91
2012-04-13,2012.283,198.07
2012-04-16,2012.292,184.16
2012-04-17,2012.294,188.71
2012-04-18,2012.297,189.67
2012-04-19,2012.3,187.39
2012-04-20,2012.303,188.87
2012-04-23,2012.311,185.07
2012-04-24,2012.314,188.87
2012-04-25,2012.317,191.94
2012-04-26,2012.319,194.72
2012-04-27,2012.322,196.19
2012-04-30,2012.331,196.62
2012-05-01,2012.333,197.68
2012-05-02,2012.336,198.25
2012-05-03,2012.339,196.93
2012-05-04,2012.342,193.03
2012-05-07,2012.35,193.2
2012-05-08,2012.353,190.84
2012-05-09,2012.356,188.15
2012-05-10,2012.358,189.76
2012-05-11,2012.361,190.26
2012-05-14,2012.369,186.91
2012-05-15,2012.372,188.64
2012-05-16,2012.375,189.29
2012-05-17,2012.378,182.92
2012-05-18,2012.381,182.47
2012-05-21,2012.389,183.22
2012-05-22,2012.392,183.77
2012-05-23,2012.394,183.23
2012-05-24,2012.397,182.59
2012-05-25,2012.4,183.99
2012-05-29,2012.411,185.94
2012-05-30,2012.414,184.16
2012-05-31,2012.417,184.18
2012-06-01,2012.417,181.08
