Date,t,Close
2011-10-03,2011.756,158.66
2011-10-04,2011.758,165.26
2011-10-05,2011.761,172.58
2011-10-06,2011.764,178.8
2011-10-07,2011.767,170.28
2011-10-10,2011.775,179.69
2011-10-11,2011.778,181.58
2011-10-12,2011.781,187.89
2011-10-13,2011.783,184.57
2011-10-14,2011.786,190
2011-10-17,2011.794,182.37
2011-10-18,2011.797,192.1
2011-10-19,2011.8,186.65
2011-10-20,2011.803,190.88
2011-10-21,2011.806,197.48
2011-10-24,2011.814,202.64
2011-10-25,2011.817,192.77
2011-10-26,2011.819,197.66
2011-10-27,2011.822,212.07
2011-10-28,2011.825,213.31
2011-10-31,2011.833,203.47
2011-11-01,2011.833,192.56
2011-11-02,2011.836,199.55
2011-11-03,2011.839,201.68
2011-11-04,2011.842,199.77
2011-11-07,2011.85,199.53
2011-11-08,2011.853,202.76
2011-11-09,2011.856,190.96
2011-11-10,2011.858,193.61
2011-11-11,2011.861,198.14
2011-11-14,2011.869,195.47
2011-11-15,2011.872,195.23
2011-11-16,2011.875,191.96
2011-11-17,2011.878,186
2011-11-18,2011.881,184.9
2011-11-21,2011.889,180.93
2011-11-22,2011.892,178.77
2011-11-23,2011.894,171.1
2011-11-25,2011.9,170.37
2011-11-28,2011.908,177.73
2011-11-29,2011.911,177.33
2011-11-30,2011.914,190.92
2011-12-01,2011.917,189.17
2011-12-02,2011.919,191.26
2011-12-05,2011.928,196.14
2011-12-06,2011.931,196.64
2011-12-07,2011.933,197.2
2011-12-08,2011.936,187.07
2011-12-09,2011.939,191.27
2011-12-12,2011.947,186.23
2011-12-13,2011.95,182.77
2011-12-14,2011.953,182.12
2011-12-15,2011.956,181.92
2011-12-16,2011.958,181.52
2011-12-19,2011.967,175.88
2011-12-20,2011.969,182.72
2011-12-21,2011.972,184.64
2011-12-22,2011.975,188.09
2011-12-23,2011.978,189.81
2011-12-27,2011.989,189.41
2011-12-28,2011.992,186.31
2011-12-29,2011.994,189.78
2011-12-30,2011.997,188.9
2012-01-03,2012.006,194.21
2012-01-04,2012.008,194.08
2012-01-05,2012.011,197.14
2012-01-06,2012.014,195.99
2012-01-09,2012.022,195.45
2012-01-10,2012.025,201.33
2012-01-11,2012.028,205.27
2012-01-12,2012.031,206.43
2012-01-13,2012.033,203.96
2012-01-17,2012.044,203.1
2012-01-18,2012.047,208.45
2012-01-19,2012.05,211.7
2012-01-20,2012.053,214.08
2012-01-23,2012.061,216.24
2012-01-24,2012.064,217.52
2012-01-25,2012.067,214.85
2012-01-26,2012.069,208.61
2012-01-27,2012.072,212.87
2012-01-30,2012.081,212.77
2012-01-31,2012.083,211.92
2012-02-01,2012.083,215.41
2012-02-02,2012.086,216.25
2012-02-03,2012.089,222.66
2012-02-06,2012.097,221.97
2012-02-07,2012.1,221.66
2012-02-08,2012.103,222.18
2012-02-09,2012.106,220.14
2012-02-10,2012.108,217.58
2012-02-13,2012.117,221.39
2012-02-14,2012.119,219.26
2012-02-15,2012.122,220.9
2012-02-16,2012.125,224.61
2012-02-17,2012.128,225.44
2012-02-21,2012.139,225.47
2012-02-22,2012.142,221.69
2012-02-23,2012.144,223.51
2012-02-24,2012.147,222.08
2012-02-27,2012.156,221.88
2012-02-28,2012.158,223.2
2012-02-29,2012.161,223.63
2012-03-01,2012.167,226.13
2012-03-02,2012.169,223.61
2012-03-05,2012.178,224.24
2012-03-06,2012.181,217.08
2012-03-07,2012.183,219.48
2012-03-08,2012.186,220.46
2012-03-09,2012.189,222.34
2012-03-12,2012.197,219.7
2012-03-13,2012.2,227.63
2012-03-14,2012.203,222.39
2012-03-15,2012.206,229.18
2012-03-16,2012.208,228.34
2012-03-19,2012.217,230.07
2012-03-20,2012.219,230.29
2012-03-21,2012.222,228.43
2012-03-22,2012.225,222.91
2012-03-23,2012.228,224.55
2012-03-26,2012.236,228.87
2012-03-27,2012.239,227.03
2012-03-28,2012.242,226.5
2012-03-29,2012.244,223.26
2012-03-30,2012.247,225.08
2012-04-02,2012.253,228.2
2012-04-03,2012.256,225.56
2012-04-04,2012.258,221.74
2012-04-05,2012.261,220.57
2012-04-09,2012.272,215.21
2012-04-10,2012.275,209.31
2012-04-11,2012.278,212.28
2012-04-12,2012.281,217.71
2012-04-13,2012.283,212.71
2012-04-16,2012.292,212.76
2012-04-17,2012.294,217
2012-04-18,2012.297,214.12
2012-04-19,2012.3,212.25
2012-04-20,2012.303,210.14
2012-04-23,2012.311,209.76
2012-04-24,2012.314,211.61
2012-04-25,2012.317,216.78
2012-04-26,2012.319,218.88
2012-04-27,2012.322,218.08
2012-04-30,2012.331,216.56
2012-05-01,2012.333,217.55
2012-05-02,2012.336,215.74
2012-05-03,2012.339,207.27
2012-05-04,2012.342,201.88
2012-05-07,2012.35,202.29
2012-05-08,2012.353,201.26
2012-05-09,2012.356,198.37
2012-05-10,2012.358,201.07
