Date,t,Close
2011-12-14,2011.953,133.05
2011-12-15,2011.956,134.36
2011-12-16,2011.958,134.16
2011-12-19,2011.967,133.08
2011-12-20,2011.969,138.11
2011-12-21,2011.972,137.26
2011-12-22,2011.975,139.55
2011-12-23,2011.978,140.16
2011-12-27,2011.989,139.91
2011-12-28,2011.992,136.08
2011-12-29,2011.994,138.49
2011-12-30,2011.997,138.22
2012-01-03,2012.006,143.85
2012-01-04,2012.008,141.58
2012-01-05,2012.011,143.26
2012-01-06,2012.014,146.35
2012-01-09,2012.022,147.58
2012-01-10,2012.025,152.05
2012-01-11,2012.028,153.34
2012-01-12,2012.031,154.58
2012-01-13,2012.033,153
2012-01-17,2012.044,155.35
2012-01-18,2012.047,158.39
2012-01-19,2012.05,160.62
2012-01-20,2012.053,157.66
2012-01-23,2012.061,158.91
2012-01-24,2012.064,164.11
2012-01-25,2012.067,168.74
2012-01-26,2012.069,165.45
2012-01-27,2012.072,165.38
2012-01-30,2012.081,165.68
2012-01-31,2012.083,165.53
2012-02-01,2012.083,170.6
2012-02-02,2012.086,170.17
2012-02-03,2012.089,174.68
2012-02-06,2012.097,173.06
2012-02-07,2012.1,172.3
2012-02-08,2012.103,173.87
2012-02-09,2012.106,174
2012-02-10,2012.108,171.96
2012-02-13,2012.117,172.16
2012-02-14,2012.119,172.4
2012-02-15,2012.122,172.55
2012-02-16,2012.125,173.76
2012-02-17,2012.128,170.52
2012-02-21,2012.139,169.28
2012-02-22,2012.142,169.84
2012-02-23,2012.144,171.15
2012-02-24,2012.147,171.77
2012-02-27,2012.156,172.04
2012-02-28,2012.158,173.61
2012-02-29,2012.161,172.36
2012-03-01,2012.167,174.25
2012-03-02,2012.169,173.19
2012-03-05,2012.178,170.56
2012-03-06,2012.181,167.61
2012-03-07,2012.183,169.01
2012-03-08,2012.186,171.97
2012-03-09,2012.189,172.84
2012-03-12,2012.197,170.2
2012-03-13,2012.2,174.67
2012-03-14,2012.203,174.98
2012-03-15,2012.206,176.99
2012-03-16,2012.208,176.71
2012-03-19,2012.217,176.37
2012-03-20,2012.219,174.83
2012-03-21,2012.222,174.31
2012-03-22,2012.225,172.6
2012-03-23,2012.228,174.13
2012-03-26,2012.236,178.05
2012-03-27,2012.239,177.79
2012-03-28,2012.242,175.09
2012-03-29,2012.244,174.18
2012-03-30,2012.247,174.96
2012-04-02,2012.253,175.88
2012-04-03,2012.256,175.35
2012-04-04,2012.258,172.13
2012-04-05,2012.261,173.72
2012-04-09,2012.272,169.73
2012-04-10,2012.275,165.16
2012-04-11,2012.278,166.29
2012-04-12,2012.281,170.31
2012-04-13,2012.283,166.26
2012-04-16,2012.292,165.09
2012-04-17,2012.294,167.52
2012-04-18,2012.297,167.55
2012-04-19,2012.3,166.75
2012-04-20,2012.303,166.92
2012-04-23,2012.311,165.19
2012-04-24,2012.314,160.67
2012-04-25,2012.317,165.17
2012-04-26,2012.319,166.41
2012-04-27,2012.322,167.29
2012-04-30,2012.331,167.85
2012-05-01,2012.333,169.53
2012-05-02,2012.336,169.04
2012-05-03,2012.339,167.12
2012-05-04,2012.342,163.48
2012-05-07,2012.35,163.41
2012-05-08,2012.353,162.49
2012-05-09,2012.356,161.35
2012-05-10,2012.358,161.22
2012-05-11,2012.361,160.75
2012-05-14,2012.369,158.77
2012-05-15,2012.372,159.22
2012-05-16,2012.375,157.71
2012-05-17,2012.378,156.46
2012-05-18,2012.381,153.69
2012-05-21,2012.389,157.93
2012-05-22,2012.392,157.73
2012-05-23,2012.394,157.51
2012-05-24,2012.397,159.36
2012-05-25,2012.4,158.57
2012-05-29,2012.411,160.18
2012-05-30,2012.414,157.73
2012-05-31,2012.417,155.74
2012-06-01,2012.417,149.94
2012-06-04,2012.425,148.72
2012-06-05,2012.428,150.86
2012-06-06,2012.431,154.26
2012-06-07,2012.433,155.2
2012-06-08,2012.436,155.07
2012-06-11,2012.444,152.31
2012-06-12,2012.447,154.12
2012-06-13,2012.45,152.93
2012-06-14,2012.453,154.77
2012-06-15,2012.456,156.72
2012-06-18,2012.464,156.73
2012-06-19,2012.467,159.91
2012-06-20,2012.469,159.28
2012-06-21,2012.472,154.44
2012-06-22,2012.475,156.61
2012-06-25,2012.483,152.34
2012-06-26,2012.486,152.25
2012-06-27,2012.489,155.12
2012-06-28,2012.492,153.06
2012-06-29,2012.494,157.73
2012-07-02,2012.503,155.9
2012-07-03,2012.506,158.93
2012-07-05,2012.511,157.87
2012-07-06,2012.514,153.67
2012-07-09,2012.522,153.04
2012-07-10,2012.525,151.13
2012-07-11,2012.528,151.69
2012-07-12,2012.531,151.19
2012-07-13,2012.533,153.14
2012-07-16,2012.542,152.69
2012-07-17,2012.544,154.38
2012-07-18,2012.547,157.24
2012-07-19,2012.55,157.09
2012-07-20,2012.553,153.99
2012-07-23,2012.561,150.78
2012-07-24,2012.564,147.92
2012-07-25,2012.567,153.99
2012-07-26,2012.569,156.4
2012-07-27,2012.572,160.85
2012-07-30,2012.581,160.34
2012-07-31,2012.583,159.74
2012-08-01,2012.583,159.88
2012-08-02,2012.586,156.72
2012-08-03,2012.589,162.57
2012-08-06,2012.597,163.32
2012-08-07,2012.6,166.12
2012-08-08,2012.603,167.09
2012-08-09,2012.606,166.82
2012-08-10,2012.608,166.95
2012-08-13,2012.617,166.16
2012-08-14,2012.619,165.52
2012-08-15,2012.622,167.21
2012-08-16,2012.625,161.68
2012-08-17,2012.628,161.13
2012-08-20,2012.636,160.55
2012-08-21,2012.639,161.07
2012-08-22,2012.642,161.75
2012-08-23,2012.644,161.57
2012-08-24,2012.647,162.64
2012-08-27,2012.656,162.43
2012-08-28,2012.658,161.29
2012-08-29,2012.661,163.37
2012-08-30,2012.664,162.84
2012-08-31,2012.667,163.93
2012-09-04,2012.675,164.05
2012-09-05,2012.678,163.4
2012-09-06,2012.681,166.86
2012-09-07,2012.683,168.97
2012-09-10,2012.692,168.44
2012-09-11,2012.694,167.98
2012-09-12,2012.697,167.62
2012-09-13,2012.7,170.28
2012-09-14,2012.703,173.54
2012-09-17,2012.711,173.25
2012-09-18,2012.714,172.89
2012-09-19,2012.717,172.48
2012-09-20,2012.719,172.04
2012-09-21,2012.722,171.94
2012-09-24,2012.731,171.09
2012-09-25,2012.733,169.65
2012-09-26,2012.736,168.78
2012-09-27,2012.739,170.5
2012-09-28,2012.742,169.3
2012-10-01,2012.75,170.65
2012-10-02,2012.753,171.16
2012-10-03,2012.756,171.56
2012-10-04,2012.758,173.27
2012-10-05,2012.761,173.5
2012-10-08,2012.769,172.52
2012-10-09,2012.772,168.91
2012-10-10,2012.775,166.7
2012-10-11,2012.778,168.13
2012-10-12,2012.781,166.99
2012-10-15,2012.789,167.96
2012-10-16,2012.792,170.69
2012-10-17,2012.794,171.73
2012-10-18,2012.797,166.88
2012-10-19,2012.8,163.36
2012-10-22,2012.808,164.72
2012-10-23,2012.811,162
2012-10-24,2012.814,166.23
2012-10-25,2012.817,168.82
2012-10-26,2012.819,169.18
2012-10-31,2012.833,169.29
2012-11-01,2012.833,173.72
2012-11-02,2012.836,171.33
2012-11-05,2012.844,172.95
