Date,t,Close
2011-08-08,2011.603,397.33
2011-08-09,2011.606,424.98
2011-08-10,2011.608,402.18
2011-08-11,2011.611,423.16
2011-08-12,2011.614,428.75
2011-08-15,2011.622,438.83
2011-08-16,2011.625,435.59
2011-08-17,2011.628,435.23
2011-08-18,2011.631,418.86
2011-08-19,2011.633,411.43
2011-08-22,2011.642,411.71
2011-08-23,2011.644,426.24
2011-08-24,2011.647,435.35
2011-08-25,2011.65,427.42
2011-08-26,2011.653,434.91
2011-08-29,2011.661,446.11
2011-08-30,2011.664,451.89
2011-08-31,2011.667,454.26
2011-09-01,2011.667,451.41
2011-09-02,2011.669,438.91
2011-09-06,2011.681,437.42
2011-09-07,2011.683,453.19
2011-09-08,2011.686,448.53
2011-09-09,2011.689,433.1
2011-09-12,2011.697,440.59
2011-09-13,2011.7,458.05
2011-09-14,2011.703,462.9
2011-09-15,2011.706,474.64
2011-09-16,2011.708,477.06
2011-09-19,2011.717,471.69
2011-09-20,2011.719,467.37
2011-09-21,2011.722,450.54
2011-09-22,2011.725,441.94
2011-09-23,2011.728,446.66
2011-09-26,2011.736,457.52
2011-09-27,2011.739,463.02
2011-09-28,2011.742,445.67
2011-09-29,2011.744,441.22
2011-09-30,2011.747,435.69
2011-10-03,2011.756,410.26
2011-10-04,2011.758,412.64
2011-10-05,2011.761,422.33
2011-10-06,2011.764,427.98
2011-10-07,2011.767,428.06
2011-10-10,2011.775,442.66
2011-10-11,2011.778,441.86
2011-10-12,2011.781,445.07
2011-10-13,2011.783,441.88
2011-10-14,2011.786,449.81
2011-10-17,2011.794,442.84
2011-10-18,2011.797,433.53
2011-10-19,2011.8,439.25
2011-10-20,2011.803,443.61
2011-10-21,2011.806,453.18
2011-10-24,2011.814,465.12
2011-10-25,2011.817,460.93
2011-10-26,2011.819,466.59
2011-10-27,2011.822,474.98
2011-10-28,2011.825,468.93
2011-10-31,2011.833,465.04
2011-11-01,2011.833,451.69
2011-11-02,2011.836,455.37
2011-11-03,2011.839,455.21
2011-11-04,2011.842,452.42
2011-11-07,2011.85,452.51
2011-11-08,2011.853,459.39
2011-11-09,2011.856,450.59
2011-11-10,2011.858,457.64
2011-11-11,2011.861,468.28
2011-11-14,2011.869,466.9
2011-11-15,2011.872,465.77
2011-11-16,2011.875,449.11
2011-11-17,2011.878,446.61
2011-11-18,2011.881,447.15
2011-11-21,2011.889,443.76
2011-11-22,2011.892,442.85
2011-11-23,2011.894,431.21
2011-11-25,2011.9,430.07
2011-11-28,2011.908,444.1
2011-11-29,2011.911,451.8
2011-11-30,2011.914,475.73
2011-12-01,2011.917,473.24
2011-12-02,2011.919,468.82
2011-12-05,2011.928,467.5
2011-12-06,2011.931,467.32
2011-12-07,2011.933,472.98
2011-12-08,2011.936,460.46
2011-12-09,2011.939,466.44
2011-12-12,2011.947,459.98
2011-12-13,2011.95,457.49
2011-12-14,2011.953,453.48
2011-12-15,2011.956,459.16
2011-12-16,2011.958,461.89
2011-12-19,2011.967,457.59
2011-12-20,2011.969,468.82
2011-12-21,2011.972,471.13
2011-12-22,2011.975,477.41
2011-12-23,2011.978,484.14
2011-12-27,2011.989,485.09
2011-12-28,2011.992,475.8
2011-12-29,2011.994,479.08
2011-12-30,2011.997,474.18
2012-01-03,2012.006,481.73
2012-01-04,2012.008,487.35
2012-01-05,2012.011,491.09
2012-01-06,2012.014,495.59
2012-01-09,2012.022,496.84
2012-01-10,2012.025,501.04
2012-01-11,2012.028,503.23
2012-01-12,2012.031,500.38
2012-01-13,2012.033,500.15
2012-01-17,2012.044,508.1
2012-01-18,2012.047,509.04
2012-01-19,2012.05,500.6
2012-01-20,2012.053,497.67
2012-01-23,2012.061,496.87
2012-01-24,2012.064,487.6
2012-01-25,2012.067,483.61
2012-01-26,2012.069,472.33
2012-01-27,2012.072,479.75
2012-01-30,2012.081,478.53
2012-01-31,2012.083,482.1
2012-02-01,2012.083,495.77
2012-02-02,2012.086,488.4
2012-02-03,2012.089,481.52
2012-02-06,2012.097,475.98
2012-02-07,2012.1,482.38
2012-02-08,2012.103,482.4
2012-02-09,2012.106,487.09
2012-02-10,2012.108,488.1
2012-02-13,2012.117,492.67
2012-02-14,2012.119,500.18
2012-02-15,2012.122,499.49
2012-02-16,2012.125,502.44
2012-02-17,2012.128,502.44
2012-02-21,2012.139,506.56
2012-02-22,2012.142,505.2
2012-02-23,2012.144,502.37
2012-02-24,2012.147,506.39
2012-02-27,2012.156,505.28
2012-02-28,2012.158,504.86
2012-02-29,2012.161,503.85
2012-03-01,2012.167,507.33
2012-03-02,2012.169,504.18
2012-03-05,2012.178,500.96
2012-03-06,2012.181,493.01
2012-03-07,2012.183,493.34
2012-03-08,2012.186,501.73
2012-03-09,2012.189,504.52
2012-03-12,2012.197,497.94
2012-03-13,2012.2,502.69
2012-03-14,2012.203,508.23
2012-03-15,2012.206,507.83
2012-03-16,2012.208,508.41
2012-03-19,2012.217,512.03
2012-03-20,2012.219,502.7
2012-03-21,2012.222,498.26
2012-03-22,2012.225,496.99
2012-03-23,2012.228,495.98
2012-03-26,2012.236,509.31
2012-03-27,2012.239,510.6
2012-03-28,2012.242,512.28
2012-03-29,2012.244,534.65
2012-03-30,2012.247,543.22
2012-04-02,2012.253,542.42
2012-04-03,2012.256,541.64
2012-04-04,2012.258,538.66
2012-04-05,2012.261,539.19
2012-04-09,2012.272,529.01
2012-04-10,2012.275,521.56
2012-04-11,2012.278,524.96
2012-04-12,2012.281,529.65
2012-04-13,2012.283,525.37
2012-04-16,2012.292,519.19
2012-04-17,2012.294,526.22
2012-04-18,2012.297,522.14
2012-04-19,2012.3,532.28
2012-04-20,2012.303,536.04
2012-04-23,2012.311,533.69
2012-04-24,2012.314,531.8
2012-04-25,2012.317,532.53
2012-04-26,2012.319,522.7
2012-04-27,2012.322,514.3
2012-04-30,2012.331,501.35
2012-05-01,2012.333,509.77
2012-05-02,2012.336,508.69
2012-05-03,2012.339,499.36
2012-05-04,2012.342,490.94
2012-05-07,2012.35,494.37
2012-05-08,2012.353,497.55
2012-05-09,2012.356,489.71
2012-05-10,2012.358,489.93
2012-05-11,2012.361,488.5
2012-05-14,2012.369,488.03
2012-05-15,2012.372,484.38
2012-05-16,2012.375,482.03
2012-05-17,2012.378,481.68
2012-05-18,2012.381,474
2012-05-21,2012.389,487.19
2012-05-22,2012.392,487.76
2012-05-23,2012.394,485.7
2012-05-24,2012.397,493.04
2012-05-25,2012.4,493.63
2012-05-29,2012.411,497.05
2012-05-30,2012.414,493.6
2012-05-31,2012.417,489.73
2012-06-01,2012.417,482.82
2012-06-04,2012.425,482.19
2012-06-05,2012.428,491.1
2012-06-06,2012.431,502.52
2012-06-07,2012.433,499.39
2012-06-08,2012.436,508.51
2012-06-11,2012.444,504.31
2012-06-12,2012.447,507.6
2012-06-13,2012.45,504.93
2012-06-14,2012.453,512.39
2012-06-15,2012.456,511.7
2012-06-18,2012.464,514.79
2012-06-19,2012.467,520.37
2012-06-20,2012.469,515.94
2012-06-21,2012.472,506.1
2012-06-22,2012.475,513.08
2012-06-25,2012.483,503.77
2012-06-26,2012.486,508.58
2012-06-27,2012.489,512.34
2012-06-28,2012.492,505.58
2012-06-29,2012.494,494.87
2012-07-02,2012.503,481.56
2012-07-03,2012.506,473.79
2012-07-05,2012.511,476.53
2012-07-06,2012.514,474.23
2012-07-09,2012.522,479.32
2012-07-10,2012.525,475.92
2012-07-11,2012.528,477.75
2012-07-12,2012.531,469.1
2012-07-13,2012.533,477.1
2012-07-16,2012.542,475.01
2012-07-17,2012.544,479.46
2012-07-18,2012.547,482.26
2012-07-19,2012.55,474.25
2012-07-20,2012.553,473.32
2012-07-23,2012.561,467.33
